"SpinRate_RANKTHISWEEK_2010","SpinRate_RANKLASTWEEK_2010","SpinRate_PLAYERNAME_2010","SpinRate_ROUNDS_2010","SpinRate_AVG_2010","SpinRate_TOTALSPINSPEED_2010","SpinRate_TOTALATTEMPTS_2010","SpinRate_HIGHESTSPINRATE_2010","SpinRate_LOWESTSPINRATE_2010","stat_name","year"
1,1,"Joe Durant",67,3359.3,131013,39,6801,2479,"SpinRate",2010
2,2,"Chris Couch",66,3307.4,82686,25,3892,2412,"SpinRate",2010
3,3,"Geoff Ogilvy",62,3157.1,164169,52,5792,2080,"SpinRate",2010
4,4,"James Driscoll",78,3128.3,168930,54,3800,2241,"SpinRate",2010
5,5,"Tom Gillis",97,3098.9,226220,73,3918,2423,"SpinRate",2010
6,6,"Michael Bradley",77,3075.2,132235,43,3702,2131,"SpinRate",2010
7,7,"Mathew Goggin",85,3073.3,141372,46,9025,2011,"SpinRate",2010
8,8,"Pat Perez",90,3067.4,205518,67,3740,2016,"SpinRate",2010
9,9,"Luke Donald",71,3056.2,134471,44,3930,1970,"SpinRate",2010
10,10,"Sergio Garcia",58,3040.2,91205,30,4000,2351,"SpinRate",2010
11,11,"Andrew McLardy",52,3036.8,88066,29,3886,1876,"SpinRate",2010
12,12,"John Senden",103,3031.8,209192,69,3637,2119,"SpinRate",2010
13,13,"Adam Scott",70,3029.1,157513,52,3874,2179,"SpinRate",2010
14,14,"Bill Haas",87,3015.7,199036,66,4514,1877,"SpinRate",2010
15,15,"Boo Weekley",88,3012.4,180745,60,5464,1876,"SpinRate",2010
16,16,"Nathan Green",86,3000.9,180053,60,3578,2003,"SpinRate",2010
17,17,"Michael Sim",64,2997.8,137900,46,3953,1813,"SpinRate",2010
18,18,"Kevin Na",94,2990.8,188421,63,3880,1939,"SpinRate",2010
19,19,"Woody Austin",93,2989.5,185347,62,3743,1606,"SpinRate",2010
20,20,"Aaron Baddeley",94,2988.3,206194,69,3873,2232,"SpinRate",2010
20,20,"Trevor Immelman",55,2988.3,80684,27,4662,1757,"SpinRate",2010
22,22,"Scott McCarron",90,2975.2,196361,66,3992,1973,"SpinRate",2010
23,23,"Ricky Barnes",103,2969.5,190050,64,5762,2122,"SpinRate",2010
24,24,"Jonathan Byrd",85,2960.7,195404,66,3913,1880,"SpinRate",2010
25,25,"James Nitties",92,2944.9,144299,49,3577,2103,"SpinRate",2010
26,26,"Omar Uresti",74,2940.4,158780,54,3683,2263,"SpinRate",2010
27,27,"Kevin Streelman",90,2938.8,188081,64,3684,2161,"SpinRate",2010
28,28,"Ted Purdy",86,2929.2,140601,48,3669,2136,"SpinRate",2010
29,29,"Tom Pernice Jr",74,2920,108041,37,3776,1692,"SpinRate",2010
30,30,"Charles Warren",64,2918.3,119652,41,3736,2085,"SpinRate",2010
31,31,"Jimmy Walker",82,2909.7,142575,49,5361,2020,"SpinRate",2010
32,32,"Tim Petrovic",105,2901.8,208933,72,3834,2115,"SpinRate",2010
33,33,"Stuart Appleby",101,2900.5,205935,71,6173,1573,"SpinRate",2010
34,34,"Chris Tidland",77,2898.6,162320,56,3771,1884,"SpinRate",2010
35,35,"Jarrod Lyle",54,2895.1,98434,34,3739,1981,"SpinRate",2010
36,36,"Paul Stankowski",62,2889.1,98228,34,5172,1900,"SpinRate",2010
37,37,"Greg Chalmers",93,2885.7,230857,80,3644,2104,"SpinRate",2010
38,38,"Michael Connell",89,2883.6,181667,63,3718,1917,"SpinRate",2010
38,38,"Ryuji Imada",90,2883.6,207617,72,3954,2002,"SpinRate",2010
40,40,"JJ Henry",92,2883.1,178750,62,4608,2080,"SpinRate",2010
41,41,"Greg Owen",69,2871.5,134961,47,3704,2078,"SpinRate",2010
42,42,"Rich Barcelo",70,2871.1,123457,43,3645,2035,"SpinRate",2010
43,43,"Freddie Jacobson",83,2864.2,166121,58,7277,1812,"SpinRate",2010
44,44,"Mark Calcavecchia",50,2856.8,102844,36,3691,1996,"SpinRate",2010
45,45,"George McNeill",79,2848.5,159518,56,3745,1906,"SpinRate",2010
46,46,"Matt Jones",89,2839.8,187429,66,4163,2035,"SpinRate",2010
47,47,"Skip Kendall",58,2839.6,99387,35,3704,1950,"SpinRate",2010
48,48,"Chad Campbell",95,2833.6,184187,65,3857,1836,"SpinRate",2010
48,48,"Troy Merritt",86,2833.6,164346,58,3559,1997,"SpinRate",2010
50,50,"Blake Adams",84,2832,164257,58,3764,1868,"SpinRate",2010
51,51,"Charlie Wi",95,2830.7,178334,63,3673,1893,"SpinRate",2010
52,52,"Rickie Fowler",98,2829.8,209404,74,3691,1734,"SpinRate",2010
53,53,"Nick Watney",91,2827.4,172471,61,4230,1561,"SpinRate",2010
54,54,"Charles Howell III",103,2825.7,226053,80,3834,1627,"SpinRate",2010
55,55,"Brendon de Jonge",114,2825.1,242960,86,3922,1705,"SpinRate",2010
56,56,"Dean Wilson",54,2822.7,79036,28,3828,1864,"SpinRate",2010
57,57,"Steve Marino",81,2817.7,163428,58,3729,1734,"SpinRate",2010
58,58,"Garth Mulroy",53,2811.2,75903,27,3405,2343,"SpinRate",2010
