"AverageDistanceofEagleputtsmade_RANKTHISWEEK_2006","AverageDistanceofEagleputtsmade_RANKLASTWEEK_2006","AverageDistanceofEagleputtsmade_PLAYERNAME_2006","AverageDistanceofEagleputtsmade_ROUNDS_2006","AverageDistanceofEagleputtsmade_AVG_2006","AverageDistanceofEagleputtsmade_TOTDISTFT_2006","AverageDistanceofEagleputtsmade_TOTEAGLESPUTTSMADE_2006","AverageDistanceofEagleputtsmade_LONGESTMADEFT_2006","AverageDistanceofEagleputtsmade_SHORTESTMADEFT_2006","stat_name","year"
1,1,"JP Hayes",55,NA,62.083,1,62,62,"AverageDistanceofEagleputtsmade",2006
2,2,"Doug Barron",74,NA,40.333,1,40,40,"AverageDistanceofEagleputtsmade",2006
3,3,"Jeff Brehaut",100,NA,116.333,3,66,6,"AverageDistanceofEagleputtsmade",2006
4,4,"Greg Kraft",79,NA,38.583,1,39,39,"AverageDistanceofEagleputtsmade",2006
5,5,"Jeff Sluman",101,NA,38.5,1,39,39,"AverageDistanceofEagleputtsmade",2006
6,6,"Hidemichi Tanaka",74,NA,76.417,2,61,16,"AverageDistanceofEagleputtsmade",2006
7,7,"Jeff Maggert",81,NA,36.5,1,37,37,"AverageDistanceofEagleputtsmade",2006
8,8,"Chris Couch",75,NA,35.583,1,36,36,"AverageDistanceofEagleputtsmade",2006
9,9,"Steve Elkington",52,NA,34.667,1,35,35,"AverageDistanceofEagleputtsmade",2006
10,10,"David Duval",71,NA,68,2,65,3,"AverageDistanceofEagleputtsmade",2006
11,11,"Greg Owen",79,NA,101.167,3,55,6,"AverageDistanceofEagleputtsmade",2006
12,12,"Jerry Smith",94,NA,67.25,2,44,24,"AverageDistanceofEagleputtsmade",2006
13,13,"Todd Hamilton",72,NA,97.583,3,61,5,"AverageDistanceofEagleputtsmade",2006
13,13,"Padraig Harrington",54,NA,64.917,2,56,9,"AverageDistanceofEagleputtsmade",2006
15,15,"Alex Cejka",93,NA,64.25,2,48,16,"AverageDistanceofEagleputtsmade",2006
16,16,"Justin Rose",98,NA,62.167,2,34,29,"AverageDistanceofEagleputtsmade",2006
17,17,"Heath Slocum",96,NA,175.083,6,58,3,"AverageDistanceofEagleputtsmade",2006
18,18,"Skip Kendall",72,NA,57.667,2,32,26,"AverageDistanceofEagleputtsmade",2006
19,19,"Steve Flesch",119,NA,167.75,6,37,14,"AverageDistanceofEagleputtsmade",2006
20,20,"Shigeki Maruyama",94,NA,82.833,3,40,18,"AverageDistanceofEagleputtsmade",2006
21,21,"Ben Curtis",86,NA,27.5,1,28,28,"AverageDistanceofEagleputtsmade",2006
22,22,"Mike Weir",88,NA,54.667,2,41,14,"AverageDistanceofEagleputtsmade",2006
23,23,"Ryan Moore",68,NA,81.75,3,33,16,"AverageDistanceofEagleputtsmade",2006
24,24,"Duffy Waldorf",96,NA,54.333,2,29,25,"AverageDistanceofEagleputtsmade",2006
25,25,"Jerry Kelly",100,NA,105.833,4,64,9,"AverageDistanceofEagleputtsmade",2006
26,26,"Arjun Atwal",97,NA,103.333,4,44,11,"AverageDistanceofEagleputtsmade",2006
26,26,"Chad Campbell",91,NA,129,5,47,6,"AverageDistanceofEagleputtsmade",2006
28,28,"Chris Riley",86,NA,25.5,1,26,26,"AverageDistanceofEagleputtsmade",2006
28,28,"Mark Wilson",79,NA,76.583,3,40,17,"AverageDistanceofEagleputtsmade",2006
30,30,"Davis Love III",85,NA,100.167,4,56,5,"AverageDistanceofEagleputtsmade",2006
31,31,"Tag Ridings",103,NA,49.333,2,45,4,"AverageDistanceofEagleputtsmade",2006
31,31,"Rory Sabbatini",84,NA,73.917,3,49,NA,"AverageDistanceofEagleputtsmade",2006
33,33,"Mike Sposa",68,NA,73.25,3,35,17,"AverageDistanceofEagleputtsmade",2006
34,34,"Dean Wilson",115,NA,96.917,4,31,19,"AverageDistanceofEagleputtsmade",2006
35,35,"Ryan Palmer",101,NA,24.167,1,24,24,"AverageDistanceofEagleputtsmade",2006
36,36,"Shaun Micheel",96,NA,143.917,6,48,7,"AverageDistanceofEagleputtsmade",2006
37,37,"Jose Maria Olazabal",62,NA,71.25,3,25,23,"AverageDistanceofEagleputtsmade",2006
38,38,"Tiger Woods",55,NA,189.167,8,61,9,"AverageDistanceofEagleputtsmade",2006
39,39,"Steve Lowery",99,NA,164.75,7,33,10,"AverageDistanceofEagleputtsmade",2006
40,40,"Freddie Jacobson",56,NA,93.583,4,34,8,"AverageDistanceofEagleputtsmade",2006
41,41,"Joe Ogilvie",95,NA,70.083,3,28,16,"AverageDistanceofEagleputtsmade",2006
42,42,"Kent Jones",103,NA,139.083,6,54,7,"AverageDistanceofEagleputtsmade",2006
42,42,"Tom Pernice Jr",108,NA,138.833,6,48,5,"AverageDistanceofEagleputtsmade",2006
44,44,"Troy Matteson",101,NA,136.333,6,67,5,"AverageDistanceofEagleputtsmade",2006
45,45,"Tom Lehman",70,NA,45,2,23,22,"AverageDistanceofEagleputtsmade",2006
46,46,"Mathias Gronberg",92,NA,88.5,4,54,8,"AverageDistanceofEagleputtsmade",2006
47,47,"Chris Smith",67,NA,87.417,4,57,7,"AverageDistanceofEagleputtsmade",2006
48,48,"Ted Purdy",103,NA,195.583,9,44,1,"AverageDistanceofEagleputtsmade",2006
49,49,"JB Holmes",81,NA,324.417,15,67,3,"AverageDistanceofEagleputtsmade",2006
50,50,"Kevin Sutherland",100,NA,149.5,7,40,4,"AverageDistanceofEagleputtsmade",2006
51,51,"Brandt Jobe",91,NA,84.917,4,46,10,"AverageDistanceofEagleputtsmade",2006
52,52,"Vance Veazey",59,NA,124.833,6,54,2,"AverageDistanceofEagleputtsmade",2006
53,53,"David McKenzie",82,NA,124.25,6,57,4,"AverageDistanceofEagleputtsmade",2006
54,54,"Fred Funk",106,NA,41.167,2,23,18,"AverageDistanceofEagleputtsmade",2006
54,54,"JJ Henry",96,NA,82.417,4,46,5,"AverageDistanceofEagleputtsmade",2006
56,56,"Robert Gamez",94,NA,40.917,2,33,8,"AverageDistanceofEagleputtsmade",2006
57,57,"Vijay Singh",103,NA,183.417,9,43,2,"AverageDistanceofEagleputtsmade",2006
58,58,"Billy Mayfair",94,NA,141.667,7,34,8,"AverageDistanceofEagleputtsmade",2006
59,59,"Bob Estes",85,NA,101,5,28,5,"AverageDistanceofEagleputtsmade",2006
59,59,"Mathew Goggin",72,NA,100.75,5,48,3,"AverageDistanceofEagleputtsmade",2006
61,61,"Jonathan Byrd",66,NA,60.333,3,30,10,"AverageDistanceofEagleputtsmade",2006
62,62,"Brent Geiberger",99,NA,76.917,4,43,4,"AverageDistanceofEagleputtsmade",2006
63,63,"KJ Choi",93,NA,76.25,4,23,15,"AverageDistanceofEagleputtsmade",2006
63,63,"Paul Goydos",72,NA,19.083,1,19,19,"AverageDistanceofEagleputtsmade",2006
63,63,"Bo Van Pelt",102,NA,95.25,5,42,4,"AverageDistanceofEagleputtsmade",2006
66,66,"Charles Warren",93,NA,132.083,7,43,NA,"AverageDistanceofEagleputtsmade",2006
67,67,"Jonathan Kaye",95,NA,56.083,3,31,10,"AverageDistanceofEagleputtsmade",2006
68,68,"Alex Aragon",63,NA,74.333,4,34,2,"AverageDistanceofEagleputtsmade",2006
68,68,"Paul Azinger",87,NA,93.083,5,25,9,"AverageDistanceofEagleputtsmade",2006
68,68,"Briny Baird",81,NA,55.833,3,28,5,"AverageDistanceofEagleputtsmade",2006
71,71,"Ernie Els",69,NA,73.333,4,47,3,"AverageDistanceofEagleputtsmade",2006
72,72,"Peter Lonard",77,NA,18,1,18,18,"AverageDistanceofEagleputtsmade",2006
72,72,"Carl Pettersson",95,NA,54,3,23,13,"AverageDistanceofEagleputtsmade",2006
74,74,"Carlos Franco",86,NA,142.5,8,46,4,"AverageDistanceofEagleputtsmade",2006
74,74,"Daisuke Maruyama",83,NA,89.083,5,27,2,"AverageDistanceofEagleputtsmade",2006
76,76,"Robert Garrigus",85,NA,106.583,6,44,8,"AverageDistanceofEagleputtsmade",2006
76,76,"Tim Petrovic",95,NA,53.167,3,30,9,"AverageDistanceofEagleputtsmade",2006
78,78,"Tjaart van der Walt",60,NA,17.667,1,18,18,"AverageDistanceofEagleputtsmade",2006
79,79,"Shane Bertsch",104,NA,52.333,3,28,11,"AverageDistanceofEagleputtsmade",2006
80,80,"Rod Pampling",89,NA,51.75,3,29,6,"AverageDistanceofEagleputtsmade",2006
81,81,"John Daly",51,NA,51.583,3,44,3,"AverageDistanceofEagleputtsmade",2006
81,81,"Lucas Glover",105,NA,68.583,4,31,8,"AverageDistanceofEagleputtsmade",2006
81,81,"Bernhard Langer",77,NA,68.5,4,29,3,"AverageDistanceofEagleputtsmade",2006
84,84,"Craig Barlow",77,NA,102.5,6,25,8,"AverageDistanceofEagleputtsmade",2006
84,84,"Bob Tway",81,NA,34.083,2,30,5,"AverageDistanceofEagleputtsmade",2006
86,86,"Ben Crane",85,NA,16.833,1,17,17,"AverageDistanceofEagleputtsmade",2006
86,86,"Harrison Frazar",95,NA,100.917,6,26,3,"AverageDistanceofEagleputtsmade",2006
86,86,"Frank Lickliter II",99,NA,84.083,5,31,6,"AverageDistanceofEagleputtsmade",2006
89,89,"Larry Mize",53,NA,16.75,1,17,17,"AverageDistanceofEagleputtsmade",2006
90,90,"Corey Pavin",74,NA,16.667,1,17,17,"AverageDistanceofEagleputtsmade",2006
91,91,"Nathan Green",108,NA,66.167,4,28,4,"AverageDistanceofEagleputtsmade",2006
91,91,"Will Ma Kenzie",91,NA,99.583,6,52,4,"AverageDistanceofEagleputtsmade",2006
93,93,"Dudley Hart",83,NA,65.833,4,30,2,"AverageDistanceofEagleputtsmade",2006
93,93,"Phil Mickelson",74,NA,99,6,53,4,"AverageDistanceofEagleputtsmade",2006
95,95,"Brian Bateman",69,NA,32.5,2,19,14,"AverageDistanceofEagleputtsmade",2006
95,95,"Kris Cox",83,NA,113.5,7,32,8,"AverageDistanceofEagleputtsmade",2006
95,95,"DJ Trahan",92,NA,48.75,3,20,11,"AverageDistanceofEagleputtsmade",2006
98,98,"John Huston",74,NA,48.5,3,28,3,"AverageDistanceofEagleputtsmade",2006
98,98,"Brett Quigley",109,NA,96.833,6,37,4,"AverageDistanceofEagleputtsmade",2006
100,100,"Chris DiMarco",83,NA,32.167,2,24,8,"AverageDistanceofEagleputtsmade",2006
101,101,"James Driscoll",80,NA,79.417,5,33,6,"AverageDistanceofEagleputtsmade",2006
101,101,"Scott Gutschewski",53,NA,79.75,5,27,10,"AverageDistanceofEagleputtsmade",2006
103,103,"Scott Verplank",88,NA,31.667,2,23,9,"AverageDistanceofEagleputtsmade",2006
104,104,"Brian Davis",92,NA,31.333,2,23,9,"AverageDistanceofEagleputtsmade",2006
105,105,"Paul Stankowski",70,NA,62.167,4,24,9,"AverageDistanceofEagleputtsmade",2006
106,106,"Henrik Bjornstad",97,NA,93.083,6,44,5,"AverageDistanceofEagleputtsmade",2006
107,107,"Jason Bohn",104,NA,76.917,5,32,5,"AverageDistanceofEagleputtsmade",2006
108,108,"Retief Goosen",68,NA,45.667,3,25,5,"AverageDistanceofEagleputtsmade",2006
109,109,"Bill Haas",99,NA,75.667,5,24,8,"AverageDistanceofEagleputtsmade",2006
110,110,"Thomas Levet",53,NA,15.083,1,15,15,"AverageDistanceofEagleputtsmade",2006
110,110,"Sean OHair",100,NA,75.583,5,20,6,"AverageDistanceofEagleputtsmade",2006
112,112,"Vaughn Taylor",88,NA,45.083,3,23,8,"AverageDistanceofEagleputtsmade",2006
113,113,"DA Points",82,NA,58.417,4,25,7,"AverageDistanceofEagleputtsmade",2006
114,114,"Jeff Overton",95,NA,43.417,3,20,6,"AverageDistanceofEagleputtsmade",2006
115,115,"Geoff Ogilvy",76,NA,86.667,6,23,NA,"AverageDistanceofEagleputtsmade",2006
116,116,"Ian Leggatt",80,NA,43,3,26,3,"AverageDistanceofEagleputtsmade",2006
117,117,"Nick Watney",97,NA,84.583,6,26,8,"AverageDistanceofEagleputtsmade",2006
118,118,"Rich Beem",85,NA,55,4,26,6,"AverageDistanceofEagleputtsmade",2006
118,118,"Brett Wetterich",82,NA,96.417,7,31,6,"AverageDistanceofEagleputtsmade",2006
120,120,"Stewart Cink",93,NA,40.917,3,18,11,"AverageDistanceofEagleputtsmade",2006
121,121,"Zach Johnson",98,NA,54,4,18,10,"AverageDistanceofEagleputtsmade",2006
122,122,"Robert Allenby",79,NA,120.5,9,37,2,"AverageDistanceofEagleputtsmade",2006
123,123,"Richard Johnson",94,NA,26.5,2,18,9,"AverageDistanceofEagleputtsmade",2006
123,123,"Roger Tambellini",64,NA,26.417,2,17,9,"AverageDistanceofEagleputtsmade",2006
125,125,"Kenny Perry",73,NA,26.25,2,16,11,"AverageDistanceofEagleputtsmade",2006
126,126,"Jason Schultz",77,NA,13.083,1,13,13,"AverageDistanceofEagleputtsmade",2006
127,127,"Eric Axley",91,NA,64.917,5,24,2,"AverageDistanceofEagleputtsmade",2006
128,128,"JL Lewis",57,NA,12.917,1,13,13,"AverageDistanceofEagleputtsmade",2006
128,128,"Jesper Parnevik",84,NA,103.083,8,22,4,"AverageDistanceofEagleputtsmade",2006
130,130,"Joey Sindelar",90,NA,51.083,4,27,3,"AverageDistanceofEagleputtsmade",2006
131,131,"Tim Herron",82,NA,38.083,3,16,7,"AverageDistanceofEagleputtsmade",2006
132,132,"Charles Howell III",96,NA,37.25,3,20,5,"AverageDistanceofEagleputtsmade",2006
133,133,"Adam Scott",70,NA,49.167,4,24,2,"AverageDistanceofEagleputtsmade",2006
134,134,"Luke Donald",66,NA,24.25,2,19,5,"AverageDistanceofEagleputtsmade",2006
135,135,"Daniel Chopra",110,NA,120,10,25,4,"AverageDistanceofEagleputtsmade",2006
135,135,"Bubba Dickerson",98,NA,35.917,3,22,7,"AverageDistanceofEagleputtsmade",2006
137,137,"Michael Allen",84,NA,59.25,5,19,7,"AverageDistanceofEagleputtsmade",2006
137,137,"John Cook",67,NA,23.583,2,17,6,"AverageDistanceofEagleputtsmade",2006
139,139,"John Senden",96,NA,70.667,6,26,4,"AverageDistanceofEagleputtsmade",2006
140,140,"Mark Calcavecchia",94,NA,23.25,2,12,11,"AverageDistanceofEagleputtsmade",2006
140,140,"Joe Durant",101,NA,70,6,26,2,"AverageDistanceofEagleputtsmade",2006
142,142,"Charley Hoffman",100,NA,92.667,8,24,6,"AverageDistanceofEagleputtsmade",2006
142,142,"Justin Leonard",83,NA,23.167,2,12,11,"AverageDistanceofEagleputtsmade",2006
144,144,"Trevor Immelman",86,NA,76.25,7,26,3,"AverageDistanceofEagleputtsmade",2006
145,145,"David Toms",76,NA,54.25,5,24,NA,"AverageDistanceofEagleputtsmade",2006
146,146,"Stephen Ames",63,NA,53.667,5,38,3,"AverageDistanceofEagleputtsmade",2006
146,146,"Woody Austin",107,NA,53.583,5,21,2,"AverageDistanceofEagleputtsmade",2006
148,148,"Jason Gore",86,NA,95.417,9,20,2,"AverageDistanceofEagleputtsmade",2006
149,149,"John Rollins",93,NA,83.5,8,32,3,"AverageDistanceofEagleputtsmade",2006
150,150,"Patrick Sheehan",104,NA,60.75,6,20,NA,"AverageDistanceofEagleputtsmade",2006
151,151,"Nicholas Thompson",96,NA,49.167,5,20,4,"AverageDistanceofEagleputtsmade",2006
152,152,"Wes Short Jr",96,NA,29.167,3,11,7,"AverageDistanceofEagleputtsmade",2006
153,153,"Olin Browne",108,NA,19.167,2,15,4,"AverageDistanceofEagleputtsmade",2006
153,153,"Arron Oberholser",82,NA,38.417,4,18,2,"AverageDistanceofEagleputtsmade",2006
155,155,"Bart Bryant",87,NA,28.167,3,15,2,"AverageDistanceofEagleputtsmade",2006
155,155,"Tim Clark",80,NA,9.417,1,9,9,"AverageDistanceofEagleputtsmade",2006
155,155,"John Engler Jr",69,NA,18.75,2,14,5,"AverageDistanceofEagleputtsmade",2006
155,155,"Ryan Hietala",61,NA,28.167,3,14,7,"AverageDistanceofEagleputtsmade",2006
155,155,"Hunter Mahan",98,NA,28.167,3,11,6,"AverageDistanceofEagleputtsmade",2006
155,155,"Jimmy Walker",60,NA,9.417,1,9,9,"AverageDistanceofEagleputtsmade",2006
161,161,"Brad Faxon",78,NA,18.583,2,11,8,"AverageDistanceofEagleputtsmade",2006
162,162,"Brian Gay",107,NA,18.083,2,13,6,"AverageDistanceofEagleputtsmade",2006
163,163,"David Branshaw",98,NA,44.25,5,15,3,"AverageDistanceofEagleputtsmade",2006
163,163,"Fred Couples",52,NA,26.5,3,13,6,"AverageDistanceofEagleputtsmade",2006
165,165,"Matt Hansen",68,NA,25.667,3,12,3,"AverageDistanceofEagleputtsmade",2006
166,166,"Pat Perez",50,NA,16.833,2,10,7,"AverageDistanceofEagleputtsmade",2006
166,166,"Bubba Watson",83,NA,67.25,8,24,NA,"AverageDistanceofEagleputtsmade",2006
168,168,"Aaron Baddeley",78,NA,33.333,4,13,3,"AverageDistanceofEagleputtsmade",2006
169,169,"Michael Connell",51,NA,16.417,2,11,6,"AverageDistanceofEagleputtsmade",2006
170,170,"Robert Damron",91,NA,16.25,2,14,3,"AverageDistanceofEagleputtsmade",2006
171,171,"Jeff Gove",91,NA,16.083,2,10,6,"AverageDistanceofEagleputtsmade",2006
171,171,"Stephen Leaney",84,NA,8.083,1,8,8,"AverageDistanceofEagleputtsmade",2006
173,173,"Sergio Garcia",59,NA,23.167,3,9,6,"AverageDistanceofEagleputtsmade",2006
174,174,"Marco Dawson",87,NA,22.75,3,17,NA,"AverageDistanceofEagleputtsmade",2006
175,175,"Lee Janzen",79,NA,7.25,1,7,7,"AverageDistanceofEagleputtsmade",2006
176,176,"Tommy Armour III",65,NA,6.917,1,7,7,"AverageDistanceofEagleputtsmade",2006
177,177,"Ryuji Imada",105,NA,20.5,3,9,3,"AverageDistanceofEagleputtsmade",2006
178,178,"Camilo Villegas",95,NA,51.5,8,12,2,"AverageDistanceofEagleputtsmade",2006
179,179,"Steve Stricker",64,NA,8.75,2,6,3,"AverageDistanceofEagleputtsmade",2006
180,180,"Todd Fischer",101,NA,3.833,1,4,4,"AverageDistanceofEagleputtsmade",2006
181,181,"Stuart Appleby",83,NA,3.417,1,3,3,"AverageDistanceofEagleputtsmade",2006
182,182,"Steve Jones",83,NA,3.333,1,3,3,"AverageDistanceofEagleputtsmade",2006
182,182,"Omar Uresti",61,NA,3.333,1,3,3,"AverageDistanceofEagleputtsmade",2006
182,182,"Ron Whittaker",81,NA,3.333,1,3,3,"AverageDistanceofEagleputtsmade",2006
185,185,"Mark Brooks",90,NA,2.5,1,3,3,"AverageDistanceofEagleputtsmade",2006
185,185,"Jon Mills",68,NA,2.5,1,3,3,"AverageDistanceofEagleputtsmade",2006
