"BirdieAverage_RANKTHISWEEK_2010","BirdieAverage_RANKLASTWEEK_2010","BirdieAverage_PLAYERNAME_2010","BirdieAverage_ROUNDS_2010","BirdieAverage_AVG_2010","BirdieAverage_OFBIRDIES_2010","BirdieAverage_TOTALROUNDS_2010","stat_name","year"
1,1,"Tom Gillis",97,4.06,394,97,"BirdieAverage",2010
2,2,"Paul Stankowski",62,4.03,250,62,"BirdieAverage",2010
3,3,"Chris Couch",66,4.02,265,66,"BirdieAverage",2010
4,4,"Nick Watney",91,4.01,353,88,"BirdieAverage",2010
5,5,"Matt Every",60,4,240,60,"BirdieAverage",2010
6,6,"Matt Kuchar",97,3.97,377,95,"BirdieAverage",2010
7,7,"Charley Hoffman",85,3.95,336,85,"BirdieAverage",2010
8,8,"Dustin Johnson",83,3.94,323,82,"BirdieAverage",2010
8,8,"Bubba Watson",77,3.94,303,77,"BirdieAverage",2010
10,10,"Kevin Streelman",90,3.93,354,90,"BirdieAverage",2010
11,11,"Geoff Ogilvy",62,3.92,235,60,"BirdieAverage",2010
11,11,"Ryan Palmer",84,3.92,329,84,"BirdieAverage",2010
13,13,"Pat Perez",90,3.9,351,90,"BirdieAverage",2010
13,13,"Rory Sabbatini",79,3.9,304,78,"BirdieAverage",2010
15,15,"Phil Mickelson",76,3.89,296,76,"BirdieAverage",2010
15,15,"Steve Stricker",73,3.89,280,72,"BirdieAverage",2010
17,17,"Paul Casey",64,3.88,225,58,"BirdieAverage",2010
18,18,"Justin Rose",78,3.87,302,78,"BirdieAverage",2010
19,19,"Graham DeLaet",88,3.86,340,88,"BirdieAverage",2010
19,19,"Bo Van Pelt",104,3.86,401,104,"BirdieAverage",2010
21,21,"Robert Garrigus",71,3.82,271,71,"BirdieAverage",2010
21,21,"Scott Piercy",88,3.82,336,88,"BirdieAverage",2010
21,21,"Brandt Snedeker",89,3.82,340,89,"BirdieAverage",2010
24,24,"JB Holmes",100,3.81,381,100,"BirdieAverage",2010
25,25,"DJ Trahan",92,3.8,350,92,"BirdieAverage",2010
26,26,"Ben Crane",85,3.79,311,82,"BirdieAverage",2010
26,26,"Ernie Els",72,3.79,265,70,"BirdieAverage",2010
26,26,"Zach Johnson",93,3.79,345,91,"BirdieAverage",2010
29,29,"Kevin Stadler",86,3.78,325,86,"BirdieAverage",2010
30,30,"Steve Marino",81,3.77,305,81,"BirdieAverage",2010
30,30,"Charles Warren",64,3.77,241,64,"BirdieAverage",2010
32,32,"Aaron Baddeley",94,3.76,353,94,"BirdieAverage",2010
32,32,"Brendon de Jonge",114,3.76,429,114,"BirdieAverage",2010
32,32,"Troy Merritt",86,3.76,323,86,"BirdieAverage",2010
32,32,"Jeff Overton",89,3.76,335,89,"BirdieAverage",2010
36,36,"Retief Goosen",75,3.75,266,71,"BirdieAverage",2010
36,36,"Kevin Na",94,3.75,349,93,"BirdieAverage",2010
36,36,"Jeff Quinney",91,3.75,341,91,"BirdieAverage",2010
36,36,"John Rollins",81,3.75,304,81,"BirdieAverage",2010
40,40,"Vaughn Taylor",87,3.74,325,87,"BirdieAverage",2010
40,40,"David Toms",86,3.74,318,85,"BirdieAverage",2010
42,42,"Robert Allenby",76,3.73,276,74,"BirdieAverage",2010
42,42,"George McNeill",79,3.73,295,79,"BirdieAverage",2010
44,44,"Lucas Glover",75,3.72,275,74,"BirdieAverage",2010
45,45,"Bill Haas",87,3.71,323,87,"BirdieAverage",2010
45,45,"JP Hayes",79,3.71,293,79,"BirdieAverage",2010
45,45,"Matt Jones",89,3.71,330,89,"BirdieAverage",2010
45,45,"YE Yang",72,3.71,260,70,"BirdieAverage",2010
49,49,"Aron Price",70,3.7,259,70,"BirdieAverage",2010
49,49,"Alex Prugh",88,3.7,326,88,"BirdieAverage",2010
49,49,"Garrett Willis",82,3.7,303,82,"BirdieAverage",2010
52,52,"Spencer Levin",110,3.69,406,110,"BirdieAverage",2010
53,53,"John Daly",63,3.68,232,63,"BirdieAverage",2010
53,53,"Webb Simpson",98,3.68,361,98,"BirdieAverage",2010
55,55,"Henrik Bjornstad",72,3.67,264,72,"BirdieAverage",2010
55,55,"Jason Day",82,3.67,301,82,"BirdieAverage",2010
55,55,"Michael Letzig",84,3.67,308,84,"BirdieAverage",2010
55,55,"Bryce Molder",84,3.67,308,84,"BirdieAverage",2010
55,55,"Ryan Moore",80,3.67,290,79,"BirdieAverage",2010
60,60,"Jonathan Byrd",85,3.66,311,85,"BirdieAverage",2010
61,61,"Stewart Cink",84,3.65,292,80,"BirdieAverage",2010
61,61,"Paul Goydos",78,3.65,285,78,"BirdieAverage",2010
61,61,"Freddie Jacobson",83,3.65,303,83,"BirdieAverage",2010
64,64,"Jim Furyk",76,3.64,269,74,"BirdieAverage",2010
64,64,"Chris Stroud",90,3.64,328,90,"BirdieAverage",2010
66,66,"Adam Scott",70,3.63,247,68,"BirdieAverage",2010
66,66,"Jimmy Walker",82,3.63,298,82,"BirdieAverage",2010
66,66,"Brett Wetterich",54,3.63,196,54,"BirdieAverage",2010
69,69,"Jason Bohn",84,3.62,304,84,"BirdieAverage",2010
69,69,"KJ Choi",82,3.62,297,82,"BirdieAverage",2010
69,69,"Cameron Percy",73,3.62,264,73,"BirdieAverage",2010
72,72,"Ricky Barnes",103,3.61,372,103,"BirdieAverage",2010
72,72,"Martin Flores",75,3.61,271,75,"BirdieAverage",2010
72,72,"James Nitties",92,3.61,332,92,"BirdieAverage",2010
72,72,"Charlie Wi",95,3.61,343,95,"BirdieAverage",2010
76,76,"Mark Calcavecchia",50,3.6,180,50,"BirdieAverage",2010
76,76,"Joe Durant",67,3.6,241,67,"BirdieAverage",2010
76,76,"Rickie Fowler",98,3.6,353,98,"BirdieAverage",2010
76,76,"Marc Leishman",87,3.6,313,87,"BirdieAverage",2010
80,80,"Vijay Singh",75,3.58,265,74,"BirdieAverage",2010
81,81,"Chris Tidland",77,3.57,275,77,"BirdieAverage",2010
82,82,"Justin Leonard",89,3.56,313,88,"BirdieAverage",2010
