"StrokesGainedPutting_RANKTHISWEEK_2011","StrokesGainedPutting_RANKLASTWEEK_2011","StrokesGainedPutting_PLAYERNAME_2011","StrokesGainedPutting_ROUNDS_2011","StrokesGainedPutting_AVERAGE_2011","StrokesGainedPutting_TOTALPUTTSGAINED_2011","StrokesGainedPutting_MEASUREDROUNDS_2011","stat_name","year"
1,1,"Luke Donald",73,0.922,47.938,52,"StrokesGainedPutting",2011
2,2,"Steve Stricker",70,0.81,42.943,53,"StrokesGainedPutting",2011
3,3,"Bryce Molder",82,0.774,54.976,71,"StrokesGainedPutting",2011
4,4,"Charlie Wi",83,0.767,59.07,77,"StrokesGainedPutting",2011
5,5,"Greg Chalmers",88,0.702,55.486,79,"StrokesGainedPutting",2011
6,6,"Freddie Jacobson",92,0.658,46.087,70,"StrokesGainedPutting",2011
7,7,"Jason Day",76,0.623,36.778,59,"StrokesGainedPutting",2011
8,8,"Zach Johnson",79,0.61,39.042,64,"StrokesGainedPutting",2011
9,9,"Kevin Na",84,0.609,41.43,68,"StrokesGainedPutting",2011
10,10,"Scott McCarron",65,0.595,32.152,54,"StrokesGainedPutting",2011
11,11,"Brandt Snedeker",85,0.589,39.435,67,"StrokesGainedPutting",2011
12,12,"Ryan Moore",79,0.543,32.59,60,"StrokesGainedPutting",2011
13,13,"Nick Watney",80,0.534,33.082,62,"StrokesGainedPutting",2011
14,14,"Hunter Mahan",92,0.53,40.3,76,"StrokesGainedPutting",2011
15,15,"Angel Cabrera",50,0.518,18.124,35,"StrokesGainedPutting",2011
15,15,"Dean Wilson",62,0.518,29.55,57,"StrokesGainedPutting",2011
17,17,"Brian Gay",90,0.507,37.55,74,"StrokesGainedPutting",2011
18,18,"Matt McQuillan",59,0.505,24.216,48,"StrokesGainedPutting",2011
19,19,"Blake Adams",116,0.497,52.134,105,"StrokesGainedPutting",2011
20,20,"Andres Romero",77,0.465,31.623,68,"StrokesGainedPutting",2011
21,21,"Geoff Ogilvy",69,0.464,25.042,54,"StrokesGainedPutting",2011
22,22,"Michael Putnam",67,0.457,24.195,53,"StrokesGainedPutting",2011
23,23,"Michael Thompson",79,0.454,31.354,69,"StrokesGainedPutting",2011
24,24,"Matt Kuchar",94,0.444,31.497,71,"StrokesGainedPutting",2011
25,25,"Carl Pettersson",95,0.415,37.368,90,"StrokesGainedPutting",2011
26,26,"Ben Martin",74,0.414,26.884,65,"StrokesGainedPutting",2011
27,27,"Rickie Fowler",84,0.408,26.942,66,"StrokesGainedPutting",2011
28,28,"David Toms",78,0.407,24.022,59,"StrokesGainedPutting",2011
29,29,"Kevin Streelman",90,0.385,27.352,71,"StrokesGainedPutting",2011
30,30,"Charles Howell III",108,0.381,34.667,91,"StrokesGainedPutting",2011
31,31,"Nate Smith",66,0.37,19.598,53,"StrokesGainedPutting",2011
31,31,"Johnson Wagner",81,0.37,25.931,70,"StrokesGainedPutting",2011
33,33,"Hunter Haas",96,0.359,30.546,85,"StrokesGainedPutting",2011
34,34,"Will Strickler",51,0.35,15.04,43,"StrokesGainedPutting",2011
35,35,"Aaron Baddeley",77,0.344,21.33,62,"StrokesGainedPutting",2011
36,36,"Chris Couch",73,0.334,22.686,68,"StrokesGainedPutting",2011
