"Back9Round4ScoringAverage_RANKTHISWEEK_2013","Back9Round4ScoringAverage_RANKLASTWEEK_2013","Back9Round4ScoringAverage_PLAYERNAME_2013","Back9Round4ScoringAverage__2013","Back9Round4ScoringAverage_AVG_2013","Back9Round4ScoringAverage_TOTALSTROKES_2013","Back9Round4ScoringAverage_TOTALROUNDS_2013","stat_name","year"
1,1,"Aaron Watkins",NA,33.67,101,3,"Back9Round4ScoringAverage",2013
2,2,"Webb Simpson",NA,34.47,655,19,"Back9Round4ScoringAverage",2013
3,3,"David Lynn",NA,34.54,449,13,"Back9Round4ScoringAverage",2013
4,4,"Geoff Ogilvy",NA,34.56,311,9,"Back9Round4ScoringAverage",2013
5,5,"Robert Streb",NA,34.64,381,11,"Back9Round4ScoringAverage",2013
6,6,"Kevin Streelman",NA,34.67,624,18,"Back9Round4ScoringAverage",2013
7,7,"Ryan Palmer",NA,34.71,590,17,"Back9Round4ScoringAverage",2013
8,8,"Phil Mickelson",NA,34.72,625,18,"Back9Round4ScoringAverage",2013
9,9,"Matt Jones",NA,34.76,591,17,"Back9Round4ScoringAverage",2013
10,10,"Scott Piercy",NA,34.79,487,14,"Back9Round4ScoringAverage",2013
11,11,"Bob Estes",NA,34.8,522,15,"Back9Round4ScoringAverage",2013
11,11,"DA Points",NA,34.8,522,15,"Back9Round4ScoringAverage",2013
13,13,"Russell Henley",NA,34.81,557,16,"Back9Round4ScoringAverage",2013
14,14,"Bryce Molder",NA,34.82,592,17,"Back9Round4ScoringAverage",2013
15,15,"John Rollins",NA,34.85,453,13,"Back9Round4ScoringAverage",2013
16,16,"Patrick Reed",NA,34.86,488,14,"Back9Round4ScoringAverage",2013
17,17,"Brendon de Jonge",NA,34.88,872,25,"Back9Round4ScoringAverage",2013
18,18,"Ernie Els",NA,34.92,454,13,"Back9Round4ScoringAverage",2013
19,19,"Jordan Spieth",NA,34.94,629,18,"Back9Round4ScoringAverage",2013
20,20,"Justin Bolli",NA,35,140,4,"Back9Round4ScoringAverage",2013
20,20,"Bud Cauley",NA,35,315,9,"Back9Round4ScoringAverage",2013
20,20,"Martin Kaymer",NA,35,455,13,"Back9Round4ScoringAverage",2013
20,20,"Cameron Percy",NA,35,455,13,"Back9Round4ScoringAverage",2013
20,20,"Rory Sabbatini",NA,35,525,15,"Back9Round4ScoringAverage",2013
20,20,"DJ Trahan",NA,35,245,7,"Back9Round4ScoringAverage",2013
26,26,"Keegan Bradley",NA,35.05,666,19,"Back9Round4ScoringAverage",2013
26,26,"Jason Day",NA,35.05,701,20,"Back9Round4ScoringAverage",2013
26,26,"Graham DeLaet",NA,35.05,736,21,"Back9Round4ScoringAverage",2013
29,29,"Martin Flores",NA,35.06,561,16,"Back9Round4ScoringAverage",2013
29,29,"David Hearn",NA,35.06,596,17,"Back9Round4ScoringAverage",2013
31,31,"Henrik Stenson",NA,35.07,526,15,"Back9Round4ScoringAverage",2013
32,32,"Lucas Glover",NA,35.1,351,10,"Back9Round4ScoringAverage",2013
33,33,"Ted Potter Jr",NA,35.11,316,9,"Back9Round4ScoringAverage",2013
34,34,"Chris Stroud",NA,35.12,597,17,"Back9Round4ScoringAverage",2013
35,35,"Luke List",NA,35.13,281,8,"Back9Round4ScoringAverage",2013
35,35,"Kevin Stadler",NA,35.13,527,15,"Back9Round4ScoringAverage",2013
35,35,"Daniel Summerhays",NA,35.13,527,15,"Back9Round4ScoringAverage",2013
35,35,"David Toms",NA,35.13,281,8,"Back9Round4ScoringAverage",2013
35,35,"Lee Williams",NA,35.13,281,8,"Back9Round4ScoringAverage",2013
40,40,"Harris English",NA,35.14,738,21,"Back9Round4ScoringAverage",2013
41,41,"Brian Davis",NA,35.18,598,17,"Back9Round4ScoringAverage",2013
41,41,"Henrik Norlander",NA,35.18,387,11,"Back9Round4ScoringAverage",2013
43,43,"Kevin Chappell",NA,35.2,528,15,"Back9Round4ScoringAverage",2013
43,43,"Dicky Pride",NA,35.2,352,10,"Back9Round4ScoringAverage",2013
43,43,"Adam Scott",NA,35.2,528,15,"Back9Round4ScoringAverage",2013
46,46,"Dustin Johnson",NA,35.21,493,14,"Back9Round4ScoringAverage",2013
47,47,"Jeff Overton",NA,35.25,564,16,"Back9Round4ScoringAverage",2013
47,47,"Charl Schwartzel",NA,35.25,564,16,"Back9Round4ScoringAverage",2013
47,47,"Brendan Steele",NA,35.25,564,16,"Back9Round4ScoringAverage",2013
50,50,"Scott Brown",NA,35.27,388,11,"Back9Round4ScoringAverage",2013
51,51,"Zach Johnson",NA,35.28,635,18,"Back9Round4ScoringAverage",2013
52,52,"Bill Haas",NA,35.29,600,17,"Back9Round4ScoringAverage",2013
53,53,"Aaron Baddeley",NA,35.3,353,10,"Back9Round4ScoringAverage",2013
53,53,"Boo Weekley",NA,35.3,812,23,"Back9Round4ScoringAverage",2013
55,55,"Chad Campbell",NA,35.31,459,13,"Back9Round4ScoringAverage",2013
55,55,"Brian Gay",NA,35.31,565,16,"Back9Round4ScoringAverage",2013
55,55,"Doug LaBelle II",NA,35.31,459,13,"Back9Round4ScoringAverage",2013
55,55,"Cameron Tringale",NA,35.31,565,16,"Back9Round4ScoringAverage",2013
59,59,"Billy Horschel",NA,35.32,777,22,"Back9Round4ScoringAverage",2013
60,60,"Ricky Barnes",NA,35.33,318,9,"Back9Round4ScoringAverage",2013
60,60,"Jim Furyk",NA,35.33,636,18,"Back9Round4ScoringAverage",2013
60,60,"Bobby Gates",NA,35.33,106,3,"Back9Round4ScoringAverage",2013
60,60,"Camilo Villegas",NA,35.33,530,15,"Back9Round4ScoringAverage",2013
64,64,"Jason Dufner",NA,35.35,601,17,"Back9Round4ScoringAverage",2013
65,65,"Michael Thompson",NA,35.36,389,11,"Back9Round4ScoringAverage",2013
66,66,"Stewart Cink",NA,35.38,460,13,"Back9Round4ScoringAverage",2013
66,66,"Will Claxton",NA,35.38,283,8,"Back9Round4ScoringAverage",2013
66,66,"Luke Donald",NA,35.38,460,13,"Back9Round4ScoringAverage",2013
66,66,"Matt Kuchar",NA,35.38,743,21,"Back9Round4ScoringAverage",2013
70,70,"Jimmy Walker",NA,35.39,637,18,"Back9Round4ScoringAverage",2013
71,71,"Andrew Svoboda",NA,35.4,177,5,"Back9Round4ScoringAverage",2013
72,72,"James Hahn",NA,35.42,425,12,"Back9Round4ScoringAverage",2013
73,73,"Derek Ernst",NA,35.43,248,7,"Back9Round4ScoringAverage",2013
74,74,"Charles Howell III",NA,35.44,638,18,"Back9Round4ScoringAverage",2013
74,74,"Colt Knost",NA,35.44,319,9,"Back9Round4ScoringAverage",2013
76,76,"Brandt Jobe",NA,35.45,390,11,"Back9Round4ScoringAverage",2013
76,76,"DH Lee",NA,35.45,390,11,"Back9Round4ScoringAverage",2013
76,76,"Steve Stricker",NA,35.45,390,11,"Back9Round4ScoringAverage",2013
79,79,"Pat Perez",NA,35.46,461,13,"Back9Round4ScoringAverage",2013
80,80,"KJ Choi",NA,35.47,674,19,"Back9Round4ScoringAverage",2013
80,80,"Jerry Kelly",NA,35.47,532,15,"Back9Round4ScoringAverage",2013
82,82,"Stuart Appleby",NA,35.5,639,18,"Back9Round4ScoringAverage",2013
82,82,"Erik Compton",NA,35.5,426,12,"Back9Round4ScoringAverage",2013
82,82,"Chris Kirk",NA,35.5,710,20,"Back9Round4ScoringAverage",2013
82,82,"Justin Rose",NA,35.5,497,14,"Back9Round4ScoringAverage",2013
86,86,"Jason Kokrak",NA,35.54,462,13,"Back9Round4ScoringAverage",2013
86,86,"Rory McIlroy",NA,35.54,462,13,"Back9Round4ScoringAverage",2013
88,88,"Troy Matteson",NA,35.56,320,9,"Back9Round4ScoringAverage",2013
88,88,"Graeme McDowell",NA,35.56,320,9,"Back9Round4ScoringAverage",2013
88,88,"Andres Romero",NA,35.56,320,9,"Back9Round4ScoringAverage",2013
91,91,"Nicolas Colsaerts",NA,35.57,249,7,"Back9Round4ScoringAverage",2013
92,92,"Brian Stuard",NA,35.58,427,12,"Back9Round4ScoringAverage",2013
93,93,"John Huh",NA,35.6,534,15,"Back9Round4ScoringAverage",2013
93,93,"Darron Stiles",NA,35.6,178,5,"Back9Round4ScoringAverage",2013
95,95,"James Driscoll",NA,35.62,463,13,"Back9Round4ScoringAverage",2013
95,95,"Martin Laird",NA,35.62,463,13,"Back9Round4ScoringAverage",2013
95,95,"George McNeill",NA,35.62,463,13,"Back9Round4ScoringAverage",2013
98,98,"Roberto Castro",NA,35.63,677,19,"Back9Round4ScoringAverage",2013
98,98,"Richard Lee",NA,35.63,570,16,"Back9Round4ScoringAverage",2013
98,98,"Brandt Snedeker",NA,35.63,570,16,"Back9Round4ScoringAverage",2013
98,98,"Vaughn Taylor",NA,35.63,285,8,"Back9Round4ScoringAverage",2013
102,102,"Justin Hicks",NA,35.64,499,14,"Back9Round4ScoringAverage",2013
103,103,"Charlie Beljan",NA,35.67,214,6,"Back9Round4ScoringAverage",2013
103,103,"Matt Every",NA,35.67,535,15,"Back9Round4ScoringAverage",2013
103,103,"Robert Garrigus",NA,35.67,428,12,"Back9Round4ScoringAverage",2013
106,106,"Jonas Blixt",NA,35.69,464,13,"Back9Round4ScoringAverage",2013
107,107,"David Mathis",NA,35.7,357,10,"Back9Round4ScoringAverage",2013
108,108,"Brian Harman",NA,35.71,500,14,"Back9Round4ScoringAverage",2013
108,108,"Chez Reavie",NA,35.71,500,14,"Back9Round4ScoringAverage",2013
108,108,"Josh Teater",NA,35.71,607,17,"Back9Round4ScoringAverage",2013
108,108,"Bo Van Pelt",NA,35.71,500,14,"Back9Round4ScoringAverage",2013
112,112,"Steven Bowditch",NA,35.73,393,11,"Back9Round4ScoringAverage",2013
112,112,"Tim Clark",NA,35.73,393,11,"Back9Round4ScoringAverage",2013
112,112,"Tiger Woods",NA,35.73,536,15,"Back9Round4ScoringAverage",2013
115,115,"Nick Watney",NA,35.76,608,17,"Back9Round4ScoringAverage",2013
116,116,"Ken Duke",NA,35.8,537,15,"Back9Round4ScoringAverage",2013
116,116,"Sergio Garcia",NA,35.8,537,15,"Back9Round4ScoringAverage",2013
116,116,"JJ Henry",NA,35.8,537,15,"Back9Round4ScoringAverage",2013
119,119,"Ben Kohles",NA,35.82,394,11,"Back9Round4ScoringAverage",2013
120,120,"Gary Woodland",NA,35.84,681,19,"Back9Round4ScoringAverage",2013
121,121,"Nicholas Thompson",NA,35.85,717,20,"Back9Round4ScoringAverage",2013
122,122,"Peter Hanson",NA,35.88,287,8,"Back9Round4ScoringAverage",2013
122,122,"John Merrick",NA,35.88,574,16,"Back9Round4ScoringAverage",2013
124,124,"Vijay Singh",NA,35.91,395,11,"Back9Round4ScoringAverage",2013
124,124,"Shawn Stefani",NA,35.91,395,11,"Back9Round4ScoringAverage",2013
126,126,"Freddie Jacobson",NA,35.92,431,12,"Back9Round4ScoringAverage",2013
126,126,"Charlie Wi",NA,35.92,467,13,"Back9Round4ScoringAverage",2013
128,128,"Rickie Fowler",NA,35.93,539,15,"Back9Round4ScoringAverage",2013
129,129,"Justin Leonard",NA,35.95,683,19,"Back9Round4ScoringAverage",2013
130,130,"Angel Cabrera",NA,36,576,16,"Back9Round4ScoringAverage",2013
130,130,"Brad Fritsch",NA,36,540,15,"Back9Round4ScoringAverage",2013
130,130,"Jim Herman",NA,36,324,9,"Back9Round4ScoringAverage",2013
130,130,"Morgan Hoffmann",NA,36,396,11,"Back9Round4ScoringAverage",2013
130,130,"Scott Langley",NA,36,396,11,"Back9Round4ScoringAverage",2013
