"OverallPuttingAverage_RANKTHISWEEK_2007","OverallPuttingAverage_RANKLASTWEEK_2007","OverallPuttingAverage_PLAYERNAME_2007","OverallPuttingAverage_ROUNDS_2007","OverallPuttingAverage_AVG_2007","OverallPuttingAverage_OFPUTTS_2007","OverallPuttingAverage_OFHOLES_2007","stat_name","year"
1,1,"Chris Riley",59,1.465,1556,1062,"OverallPuttingAverage",2007
2,2,"Jose Coceres",50,1.473,1326,900,"OverallPuttingAverage",2007
3,3,"Bubba Dickerson",51,1.5,1377,918,"OverallPuttingAverage",2007
4,4,"Brian Bateman",55,1.502,1487,990,"OverallPuttingAverage",2007
5,5,"Chris Tidland",59,1.509,1603,1062,"OverallPuttingAverage",2007
6,6,"Brian Gay",107,1.514,2916,1926,"OverallPuttingAverage",2007
6,6,"Bob Heintz",85,1.514,2316,1530,"OverallPuttingAverage",2007
6,6,"Parker McLachlin",83,1.514,2262,1494,"OverallPuttingAverage",2007
9,9,"Michael Boyd",61,1.515,1663,1098,"OverallPuttingAverage",2007
9,9,"Paul Stankowski",52,1.515,1418,936,"OverallPuttingAverage",2007
11,11,"Nathan Green",103,1.517,2812,1854,"OverallPuttingAverage",2007
12,12,"Joe Ogilvie",102,1.519,2789,1836,"OverallPuttingAverage",2007
13,13,"Dicky Pride",71,1.521,1944,1278,"OverallPuttingAverage",2007
14,14,"Jason Schultz",63,1.522,1726,1134,"OverallPuttingAverage",2007
15,15,"Ryuji Imada",104,1.524,2853,1872,"OverallPuttingAverage",2007
16,16,"Steve Allan",63,1.526,1730,1134,"OverallPuttingAverage",2007
16,16,"Gavin Coles",87,1.526,2390,1566,"OverallPuttingAverage",2007
18,18,"Jesper Parnevik",88,1.528,2421,1584,"OverallPuttingAverage",2007
18,18,"Brandt Snedeker",105,1.528,2887,1890,"OverallPuttingAverage",2007
20,20,"Steve Elkington",87,1.53,2396,1566,"OverallPuttingAverage",2007
21,21,"Mark Brooks",53,1.532,1462,954,"OverallPuttingAverage",2007
22,22,"Anders Hansen",55,1.534,1519,990,"OverallPuttingAverage",2007
22,22,"Tripp Isenhour",86,1.534,2375,1548,"OverallPuttingAverage",2007
24,24,"Tag Ridings",52,1.536,1438,936,"OverallPuttingAverage",2007
25,25,"Matt Kuchar",85,1.537,2352,1530,"OverallPuttingAverage",2007
25,25,"Jarrod Lyle",77,1.537,2130,1386,"OverallPuttingAverage",2007
27,27,"Michael Allen",74,1.541,2053,1332,"OverallPuttingAverage",2007
28,28,"Mark Calcavecchia",93,1.542,2581,1674,"OverallPuttingAverage",2007
29,29,"Fred Funk",65,1.543,1805,1170,"OverallPuttingAverage",2007
29,29,"Paul Gow",70,1.543,1944,1260,"OverallPuttingAverage",2007
31,31,"Steve Wheatcroft",73,1.544,2029,1314,"OverallPuttingAverage",2007
32,32,"Vaughn Taylor",91,1.546,2532,1638,"OverallPuttingAverage",2007
33,33,"George McNeill",95,1.547,2646,1710,"OverallPuttingAverage",2007
34,34,"Glen Day",85,1.548,2369,1530,"OverallPuttingAverage",2007
35,35,"Tim Clark",66,1.549,1784,1152,"OverallPuttingAverage",2007
35,35,"Scott Gutschewski",67,1.549,1868,1206,"OverallPuttingAverage",2007
37,37,"Craig Kanada",109,1.551,3043,1962,"OverallPuttingAverage",2007
38,38,"Bob Tway",103,1.552,2877,1854,"OverallPuttingAverage",2007
39,39,"Brendon de Jonge",76,1.553,2125,1368,"OverallPuttingAverage",2007
39,39,"Pat Perez",84,1.553,2348,1512,"OverallPuttingAverage",2007
39,39,"Jeff Sluman",60,1.553,1677,1080,"OverallPuttingAverage",2007
42,42,"Bryce Molder",56,1.554,1566,1008,"OverallPuttingAverage",2007
43,43,"Marco Dawson",73,1.556,2044,1314,"OverallPuttingAverage",2007
43,43,"Shigeki Maruyama",84,1.556,2352,1512,"OverallPuttingAverage",2007
45,45,"Craig Lile",77,1.557,2158,1386,"OverallPuttingAverage",2007
46,46,"Rich Barcelo",80,1.56,2246,1440,"OverallPuttingAverage",2007
47,47,"Jose Maria Olazabal",52,1.561,1405,900,"OverallPuttingAverage",2007
47,47,"Mark Wilson",87,1.561,2445,1566,"OverallPuttingAverage",2007
49,49,"Peter Lonard",85,1.562,2390,1530,"OverallPuttingAverage",2007
50,50,"Kevin Na",84,1.563,2364,1512,"OverallPuttingAverage",2007
51,51,"DJ Brigman",67,1.565,1887,1206,"OverallPuttingAverage",2007
51,51,"Jerry Kelly",101,1.565,2846,1818,"OverallPuttingAverage",2007
51,51,"Doug LaBelle II",104,1.565,2930,1872,"OverallPuttingAverage",2007
54,54,"Tim Herron",98,1.568,2766,1764,"OverallPuttingAverage",2007
