"ClubHeadSpeed_RANKTHISWEEK_2008","ClubHeadSpeed_RANKLASTWEEK_2008","ClubHeadSpeed_PLAYERNAME_2008","ClubHeadSpeed_ROUNDS_2008","ClubHeadSpeed_AVG_2008","ClubHeadSpeed_TOTALCLUBHEADSPEED_2008","ClubHeadSpeed_TOTALATTEMPTS_2008","ClubHeadSpeed_FASTESTSPEED_2008","ClubHeadSpeed_SLOWESTSPEED_2008","stat_name","year"
171,171,"Jeff Quinney",87,107.81,6684.04,62,111.28,102.23,"ClubHeadSpeed",2008
172,172,"Tom Pernice Jr",104,107.78,10455.03,97,110.82,102.56,"ClubHeadSpeed",2008
173,173,"John Mallinger",95,107.73,8403.11,78,110.35,104.13,"ClubHeadSpeed",2008
174,174,"Doug LaBelle II",65,107.38,4831.91,45,109.7,104.44,"ClubHeadSpeed",2008
175,175,"Zach Johnson",85,107.26,8151.73,76,110.4,104.32,"ClubHeadSpeed",2008
176,176,"Robert Gamez",79,107.24,6863.08,64,110.22,103.47,"ClubHeadSpeed",2008
177,177,"Jerry Kelly",89,107.12,8141.16,76,111.16,103.54,"ClubHeadSpeed",2008
178,178,"Stephen Leaney",53,107.1,4283.88,40,110.36,99.85,"ClubHeadSpeed",2008
179,179,"Brian Davis",108,107.07,10707.22,100,113.26,103.16,"ClubHeadSpeed",2008
180,180,"Chez Reavie",102,107.05,9955.62,93,110.01,103.07,"ClubHeadSpeed",2008
181,181,"Omar Uresti",74,107,5885.2,55,109.76,104.18,"ClubHeadSpeed",2008
182,182,"Paul Claxton",63,106.98,4920.86,46,111.37,103.46,"ClubHeadSpeed",2008
183,183,"Matt Kuchar",88,106.95,6844.83,64,109.81,102.71,"ClubHeadSpeed",2008
184,184,"Heath Slocum",104,106.86,9617.63,90,110.93,103.38,"ClubHeadSpeed",2008
185,185,"Jin Park",85,106.79,6941.25,65,110.54,103.37,"ClubHeadSpeed",2008
186,186,"Scott Verplank",82,106.63,7677.43,72,110.22,102.36,"ClubHeadSpeed",2008
187,187,"Shane Bertsch",96,106,9433.79,89,108.74,102.41,"ClubHeadSpeed",2008
188,188,"Shigeki Maruyama",50,105.81,4549.72,43,109.59,103.5,"ClubHeadSpeed",2008
189,189,"Olin Browne",77,105.76,6979.95,66,107.97,103.01,"ClubHeadSpeed",2008
190,190,"Nick OHern",82,105.63,6548.95,62,109.24,100.15,"ClubHeadSpeed",2008
191,191,"Paul Goydos",78,105.12,6832.92,65,108.02,100.73,"ClubHeadSpeed",2008
192,192,"Glen Day",64,104.9,5035.07,48,108.35,101.91,"ClubHeadSpeed",2008
193,193,"Greg Kraft",63,104.69,4711.12,45,106.77,101.5,"ClubHeadSpeed",2008
194,194,"Brian Gay",102,104.55,9095.52,87,108.29,101.61,"ClubHeadSpeed",2008
195,195,"Craig Kanada",65,104.21,5106.53,49,107.14,101.68,"ClubHeadSpeed",2008
196,196,"Gavin Coles",54,103.51,3829.9,37,106.2,100.08,"ClubHeadSpeed",2008
197,197,"Corey Pavin",69,101.82,5090.97,50,105.24,99.39,"ClubHeadSpeed",2008
