"Round2ScoringAverage_RANKTHISWEEK_2014","Round2ScoringAverage_RANKLASTWEEK_2014","Round2ScoringAverage_PLAYERNAME_2014","Round2ScoringAverage__2014","Round2ScoringAverage_AVG_2014","Round2ScoringAverage_TOTALSTROKES_2014","Round2ScoringAverage_TOTALROUNDS_2014","stat_name","year"
1,1,"Adam Scott",NA,68.88,1171,17,"Round2ScoringAverage",2014
2,2,"Jim Furyk",NA,68.9,1378,20,"Round2ScoringAverage",2014
3,3,"Dustin Johnson",NA,69.07,1036,15,"Round2ScoringAverage",2014
4,4,"Jamie Lovemark",NA,69.16,1314,19,"Round2ScoringAverage",2014
5,5,"Sergio Garcia",NA,69.33,1040,15,"Round2ScoringAverage",2014
6,6,"Ryan Palmer",NA,69.39,1596,23,"Round2ScoringAverage",2014
7,7,"Chris Stroud",NA,69.68,1742,25,"Round2ScoringAverage",2014
8,8,"Matt Kuchar",NA,69.7,1603,23,"Round2ScoringAverage",2014
9,9,"Kevin Stadler",NA,69.75,1674,24,"Round2ScoringAverage",2014
10,10,"Billy Horschel",NA,69.88,1817,26,"Round2ScoringAverage",2014
10,10,"Russell Knox",NA,69.88,1817,26,"Round2ScoringAverage",2014
12,12,"John Senden",NA,69.89,1887,27,"Round2ScoringAverage",2014
13,13,"Rory McIlroy",NA,69.94,1119,16,"Round2ScoringAverage",2014
14,14,"Jason Day",NA,70,910,13,"Round2ScoringAverage",2014
14,14,"Robert Streb",NA,70,1400,20,"Round2ScoringAverage",2014
14,14,"Daniel Summerhays",NA,70,1890,27,"Round2ScoringAverage",2014
17,17,"Kevin Na",NA,70.04,1891,27,"Round2ScoringAverage",2014
18,18,"Brendon Todd",NA,70.07,2032,29,"Round2ScoringAverage",2014
19,19,"Jerry Kelly",NA,70.09,1542,22,"Round2ScoringAverage",2014
20,20,"Bubba Watson",NA,70.11,1332,19,"Round2ScoringAverage",2014
21,21,"Graham DeLaet",NA,70.13,1613,23,"Round2ScoringAverage",2014
22,22,"Retief Goosen",NA,70.16,1754,25,"Round2ScoringAverage",2014
23,23,"Ben Crane",NA,70.17,1684,24,"Round2ScoringAverage",2014
23,23,"Robert Garrigus",NA,70.17,1684,24,"Round2ScoringAverage",2014
25,25,"Chad Campbell",NA,70.18,1193,17,"Round2ScoringAverage",2014
26,26,"Chris Kirk",NA,70.22,1896,27,"Round2ScoringAverage",2014
26,26,"Justin Rose",NA,70.22,1264,18,"Round2ScoringAverage",2014
28,28,"Jordan Spieth",NA,70.23,1826,26,"Round2ScoringAverage",2014
29,29,"Bill Haas",NA,70.27,1827,26,"Round2ScoringAverage",2014
30,30,"Brandt Snedeker",NA,70.29,1687,24,"Round2ScoringAverage",2014
31,31,"Jason Kokrak",NA,70.32,1336,19,"Round2ScoringAverage",2014
31,31,"Camilo Villegas",NA,70.32,1969,28,"Round2ScoringAverage",2014
33,33,"Harris English",NA,70.33,1899,27,"Round2ScoringAverage",2014
34,34,"Jimmy Walker",NA,70.42,1831,26,"Round2ScoringAverage",2014
35,35,"Brian Harman",NA,70.44,2254,32,"Round2ScoringAverage",2014
36,36,"Billy Hurley III",NA,70.46,1832,26,"Round2ScoringAverage",2014
36,36,"Freddie Jacobson",NA,70.46,1832,26,"Round2ScoringAverage",2014
36,36,"Andrew Svoboda",NA,70.46,1691,24,"Round2ScoringAverage",2014
39,39,"Brad Fritsch",NA,70.5,1128,16,"Round2ScoringAverage",2014
40,40,"Brendon de Jonge",NA,70.52,2186,31,"Round2ScoringAverage",2014
40,40,"Marc Leishman",NA,70.52,1622,23,"Round2ScoringAverage",2014
42,42,"Shawn Stefani",NA,70.53,1199,17,"Round2ScoringAverage",2014
43,43,"Cameron Tringale",NA,70.55,2187,31,"Round2ScoringAverage",2014
44,44,"Ricky Barnes",NA,70.56,1764,25,"Round2ScoringAverage",2014
44,44,"Paul Casey",NA,70.56,1129,16,"Round2ScoringAverage",2014
44,44,"Kevin Chappell",NA,70.56,1905,27,"Round2ScoringAverage",2014
44,44,"Brooks Koepka",NA,70.56,1129,16,"Round2ScoringAverage",2014
44,44,"Graeme McDowell",NA,70.56,1129,16,"Round2ScoringAverage",2014
49,49,"Scott Brown",NA,70.57,2117,30,"Round2ScoringAverage",2014
50,50,"Seung Yul Noh",NA,70.58,1835,26,"Round2ScoringAverage",2014
51,51,"Will Wilcox",NA,70.6,1059,15,"Round2ScoringAverage",2014
52,52,"Tim Wilkinson",NA,70.63,1695,24,"Round2ScoringAverage",2014
53,53,"Justin Leonard",NA,70.64,1554,22,"Round2ScoringAverage",2014
54,54,"Charl Schwartzel",NA,70.65,1201,17,"Round2ScoringAverage",2014
55,55,"Hideki Matsuyama",NA,70.67,1484,21,"Round2ScoringAverage",2014
56,56,"Stewart Cink",NA,70.68,1767,25,"Round2ScoringAverage",2014
56,56,"David Toms",NA,70.68,1343,19,"Round2ScoringAverage",2014
56,56,"Jhonattan Vegas",NA,70.68,1555,22,"Round2ScoringAverage",2014
59,59,"Martin Flores",NA,70.69,1838,26,"Round2ScoringAverage",2014
60,60,"George McNeill",NA,70.74,1627,23,"Round2ScoringAverage",2014
60,60,"Kyle Stanley",NA,70.74,1910,27,"Round2ScoringAverage",2014
62,62,"Briny Baird",NA,70.75,1132,16,"Round2ScoringAverage",2014
63,63,"Stuart Appleby",NA,70.77,1840,26,"Round2ScoringAverage",2014
63,63,"Patrick Reed",NA,70.77,1840,26,"Round2ScoringAverage",2014
65,65,"Justin Hicks",NA,70.79,2053,29,"Round2ScoringAverage",2014
66,66,"Luke Guthrie",NA,70.81,1841,26,"Round2ScoringAverage",2014
66,66,"Kevin Kisner",NA,70.81,1841,26,"Round2ScoringAverage",2014
68,68,"Martin Kaymer",NA,70.83,1275,18,"Round2ScoringAverage",2014
69,69,"Zach Johnson",NA,70.84,1771,25,"Round2ScoringAverage",2014
70,70,"Scott Langley",NA,70.86,1984,28,"Round2ScoringAverage",2014
71,71,"Rickie Fowler",NA,70.88,1772,25,"Round2ScoringAverage",2014
71,71,"Geoff Ogilvy",NA,70.88,1772,25,"Round2ScoringAverage",2014
71,71,"Bo Van Pelt",NA,70.88,1772,25,"Round2ScoringAverage",2014
74,74,"JJ Henry",NA,70.92,1844,26,"Round2ScoringAverage",2014
74,74,"Ryo Ishikawa",NA,70.92,1702,24,"Round2ScoringAverage",2014
74,74,"Brendan Steele",NA,70.92,1773,25,"Round2ScoringAverage",2014
77,77,"Danny Lee",NA,70.93,1915,27,"Round2ScoringAverage",2014
77,77,"Carl Pettersson",NA,70.93,1986,28,"Round2ScoringAverage",2014
77,77,"Josh Teater",NA,70.93,1915,27,"Round2ScoringAverage",2014
80,80,"Morgan Hoffmann",NA,70.94,2199,31,"Round2ScoringAverage",2014
81,81,"Jeff Overton",NA,70.95,1561,22,"Round2ScoringAverage",2014
82,82,"Erik Compton",NA,70.96,1916,27,"Round2ScoringAverage",2014
82,82,"Ken Duke",NA,70.96,1703,24,"Round2ScoringAverage",2014
82,82,"Brian Stuard",NA,70.96,1987,28,"Round2ScoringAverage",2014
85,85,"Bronson La Cassie",NA,71,1207,17,"Round2ScoringAverage",2014
86,86,"Greg Chalmers",NA,71.04,1776,25,"Round2ScoringAverage",2014
86,86,"Ryan Moore",NA,71.04,1634,23,"Round2ScoringAverage",2014
88,88,"Michael Thompson",NA,71.05,1563,22,"Round2ScoringAverage",2014
89,89,"David Hearn",NA,71.07,1990,28,"Round2ScoringAverage",2014
89,89,"Charles Howell III",NA,71.07,2061,29,"Round2ScoringAverage",2014
91,91,"Matt Every",NA,71.08,1777,25,"Round2ScoringAverage",2014
91,91,"Andres Romero",NA,71.08,1706,24,"Round2ScoringAverage",2014
93,93,"Phil Mickelson",NA,71.1,1493,21,"Round2ScoringAverage",2014
94,94,"Keegan Bradley",NA,71.12,1778,25,"Round2ScoringAverage",2014
94,94,"Charley Hoffman",NA,71.12,1778,25,"Round2ScoringAverage",2014
96,96,"Tim Clark",NA,71.13,1707,24,"Round2ScoringAverage",2014
96,96,"Pat Perez",NA,71.13,1707,24,"Round2ScoringAverage",2014
96,96,"Ted Potter Jr",NA,71.13,1707,24,"Round2ScoringAverage",2014
99,99,"Brice Garnett",NA,71.15,1921,27,"Round2ScoringAverage",2014
100,100,"Jim Herman",NA,71.16,1352,19,"Round2ScoringAverage",2014
101,101,"Aaron Baddeley",NA,71.17,1637,23,"Round2ScoringAverage",2014
102,102,"YE Yang",NA,71.19,1922,27,"Round2ScoringAverage",2014
103,103,"Martin Laird",NA,71.21,1353,19,"Round2ScoringAverage",2014
103,103,"Henrik Stenson",NA,71.21,997,14,"Round2ScoringAverage",2014
105,105,"Chesson Hadley",NA,71.24,2066,29,"Round2ScoringAverage",2014
106,106,"Nick Watney",NA,71.26,1639,23,"Round2ScoringAverage",2014
107,107,"Bud Cauley",NA,71.28,1283,18,"Round2ScoringAverage",2014
107,107,"William McGirt",NA,71.28,2067,29,"Round2ScoringAverage",2014
107,107,"Michael Putnam",NA,71.28,2067,29,"Round2ScoringAverage",2014
110,110,"Gary Woodland",NA,71.29,1711,24,"Round2ScoringAverage",2014
111,111,"Bryce Molder",NA,71.3,1640,23,"Round2ScoringAverage",2014
112,112,"Matt Jones",NA,71.32,1783,25,"Round2ScoringAverage",2014
113,113,"Chad Collins",NA,71.33,1926,27,"Round2ScoringAverage",2014
114,114,"Troy Merritt",NA,71.35,1427,20,"Round2ScoringAverage",2014
115,115,"Kevin Streelman",NA,71.39,1642,23,"Round2ScoringAverage",2014
116,116,"Sean OHair",NA,71.4,1785,25,"Round2ScoringAverage",2014
116,116,"Vijay Singh",NA,71.4,1785,25,"Round2ScoringAverage",2014
118,118,"Brian Davis",NA,71.43,2000,28,"Round2ScoringAverage",2014
118,118,"Davis Love III",NA,71.43,1500,21,"Round2ScoringAverage",2014
120,120,"Jason Bohn",NA,71.44,1786,25,"Round2ScoringAverage",2014
121,121,"Ben Martin",NA,71.46,1858,26,"Round2ScoringAverage",2014
122,122,"Jonathan Byrd",NA,71.48,1644,23,"Round2ScoringAverage",2014
122,122,"John Huh",NA,71.48,1930,27,"Round2ScoringAverage",2014
124,124,"Trevor Immelman",NA,71.52,1931,27,"Round2ScoringAverage",2014
124,124,"Johnson Wagner",NA,71.52,1645,23,"Round2ScoringAverage",2014
126,126,"Tyrone Van Aswegen",NA,71.54,1717,24,"Round2ScoringAverage",2014
127,127,"Steven Bowditch",NA,71.55,2075,29,"Round2ScoringAverage",2014
127,127,"Heath Slocum",NA,71.55,1574,22,"Round2ScoringAverage",2014
129,129,"Robert Allenby",NA,71.57,2004,28,"Round2ScoringAverage",2014
130,130,"James Driscoll",NA,71.58,1718,24,"Round2ScoringAverage",2014
130,130,"Webb Simpson",NA,71.58,1718,24,"Round2ScoringAverage",2014
132,132,"DH Lee",NA,71.59,1217,17,"Round2ScoringAverage",2014
133,133,"Ernie Els",NA,71.61,1647,23,"Round2ScoringAverage",2014
133,133,"John Merrick",NA,71.61,1647,23,"Round2ScoringAverage",2014
133,133,"John Peterson",NA,71.61,1647,23,"Round2ScoringAverage",2014
136,136,"Luke Donald",NA,71.63,1146,16,"Round2ScoringAverage",2014
136,136,"Brian Gay",NA,71.63,1719,24,"Round2ScoringAverage",2014
136,136,"JB Holmes",NA,71.63,1719,24,"Round2ScoringAverage",2014
136,136,"Rory Sabbatini",NA,71.63,1719,24,"Round2ScoringAverage",2014
140,140,"Angel Cabrera",NA,71.64,1576,22,"Round2ScoringAverage",2014
141,141,"Ben Curtis",NA,71.65,1648,23,"Round2ScoringAverage",2014
141,141,"James Hahn",NA,71.65,1863,26,"Round2ScoringAverage",2014
141,141,"Mike Weir",NA,71.65,1648,23,"Round2ScoringAverage",2014
144,144,"Wes Roach",NA,71.67,1505,21,"Round2ScoringAverage",2014
144,144,"Mark Wilson",NA,71.67,1720,24,"Round2ScoringAverage",2014
146,146,"Richard Lee",NA,71.68,1792,25,"Round2ScoringAverage",2014
147,147,"Ian Poulter",NA,71.69,1147,16,"Round2ScoringAverage",2014
148,148,"Tommy Gainey",NA,71.7,1649,23,"Round2ScoringAverage",2014
148,148,"Will Ma Kenzie",NA,71.7,1936,27,"Round2ScoringAverage",2014
150,150,"Andrew Loupe",NA,71.71,1506,21,"Round2ScoringAverage",2014
150,150,"Boo Weekley",NA,71.71,1506,21,"Round2ScoringAverage",2014
152,152,"Charlie Beljan",NA,71.75,1722,24,"Round2ScoringAverage",2014
153,153,"David Lingmerth",NA,71.76,1794,25,"Round2ScoringAverage",2014
154,154,"Russell Henley",NA,71.79,2082,29,"Round2ScoringAverage",2014
155,155,"Spencer Levin",NA,71.9,1438,20,"Round2ScoringAverage",2014
156,156,"Jonas Blixt",NA,71.95,1439,20,"Round2ScoringAverage",2014
157,157,"Hunter Mahan",NA,72,1728,24,"Round2ScoringAverage",2014
157,157,"Louis Oosthuizen",NA,72,1008,14,"Round2ScoringAverage",2014
