"BonusPutting_RANKTHISWEEK_2013","BonusPutting_RANKLASTWEEK_2013","BonusPutting_PLAYERNAME_2013","BonusPutting_ROUNDS_2013","BonusPutting_VALUE_2013","BonusPutting_ATTEMPTS_2013","BonusPutting_TOTMADE20_2013","BonusPutting_TOTMADE_2013","stat_name","year"
1,1,"Greg Chalmers",77,102.63,949,39,935,"BonusPutting",2013
2,2,"Stephen Ames",49,101.62,617,27,600,"BonusPutting",2013
3,3,"Scott Langley",79,101.18,935,38,908,"BonusPutting",2013
4,4,"David Lynn",70,101.15,785,24,770,"BonusPutting",2013
4,4,"Graeme McDowell",53,101.15,522,19,509,"BonusPutting",2013
6,6,"Bryce Molder",82,101.1,1001,37,975,"BonusPutting",2013
7,7,"Matt Kuchar",93,101.02,981,32,959,"BonusPutting",2013
7,7,"Aaron Watkins",46,101.02,491,16,480,"BonusPutting",2013
9,9,"Andrew Svoboda",46,100.98,508,15,498,"BonusPutting",2013
10,10,"Jeff Overton",78,100.97,1032,35,1007,"BonusPutting",2013
11,11,"Peter Hanson",45,100.88,453,16,441,"BonusPutting",2013
12,12,"Steve Stricker",51,100.81,493,18,479,"BonusPutting",2013
13,13,"Aaron Baddeley",68,100.71,850,31,825,"BonusPutting",2013
14,14,"Freddie Jacobson",63,100.63,638,20,622,"BonusPutting",2013
15,15,"Sergio Garcia",65,100.59,677,26,655,"BonusPutting",2013
16,16,"James Driscoll",76,100.57,871,31,845,"BonusPutting",2013
17,17,"Chris Stroud",88,100.54,1108,34,1080,"BonusPutting",2013
18,18,"Brendan Steele",86,100.53,1127,32,1101,"BonusPutting",2013
18,18,"Johnson Wagner",64,100.53,748,25,727,"BonusPutting",2013
20,20,"Zach Johnson",84,100.52,956,36,925,"BonusPutting",2013
21,21,"Ryan Palmer",79,100.51,976,31,950,"BonusPutting",2013
22,22,"Brandt Snedeker",79,100.49,811,32,783,"BonusPutting",2013
23,23,"Jin Park",52,100.48,630,19,614,"BonusPutting",2013
24,24,"Nick Watney",88,100.47,1055,36,1024,"BonusPutting",2013
