"EarlyScoringAverage_RANKTHISWEEK_2016","EarlyScoringAverage_RANKLASTWEEK_2016","EarlyScoringAverage_PLAYERNAME_2016","EarlyScoringAverage_ROUNDS_2016","EarlyScoringAverage_AVG_2016","EarlyScoringAverage_TOTALSTROKES_2016","EarlyScoringAverage_TOTALEARLYROUNDS_2016","stat_name","year"
1,1,"Charles Howell III",63,69,2139,31,"EarlyScoringAverage",2016
2,2,"Phil Mickelson",37,69.06,1105,16,"EarlyScoringAverage",2016
3,3,"Jordan Spieth",34,69.09,760,11,"EarlyScoringAverage",2016
4,4,"Marc Leishman",41,69.14,1452,21,"EarlyScoringAverage",2016
5,5,"Dustin Johnson",37,69.22,623,9,"EarlyScoringAverage",2016
6,7,"Jason Day",36,69.36,971,14,"EarlyScoringAverage",2016
7,9,"Jimmy Walker",43,69.38,1110,16,"EarlyScoringAverage",2016
8,7,"Paul Casey",39,69.4,1041,15,"EarlyScoringAverage",2016
9,12,"Zach Johnson",42,69.5,1251,18,"EarlyScoringAverage",2016
10,6,"Johnson Wagner",44,69.55,1530,22,"EarlyScoringAverage",2016
11,9,"Rory McIlroy",37,69.64,975,14,"EarlyScoringAverage",2016
12,11,"Jamie Lovemark",57,69.65,1811,26,"EarlyScoringAverage",2016
13,16,"Tim Wilkinson",40,69.7,1603,23,"EarlyScoringAverage",2016
14,18,"Chez Reavie",56,69.81,2164,31,"EarlyScoringAverage",2016
15,20,"Justin Rose",35,69.86,978,14,"EarlyScoringAverage",2016
16,13,"Daniel Summerhays",55,69.87,2096,30,"EarlyScoringAverage",2016
17,17,"Gary Woodland",45,69.92,1748,25,"EarlyScoringAverage",2016
18,13,"Alex Cejka",47,69.96,1749,25,"EarlyScoringAverage",2016
19,15,"Hideki Matsuyama",40,70,1050,15,"EarlyScoringAverage",2016
20,21,"John Huh",51,70.04,1681,24,"EarlyScoringAverage",2016
20,21,"Kevin Na",52,70.04,1681,24,"EarlyScoringAverage",2016
22,23,"KJ Choi",47,70.05,1331,19,"EarlyScoringAverage",2016
23,30,"Patton Kizzire",57,70.08,1682,24,"EarlyScoringAverage",2016
23,19,"Brian Stuard",24,70.08,911,13,"EarlyScoringAverage",2016
25,27,"Russell Knox",48,70.09,1542,22,"EarlyScoringAverage",2016
26,35,"Anirban Lahiri",44,70.14,1543,22,"EarlyScoringAverage",2016
26,23,"Patrick Rodgers",49,70.14,1543,22,"EarlyScoringAverage",2016
28,29,"Brendan Steele",48,70.15,1403,20,"EarlyScoringAverage",2016
29,31,"Scott Piercy",45,70.17,1614,23,"EarlyScoringAverage",2016
30,31,"Rickie Fowler",42,70.23,913,13,"EarlyScoringAverage",2016
31,25,"Ricky Barnes",57,70.24,2318,33,"EarlyScoringAverage",2016
32,36,"Freddie Jacobson",54,70.28,1757,25,"EarlyScoringAverage",2016
33,28,"Spencer Levin",62,70.31,2250,32,"EarlyScoringAverage",2016
33,37,"Bubba Watson",30,70.31,914,13,"EarlyScoringAverage",2016
35,49,"John Senden",48,70.32,1547,22,"EarlyScoringAverage",2016
36,33,"David Hearn",55,70.33,1899,27,"EarlyScoringAverage",2016
37,34,"Tom Hoge",47,70.35,1618,23,"EarlyScoringAverage",2016
38,39,"Aaron Baddeley",51,70.36,1970,28,"EarlyScoringAverage",2016
38,39,"Sergio Garcia",28,70.36,774,11,"EarlyScoringAverage",2016
40,45,"Brandt Snedeker",47,70.4,1408,20,"EarlyScoringAverage",2016
41,43,"William McGirt",54,70.41,2253,32,"EarlyScoringAverage",2016
42,49,"Steve Stricker",25,70.43,986,14,"EarlyScoringAverage",2016
43,48,"Roberto Castro",55,70.44,1761,25,"EarlyScoringAverage",2016
44,53,"Lucas Glover",53,70.48,1903,27,"EarlyScoringAverage",2016
44,56,"Billy Horschel",45,70.48,1621,23,"EarlyScoringAverage",2016
44,26,"Jhonattan Vegas",49,70.48,1903,27,"EarlyScoringAverage",2016
47,57,"Stewart Cink",45,70.5,1833,26,"EarlyScoringAverage",2016
47,53,"Emiliano Grillo",47,70.5,1974,28,"EarlyScoringAverage",2016
47,52,"Sean OHair",45,70.5,1551,22,"EarlyScoringAverage",2016
50,59,"Matt Kuchar",46,70.52,1622,23,"EarlyScoringAverage",2016
51,57,"Brian Harman",60,70.53,2116,30,"EarlyScoringAverage",2016
52,61,"Jason Dufner",53,70.54,1834,26,"EarlyScoringAverage",2016
53,69,"David Lingmerth",54,70.55,2046,29,"EarlyScoringAverage",2016
54,45,"Jeff Overton",51,70.56,1905,27,"EarlyScoringAverage",2016
55,67,"Adam Scott",39,70.57,988,14,"EarlyScoringAverage",2016
56,42,"Adam Hadwin",53,70.6,2118,30,"EarlyScoringAverage",2016
57,62,"Sung Kang",51,70.61,1624,23,"EarlyScoringAverage",2016
57,70,"Cameron Tringale",47,70.61,1624,23,"EarlyScoringAverage",2016
59,47,"Chad Campbell",54,70.64,1978,28,"EarlyScoringAverage",2016
59,67,"Luke List",51,70.64,1554,22,"EarlyScoringAverage",2016
59,70,"Cameron Percy",22,70.64,777,11,"EarlyScoringAverage",2016
62,62,"Bronson Burgoon",53,70.65,1625,23,"EarlyScoringAverage",2016
