"CareerEarnings_RANKTHISWEEK_2008","CareerEarnings_RANKLASTWEEK_2008","CareerEarnings_PLAYERNAME_2008","CareerEarnings__2008","CareerEarnings_MONEY_2008","stat_name","year"
1,1,"Tiger Woods",NA,82354376,"CareerEarnings",2008
2,2,"Vijay Singh",NA,60709312,"CareerEarnings",2008
3,3,"Phil Mickelson",NA,50522901,"CareerEarnings",2008
4,4,"Jim Furyk",NA,38809826,"CareerEarnings",2008
5,5,"Davis Love III",NA,37325550,"CareerEarnings",2008
6,6,"Ernie Els",NA,33663401,"CareerEarnings",2008
7,7,"David Toms",NA,28711065,"CareerEarnings",2008
8,8,"Justin Leonard",NA,27109459,"CareerEarnings",2008
9,9,"Kenny Perry",NA,26196442,"CareerEarnings",2008
10,10,"Stewart Cink",NA,25055994,"CareerEarnings",2008
11,11,"Sergio Garcia",NA,24399000,"CareerEarnings",2008
12,12,"Mike Weir",NA,23860124,"CareerEarnings",2008
13,13,"Stuart Appleby",NA,23194485,"CareerEarnings",2008
14,14,"Mark Calcavecchia",NA,23081228,"CareerEarnings",2008
15,15,"Scott Verplank",NA,22430292,"CareerEarnings",2008
16,16,"Fred Funk",NA,20925849,"CareerEarnings",2008
17,17,"Nick Price",NA,20563108,"CareerEarnings",2008
18,18,"Tom Lehman",NA,20378513,"CareerEarnings",2008
19,19,"Chris DiMarco",NA,20251008,"CareerEarnings",2008
20,20,"Fred Couples",NA,20121480,"CareerEarnings",2008
21,21,"Retief Goosen",NA,19707369,"CareerEarnings",2008
22,22,"Robert Allenby",NA,19281384,"CareerEarnings",2008
23,23,"KJ Choi",NA,18801639,"CareerEarnings",2008
24,24,"Scott Hoch",NA,18498499,"CareerEarnings",2008
25,25,"Adam Scott",NA,18369560,"CareerEarnings",2008
26,26,"Jeff Sluman",NA,18114866,"CareerEarnings",2008
27,27,"Jerry Kelly",NA,18048119,"CareerEarnings",2008
28,28,"Brad Faxon",NA,17656554,"CareerEarnings",2008
29,29,"Billy Mayfair",NA,17653397,"CareerEarnings",2008
30,30,"Rory Sabbatini",NA,17616264,"CareerEarnings",2008
31,31,"Bob Estes",NA,17225501,"CareerEarnings",2008
32,32,"Steve Stricker",NA,17143884,"CareerEarnings",2008
33,33,"David Duval",NA,16869175,"CareerEarnings",2008
34,34,"Charles Howell III",NA,16668108,"CareerEarnings",2008
35,35,"Chad Campbell",NA,16585604,"CareerEarnings",2008
36,36,"Steve Flesch",NA,16327302,"CareerEarnings",2008
37,37,"Geoff Ogilvy",NA,16306625,"CareerEarnings",2008
38,38,"Jeff Maggert",NA,15745293,"CareerEarnings",2008
39,39,"Bob Tway",NA,15731456,"CareerEarnings",2008
40,40,"Tim Herron",NA,15685381,"CareerEarnings",2008
41,41,"Stephen Ames",NA,15591077,"CareerEarnings",2008
42,42,"Padraig Harrington",NA,15286873,"CareerEarnings",2008
43,43,"Hal Sutton",NA,15267685,"CareerEarnings",2008
44,44,"Jesper Parnevik",NA,15149185,"CareerEarnings",2008
45,45,"Loren Roberts",NA,15103510,"CareerEarnings",2008
46,46,"Rocco Mediate",NA,14791140,"CareerEarnings",2008
47,47,"John Huston",NA,14762421,"CareerEarnings",2008
48,48,"Steve Lowery",NA,14643503,"CareerEarnings",2008
49,49,"Corey Pavin",NA,14606155,"CareerEarnings",2008
50,50,"Greg Norman",NA,14473229,"CareerEarnings",2008
51,51,"Paul Azinger",NA,14447210,"CareerEarnings",2008
52,52,"Jay Haas",NA,14440317,"CareerEarnings",2008
53,53,"Mark OMeara",NA,14136017,"CareerEarnings",2008
54,54,"Steve Elkington",NA,14130705,"CareerEarnings",2008
55,55,"Lee Janzen",NA,13957747,"CareerEarnings",2008
56,56,"Kirk Triplett",NA,13564082,"CareerEarnings",2008
57,57,"Shigeki Maruyama",NA,13353024,"CareerEarnings",2008
58,58,"Woody Austin",NA,13349536,"CareerEarnings",2008
59,59,"Kevin Sutherland",NA,13085208,"CareerEarnings",2008
60,60,"Tom Pernice Jr",NA,12866379,"CareerEarnings",2008
61,61,"Luke Donald",NA,12825014,"CareerEarnings",2008
62,62,"John Cook",NA,12433599,"CareerEarnings",2008
63,63,"Dudley Hart",NA,12408096,"CareerEarnings",2008
64,64,"Billy Andrade",NA,12361151,"CareerEarnings",2008
65,65,"Zach Johnson",NA,12260837,"CareerEarnings",2008
66,66,"Jose Maria Olazabal",NA,12002594,"CareerEarnings",2008
67,67,"Joe Durant",NA,11954193,"CareerEarnings",2008
68,68,"Payne Stewart",NA,11737008,"CareerEarnings",2008
69,69,"Tim Clark",NA,11638389,"CareerEarnings",2008
70,70,"Duffy Waldorf",NA,11638275,"CareerEarnings",2008
71,71,"Carl Pettersson",NA,11562074,"CareerEarnings",2008
72,72,"Frank Lickliter II",NA,11278816,"CareerEarnings",2008
73,73,"Joey Sindelar",NA,11196462,"CareerEarnings",2008
74,74,"Rod Pampling",NA,11054489,"CareerEarnings",2008
75,75,"Tom Kite",NA,11041042,"CareerEarnings",2008
76,76,"Scott McCarron",NA,10552162,"CareerEarnings",2008
77,77,"John Rollins",NA,10332303,"CareerEarnings",2008
78,78,"Jonathan Kaye",NA,10207704,"CareerEarnings",2008
79,79,"Bernhard Langer",NA,10111921,"CareerEarnings",2008
80,80,"Craig Stadler",NA,10021897,"CareerEarnings",2008
81,81,"Tom Watson",NA,10004299,"CareerEarnings",2008
82,82,"Briny Baird",NA,9597907,"CareerEarnings",2008
83,83,"Bart Bryant",NA,9345059,"CareerEarnings",2008
84,84,"Aaron Baddeley",NA,9287083,"CareerEarnings",2008
85,85,"Chris Riley",NA,9286680,"CareerEarnings",2008
86,86,"Heath Slocum",NA,9256094,"CareerEarnings",2008
87,87,"Carlos Franco",NA,9247875,"CareerEarnings",2008
88,88,"David Frost",NA,9178775,"CareerEarnings",2008
89,89,"Mark Brooks",NA,9131304,"CareerEarnings",2008
90,90,"John Daly",NA,9109268,"CareerEarnings",2008
91,91,"Ben Crane",NA,9090282,"CareerEarnings",2008
92,92,"Trevor Immelman",NA,9084340,"CareerEarnings",2008
93,93,"Jonathan Byrd",NA,9077876,"CareerEarnings",2008
94,94,"Brett Quigley",NA,9049674,"CareerEarnings",2008
95,95,"Peter Lonard",NA,9009671,"CareerEarnings",2008
96,96,"Tommy Armour III",NA,8943812,"CareerEarnings",2008
97,97,"Brian Gay",NA,8922840,"CareerEarnings",2008
98,98,"Justin Rose",NA,8710418,"CareerEarnings",2008
99,99,"Dan Forsman",NA,8687983,"CareerEarnings",2008
100,100,"Paul Goydos",NA,8554942,"CareerEarnings",2008
101,101,"Robert Gamez",NA,8523981,"CareerEarnings",2008
102,102,"Andrew Magee",NA,8512753,"CareerEarnings",2008
103,103,"Olin Browne",NA,8498575,"CareerEarnings",2008
104,104,"Craig Parry",NA,8481456,"CareerEarnings",2008
105,105,"Rich Beem",NA,8461942,"CareerEarnings",2008
106,106,"JJ Henry",NA,8423406,"CareerEarnings",2008
107,107,"Harrison Frazar",NA,8379227,"CareerEarnings",2008
108,108,"Glen Day",NA,8337428,"CareerEarnings",2008
109,109,"Camilo Villegas",NA,8285997,"CareerEarnings",2008
110,110,"Ben Curtis",NA,8180863,"CareerEarnings",2008
111,111,"Pat Perez",NA,8165519,"CareerEarnings",2008
112,112,"Tim Petrovic",NA,8070189,"CareerEarnings",2008
113,113,"Steve Pate",NA,8018208,"CareerEarnings",2008
114,114,"Joe Ogilvie",NA,7908976,"CareerEarnings",2008
115,115,"Sean OHair",NA,7883952,"CareerEarnings",2008
116,116,"Lucas Glover",NA,7880691,"CareerEarnings",2008
117,117,"Larry Mize",NA,7825217,"CareerEarnings",2008
118,118,"Peter Jacobsen",NA,7799810,"CareerEarnings",2008
119,119,"Hunter Mahan",NA,7684262,"CareerEarnings",2008
120,120,"Skip Kendall",NA,7632572,"CareerEarnings",2008
121,121,"Arron Oberholser",NA,7617205,"CareerEarnings",2008
122,122,"Curtis Strange",NA,7599951,"CareerEarnings",2008
123,123,"John Senden",NA,7553125,"CareerEarnings",2008
124,124,"Shaun Micheel",NA,7498850,"CareerEarnings",2008
125,125,"JL Lewis",NA,7454438,"CareerEarnings",2008
126,126,"Brent Geiberger",NA,7374382,"CareerEarnings",2008
127,127,"Dean Wilson",NA,7227354,"CareerEarnings",2008
128,128,"Bo Van Pelt",NA,7222418,"CareerEarnings",2008
129,129,"Vaughn Taylor",NA,7154727,"CareerEarnings",2008
130,130,"Ben Crenshaw",NA,7139756,"CareerEarnings",2008
131,131,"JP Hayes",NA,7042010,"CareerEarnings",2008
132,132,"Bill Glasson",NA,6912619,"CareerEarnings",2008
133,133,"Chris Perry",NA,6866671,"CareerEarnings",2008
134,134,"Darren Clarke",NA,6857811,"CareerEarnings",2008
135,135,"Cameron Beckman",NA,6788618,"CareerEarnings",2008
136,136,"Freddie Jacobson",NA,6779037,"CareerEarnings",2008
137,137,"Scott Simpson",NA,6778273,"CareerEarnings",2008
138,138,"Len Mattiace",NA,6747466,"CareerEarnings",2008
139,139,"Daniel Chopra",NA,6572875,"CareerEarnings",2008
140,140,"Anthony Kim",NA,6539527,"CareerEarnings",2008
141,141,"Steve Jones",NA,6519451,"CareerEarnings",2008
142,142,"Tom Byrum",NA,6517003,"CareerEarnings",2008
143,143,"Bruce Lietzke",NA,6474794,"CareerEarnings",2008
144,144,"Brandt Jobe",NA,6403089,"CareerEarnings",2008
145,145,"Lanny Wadkins",NA,6355681,"CareerEarnings",2008
146,146,"Robert Damron",NA,6252887,"CareerEarnings",2008
147,147,"Paul Stankowski",NA,6218833,"CareerEarnings",2008
148,148,"Chip Beck",NA,6205730,"CareerEarnings",2008
149,149,"Neal Lancaster",NA,6183731,"CareerEarnings",2008
150,150,"Ted Purdy",NA,6177275,"CareerEarnings",2008
151,151,"Brett Wetterich",NA,6139379,"CareerEarnings",2008
152,152,"Ryuji Imada",NA,6120189,"CareerEarnings",2008
153,153,"Nick Faldo",NA,6045627,"CareerEarnings",2008
154,154,"Jim Gallagher Jr",NA,5995650,"CareerEarnings",2008
155,155,"Hale Irwin",NA,5966031,"CareerEarnings",2008
156,156,"Ryan Palmer",NA,5943370,"CareerEarnings",2008
157,157,"Mark Hensby",NA,5901807,"CareerEarnings",2008
158,158,"Fuzzy Zoeller",NA,5819293,"CareerEarnings",2008
159,159,"Jack Nicklaus",NA,5734031,"CareerEarnings",2008
160,160,"David Peoples",NA,5691690,"CareerEarnings",2008
161,161,"Ian Poulter",NA,5654772,"CareerEarnings",2008
162,162,"Greg Kraft",NA,5570005,"CareerEarnings",2008
163,163,"Russ Cochran",NA,5560769,"CareerEarnings",2008
164,164,"Jay Don Blake",NA,5555470,"CareerEarnings",2008
165,165,"Jason Bohn",NA,5527688,"CareerEarnings",2008
166,166,"Alex Cejka",NA,5493304,"CareerEarnings",2008
167,167,"Mathew Goggin",NA,5403969,"CareerEarnings",2008
168,168,"Raymond Floyd",NA,5323075,"CareerEarnings",2008
169,169,"Mark McCumber",NA,5309688,"CareerEarnings",2008
170,170,"Jay Williamson",NA,5271830,"CareerEarnings",2008
171,171,"Jose Coceres",NA,5266299,"CareerEarnings",2008
172,172,"Matt Kuchar",NA,5262565,"CareerEarnings",2008
173,173,"DJ Trahan",NA,5260168,"CareerEarnings",2008
174,174,"Gil Morgan",NA,5259164,"CareerEarnings",2008
175,175,"Angel Cabrera",NA,5230612,"CareerEarnings",2008
176,176,"Blaine McCallister",NA,5227278,"CareerEarnings",2008
177,177,"Lee Westwood",NA,5172025,"CareerEarnings",2008
178,178,"Notah Begay III",NA,5146004,"CareerEarnings",2008
179,179,"Boo Weekley",NA,5107168,"CareerEarnings",2008
180,180,"Mark Wilson",NA,5050797,"CareerEarnings",2008
181,181,"Dennis Paulson",NA,4983871,"CareerEarnings",2008
182,182,"Craig Barlow",NA,4911271,"CareerEarnings",2008
183,183,"David Edwards",NA,4773198,"CareerEarnings",2008
184,184,"DA Weibring",NA,4770705,"CareerEarnings",2008
185,185,"Jim Carter",NA,4737493,"CareerEarnings",2008
186,186,"Wayne Levi",NA,4730158,"CareerEarnings",2008
187,187,"Colin Montgomerie",NA,4726348,"CareerEarnings",2008
188,188,"Mike Reid",NA,4686774,"CareerEarnings",2008
189,189,"Michael Allen",NA,4684221,"CareerEarnings",2008
190,190,"Chris Smith",NA,4668704,"CareerEarnings",2008
191,191,"Gene Sauers",NA,4647669,"CareerEarnings",2008
192,192,"Nick Watney",NA,4639243,"CareerEarnings",2008
193,193,"Ken Duke",NA,4637588,"CareerEarnings",2008
194,194,"Stephen Leaney",NA,4600895,"CareerEarnings",2008
