"Approach_RANKTHISWEEK_2013","Approach_RANKLASTWEEK_2013","Approach_PLAYERNAME_2013","Approach_ROUNDS_2013","Approach_AVGRTP_2013","stat_name","year"
1,1,"Steve Stricker",51,-0.318,"Approach",2013
2,2,"Ben Crane",62,-0.282,"Approach",2013
3,3,"Aaron Watkins",46,-0.271,"Approach",2013
4,4,"Phil Mickelson",78,-0.26,"Approach",2013
5,5,"Brian Davis",91,-0.252,"Approach",2013
6,6,"Bryce Molder",82,-0.251,"Approach",2013
7,7,"Dicky Pride",71,-0.25,"Approach",2013
8,8,"Bill Haas",85,-0.236,"Approach",2013
9,9,"Steven Bowditch",67,-0.234,"Approach",2013
9,9,"Morgan Hoffmann",64,-0.234,"Approach",2013
11,11,"Charles Howell III",87,-0.225,"Approach",2013
12,12,"Justin Rose",62,-0.219,"Approach",2013
13,13,"John Senden",79,-0.214,"Approach",2013
14,14,"Matt Kuchar",93,-0.213,"Approach",2013
15,15,"Jimmy Walker",84,-0.212,"Approach",2013
16,16,"Rickie Fowler",75,-0.211,"Approach",2013
17,17,"Billy Horschel",96,-0.209,"Approach",2013
18,18,"Brandt Snedeker",79,-0.205,"Approach",2013
19,19,"Webb Simpson",92,-0.203,"Approach",2013
20,20,"Tim Clark",64,-0.202,"Approach",2013
20,20,"Matt Jones",83,-0.202,"Approach",2013
22,22,"Greg Chalmers",77,-0.201,"Approach",2013
23,23,"KJ Choi",85,-0.2,"Approach",2013
24,24,"Roberto Castro",97,-0.195,"Approach",2013
25,25,"Camilo Villegas",79,-0.194,"Approach",2013
26,26,"Jason Bohn",70,-0.188,"Approach",2013
26,26,"Ryan Palmer",79,-0.188,"Approach",2013
28,28,"Graham DeLaet",94,-0.186,"Approach",2013
29,29,"David Hearn",88,-0.185,"Approach",2013
30,30,"Doug LaBelle II",72,-0.181,"Approach",2013
31,31,"Chris Kirk",89,-0.18,"Approach",2013
32,32,"Luke Guthrie",82,-0.179,"Approach",2013
33,33,"Tiger Woods",61,-0.176,"Approach",2013
34,34,"Fabian Gomez",65,-0.175,"Approach",2013
34,34,"Alistair Presnell",59,-0.175,"Approach",2013
36,36,"Brandt Jobe",62,-0.174,"Approach",2013
37,37,"Ben Curtis",59,-0.173,"Approach",2013
37,37,"Jason Dufner",78,-0.173,"Approach",2013
37,37,"William McGirt",75,-0.173,"Approach",2013
37,37,"Patrick Reed",83,-0.173,"Approach",2013
41,41,"Matt Every",89,-0.172,"Approach",2013
41,41,"Jordan Spieth",82,-0.172,"Approach",2013
43,43,"Jim Furyk",80,-0.17,"Approach",2013
44,44,"Ken Duke",87,-0.169,"Approach",2013
44,44,"Nicholas Thompson",99,-0.169,"Approach",2013
46,46,"John Rollins",77,-0.167,"Approach",2013
47,47,"Hunter Mahan",91,-0.166,"Approach",2013
48,48,"Jerry Kelly",75,-0.164,"Approach",2013
49,49,"Robert Karlsson",56,-0.163,"Approach",2013
50,50,"Steve LeBrun",66,-0.159,"Approach",2013
51,51,"Bud Cauley",67,-0.157,"Approach",2013
51,51,"Sergio Garcia",65,-0.157,"Approach",2013
53,53,"Kyle Stanley",71,-0.153,"Approach",2013
54,54,"David Toms",49,-0.152,"Approach",2013
55,55,"Nick Watney",88,-0.151,"Approach",2013
56,56,"Jeff Maggert",63,-0.15,"Approach",2013
56,56,"Scott Piercy",78,-0.15,"Approach",2013
58,58,"Justin Leonard",86,-0.149,"Approach",2013
58,58,"Mike Weir",60,-0.149,"Approach",2013
60,60,"Brendon de Jonge",110,-0.148,"Approach",2013
60,60,"Vaughn Taylor",50,-0.148,"Approach",2013
62,62,"Bob Estes",66,-0.145,"Approach",2013
62,62,"Jason Kokrak",78,-0.145,"Approach",2013
64,64,"Freddie Jacobson",63,-0.144,"Approach",2013
65,65,"Zach Johnson",84,-0.143,"Approach",2013
66,66,"Ian Poulter",59,-0.142,"Approach",2013
67,67,"Kevin Stadler",83,-0.141,"Approach",2013
68,68,"David Mathis",71,-0.14,"Approach",2013
68,68,"Cameron Tringale",80,-0.14,"Approach",2013
70,70,"Charl Schwartzel",69,-0.139,"Approach",2013
71,71,"Robert Streb",75,-0.134,"Approach",2013
72,72,"Mark Wilson",56,-0.127,"Approach",2013
73,73,"Luke Donald",60,-0.124,"Approach",2013
74,74,"Ben Kohles",75,-0.123,"Approach",2013
74,74,"Lee Williams",62,-0.123,"Approach",2013
76,76,"Rory McIlroy",56,-0.121,"Approach",2013
76,76,"Adam Scott",61,-0.121,"Approach",2013
78,78,"Boo Weekley",100,-0.12,"Approach",2013
79,79,"Chez Reavie",72,-0.118,"Approach",2013
80,80,"Henrik Stenson",65,-0.117,"Approach",2013
81,81,"Erik Compton",74,-0.116,"Approach",2013
82,82,"Jonas Blixt",76,-0.115,"Approach",2013
82,82,"Rory Sabbatini",86,-0.115,"Approach",2013
84,84,"David Lynn",70,-0.113,"Approach",2013
85,85,"Darron Stiles",51,-0.112,"Approach",2013
86,86,"Martin Flores",83,-0.111,"Approach",2013
87,87,"DA Points",87,-0.11,"Approach",2013
88,88,"Kevin Chappell",80,-0.109,"Approach",2013
88,88,"Justin Hicks",79,-0.109,"Approach",2013
88,88,"Dustin Johnson",71,-0.109,"Approach",2013
91,91,"Daniel Summerhays",83,-0.108,"Approach",2013
91,91,"Bubba Watson",76,-0.108,"Approach",2013
93,93,"JJ Henry",83,-0.106,"Approach",2013
94,94,"Angel Cabrera",73,-0.105,"Approach",2013
95,95,"Brian Harman",89,-0.103,"Approach",2013
96,96,"Chris Stroud",88,-0.102,"Approach",2013
97,97,"Tag Ridings",69,-0.101,"Approach",2013
98,98,"Jim Herman",59,-0.099,"Approach",2013
98,98,"Scott Langley",79,-0.099,"Approach",2013
100,100,"Sangmoon Bae",83,-0.097,"Approach",2013
100,100,"Rod Pampling",46,-0.097,"Approach",2013
102,102,"Stuart Appleby",88,-0.096,"Approach",2013
103,103,"Aaron Baddeley",68,-0.092,"Approach",2013
103,103,"Ricky Barnes",74,-0.092,"Approach",2013
105,105,"Chad Campbell",78,-0.091,"Approach",2013
105,105,"Charley Hoffman",84,-0.091,"Approach",2013
105,105,"John Merrick",79,-0.091,"Approach",2013
108,108,"DH Lee",65,-0.09,"Approach",2013
108,108,"Scott Stallings",79,-0.09,"Approach",2013
110,110,"Jason Day",86,-0.089,"Approach",2013
110,110,"David Lingmerth",68,-0.089,"Approach",2013
112,112,"Lucas Glover",65,-0.088,"Approach",2013
