"3PuttAvoidance25_RANKTHISWEEK_2005","3PuttAvoidance25_RANKLASTWEEK_2005","3PuttAvoidance25_PLAYERNAME_2005","3PuttAvoidance25_ROUNDS_2005","3PuttAvoidance25_Pct_2005","3PuttAvoidance25_TOTAL3PUTTS_2005","3PuttAvoidance25_ATTEMPTS_2005","3PuttAvoidance25_2PUTTORBETTERPct_2005","stat_name","year"
1,1,"Brent Geiberger",61,4.55,12,264,95.4,"3PuttAvoidance25",2005
2,2,"Stewart Cink",98,5.09,14,275,94.9,"3PuttAvoidance25",2005
3,3,"Peter Lonard",85,5.3,15,283,94.7,"3PuttAvoidance25",2005
4,4,"Retief Goosen",71,5.58,11,197,94.4,"3PuttAvoidance25",2005
5,5,"Jason Bohn",91,5.65,20,354,94.3,"3PuttAvoidance25",2005
6,6,"Chris DiMarco",83,5.8,13,224,94.2,"3PuttAvoidance25",2005
7,7,"Steve Elkington",67,5.86,17,290,94.1,"3PuttAvoidance25",2005
8,8,"Matt Gogel",78,6.25,19,304,93.7,"3PuttAvoidance25",2005
9,9,"Luke Donald",67,6.28,12,191,93.7,"3PuttAvoidance25",2005
9,9,"Dean Wilson",86,6.28,23,366,93.7,"3PuttAvoidance25",2005
11,11,"Olin Browne",99,6.32,22,348,93.6,"3PuttAvoidance25",2005
12,12,"Justin Bolli",65,6.39,14,219,93.6,"3PuttAvoidance25",2005
13,13,"Todd Fischer",99,6.53,23,352,93.4,"3PuttAvoidance25",2005
14,14,"Brian Gay",101,6.56,25,381,93.4,"3PuttAvoidance25",2005
15,15,"Arjun Atwal",65,6.77,17,251,93.2,"3PuttAvoidance25",2005
16,16,"Steve Stricker",62,6.81,16,235,93.1,"3PuttAvoidance25",2005
17,17,"Jeff Brehaut",71,6.84,21,307,93.1,"3PuttAvoidance25",2005
18,18,"Brett Quigley",96,6.86,26,379,93.1,"3PuttAvoidance25",2005
19,19,"Brad Faxon",75,6.87,16,233,93.1,"3PuttAvoidance25",2005
20,20,"Tim Clark",92,6.9,16,232,93.1,"3PuttAvoidance25",2005
21,21,"Jesper Parnevik",84,6.92,20,289,93,"3PuttAvoidance25",2005
22,22,"Gavin Coles",70,6.93,19,274,93,"3PuttAvoidance25",2005
23,23,"Ben Crane",78,6.99,20,286,93,"3PuttAvoidance25",2005
24,24,"Kent Jones",99,7.02,29,413,92.9,"3PuttAvoidance25",2005
25,25,"Hunter Mahan",103,7.07,27,382,92.9,"3PuttAvoidance25",2005
26,26,"Michael Long",72,7.09,21,296,92.9,"3PuttAvoidance25",2005
27,27,"Brian Bateman",98,7.2,27,375,92.8,"3PuttAvoidance25",2005
28,28,"Kirk Triplett",55,7.22,14,194,92.7,"3PuttAvoidance25",2005
29,29,"Bob Tway",87,7.24,22,304,92.7,"3PuttAvoidance25",2005
30,30,"Freddie Jacobson",72,7.31,16,219,92.6,"3PuttAvoidance25",2005
31,31,"John Cook",72,7.47,18,241,92.5,"3PuttAvoidance25",2005
32,32,"Zach Johnson",96,7.5,27,360,92.5,"3PuttAvoidance25",2005
33,33,"Tiger Woods",76,7.66,17,222,92.3,"3PuttAvoidance25",2005
34,34,"Mark Brooks",72,7.75,20,258,92.2,"3PuttAvoidance25",2005
35,35,"JP Hayes",63,7.8,16,205,92.2,"3PuttAvoidance25",2005
35,35,"Tom Pernice Jr",111,7.8,28,359,92.2,"3PuttAvoidance25",2005
35,35,"Mario Tiziani",67,7.8,22,282,92.2,"3PuttAvoidance25",2005
38,38,"Stuart Appleby",84,7.92,21,265,92,"3PuttAvoidance25",2005
38,38,"Bob Estes",92,7.92,27,341,92,"3PuttAvoidance25",2005
40,40,"Jerry Kelly",101,7.93,26,328,92,"3PuttAvoidance25",2005
40,40,"Carl Pettersson",109,7.93,33,416,92,"3PuttAvoidance25",2005
42,42,"Bart Bryant",91,7.94,30,378,92,"3PuttAvoidance25",2005
42,42,"Mark OMeara",66,7.94,17,214,92,"3PuttAvoidance25",2005
44,44,"Aaron Baddeley",84,8.12,25,308,91.8,"3PuttAvoidance25",2005
44,44,"Shigeki Maruyama",99,8.12,29,357,91.8,"3PuttAvoidance25",2005
46,46,"Phillip Price",77,8.14,21,258,91.8,"3PuttAvoidance25",2005
47,47,"Doug Barron",70,8.2,20,244,91.8,"3PuttAvoidance25",2005
48,48,"Scott McCarron",78,8.21,23,280,91.7,"3PuttAvoidance25",2005
49,49,"Fred Funk",102,8.22,31,377,91.7,"3PuttAvoidance25",2005
49,49,"Dudley Hart",84,8.22,25,304,91.7,"3PuttAvoidance25",2005
