"LeftRoughTendencyRTPScore_RANKTHISWEEK_2007","LeftRoughTendencyRTPScore_RANKLASTWEEK_2007","LeftRoughTendencyRTPScore_PLAYERNAME_2007","LeftRoughTendencyRTPScore_ROUNDS_2007","LeftRoughTendencyRTPScore_RTPSCORE_2007","stat_name","year"
1,1,"Tiger Woods",63,-0.095,"LeftRoughTendencyRTPScore",2007
2,2,"Ken Duke",112,-0.06,"LeftRoughTendencyRTPScore",2007
3,3,"Tag Ridings",52,-0.033,"LeftRoughTendencyRTPScore",2007
4,4,"Jesper Parnevik",88,-0.031,"LeftRoughTendencyRTPScore",2007
5,5,"Daniel Chopra",106,0,"LeftRoughTendencyRTPScore",2007
6,6,"Robert Allenby",90,0.006,"LeftRoughTendencyRTPScore",2007
7,7,"Padraig Harrington",64,0.008,"LeftRoughTendencyRTPScore",2007
8,8,"Ryan Moore",92,0.014,"LeftRoughTendencyRTPScore",2007
9,9,"Mathias Gronberg",95,0.016,"LeftRoughTendencyRTPScore",2007
10,10,"Bo Van Pelt",104,0.018,"LeftRoughTendencyRTPScore",2007
11,11,"JB Holmes",71,0.02,"LeftRoughTendencyRTPScore",2007
12,12,"Marco Dawson",73,0.024,"LeftRoughTendencyRTPScore",2007
13,13,"Freddie Jacobson",70,0.031,"LeftRoughTendencyRTPScore",2007
14,14,"Sean OHair",98,0.032,"LeftRoughTendencyRTPScore",2007
15,15,"Robert Garrigus",95,0.037,"LeftRoughTendencyRTPScore",2007
16,16,"Michael Boyd",61,0.039,"LeftRoughTendencyRTPScore",2007
17,17,"Geoff Ogilvy",84,0.045,"LeftRoughTendencyRTPScore",2007
17,17,"Jeff Overton",60,0.045,"LeftRoughTendencyRTPScore",2007
19,19,"Chris Tidland",59,0.05,"LeftRoughTendencyRTPScore",2007
20,20,"Rory Sabbatini",81,0.051,"LeftRoughTendencyRTPScore",2007
21,21,"Steve Allan",63,0.055,"LeftRoughTendencyRTPScore",2007
21,21,"Nathan Green",103,0.055,"LeftRoughTendencyRTPScore",2007
23,23,"Tom Pernice Jr",104,0.056,"LeftRoughTendencyRTPScore",2007
24,24,"Vijay Singh",102,0.065,"LeftRoughTendencyRTPScore",2007
25,25,"Charley Hoffman",97,0.066,"LeftRoughTendencyRTPScore",2007
26,26,"Craig Bowden",78,0.07,"LeftRoughTendencyRTPScore",2007
27,27,"Rod Pampling",92,0.072,"LeftRoughTendencyRTPScore",2007
28,28,"Ernie Els",59,0.074,"LeftRoughTendencyRTPScore",2007
28,28,"Kevin Stadler",95,0.074,"LeftRoughTendencyRTPScore",2007
30,30,"Jarrod Lyle",77,0.075,"LeftRoughTendencyRTPScore",2007
31,31,"Sergio Garcia",68,0.076,"LeftRoughTendencyRTPScore",2007
31,31,"Bubba Watson",80,0.076,"LeftRoughTendencyRTPScore",2007
33,33,"George McNeill",95,0.077,"LeftRoughTendencyRTPScore",2007
34,34,"Jason Dufner",100,0.078,"LeftRoughTendencyRTPScore",2007
34,34,"Steve Marino",106,0.078,"LeftRoughTendencyRTPScore",2007
36,36,"Cameron Beckman",96,0.079,"LeftRoughTendencyRTPScore",2007
36,36,"Jason Schultz",63,0.079,"LeftRoughTendencyRTPScore",2007
38,38,"Rich Barcelo",80,0.081,"LeftRoughTendencyRTPScore",2007
38,38,"Jason Bohn",57,0.081,"LeftRoughTendencyRTPScore",2007
40,40,"Stewart Cink",91,0.089,"LeftRoughTendencyRTPScore",2007
40,40,"Lucas Glover",98,0.089,"LeftRoughTendencyRTPScore",2007
40,40,"JP Hayes",89,0.089,"LeftRoughTendencyRTPScore",2007
43,43,"Bart Bryant",87,0.09,"LeftRoughTendencyRTPScore",2007
43,43,"Mike Weir",82,0.09,"LeftRoughTendencyRTPScore",2007
43,43,"Jay Williamson",50,0.09,"LeftRoughTendencyRTPScore",2007
46,46,"Steve Wheatcroft",73,0.091,"LeftRoughTendencyRTPScore",2007
47,47,"Tim Clark",66,0.092,"LeftRoughTendencyRTPScore",2007
47,47,"Arron Oberholser",69,0.092,"LeftRoughTendencyRTPScore",2007
47,47,"Jim Rutledge",59,0.092,"LeftRoughTendencyRTPScore",2007
47,47,"Camilo Villegas",82,0.092,"LeftRoughTendencyRTPScore",2007
51,51,"Chris Stroud",66,0.093,"LeftRoughTendencyRTPScore",2007
52,52,"Chris DiMarco",79,0.094,"LeftRoughTendencyRTPScore",2007
52,52,"Ryuji Imada",104,0.094,"LeftRoughTendencyRTPScore",2007
54,54,"John Merrick",92,0.095,"LeftRoughTendencyRTPScore",2007
55,55,"Jason Gore",86,0.096,"LeftRoughTendencyRTPScore",2007
56,56,"Bob Heintz",85,0.097,"LeftRoughTendencyRTPScore",2007
56,56,"John Rollins",102,0.097,"LeftRoughTendencyRTPScore",2007
58,58,"Heath Slocum",101,0.098,"LeftRoughTendencyRTPScore",2007
59,59,"Chris Couch",76,0.099,"LeftRoughTendencyRTPScore",2007
59,59,"Bob Tway",103,0.099,"LeftRoughTendencyRTPScore",2007
61,61,"Jonathan Byrd",73,0.1,"LeftRoughTendencyRTPScore",2007
62,62,"Ian Poulter",63,0.101,"LeftRoughTendencyRTPScore",2007
63,63,"Phil Mickelson",73,0.102,"LeftRoughTendencyRTPScore",2007
63,63,"Charles Warren",101,0.102,"LeftRoughTendencyRTPScore",2007
65,65,"Davis Love III",66,0.104,"LeftRoughTendencyRTPScore",2007
66,66,"Briny Baird",115,0.105,"LeftRoughTendencyRTPScore",2007
66,66,"Jim Furyk",84,0.105,"LeftRoughTendencyRTPScore",2007
66,66,"Bill Haas",93,0.105,"LeftRoughTendencyRTPScore",2007
69,69,"Alex Cejka",80,0.107,"LeftRoughTendencyRTPScore",2007
69,69,"Bob Estes",88,0.107,"LeftRoughTendencyRTPScore",2007
69,69,"John Senden",97,0.107,"LeftRoughTendencyRTPScore",2007
72,72,"Joey Sindelar",75,0.108,"LeftRoughTendencyRTPScore",2007
73,73,"Kevin Sutherland",85,0.109,"LeftRoughTendencyRTPScore",2007
74,74,"Kevin Na",84,0.11,"LeftRoughTendencyRTPScore",2007
74,74,"Adam Scott",69,0.11,"LeftRoughTendencyRTPScore",2007
76,76,"Billy Andrade",88,0.112,"LeftRoughTendencyRTPScore",2007
77,77,"Frank Lickliter II",95,0.114,"LeftRoughTendencyRTPScore",2007
77,77,"Peter Lonard",85,0.114,"LeftRoughTendencyRTPScore",2007
79,79,"Matt Hendrix",63,0.118,"LeftRoughTendencyRTPScore",2007
79,79,"Nick Watney",87,0.118,"LeftRoughTendencyRTPScore",2007
81,81,"Charles Howell III",89,0.119,"LeftRoughTendencyRTPScore",2007
81,81,"Joe Ogilvie",102,0.119,"LeftRoughTendencyRTPScore",2007
81,81,"Charlie Wi",90,0.119,"LeftRoughTendencyRTPScore",2007
84,84,"KJ Choi",87,0.122,"LeftRoughTendencyRTPScore",2007
85,85,"Stuart Appleby",74,0.125,"LeftRoughTendencyRTPScore",2007
86,86,"Brett Quigley",79,0.126,"LeftRoughTendencyRTPScore",2007
87,87,"Greg Owen",81,0.128,"LeftRoughTendencyRTPScore",2007
88,88,"Brendon de Jonge",76,0.129,"LeftRoughTendencyRTPScore",2007
89,89,"Luke Donald",69,0.13,"LeftRoughTendencyRTPScore",2007
90,90,"Steve Flesch",100,0.131,"LeftRoughTendencyRTPScore",2007
90,90,"Mathew Goggin",97,0.131,"LeftRoughTendencyRTPScore",2007
92,92,"Troy Matteson",87,0.135,"LeftRoughTendencyRTPScore",2007
93,93,"Lee Janzen",66,0.136,"LeftRoughTendencyRTPScore",2007
94,94,"Tim Petrovic",106,0.137,"LeftRoughTendencyRTPScore",2007
95,95,"Glen Day",85,0.139,"LeftRoughTendencyRTPScore",2007
95,95,"Will Ma Kenzie",100,0.139,"LeftRoughTendencyRTPScore",2007
97,97,"Tom Lehman",62,0.14,"LeftRoughTendencyRTPScore",2007
97,97,"John Mallinger",96,0.14,"LeftRoughTendencyRTPScore",2007
97,97,"Duffy Waldorf",69,0.14,"LeftRoughTendencyRTPScore",2007
100,100,"Kenny Perry",83,0.142,"LeftRoughTendencyRTPScore",2007
100,100,"Brandt Snedeker",105,0.142,"LeftRoughTendencyRTPScore",2007
102,102,"Jeff Gove",103,0.143,"LeftRoughTendencyRTPScore",2007
103,103,"Parker McLachlin",83,0.145,"LeftRoughTendencyRTPScore",2007
103,103,"Kyle Reifers",71,0.145,"LeftRoughTendencyRTPScore",2007
103,103,"DJ Trahan",99,0.145,"LeftRoughTendencyRTPScore",2007
106,106,"Rich Beem",89,0.146,"LeftRoughTendencyRTPScore",2007
106,106,"Vaughn Taylor",91,0.146,"LeftRoughTendencyRTPScore",2007
108,108,"Pat Perez",84,0.147,"LeftRoughTendencyRTPScore",2007
109,109,"Woody Austin",95,0.148,"LeftRoughTendencyRTPScore",2007
109,109,"Brian Davis",101,0.148,"LeftRoughTendencyRTPScore",2007
