"PuttsMadePerEventOver10_RANKTHISWEEK_2016","PuttsMadePerEventOver10_RANKLASTWEEK_2016","PuttsMadePerEventOver10_PLAYERNAME_2016","PuttsMadePerEventOver10_ROUNDS_2016","PuttsMadePerEventOver10_PUTTSMADE_2016","stat_name","year"
1,1,"Jamie Donaldson",28,8,"PuttsMadePerEventOver10",2016
2,2,"Andy Sullivan",25,7.3,"PuttsMadePerEventOver10",2016
3,3,"Rory McIlroy",37,6.8,"PuttsMadePerEventOver10",2016
4,5,"Zach Johnson",42,6.7,"PuttsMadePerEventOver10",2016
5,6,"Charl Schwartzel",29,6.4,"PuttsMadePerEventOver10",2016
6,3,"Paul Casey",39,6.3,"PuttsMadePerEventOver10",2016
6,8,"Ryan Palmer",46,6.3,"PuttsMadePerEventOver10",2016
6,9,"Adam Scott",39,6.3,"PuttsMadePerEventOver10",2016
9,9,"Charley Hoffman",49,6.2,"PuttsMadePerEventOver10",2016
9,9,"Dustin Johnson",37,6.2,"PuttsMadePerEventOver10",2016
9,9,"William McGirt",54,6.2,"PuttsMadePerEventOver10",2016
12,19,"Ernie Els",34,6,"PuttsMadePerEventOver10",2016
12,14,"Kevin Na",52,6,"PuttsMadePerEventOver10",2016
12,14,"Jordan Spieth",34,6,"PuttsMadePerEventOver10",2016
15,14,"Hideki Matsuyama",40,5.9,"PuttsMadePerEventOver10",2016
15,6,"Ryan Moore",40,5.9,"PuttsMadePerEventOver10",2016
17,22,"Billy Horschel",45,5.8,"PuttsMadePerEventOver10",2016
17,22,"Bernd Wiesberger",23,5.8,"PuttsMadePerEventOver10",2016
19,24,"Smylie Kaufman",57,5.7,"PuttsMadePerEventOver10",2016
19,14,"Shane Lowry",35,5.7,"PuttsMadePerEventOver10",2016
19,24,"Louis Oosthuizen",25,5.7,"PuttsMadePerEventOver10",2016
22,27,"Jason Day",36,5.6,"PuttsMadePerEventOver10",2016
22,13,"Webb Simpson",34,5.6,"PuttsMadePerEventOver10",2016
24,34,"Angel Cabrera",42,5.5,"PuttsMadePerEventOver10",2016
24,30,"Matthew Fitzpatrick",23,5.5,"PuttsMadePerEventOver10",2016
24,50,"JB Holmes",39,5.5,"PuttsMadePerEventOver10",2016
24,19,"Kevin Kisner",49,5.5,"PuttsMadePerEventOver10",2016
24,41,"Patton Kizzire",57,5.5,"PuttsMadePerEventOver10",2016
24,24,"Ben Martin",48,5.5,"PuttsMadePerEventOver10",2016
24,30,"Daniel Summerhays",55,5.5,"PuttsMadePerEventOver10",2016
24,27,"Jhonattan Vegas",49,5.5,"PuttsMadePerEventOver10",2016
32,27,"Retief Goosen",37,5.4,"PuttsMadePerEventOver10",2016
32,34,"Branden Grace",31,5.4,"PuttsMadePerEventOver10",2016
32,47,"Brian Harman",60,5.4,"PuttsMadePerEventOver10",2016
32,30,"Charles Howell III",63,5.4,"PuttsMadePerEventOver10",2016
32,34,"Brooks Koepka",39,5.4,"PuttsMadePerEventOver10",2016
32,34,"Kyle Reifers",63,5.4,"PuttsMadePerEventOver10",2016
38,50,"Fabian Gomez",49,5.3,"PuttsMadePerEventOver10",2016
38,41,"Adam Hadwin",53,5.3,"PuttsMadePerEventOver10",2016
38,19,"Justin Hicks",26,5.3,"PuttsMadePerEventOver10",2016
38,34,"Morgan Hoffmann",43,5.3,"PuttsMadePerEventOver10",2016
38,41,"Michael Kim",62,5.3,"PuttsMadePerEventOver10",2016
38,41,"Matt Kuchar",46,5.3,"PuttsMadePerEventOver10",2016
38,41,"Steve Stricker",25,5.3,"PuttsMadePerEventOver10",2016
38,34,"Johnson Wagner",44,5.3,"PuttsMadePerEventOver10",2016
46,50,"Graham DeLaet",50,5.2,"PuttsMadePerEventOver10",2016
46,50,"Rickie Fowler",42,5.2,"PuttsMadePerEventOver10",2016
48,50,"Daniel Berger",52,5.1,"PuttsMadePerEventOver10",2016
48,50,"Jason Dufner",53,5.1,"PuttsMadePerEventOver10",2016
48,70,"Danny Lee",53,5.1,"PuttsMadePerEventOver10",2016
48,50,"Marc Leishman",41,5.1,"PuttsMadePerEventOver10",2016
48,60,"Phil Mickelson",37,5.1,"PuttsMadePerEventOver10",2016
48,50,"Kyle Stanley",57,5.1,"PuttsMadePerEventOver10",2016
48,95,"Tim Wilkinson",40,5.1,"PuttsMadePerEventOver10",2016
55,60,"KJ Choi",47,5,"PuttsMadePerEventOver10",2016
55,34,"Harris English",51,5,"PuttsMadePerEventOver10",2016
55,60,"Emiliano Grillo",47,5,"PuttsMadePerEventOver10",2016
55,91,"Chesson Hadley",51,5,"PuttsMadePerEventOver10",2016
55,47,"Colt Knost",56,5,"PuttsMadePerEventOver10",2016
55,84,"David Lingmerth",54,5,"PuttsMadePerEventOver10",2016
55,60,"Scott Piercy",45,5,"PuttsMadePerEventOver10",2016
55,14,"Henrik Stenson",30,5,"PuttsMadePerEventOver10",2016
55,30,"Brian Stuard",24,5,"PuttsMadePerEventOver10",2016
55,60,"Hudson Swafford",52,5,"PuttsMadePerEventOver10",2016
55,41,"Justin Thomas",53,5,"PuttsMadePerEventOver10",2016
55,60,"Bubba Watson",30,5,"PuttsMadePerEventOver10",2016
