"Total3PuttsInside5_RANKTHISWEEK_2008","Total3PuttsInside5_RANKLASTWEEK_2008","Total3PuttsInside5_PLAYERNAME_2008","Total3PuttsInside5_ROUNDS_2008","Total3PuttsInside5_TOTAL3PUTTSINSIDE5_2008","Total3PuttsInside5_TOTAL3PUTTS_2008","stat_name","year"
1,1,"Kevin Na",97,3,51,"Total3PuttsInside5",2008
1,1,"Carl Pettersson",110,3,47,"Total3PuttsInside5",2008
1,1,"Brett Quigley",80,3,30,"Total3PuttsInside5",2008
4,4,"Mark Calcavecchia",67,2,42,"Total3PuttsInside5",2008
4,4,"Chad Campbell",94,2,50,"Total3PuttsInside5",2008
4,4,"Joe Durant",92,2,78,"Total3PuttsInside5",2008
4,4,"Nick Flanagan",89,2,62,"Total3PuttsInside5",2008
4,4,"Charley Hoffman",94,2,56,"Total3PuttsInside5",2008
4,4,"Jerry Kelly",89,2,30,"Total3PuttsInside5",2008
4,4,"Will Ma Kenzie",62,2,36,"Total3PuttsInside5",2008
4,4,"George McNeill",97,2,60,"Total3PuttsInside5",2008
4,4,"Geoff Ogilvy",65,2,20,"Total3PuttsInside5",2008
4,4,"Brenden Pappas",66,2,32,"Total3PuttsInside5",2008
4,4,"Vaughn Taylor",103,2,50,"Total3PuttsInside5",2008
4,4,"DJ Trahan",94,2,52,"Total3PuttsInside5",2008
4,4,"Scott Verplank",82,2,33,"Total3PuttsInside5",2008
4,4,"Boo Weekley",86,2,54,"Total3PuttsInside5",2008
18,18,"Michael Allen",91,1,37,"Total3PuttsInside5",2008
18,18,"Rich Beem",90,1,42,"Total3PuttsInside5",2008
18,18,"Justin Bolli",87,1,52,"Total3PuttsInside5",2008
18,18,"Bart Bryant",81,1,37,"Total3PuttsInside5",2008
18,18,"Jonathan Byrd",88,1,44,"Total3PuttsInside5",2008
18,18,"Alejandro Canizares",52,1,19,"Total3PuttsInside5",2008
18,18,"Alex Cejka",75,1,36,"Total3PuttsInside5",2008
18,18,"Paul Claxton",63,1,20,"Total3PuttsInside5",2008
18,18,"Fred Couples",60,1,30,"Total3PuttsInside5",2008
18,18,"Todd Demsey",80,1,47,"Total3PuttsInside5",2008
18,18,"Chris DiMarco",87,1,42,"Total3PuttsInside5",2008
18,18,"David Duval",51,1,32,"Total3PuttsInside5",2008
18,18,"Steve Elkington",84,1,33,"Total3PuttsInside5",2008
18,18,"Tommy Gainey",60,1,47,"Total3PuttsInside5",2008
18,18,"Robert Gamez",79,1,66,"Total3PuttsInside5",2008
18,18,"Robert Garrigus",90,1,63,"Total3PuttsInside5",2008
18,18,"Mathew Goggin",91,1,40,"Total3PuttsInside5",2008
18,18,"Nathan Green",95,1,53,"Total3PuttsInside5",2008
18,18,"Bill Haas",99,1,45,"Total3PuttsInside5",2008
18,18,"Charles Howell III",101,1,42,"Total3PuttsInside5",2008
18,18,"Matt Jones",95,1,50,"Total3PuttsInside5",2008
18,18,"Cliff Kresge",84,1,43,"Total3PuttsInside5",2008
18,18,"Matt Kuchar",88,1,32,"Total3PuttsInside5",2008
18,18,"David Lutterus",59,1,48,"Total3PuttsInside5",2008
18,18,"Jeff Maggert",86,1,57,"Total3PuttsInside5",2008
18,18,"Billy Mayfair",103,1,59,"Total3PuttsInside5",2008
18,18,"Phil Mickelson",80,1,26,"Total3PuttsInside5",2008
18,18,"Ryan Moore",72,1,39,"Total3PuttsInside5",2008
18,18,"Rod Pampling",83,1,39,"Total3PuttsInside5",2008
18,18,"Jesper Parnevik",88,1,49,"Total3PuttsInside5",2008
18,18,"Tim Petrovic",97,1,55,"Total3PuttsInside5",2008
18,18,"Ted Purdy",68,1,40,"Total3PuttsInside5",2008
18,18,"Jeff Quinney",87,1,34,"Total3PuttsInside5",2008
18,18,"Andres Romero",69,1,29,"Total3PuttsInside5",2008
18,18,"Rory Sabbatini",77,1,46,"Total3PuttsInside5",2008
18,18,"John Senden",93,1,51,"Total3PuttsInside5",2008
18,18,"Scott Sterling",89,1,41,"Total3PuttsInside5",2008
18,18,"Chris Stroud",81,1,45,"Total3PuttsInside5",2008
18,18,"Bo Van Pelt",101,1,61,"Total3PuttsInside5",2008
18,18,"Camilo Villegas",79,1,27,"Total3PuttsInside5",2008
18,18,"Mike Weir",88,1,24,"Total3PuttsInside5",2008
18,18,"Tim Wilkinson",95,1,32,"Total3PuttsInside5",2008
18,18,"YE Yang",89,1,48,"Total3PuttsInside5",2008
