"BogeyAvoidance_RANKTHISWEEK_2008","BogeyAvoidance_RANKLASTWEEK_2008","BogeyAvoidance_PLAYERNAME_2008","BogeyAvoidance_ROUNDS_2008","BogeyAvoidance_PctMAKESBOGEY_2008","BogeyAvoidance_BOGEYS_2008","BogeyAvoidance_HOLESPLAYED_2008","stat_name","year"
1,1,"Brian Gay",102,14.22,261,1836,"BogeyAvoidance",2008
2,2,"Briny Baird",113,14.55,296,2034,"BogeyAvoidance",2008
3,3,"Bob Tway",70,15,189,1260,"BogeyAvoidance",2008
4,4,"Gavin Coles",54,15.02,146,972,"BogeyAvoidance",2008
5,5,"Kevin Sutherland",98,15.08,266,1764,"BogeyAvoidance",2008
6,6,"Chris Riley",51,15.14,139,918,"BogeyAvoidance",2008
7,7,"Jim Furyk",95,15.19,257,1692,"BogeyAvoidance",2008
8,8,"Mike Weir",88,15.2,238,1566,"BogeyAvoidance",2008
8,8,"Tim Wilkinson",95,15.2,260,1710,"BogeyAvoidance",2008
10,10,"Justin Leonard",101,15.26,261,1710,"BogeyAvoidance",2008
11,11,"Bob Estes",90,15.31,248,1620,"BogeyAvoidance",2008
12,12,"Charlie Wi",97,15.35,268,1746,"BogeyAvoidance",2008
13,13,"Ben Crane",86,15.37,238,1548,"BogeyAvoidance",2008
14,14,"Steve Marino",119,15.41,330,2142,"BogeyAvoidance",2008
15,15,"Mark Wilson",107,15.47,298,1926,"BogeyAvoidance",2008
16,16,"Glen Day",64,15.54,179,1152,"BogeyAvoidance",2008
16,16,"Scott Sterling",89,15.54,249,1602,"BogeyAvoidance",2008
18,18,"Vijay Singh",82,15.67,220,1404,"BogeyAvoidance",2008
19,19,"Matt Kuchar",88,15.72,249,1584,"BogeyAvoidance",2008
20,20,"Shane Bertsch",96,15.8,273,1728,"BogeyAvoidance",2008
21,21,"Nick OHern",82,15.83,228,1440,"BogeyAvoidance",2008
22,22,"Phil Mickelson",80,15.88,223,1404,"BogeyAvoidance",2008
23,23,"Billy Mayfair",103,15.91,295,1854,"BogeyAvoidance",2008
24,24,"Steve Elkington",84,15.94,241,1512,"BogeyAvoidance",2008
25,25,"Steve Stricker",75,15.97,207,1296,"BogeyAvoidance",2008
26,26,"John Huston",56,16.07,162,1008,"BogeyAvoidance",2008
27,27,"Mathew Goggin",91,16.12,264,1638,"BogeyAvoidance",2008
28,28,"JJ Henry",108,16.15,314,1944,"BogeyAvoidance",2008
28,28,"Craig Kanada",65,16.15,189,1170,"BogeyAvoidance",2008
30,30,"Brad Elder",67,16.17,195,1206,"BogeyAvoidance",2008
31,31,"Robert Allenby",108,16.25,313,1926,"BogeyAvoidance",2008
32,32,"Patrick Sheehan",124,16.26,363,2232,"BogeyAvoidance",2008
33,33,"Omar Uresti",74,16.29,217,1332,"BogeyAvoidance",2008
34,34,"Bill Haas",99,16.33,291,1782,"BogeyAvoidance",2008
35,35,"Zach Johnson",85,16.34,247,1512,"BogeyAvoidance",2008
36,36,"John Riegger",73,16.36,215,1314,"BogeyAvoidance",2008
37,37,"Kevin Na",97,16.38,286,1746,"BogeyAvoidance",2008
38,38,"Ben Curtis",80,16.39,236,1440,"BogeyAvoidance",2008
39,39,"Tom Pernice Jr",104,16.4,307,1872,"BogeyAvoidance",2008
40,40,"Dudley Hart",74,16.44,219,1332,"BogeyAvoidance",2008
41,41,"Brian Davis",108,16.56,322,1944,"BogeyAvoidance",2008
42,42,"Kent Jones",68,16.58,203,1224,"BogeyAvoidance",2008
42,42,"Brenden Pappas",66,16.58,197,1188,"BogeyAvoidance",2008
44,44,"Anthony Kim",81,16.6,242,1458,"BogeyAvoidance",2008
45,45,"Tim Herron",97,16.61,290,1746,"BogeyAvoidance",2008
45,45,"Kenny Perry",97,16.61,290,1746,"BogeyAvoidance",2008
45,45,"Heath Slocum",104,16.61,311,1872,"BogeyAvoidance",2008
