"BogeyAvoidance_RANKTHISWEEK_2006","BogeyAvoidance_RANKLASTWEEK_2006","BogeyAvoidance_PLAYERNAME_2006","BogeyAvoidance_ROUNDS_2006","BogeyAvoidance_PctMAKESBOGEY_2006","BogeyAvoidance_BOGEYS_2006","BogeyAvoidance_HOLESPLAYED_2006","stat_name","year"
1,1,"Jim Furyk",89,11.68,185,1584,"BogeyAvoidance",2006
2,2,"Tiger Woods",55,12.18,114,936,"BogeyAvoidance",2006
3,3,"Steve Stricker",64,12.28,137,1116,"BogeyAvoidance",2006
4,4,"Luke Donald",66,13.58,154,1134,"BogeyAvoidance",2006
5,5,"Steve Elkington",52,13.94,128,918,"BogeyAvoidance",2006
6,6,"Brian Gay",107,14.17,273,1926,"BogeyAvoidance",2006
7,7,"John Senden",96,14.28,239,1674,"BogeyAvoidance",2006
8,8,"Jonathan Byrd",66,14.31,170,1188,"BogeyAvoidance",2006
9,9,"Trevor Immelman",86,14.53,225,1548,"BogeyAvoidance",2006
10,10,"Frank Lickliter II",99,14.66,256,1746,"BogeyAvoidance",2006
11,11,"Stephen Leaney",84,14.68,222,1512,"BogeyAvoidance",2006
12,12,"Jeff Gove",91,14.69,230,1566,"BogeyAvoidance",2006
13,13,"Greg Owen",79,14.79,205,1386,"BogeyAvoidance",2006
14,14,"Brett Quigley",109,14.81,280,1890,"BogeyAvoidance",2006
15,15,"Ian Poulter",53,14.85,139,936,"BogeyAvoidance",2006
16,16,"Scott Verplank",88,14.92,231,1548,"BogeyAvoidance",2006
17,17,"David Branshaw",98,14.97,264,1764,"BogeyAvoidance",2006
18,18,"Kevin Sutherland",100,14.99,259,1728,"BogeyAvoidance",2006
19,19,"Corey Pavin",74,15,189,1260,"BogeyAvoidance",2006
20,20,"Jesper Parnevik",84,15.01,227,1512,"BogeyAvoidance",2006
21,21,"KJ Choi",93,15.34,254,1656,"BogeyAvoidance",2006
22,22,"Omar Uresti",61,15.35,163,1062,"BogeyAvoidance",2006
