"SubParRounds_RANKTHISWEEK_2014","SubParRounds_RANKLASTWEEK_2014","SubParRounds_PLAYERNAME_2014","SubParRounds_EVENTS_2014","stat_name","year"
101,101,"Andrew Svoboda",24,"SubParRounds",2014
101,101,"Hudson Swafford",26,"SubParRounds",2014
101,101,"Jhonattan Vegas",23,"SubParRounds",2014
107,107,"Ken Duke",25,"SubParRounds",2014
107,107,"Brian Gay",26,"SubParRounds",2014
107,107,"Martin Laird",20,"SubParRounds",2014
107,107,"Graeme McDowell",17,"SubParRounds",2014
107,107,"John Merrick",25,"SubParRounds",2014
107,107,"Bryce Molder",25,"SubParRounds",2014
107,107,"Sean OHair",25,"SubParRounds",2014
107,107,"Rory Sabbatini",26,"SubParRounds",2014
107,107,"Heath Slocum",23,"SubParRounds",2014
107,107,"Kevin Streelman",24,"SubParRounds",2014
107,107,"Nick Watney",25,"SubParRounds",2014
118,118,"Bud Cauley",19,"SubParRounds",2014
118,118,"Ben Curtis",24,"SubParRounds",2014
118,118,"Davis Love III",22,"SubParRounds",2014
118,118,"Charlie Wi",25,"SubParRounds",2014
122,122,"Aaron Baddeley",24,"SubParRounds",2014
122,122,"Roberto Castro",27,"SubParRounds",2014
122,122,"Tim Clark",26,"SubParRounds",2014
122,122,"Luke Donald",17,"SubParRounds",2014
122,122,"Richard Lee",27,"SubParRounds",2014
122,122,"Justin Leonard",22,"SubParRounds",2014
122,122,"Hunter Mahan",25,"SubParRounds",2014
122,122,"Geoff Ogilvy",26,"SubParRounds",2014
122,122,"Boo Weekley",24,"SubParRounds",2014
131,131,"Angel Cabrera",23,"SubParRounds",2014
131,131,"Chad Campbell",18,"SubParRounds",2014
131,131,"David Lingmerth",26,"SubParRounds",2014
131,131,"Kyle Stanley",28,"SubParRounds",2014
131,131,"Will Wilcox",16,"SubParRounds",2014
136,136,"Jonas Blixt",21,"SubParRounds",2014
136,136,"Jonathan Byrd",24,"SubParRounds",2014
136,136,"Chad Collins",28,"SubParRounds",2014
136,136,"Troy Merritt",20,"SubParRounds",2014
136,136,"Henrik Stenson",15,"SubParRounds",2014
136,136,"Lee Westwood",18,"SubParRounds",2014
136,136,"YE Yang",28,"SubParRounds",2014
143,143,"Charlie Beljan",26,"SubParRounds",2014
143,143,"Derek Ernst",28,"SubParRounds",2014
143,143,"Andrew Loupe",22,"SubParRounds",2014
143,143,"Ted Potter Jr",24,"SubParRounds",2014
143,143,"John Rollins",28,"SubParRounds",2014
143,143,"Scott Stallings",28,"SubParRounds",2014
143,143,"Shawn Stefani",17,"SubParRounds",2014
150,150,"James Driscoll",25,"SubParRounds",2014
150,150,"Jason Dufner",17,"SubParRounds",2014
150,150,"Tommy Gainey",26,"SubParRounds",2014
150,150,"Martin Kaymer",19,"SubParRounds",2014
150,150,"Spencer Levin",20,"SubParRounds",2014
150,150,"Wes Roach",22,"SubParRounds",2014
156,156,"Jason Day",15,"SubParRounds",2014
156,156,"Jim Herman",21,"SubParRounds",2014
156,156,"Brooks Koepka",16,"SubParRounds",2014
156,156,"Jamie Lovemark",20,"SubParRounds",2014
160,160,"Paul Casey",16,"SubParRounds",2014
160,160,"Brad Fritsch",18,"SubParRounds",2014
160,160,"Lucas Glover",26,"SubParRounds",2014
160,160,"Johnson Wagner",24,"SubParRounds",2014
164,164,"John Peterson",25,"SubParRounds",2014
165,165,"Francesco Molinari",12,"SubParRounds",2014
165,165,"DA Points",27,"SubParRounds",2014
165,165,"Ian Poulter",17,"SubParRounds",2014
165,165,"Steve Stricker",11,"SubParRounds",2014
169,169,"Joe Durant",15,"SubParRounds",2014
169,169,"Peter Malnati",18,"SubParRounds",2014
171,171,"Mark Wilson",25,"SubParRounds",2014
172,172,"Bronson La Cassie",18,"SubParRounds",2014
173,173,"Jamie Donaldson",12,"SubParRounds",2014
173,173,"Troy Matteson",23,"SubParRounds",2014
173,173,"Louis Oosthuizen",16,"SubParRounds",2014
173,173,"Mike Weir",25,"SubParRounds",2014
177,177,"Woody Austin",22,"SubParRounds",2014
177,177,"Tim Herron",15,"SubParRounds",2014
177,177,"Robert Karlsson",7,"SubParRounds",2014
177,177,"Jeff Maggert",19,"SubParRounds",2014
177,177,"Steve Marino",13,"SubParRounds",2014
177,177,"Alex Prugh",16,"SubParRounds",2014
177,177,"Kevin Tway",23,"SubParRounds",2014
184,184,"Stephen Ames",18,"SubParRounds",2014
184,184,"Briny Baird",17,"SubParRounds",2014
184,184,"Scott Gardiner",18,"SubParRounds",2014
184,184,"Scott Piercy",12,"SubParRounds",2014
188,188,"Peter Hanson",13,"SubParRounds",2014
188,188,"Padraig Harrington",16,"SubParRounds",2014
188,188,"Jim Renner",25,"SubParRounds",2014
188,188,"Lee Williams",13,"SubParRounds",2014
192,192,"Victor Dubuisson",10,"SubParRounds",2014
192,192,"Max Homa",8,"SubParRounds",2014
192,192,"DH Lee",20,"SubParRounds",2014
192,192,"Edward Loar",19,"SubParRounds",2014
196,196,"Blake Adams",8,"SubParRounds",2014
196,196,"Cameron Beckman",12,"SubParRounds",2014
198,198,"Eric Axley",10,"SubParRounds",2014
198,198,"Thomas Bjorn",9,"SubParRounds",2014
198,198,"Harrison Frazar",15,"SubParRounds",2014
198,198,"Jason Gore",7,"SubParRounds",2014
202,202,"Jason Allred",9,"SubParRounds",2014
202,202,"Matt Bettencourt",14,"SubParRounds",2014
202,202,"Daniel Chopra",16,"SubParRounds",2014
202,202,"Nicolas Colsaerts",12,"SubParRounds",2014
202,202,"John Daly",15,"SubParRounds",2014
202,202,"Stephen Gallacher",12,"SubParRounds",2014
202,202,"Branden Grace",11,"SubParRounds",2014
202,202,"Ryuji Imada",9,"SubParRounds",2014
202,202,"David Lynn",11,"SubParRounds",2014
202,202,"Matteo Manassero",10,"SubParRounds",2014
202,202,"Dicky Pride",13,"SubParRounds",2014
213,213,"Kiradech Aphibarnrat",9,"SubParRounds",2014
213,213,"Miguel Angel Carballo",15,"SubParRounds",2014
213,213,"Will Claxton",8,"SubParRounds",2014
213,213,"Kevin Foley",15,"SubParRounds",2014
213,213,"Paul Goydos",19,"SubParRounds",2014
213,213,"Joe Ogilvie",13,"SubParRounds",2014
213,213,"Greg Owen",8,"SubParRounds",2014
213,213,"Tim Petrovic",10,"SubParRounds",2014
221,221,"Mark Calcavecchia",8,"SubParRounds",2014
221,221,"Jose Coceres",6,"SubParRounds",2014
221,221,"David Duval",15,"SubParRounds",2014
221,221,"John Mallinger",14,"SubParRounds",2014
221,221,"Tag Ridings",12,"SubParRounds",2014
226,226,"Miguel Angel Jimenez",8,"SubParRounds",2014
226,226,"Thorbjorn Olesen",14,"SubParRounds",2014
226,226,"Richard Sterne",7,"SubParRounds",2014
229,229,"Rafa Cabrera Bello",5,"SubParRounds",2014
229,229,"Mikko Ilonen",5,"SubParRounds",2014
229,229,"Lee Janzen",8,"SubParRounds",2014
229,229,"Doug LaBelle II",12,"SubParRounds",2014
229,229,"Joost Luiten",9,"SubParRounds",2014
229,229,"Scott McCarron",12,"SubParRounds",2014
229,229,"Patrick Rodgers",7,"SubParRounds",2014
229,229,"Justin Thomas",7,"SubParRounds",2014
229,229,"Chris Wood",3,"SubParRounds",2014
238,238,"Mark Anderson",8,"SubParRounds",2014
238,238,"Alex Aragon",18,"SubParRounds",2014
238,238,"Patrick Cantlay",5,"SubParRounds",2014
238,238,"Fred Funk",8,"SubParRounds",2014
238,238,"Kenny Perry",5,"SubParRounds",2014
238,238,"Scott Verplank",12,"SubParRounds",2014
238,238,"Tiger Woods",7,"SubParRounds",2014
245,245,"Justin Bolli",6,"SubParRounds",2014
245,245,"Gregory Bourdy",2,"SubParRounds",2014
245,245,"Alex Cejka",6,"SubParRounds",2014
245,245,"George Coetzee",6,"SubParRounds",2014
245,245,"Chris DiMarco",7,"SubParRounds",2014
245,245,"Oliver Goss",7,"SubParRounds",2014
245,245,"Scott Hend",3,"SubParRounds",2014
245,245,"Shane Lowry",3,"SubParRounds",2014
245,245,"Chris Smith",7,"SubParRounds",2014
245,245,"Marc Turnesa",6,"SubParRounds",2014
245,245,"Peter Uihlein",7,"SubParRounds",2014
245,245,"Bobby Wyatt",5,"SubParRounds",2014
257,257,"Gaganjeet Bhullar",2,"SubParRounds",2014
257,257,"Kris Blanks",8,"SubParRounds",2014
257,257,"Darren Clarke",15,"SubParRounds",2014
257,257,"Glen Day",5,"SubParRounds",2014
257,257,"Bob Estes",2,"SubParRounds",2014
257,257,"Fabian Gomez",4,"SubParRounds",2014
257,257,"Andres Gonzales",2,"SubParRounds",2014
257,257,"Nathan Green",4,"SubParRounds",2014
257,257,"Emiliano Grillo",1,"SubParRounds",2014
257,257,"Dudley Hart",4,"SubParRounds",2014
257,257,"David Howell",3,"SubParRounds",2014
257,257,"Thongchai Jaidee",9,"SubParRounds",2014
257,257,"Jin Jeong",3,"SubParRounds",2014
257,257,"Len Mattiace",4,"SubParRounds",2014
257,257,"Jay McLuen",2,"SubParRounds",2014
257,257,"Edoardo Molinari",2,"SubParRounds",2014
257,257,"Koumei Oda",2,"SubParRounds",2014
257,257,"Rod Pampling",7,"SubParRounds",2014
257,257,"Alvaro Quiros",2,"SubParRounds",2014
257,257,"Chez Reavie",2,"SubParRounds",2014
257,257,"Hideto Tanihara",3,"SubParRounds",2014
257,257,"Marc Warren",2,"SubParRounds",2014
257,257,"Tom Watson",5,"SubParRounds",2014
257,257,"Chris Williams",4,"SubParRounds",2014
281,281,"Thomas Aiken",3,"SubParRounds",2014
281,281,"Rafael Campos",1,"SubParRounds",2014
281,281,"Fred Couples",3,"SubParRounds",2014
281,281,"Matthew Fitzpatrick",4,"SubParRounds",2014
281,281,"Tommy Fleetwood",3,"SubParRounds",2014
281,281,"Oscar Fraustro",1,"SubParRounds",2014
281,281,"Bobby Gates",14,"SubParRounds",2014
281,281,"Todd Hamilton",4,"SubParRounds",2014
281,281,"Wenyi Huang",1,"SubParRounds",2014
281,281,"Steven Ihm",1,"SubParRounds",2014
281,281,"Shiv Kapur",2,"SubParRounds",2014
281,281,"Masahiro Kawamura",2,"SubParRounds",2014
281,281,"Hyung Sung Kim",6,"SubParRounds",2014
281,281,"Alexander Levy",2,"SubParRounds",2014
281,281,"Jordan Niebrugge",2,"SubParRounds",2014
