"BogeyAverage_RANKTHISWEEK_2016","BogeyAverage_RANKLASTWEEK_2016","BogeyAverage_PLAYERNAME_2016","BogeyAverage_EVENTS_2016","BogeyAverage_AVERAGEBOGEYSPERROUND_2016","BogeyAverage_TOTALBOGEYS_2016","BogeyAverage_ROUNDSPLAYED_2016","stat_name","year"
1,1,"Rickie Fowler",12,1.74,68,39,"BogeyAverage",2016
2,3,"Lucas Glover",16,1.89,100,53,"BogeyAverage",2016
2,2,"Russell Knox",14,1.89,85,45,"BogeyAverage",2016
4,6,"Russell Henley",14,2,84,42,"BogeyAverage",2016
4,8,"Phil Mickelson",11,2,68,34,"BogeyAverage",2016
6,4,"Tim Wilkinson",11,2.03,81,40,"BogeyAverage",2016
7,5,"Patrick Reed",14,2.06,101,49,"BogeyAverage",2016
8,10,"Branden Grace",9,2.11,59,28,"BogeyAverage",2016
9,6,"Luke Donald",13,2.14,105,49,"BogeyAverage",2016
9,13,"Jerry Kelly",12,2.14,94,44,"BogeyAverage",2016
11,16,"Brandt Snedeker",14,2.16,93,43,"BogeyAverage",2016
12,9,"Charles Howell III",17,2.17,137,63,"BogeyAverage",2016
13,20,"David Hearn",18,2.2,121,55,"BogeyAverage",2016
13,23,"Freddie Jacobson",16,2.2,119,54,"BogeyAverage",2016
13,23,"Chris Kirk",15,2.2,101,46,"BogeyAverage",2016
13,23,"Graeme McDowell",11,2.2,66,30,"BogeyAverage",2016
17,16,"Alex Cejka",15,2.21,104,47,"BogeyAverage",2016
17,14,"Colt Knost",15,2.21,124,56,"BogeyAverage",2016
19,29,"Bryce Molder",16,2.22,111,50,"BogeyAverage",2016
20,20,"Jamie Lovemark",17,2.23,127,57,"BogeyAverage",2016
20,30,"Charl Schwartzel",8,2.23,58,26,"BogeyAverage",2016
22,31,"Matt Kuchar",12,2.24,94,42,"BogeyAverage",2016
22,14,"Hideki Matsuyama",12,2.24,83,37,"BogeyAverage",2016
22,18,"Ian Poulter",10,2.24,83,37,"BogeyAverage",2016
25,20,"Adam Scott",10,2.25,81,36,"BogeyAverage",2016
26,34,"Marc Leishman",12,2.26,86,38,"BogeyAverage",2016
27,35,"Zac Blair",18,2.27,127,56,"BogeyAverage",2016
27,11,"Rory McIlroy",9,2.27,68,30,"BogeyAverage",2016
29,39,"Aaron Baddeley",15,2.29,117,51,"BogeyAverage",2016
29,39,"Chez Reavie",16,2.29,128,56,"BogeyAverage",2016
31,18,"Martin Piller",12,2.3,85,37,"BogeyAverage",2016
31,42,"Bubba Watson",8,2.3,62,27,"BogeyAverage",2016
33,45,"Dustin Johnson",9,2.31,74,32,"BogeyAverage",2016
33,23,"Jason Kokrak",17,2.31,120,52,"BogeyAverage",2016
33,23,"Spencer Levin",19,2.31,143,62,"BogeyAverage",2016
33,35,"Sean OHair",14,2.31,104,45,"BogeyAverage",2016
37,39,"Ricky Barnes",18,2.32,132,57,"BogeyAverage",2016
37,23,"Jason Bohn",11,2.32,86,37,"BogeyAverage",2016
37,46,"KJ Choi",14,2.32,109,47,"BogeyAverage",2016
40,50,"John Huh",16,2.33,119,51,"BogeyAverage",2016
40,12,"Jhonattan Vegas",14,2.33,114,49,"BogeyAverage",2016
42,33,"Bill Haas",12,2.34,89,38,"BogeyAverage",2016
43,38,"Jason Gore",15,2.35,120,51,"BogeyAverage",2016
43,52,"Kevin Na",14,2.35,115,49,"BogeyAverage",2016
43,42,"Patrick Rodgers",16,2.35,115,49,"BogeyAverage",2016
