"Last15EventsAccuracy_RANKTHISWEEK_2009","Last15EventsAccuracy_RANKLASTWEEK_2009","Last15EventsAccuracy_PLAYERNAME_2009","Last15EventsAccuracy_EVENTS_2009","Last15EventsAccuracy_RATING_2009","stat_name","year"
1,1,"Graham DeLaet",1,8.4,"Last15EventsAccuracy",2009
2,2,"Jason Bohn",13,8.2,"Last15EventsAccuracy",2009
2,2,"Scott Hoch",1,8.2,"Last15EventsAccuracy",2009
2,2,"Tom Lehman",7,8.2,"Last15EventsAccuracy",2009
5,5,"Tim Clark",9,8.1,"Last15EventsAccuracy",2009
6,6,"Olin Browne",2,8,"Last15EventsAccuracy",2009
6,6,"Robert Gamez",1,8,"Last15EventsAccuracy",2009
6,6,"Will Ma Kenzie",5,8,"Last15EventsAccuracy",2009
9,9,"Jim Furyk",11,7.9,"Last15EventsAccuracy",2009
9,9,"Ernie Gonzalez",1,7.9,"Last15EventsAccuracy",2009
9,9,"Zach Johnson",9,7.9,"Last15EventsAccuracy",2009
9,9,"Greg Kraft",2,7.9,"Last15EventsAccuracy",2009
13,13,"Joe Durant",6,7.8,"Last15EventsAccuracy",2009
13,13,"Steve Pate",1,7.8,"Last15EventsAccuracy",2009
13,13,"Scott Sterling",6,7.8,"Last15EventsAccuracy",2009
13,13,"Jay Williamson",8,7.8,"Last15EventsAccuracy",2009
17,17,"Michael Allen",8,7.7,"Last15EventsAccuracy",2009
17,17,"Robert Allenby",7,7.7,"Last15EventsAccuracy",2009
17,17,"Francesco Molinari",1,7.7,"Last15EventsAccuracy",2009
17,17,"Rick Price",2,7.7,"Last15EventsAccuracy",2009
17,17,"Tiger Woods",10,7.7,"Last15EventsAccuracy",2009
22,22,"Chad Campbell",8,7.6,"Last15EventsAccuracy",2009
22,22,"Fred Couples",7,7.6,"Last15EventsAccuracy",2009
22,22,"Justin Leonard",9,7.6,"Last15EventsAccuracy",2009
22,22,"Heath Slocum",9,7.6,"Last15EventsAccuracy",2009
22,22,"David Toms",10,7.6,"Last15EventsAccuracy",2009
22,22,"Dean Wilson",6,7.6,"Last15EventsAccuracy",2009
28,28,"Thomas Aiken",1,7.5,"Last15EventsAccuracy",2009
28,28,"Glen Day",7,7.5,"Last15EventsAccuracy",2009
28,28,"Anders Hansen",1,7.5,"Last15EventsAccuracy",2009
28,28,"Miguel Angel Jimenez",4,7.5,"Last15EventsAccuracy",2009
28,28,"Billy Mayfair",6,7.5,"Last15EventsAccuracy",2009
28,28,"Arron Oberholser",2,7.5,"Last15EventsAccuracy",2009
28,28,"Darron Stiles",5,7.5,"Last15EventsAccuracy",2009
28,28,"Steve Stricker",10,7.5,"Last15EventsAccuracy",2009
36,36,"Tommy Armour III",9,7.4,"Last15EventsAccuracy",2009
36,36,"Kris Blanks",7,7.4,"Last15EventsAccuracy",2009
36,36,"Alex Cejka",10,7.4,"Last15EventsAccuracy",2009
36,36,"Steve Elkington",8,7.4,"Last15EventsAccuracy",2009
36,36,"Bryce Molder",10,7.4,"Last15EventsAccuracy",2009
36,36,"Jack Newman",1,7.4,"Last15EventsAccuracy",2009
36,36,"Nick OHern",11,7.4,"Last15EventsAccuracy",2009
36,36,"Patrick Sheehan",8,7.4,"Last15EventsAccuracy",2009
36,36,"Peter Tomasulo",3,7.4,"Last15EventsAccuracy",2009
45,45,"Woody Austin",8,7.3,"Last15EventsAccuracy",2009
45,45,"Mark Calcavecchia",7,7.3,"Last15EventsAccuracy",2009
45,45,"Jason Dufner",9,7.3,"Last15EventsAccuracy",2009
45,45,"Ernie Els",8,7.3,"Last15EventsAccuracy",2009
45,45,"Ross Fisher",4,7.3,"Last15EventsAccuracy",2009
45,45,"Robert Garrigus",10,7.3,"Last15EventsAccuracy",2009
45,45,"Skip Kendall",2,7.3,"Last15EventsAccuracy",2009
45,45,"Colt Knost",5,7.3,"Last15EventsAccuracy",2009
45,45,"Peter Lonard",7,7.3,"Last15EventsAccuracy",2009
45,45,"Hunter Mahan",10,7.3,"Last15EventsAccuracy",2009
45,45,"Rod Pampling",8,7.3,"Last15EventsAccuracy",2009
