"GIRPercentagefromFairway_RANKTHISWEEK_2008","GIRPercentagefromFairway_RANKLASTWEEK_2008","GIRPercentagefromFairway_PLAYERNAME_2008","GIRPercentagefromFairway_ROUNDS_2008","GIRPercentagefromFairway_Pct_2008","GIRPercentagefromFairway_GREENSHIT_2008","GIRPercentagefromFairway_OFHOLES_2008","stat_name","year"
1,NA,"JJ Henry",108,81.17,802,988,"GIRPercentagefromFairway",2008
2,NA,"Nick Watney",96,80.66,663,822,"GIRPercentagefromFairway",2008
3,NA,"George McNeill",97,80.6,648,804,"GIRPercentagefromFairway",2008
4,NA,"Chad Campbell",94,80.37,692,861,"GIRPercentagefromFairway",2008
5,NA,"Joe Durant",92,80.21,685,854,"GIRPercentagefromFairway",2008
6,NA,"Harrison Frazar",73,79.78,434,544,"GIRPercentagefromFairway",2008
7,NA,"John Huston",56,79.58,378,475,"GIRPercentagefromFairway",2008
8,NA,"Charles Howell III",101,79.54,626,787,"GIRPercentagefromFairway",2008
9,NA,"Steve Stricker",75,79.01,448,567,"GIRPercentagefromFairway",2008
10,NA,"Steve Marino",119,78.96,807,1022,"GIRPercentagefromFairway",2008
11,NA,"Hunter Mahan",87,78.85,619,785,"GIRPercentagefromFairway",2008
12,NA,"Phil Mickelson",80,78.77,475,603,"GIRPercentagefromFairway",2008
13,NA,"John Merrick",98,78.73,644,818,"GIRPercentagefromFairway",2008
14,NA,"Sergio Garcia",72,78.69,458,582,"GIRPercentagefromFairway",2008
14,NA,"Robert Garrigus",90,78.69,554,704,"GIRPercentagefromFairway",2008
16,NA,"Robert Allenby",108,78.67,771,980,"GIRPercentagefromFairway",2008
17,NA,"Kevin Streelman",114,78.5,734,935,"GIRPercentagefromFairway",2008
18,NA,"Kevin Sutherland",98,78.49,664,846,"GIRPercentagefromFairway",2008
19,NA,"John Riegger",73,78.48,507,646,"GIRPercentagefromFairway",2008
20,NA,"Briny Baird",113,78.47,758,966,"GIRPercentagefromFairway",2008
21,NA,"Tom Scherrer",56,78.46,346,441,"GIRPercentagefromFairway",2008
22,NA,"Carlos Franco",73,78.45,426,543,"GIRPercentagefromFairway",2008
23,NA,"Scott Sterling",89,78.37,598,763,"GIRPercentagefromFairway",2008
24,NA,"Kenny Perry",97,78.23,654,836,"GIRPercentagefromFairway",2008
25,NA,"Anthony Kim",81,78.21,517,661,"GIRPercentagefromFairway",2008
26,NA,"Martin Laird",98,78.2,624,798,"GIRPercentagefromFairway",2008
27,NA,"JB Holmes",86,78.14,486,622,"GIRPercentagefromFairway",2008
28,NA,"Mathew Goggin",91,78.13,643,823,"GIRPercentagefromFairway",2008
29,NA,"Ted Purdy",68,77.99,411,527,"GIRPercentagefromFairway",2008
30,NA,"Rory Sabbatini",77,77.95,516,662,"GIRPercentagefromFairway",2008
31,NA,"Chris Stroud",81,77.92,540,693,"GIRPercentagefromFairway",2008
32,NA,"Justin Leonard",101,77.83,702,902,"GIRPercentagefromFairway",2008
33,NA,"Troy Matteson",94,77.81,624,802,"GIRPercentagefromFairway",2008
34,NA,"Jon Mills",95,77.79,550,707,"GIRPercentagefromFairway",2008
35,NA,"Vijay Singh",82,77.73,506,651,"GIRPercentagefromFairway",2008
36,NA,"Justin Bolli",87,77.55,570,735,"GIRPercentagefromFairway",2008
37,NA,"Kent Jones",68,77.54,480,619,"GIRPercentagefromFairway",2008
38,NA,"Fred Couples",60,77.5,372,480,"GIRPercentagefromFairway",2008
39,NA,"Jeff Overton",103,77.47,581,750,"GIRPercentagefromFairway",2008
40,NA,"Mark Wilson",107,77.46,818,1056,"GIRPercentagefromFairway",2008
41,NA,"Brandt Jobe",52,77.45,316,408,"GIRPercentagefromFairway",2008
42,NA,"Jeff Gove",50,77.42,360,465,"GIRPercentagefromFairway",2008
43,NA,"Stewart Cink",87,77.4,483,624,"GIRPercentagefromFairway",2008
44,NA,"Dean Wilson",109,77.38,698,902,"GIRPercentagefromFairway",2008
45,NA,"Bo Van Pelt",101,77.35,649,839,"GIRPercentagefromFairway",2008
46,NA,"Mike Weir",88,77.3,589,762,"GIRPercentagefromFairway",2008
47,NA,"Tommy Armour III",77,77.29,497,643,"GIRPercentagefromFairway",2008
48,NA,"John Senden",93,77.26,676,875,"GIRPercentagefromFairway",2008
49,NA,"Woody Austin",109,77.23,753,975,"GIRPercentagefromFairway",2008
50,NA,"Charles Warren",79,77.12,556,721,"GIRPercentagefromFairway",2008
51,NA,"Paul Casey",55,76.99,348,452,"GIRPercentagefromFairway",2008
51,NA,"Ryan Palmer",69,76.99,425,552,"GIRPercentagefromFairway",2008
53,NA,"Dudley Hart",74,76.96,461,599,"GIRPercentagefromFairway",2008
54,NA,"Boo Weekley",86,76.89,579,753,"GIRPercentagefromFairway",2008
55,NA,"James Driscoll",85,76.83,451,587,"GIRPercentagefromFairway",2008
56,NA,"Tommy Gainey",60,76.8,331,431,"GIRPercentagefromFairway",2008
57,NA,"Charlie Wi",97,76.79,698,909,"GIRPercentagefromFairway",2008
58,NA,"Pat Perez",93,76.75,624,813,"GIRPercentagefromFairway",2008
59,NA,"Lucas Glover",91,76.7,599,781,"GIRPercentagefromFairway",2008
60,NA,"Bubba Watson",97,76.64,561,732,"GIRPercentagefromFairway",2008
61,NA,"KJ Choi",74,76.49,462,604,"GIRPercentagefromFairway",2008
61,NA,"Brett Quigley",80,76.49,514,672,"GIRPercentagefromFairway",2008
63,NA,"Jim McGovern",75,76.43,467,611,"GIRPercentagefromFairway",2008
64,NA,"YE Yang",89,76.36,588,770,"GIRPercentagefromFairway",2008
65,NA,"Jim Furyk",95,76.28,698,915,"GIRPercentagefromFairway",2008
65,NA,"Billy Mayfair",103,76.28,791,1037,"GIRPercentagefromFairway",2008
67,NA,"Jason Gore",94,76.27,675,885,"GIRPercentagefromFairway",2008
68,NA,"Charley Hoffman",94,76.23,622,816,"GIRPercentagefromFairway",2008
69,NA,"DJ Trahan",94,76.2,650,853,"GIRPercentagefromFairway",2008
70,NA,"Davis Love III",78,76.18,483,634,"GIRPercentagefromFairway",2008
71,NA,"Mark Hensby",71,76.12,440,578,"GIRPercentagefromFairway",2008
72,NA,"Bob Estes",90,76.07,620,815,"GIRPercentagefromFairway",2008
73,NA,"Vaughn Taylor",103,76.06,683,898,"GIRPercentagefromFairway",2008
74,NA,"Brenden Pappas",66,76.04,365,480,"GIRPercentagefromFairway",2008
75,NA,"Angel Cabrera",55,76.02,279,367,"GIRPercentagefromFairway",2008
76,NA,"Adam Scott",51,76,285,375,"GIRPercentagefromFairway",2008
76,NA,"Bob Tway",70,76,456,600,"GIRPercentagefromFairway",2008
78,NA,"Sean OHair",81,75.99,519,683,"GIRPercentagefromFairway",2008
79,NA,"Stephen Ames",83,75.97,547,720,"GIRPercentagefromFairway",2008
80,NA,"Camilo Villegas",79,75.91,482,635,"GIRPercentagefromFairway",2008
81,NA,"Bill Haas",99,75.88,601,792,"GIRPercentagefromFairway",2008
82,NA,"Brad Adamonis",87,75.86,509,671,"GIRPercentagefromFairway",2008
83,NA,"Dustin Johnson",92,75.85,515,679,"GIRPercentagefromFairway",2008
84,NA,"Trevor Immelman",70,75.84,449,592,"GIRPercentagefromFairway",2008
84,NA,"Freddie Jacobson",78,75.84,496,654,"GIRPercentagefromFairway",2008
86,NA,"Rod Pampling",83,75.82,555,732,"GIRPercentagefromFairway",2008
87,NA,"Carl Pettersson",110,75.73,696,919,"GIRPercentagefromFairway",2008
88,NA,"Joe Ogilvie",100,75.66,662,875,"GIRPercentagefromFairway",2008
89,NA,"Matt Kuchar",88,75.5,567,751,"GIRPercentagefromFairway",2008
89,NA,"Jeff Maggert",86,75.5,604,800,"GIRPercentagefromFairway",2008
91,NA,"Michael Allen",91,75.4,665,882,"GIRPercentagefromFairway",2008
92,NA,"Brad Elder",67,75.33,394,523,"GIRPercentagefromFairway",2008
93,NA,"Tag Ridings",88,75.28,536,712,"GIRPercentagefromFairway",2008
94,NA,"Eric Axley",113,75.12,643,856,"GIRPercentagefromFairway",2008
95,NA,"Tom Lehman",51,75.11,332,442,"GIRPercentagefromFairway",2008
96,NA,"Ben Crane",86,75.09,609,811,"GIRPercentagefromFairway",2008
97,NA,"Kevin Stadler",90,75.07,533,710,"GIRPercentagefromFairway",2008
98,NA,"Tim Wilkinson",95,75.06,608,810,"GIRPercentagefromFairway",2008
99,NA,"Steve Elkington",84,75,618,824,"GIRPercentagefromFairway",2008
99,NA,"Steve Flesch",95,75,606,808,"GIRPercentagefromFairway",2008
101,NA,"Bob Sowards",61,74.95,350,467,"GIRPercentagefromFairway",2008
102,NA,"Todd Demsey",80,74.93,532,710,"GIRPercentagefromFairway",2008
102,NA,"Ken Duke",116,74.93,753,1005,"GIRPercentagefromFairway",2008
104,NA,"Richard Johnson",60,74.9,361,482,"GIRPercentagefromFairway",2008
105,NA,"Ernie Els",51,74.81,297,397,"GIRPercentagefromFairway",2008
106,NA,"Brandt Snedeker",85,74.68,531,711,"GIRPercentagefromFairway",2008
107,NA,"Steve Allan",58,74.63,303,406,"GIRPercentagefromFairway",2008
108,NA,"Zach Johnson",85,74.6,649,870,"GIRPercentagefromFairway",2008
108,NA,"Cliff Kresge",84,74.6,517,693,"GIRPercentagefromFairway",2008
110,NA,"Gavin Coles",54,74.57,343,460,"GIRPercentagefromFairway",2008
111,NA,"Frank Lickliter II",107,74.56,721,967,"GIRPercentagefromFairway",2008
112,NA,"Matt Jones",95,74.53,515,691,"GIRPercentagefromFairway",2008
113,NA,"David Toms",70,74.32,463,623,"GIRPercentagefromFairway",2008
114,NA,"Chris Riley",51,74.31,295,397,"GIRPercentagefromFairway",2008
115,NA,"Rich Beem",90,74.29,624,840,"GIRPercentagefromFairway",2008
116,NA,"Jimmy Walker",73,74.27,355,478,"GIRPercentagefromFairway",2008
117,NA,"Chez Reavie",102,74.22,734,989,"GIRPercentagefromFairway",2008
118,NA,"Will Ma Kenzie",62,74.21,400,539,"GIRPercentagefromFairway",2008
119,NA,"Marco Dawson",64,74.09,346,467,"GIRPercentagefromFairway",2008
119,NA,"Doug LaBelle II",65,74.09,409,552,"GIRPercentagefromFairway",2008
121,NA,"Stuart Appleby",87,74.05,505,682,"GIRPercentagefromFairway",2008
122,NA,"Ryan Armour",87,74.04,596,805,"GIRPercentagefromFairway",2008
123,NA,"Peter Lonard",92,74.01,598,808,"GIRPercentagefromFairway",2008
124,NA,"Tom Pernice Jr",104,73.97,685,926,"GIRPercentagefromFairway",2008
125,NA,"Ron Whittaker",54,73.96,355,480,"GIRPercentagefromFairway",2008
126,NA,"Cameron Beckman",87,73.92,550,744,"GIRPercentagefromFairway",2008
127,NA,"Nicholas Thompson",113,73.9,736,996,"GIRPercentagefromFairway",2008
128,NA,"Alex Cejka",75,73.89,464,628,"GIRPercentagefromFairway",2008
129,NA,"Jerry Kelly",89,73.84,573,776,"GIRPercentagefromFairway",2008
130,NA,"Heath Slocum",104,73.81,792,1073,"GIRPercentagefromFairway",2008
131,NA,"Shane Bertsch",96,73.75,694,941,"GIRPercentagefromFairway",2008
132,NA,"Patrick Sheehan",124,73.72,791,1073,"GIRPercentagefromFairway",2008
133,NA,"Jay Williamson",96,73.63,631,857,"GIRPercentagefromFairway",2008
134,NA,"Tim Clark",90,73.55,595,809,"GIRPercentagefromFairway",2008
134,NA,"Lee Janzen",89,73.55,534,726,"GIRPercentagefromFairway",2008
136,NA,"Jason Day",81,73.5,502,683,"GIRPercentagefromFairway",2008
137,NA,"Paul Claxton",63,73.49,413,562,"GIRPercentagefromFairway",2008
138,NA,"Scott Verplank",82,73.41,613,835,"GIRPercentagefromFairway",2008
139,NA,"Nick Flanagan",89,73.38,543,740,"GIRPercentagefromFairway",2008
139,NA,"Marc Turnesa",87,73.38,554,755,"GIRPercentagefromFairway",2008
141,NA,"Tim Petrovic",97,73.33,605,825,"GIRPercentagefromFairway",2008
142,NA,"David Duval",51,73.28,255,348,"GIRPercentagefromFairway",2008
143,NA,"Craig Kanada",65,73.2,418,571,"GIRPercentagefromFairway",2008
144,NA,"Billy Andrade",71,73.19,404,552,"GIRPercentagefromFairway",2008
145,NA,"Johnson Wagner",83,73.13,498,681,"GIRPercentagefromFairway",2008
146,NA,"Jonathan Byrd",88,73.09,584,799,"GIRPercentagefromFairway",2008
147,NA,"Ben Curtis",80,73.01,522,715,"GIRPercentagefromFairway",2008
148,NA,"Jason Allred",63,72.94,318,436,"GIRPercentagefromFairway",2008
149,NA,"Scott McCarron",63,72.91,444,609,"GIRPercentagefromFairway",2008
150,NA,"Geoff Ogilvy",65,72.83,378,519,"GIRPercentagefromFairway",2008
151,NA,"Michael Letzig",88,72.81,549,754,"GIRPercentagefromFairway",2008
152,NA,"Jeff Quinney",87,72.78,548,753,"GIRPercentagefromFairway",2008
153,NA,"Todd Hamilton",92,72.73,624,858,"GIRPercentagefromFairway",2008
154,NA,"Chris DiMarco",87,72.68,556,765,"GIRPercentagefromFairway",2008
155,NA,"Ryuji Imada",80,72.63,483,665,"GIRPercentagefromFairway",2008
156,NA,"Robert Gamez",79,72.61,570,785,"GIRPercentagefromFairway",2008
