"RoughProximity_RANKTHISWEEK_2015","RoughProximity_RANKLASTWEEK_2015","RoughProximity_PLAYERNAME_2015","RoughProximity_ROUNDS_2015","RoughProximity_AVG_2015","RoughProximity_TOTALDISTANCEINCHES_2015","RoughProximity_ATTEMPTS_2015","RoughProximity_TOTALDISTANCEFEET_2015","RoughProximity_RELATIVETOPAR_2015","stat_name","year"
1,1,"Jordan Spieth",91,NA,100614,223,8384.5,0,"RoughProximity",2015
2,2,"Nicholas Thompson",90,NA,93197,205,7766.417,43,"RoughProximity",2015
3,3,"Jim Furyk",71,NA,68826,150,5735.5,3,"RoughProximity",2015
4,4,"Blayne Barber",76,NA,108021,229,9001.75,24,"RoughProximity",2015
5,5,"Eric Axley",57,NA,82897,175,6908.083,20,"RoughProximity",2015
6,6,"Bubba Watson",71,NA,117147,245,9762.25,-8,"RoughProximity",2015
7,7,"Louis Oosthuizen",68,NA,83222,173,6935.167,6,"RoughProximity",2015
8,8,"Carl Pettersson",106,NA,165167,343,13763.917,35,"RoughProximity",2015
9,9,"Justin Rose",69,NA,70225,144,5852.083,26,"RoughProximity",2015
10,10,"Martin Flores",95,NA,166408,338,13867.333,4,"RoughProximity",2015
10,10,"Shawn Stefani",94,NA,145018,295,12084.833,31,"RoughProximity",2015
12,12,"Jason Bohn",95,NA,103819,210,8651.583,26,"RoughProximity",2015
13,13,"Ben Crane",62,NA,82247,166,6853.917,20,"RoughProximity",2015
13,13,"Greg Owen",58,NA,78654,159,6554.5,23,"RoughProximity",2015
15,15,"Brendan Steele",88,NA,126472,255,10539.333,13,"RoughProximity",2015
16,16,"Paul Casey",87,NA,119936,241,9994.667,9,"RoughProximity",2015
17,17,"Chez Reavie",56,NA,58833,118,4902.75,21,"RoughProximity",2015
18,18,"Angel Cabrera",53,NA,84446,169,7037.167,27,"RoughProximity",2015
18,18,"Jason Day",75,NA,127426,255,10618.833,1,"RoughProximity",2015
18,18,"Dustin Johnson",75,NA,113466,227,9455.5,18,"RoughProximity",2015
18,18,"Patrick Rodgers",57,NA,94441,189,7870.083,24,"RoughProximity",2015
22,22,"Billy Hurley III",83,NA,115253,230,9604.417,38,"RoughProximity",2015
22,22,"Scott Langley",94,NA,138850,277,11570.833,30,"RoughProximity",2015
24,24,"Jason Gore",76,NA,91943,183,7661.917,26,"RoughProximity",2015
25,25,"Bill Haas",89,NA,117787,234,9815.583,3,"RoughProximity",2015
25,25,"JB Holmes",89,NA,137243,273,11436.917,26,"RoughProximity",2015
25,25,"William McGirt",103,NA,148344,295,12362,40,"RoughProximity",2015
28,28,"Stewart Cink",77,NA,122010,242,10167.5,19,"RoughProximity",2015
28,28,"Ryan Palmer",80,NA,108775,216,9064.583,2,"RoughProximity",2015
30,30,"Brendon de Jonge",106,NA,154509,306,12875.75,25,"RoughProximity",2015
30,30,"Charley Hoffman",97,NA,143283,284,11940.25,24,"RoughProximity",2015
30,30,"Jason Kokrak",88,NA,167243,331,13936.917,9,"RoughProximity",2015
30,30,"Danny Lee",120,NA,156606,310,13050.5,32,"RoughProximity",2015
34,34,"Steven Bowditch",103,NA,192356,380,16029.667,22,"RoughProximity",2015
35,35,"Hideki Matsuyama",95,NA,119247,235,9937.25,20,"RoughProximity",2015
35,35,"Charl Schwartzel",67,NA,73461,145,6121.75,14,"RoughProximity",2015
35,35,"Nick Taylor",91,NA,167467,330,13955.583,57,"RoughProximity",2015
35,35,"Brendon Todd",96,NA,115143,227,9595.25,17,"RoughProximity",2015
39,39,"SJ Park",79,NA,95727,188,7977.25,18,"RoughProximity",2015
40,40,"Charlie Beljan",76,NA,114224,224,9518.667,31,"RoughProximity",2015
40,40,"Jon Curran",83,NA,105997,208,8833.083,41,"RoughProximity",2015
40,40,"Martin Laird",77,NA,128945,253,10745.417,28,"RoughProximity",2015
40,40,"Patrick Reed",103,NA,160197,314,13349.75,7,"RoughProximity",2015
40,40,"Brian Stuard",97,NA,110666,217,9222.167,36,"RoughProximity",2015
45,45,"Chris Stroud",84,NA,111851,219,9320.917,47,"RoughProximity",2015
45,45,"Lee Westwood",56,NA,61861,121,5155.083,27,"RoughProximity",2015
47,47,"Robert Allenby",63,NA,83440,163,6953.333,30,"RoughProximity",2015
47,47,"George McNeill",93,NA,141852,277,11821,21,"RoughProximity",2015
49,49,"Alex Cejka",94,NA,143617,280,11968.083,24,"RoughProximity",2015
49,49,"Kyle Reifers",96,NA,142502,278,11875.167,35,"RoughProximity",2015
49,49,"Jim Renner",68,NA,110745,216,9228.75,43,"RoughProximity",2015
49,49,"Daniel Summerhays",101,NA,177991,347,14832.583,27,"RoughProximity",2015
53,53,"Oscar Fraustro",58,NA,80667,157,6722.25,18,"RoughProximity",2015
53,53,"Kevin Kisner",104,NA,156873,305,13072.75,38,"RoughProximity",2015
53,53,"Hudson Swafford",97,NA,140898,274,11741.5,25,"RoughProximity",2015
56,56,"Morgan Hoffmann",85,NA,142036,276,11836.333,12,"RoughProximity",2015
56,56,"Justin Thomas",106,NA,178350,346,14862.5,25,"RoughProximity",2015
58,58,"Rickie Fowler",76,NA,101177,196,8431.417,25,"RoughProximity",2015
58,58,"Ryo Ishikawa",90,NA,141893,275,11824.417,20,"RoughProximity",2015
60,60,"John Merrick",78,NA,88460,171,7371.667,27,"RoughProximity",2015
60,60,"Ryan Moore",81,NA,94077,182,7839.75,18,"RoughProximity",2015
62,62,"Tom Hoge",83,NA,126974,245,10581.167,24,"RoughProximity",2015
63,63,"Jonas Blixt",78,NA,101782,196,8481.833,27,"RoughProximity",2015
63,63,"Matt Kuchar",97,NA,138700,267,11558.333,11,"RoughProximity",2015
63,63,"Scott Stallings",60,NA,84592,163,7049.333,19,"RoughProximity",2015
63,63,"Johnson Wagner",68,NA,98658,190,8221.5,23,"RoughProximity",2015
67,67,"Tony Finau",106,NA,204427,393,17035.583,-2,"RoughProximity",2015
67,67,"Jerry Kelly",79,NA,98239,189,8186.583,11,"RoughProximity",2015
67,67,"Davis Love III",51,NA,76489,147,6374.083,17,"RoughProximity",2015
67,67,"Mark Wilson",89,NA,143948,277,11995.667,29,"RoughProximity",2015
71,71,"Derek Ernst",75,NA,121401,232,10116.75,26,"RoughProximity",2015
72,72,"Harris English",105,NA,172385,329,14365.417,31,"RoughProximity",2015
72,72,"Pat Perez",96,NA,132050,252,11004.167,18,"RoughProximity",2015
72,72,"Scott Piercy",90,NA,153918,294,12826.5,36,"RoughProximity",2015
75,75,"Max Homa",78,NA,138001,263,11500.083,35,"RoughProximity",2015
75,75,"Russell Knox",96,NA,121844,232,10153.667,21,"RoughProximity",2015
75,75,"Brooks Koepka",84,NA,133311,254,11109.25,4,"RoughProximity",2015
75,75,"Hunter Mahan",88,NA,142729,272,11894.083,31,"RoughProximity",2015
75,75,"Kevin Streelman",95,NA,103893,198,8657.75,17,"RoughProximity",2015
75,75,"Tim Wilkinson",73,NA,104963,200,8746.917,42,"RoughProximity",2015
81,81,"Steven Alker",62,NA,73598,140,6133.167,33,"RoughProximity",2015
81,81,"Brian Harman",90,NA,133075,253,11089.583,21,"RoughProximity",2015
83,83,"Roberto Castro",54,NA,57488,109,4790.667,21,"RoughProximity",2015
83,83,"Jeff Overton",94,NA,151691,288,12640.917,36,"RoughProximity",2015
85,85,"Chad Collins",79,NA,117694,223,9807.833,21,"RoughProximity",2015
85,85,"James Hahn",94,NA,136327,258,11360.583,18,"RoughProximity",2015
85,85,"Geoff Ogilvy",50,NA,68632,130,5719.333,23,"RoughProximity",2015
88,88,"Lucas Glover",79,NA,123262,233,10271.833,51,"RoughProximity",2015
88,88,"Spencer Levin",99,NA,120014,227,10001.167,45,"RoughProximity",2015
90,90,"Jason Dufner",76,NA,81051,153,6754.25,10,"RoughProximity",2015
90,90,"Retief Goosen",81,NA,127758,241,10646.5,33,"RoughProximity",2015
90,90,"Chesson Hadley",101,NA,176932,334,14744.333,59,"RoughProximity",2015
90,90,"Adam Scott",51,NA,69418,131,5784.833,30,"RoughProximity",2015
90,90,"Nick Watney",91,NA,146147,276,12178.917,45,"RoughProximity",2015
95,95,"Chad Campbell",97,NA,159436,300,13286.333,39,"RoughProximity",2015
95,95,"Brian Davis",86,NA,125248,236,10437.333,42,"RoughProximity",2015
95,95,"Ben Martin",93,NA,134451,253,11204.25,61,"RoughProximity",2015
95,95,"Camilo Villegas",83,NA,168229,317,14019.083,31,"RoughProximity",2015
99,99,"Ricky Barnes",82,NA,142471,268,11872.583,31,"RoughProximity",2015
100,100,"Andres Gonzales",90,NA,153637,288,12803.083,40,"RoughProximity",2015
100,100,"David Lingmerth",90,NA,128347,241,10695.583,32,"RoughProximity",2015
100,100,"Cameron Percy",72,NA,119991,225,9999.25,35,"RoughProximity",2015
100,100,"Michael Putnam",87,NA,129466,243,10788.833,39,"RoughProximity",2015
104,104,"Graham DeLaet",65,NA,92424,173,7702,32,"RoughProximity",2015
105,105,"DA Points",72,NA,132244,247,11020.333,23,"RoughProximity",2015
106,106,"Greg Chalmers",58,NA,69635,130,5802.917,21,"RoughProximity",2015
106,106,"Fabian Gomez",83,NA,131250,245,10937.5,63,"RoughProximity",2015
108,108,"Daniel Berger",97,NA,153591,286,12799.25,21,"RoughProximity",2015
108,108,"Alex Prugh",84,NA,132747,247,11062.25,33,"RoughProximity",2015
108,108,"Andrew Putnam",68,NA,113916,212,9493,41,"RoughProximity",2015
108,108,"Steve Wheatcroft",87,NA,137968,257,11497.333,46,"RoughProximity",2015
108,108,"Will Wilcox",58,NA,67615,126,5634.583,9,"RoughProximity",2015
113,113,"Luke Guthrie",84,NA,136197,253,11349.75,24,"RoughProximity",2015
113,113,"Boo Weekley",79,NA,121501,226,10125.083,18,"RoughProximity",2015
115,115,"Keegan Bradley",87,NA,99713,185,8309.417,11,"RoughProximity",2015
115,115,"Brandt Snedeker",98,NA,153489,285,12790.75,34,"RoughProximity",2015
115,115,"David Toms",62,NA,68976,128,5748,23,"RoughProximity",2015
118,118,"Gonzalo Fdez Castano",81,NA,111244,206,9270.333,33,"RoughProximity",2015
118,118,"Mark Hubbard",79,NA,107960,200,8996.667,43,"RoughProximity",2015
118,118,"Vijay Singh",78,NA,146418,271,12201.5,26,"RoughProximity",2015
121,121,"Bryce Molder",91,NA,121276,224,10106.333,26,"RoughProximity",2015
122,122,"Scott Pinckney",88,NA,142957,264,11913.083,33,"RoughProximity",2015
123,123,"Erik Compton",86,NA,135192,249,11266,25,"RoughProximity",2015
