"BirdieAverage_RANKTHISWEEK_2007","BirdieAverage_RANKLASTWEEK_2007","BirdieAverage_PLAYERNAME_2007","BirdieAverage_ROUNDS_2007","BirdieAverage_AVG_2007","BirdieAverage_OFBIRDIES_2007","BirdieAverage_TOTALROUNDS_2007","stat_name","year"
1,1,"Tiger Woods",63,4.03,242,60,"BirdieAverage",2007
2,2,"Freddie Jacobson",70,4.01,281,70,"BirdieAverage",2007
3,3,"Jonathan Byrd",73,3.89,284,73,"BirdieAverage",2007
4,4,"Jesper Parnevik",88,3.88,341,88,"BirdieAverage",2007
5,5,"Mark Calcavecchia",93,3.87,360,93,"BirdieAverage",2007
6,6,"Adam Scott",69,3.85,262,68,"BirdieAverage",2007
7,7,"Justin Rose",63,3.81,225,59,"BirdieAverage",2007
8,8,"Lucas Glover",98,3.77,366,97,"BirdieAverage",2007
9,9,"Charles Warren",101,3.76,380,101,"BirdieAverage",2007
10,10,"Kevin Na",84,3.74,314,84,"BirdieAverage",2007
11,11,"JB Holmes",71,3.72,264,71,"BirdieAverage",2007
11,11,"Jay Williamson",50,3.72,186,50,"BirdieAverage",2007
13,13,"Steve Allan",63,3.71,234,63,"BirdieAverage",2007
13,13,"Anthony Kim",93,3.71,345,93,"BirdieAverage",2007
13,13,"Joe Ogilvie",102,3.71,378,102,"BirdieAverage",2007
13,13,"Geoff Ogilvy",84,3.71,289,78,"BirdieAverage",2007
17,17,"Charley Hoffman",97,3.7,359,97,"BirdieAverage",2007
17,17,"Phil Mickelson",73,3.7,263,71,"BirdieAverage",2007
19,19,"Brendon de Jonge",76,3.68,280,76,"BirdieAverage",2007
19,19,"Bubba Watson",80,3.68,294,80,"BirdieAverage",2007
21,21,"Daniel Chopra",106,3.67,389,106,"BirdieAverage",2007
21,21,"Vaughn Taylor",91,3.67,334,91,"BirdieAverage",2007
23,23,"Robert Garrigus",95,3.65,347,95,"BirdieAverage",2007
23,23,"Bob Heintz",85,3.65,310,85,"BirdieAverage",2007
23,23,"Jeff Overton",60,3.65,219,60,"BirdieAverage",2007
23,23,"Carl Pettersson",111,3.65,401,110,"BirdieAverage",2007
23,23,"Rory Sabbatini",81,3.65,288,79,"BirdieAverage",2007
28,28,"Ernie Els",59,3.64,211,58,"BirdieAverage",2007
29,29,"Cameron Beckman",96,3.63,348,96,"BirdieAverage",2007
29,29,"Ryuji Imada",104,3.63,377,104,"BirdieAverage",2007
31,31,"Bo Van Pelt",104,3.62,376,104,"BirdieAverage",2007
32,32,"Rich Beem",89,3.61,321,89,"BirdieAverage",2007
32,32,"Alex Cejka",80,3.61,289,80,"BirdieAverage",2007
32,32,"John Daly",59,3.61,213,59,"BirdieAverage",2007
32,32,"Jim Furyk",84,3.61,296,82,"BirdieAverage",2007
32,32,"Sergio Garcia",68,3.61,238,66,"BirdieAverage",2007
32,32,"Vijay Singh",102,3.61,361,100,"BirdieAverage",2007
32,32,"Steve Stricker",81,3.61,289,80,"BirdieAverage",2007
39,39,"Robert Allenby",90,3.6,320,89,"BirdieAverage",2007
39,39,"Bob Estes",88,3.6,317,88,"BirdieAverage",2007
41,41,"Aaron Baddeley",83,3.59,287,80,"BirdieAverage",2007
41,41,"Bart Bryant",87,3.59,309,86,"BirdieAverage",2007
43,43,"Craig Barlow",52,3.58,186,52,"BirdieAverage",2007
43,43,"JP Hayes",89,3.58,319,89,"BirdieAverage",2007
43,43,"Steve Lowery",74,3.58,265,74,"BirdieAverage",2007
43,43,"Rocco Mediate",72,3.58,258,72,"BirdieAverage",2007
43,43,"John Merrick",92,3.58,329,92,"BirdieAverage",2007
43,43,"Tag Ridings",52,3.58,186,52,"BirdieAverage",2007
43,43,"Paul Stankowski",52,3.58,186,52,"BirdieAverage",2007
50,50,"Briny Baird",115,3.57,411,115,"BirdieAverage",2007
50,50,"Steve Marino",106,3.57,378,106,"BirdieAverage",2007
50,50,"Nick Watney",87,3.57,311,87,"BirdieAverage",2007
53,53,"KJ Choi",87,3.55,302,85,"BirdieAverage",2007
53,53,"Stewart Cink",91,3.55,312,88,"BirdieAverage",2007
53,53,"Brian Davis",101,3.55,359,101,"BirdieAverage",2007
53,53,"Jason Gore",86,3.55,305,86,"BirdieAverage",2007
53,53,"Sean OHair",98,3.55,348,98,"BirdieAverage",2007
58,58,"Hunter Mahan",91,3.54,322,91,"BirdieAverage",2007
58,58,"Chris Riley",59,3.54,209,59,"BirdieAverage",2007
58,58,"Camilo Villegas",82,3.54,290,82,"BirdieAverage",2007
61,61,"Woody Austin",95,3.53,335,95,"BirdieAverage",2007
61,61,"Mathias Gronberg",95,3.53,335,95,"BirdieAverage",2007
61,61,"Padraig Harrington",64,3.53,219,62,"BirdieAverage",2007
61,61,"Kent Jones",97,3.53,342,97,"BirdieAverage",2007
61,61,"Tim Petrovic",106,3.53,374,106,"BirdieAverage",2007
66,66,"Jeff Quinney",95,3.52,334,95,"BirdieAverage",2007
67,67,"Will Ma Kenzie",100,3.51,351,100,"BirdieAverage",2007
67,67,"Ryan Moore",92,3.51,323,92,"BirdieAverage",2007
67,67,"Brett Wetterich",88,3.51,305,87,"BirdieAverage",2007
70,70,"Heath Slocum",101,3.5,354,101,"BirdieAverage",2007
71,71,"Frank Lickliter II",95,3.49,332,95,"BirdieAverage",2007
71,71,"Pat Perez",84,3.49,293,84,"BirdieAverage",2007
71,71,"Charlie Wi",90,3.49,314,90,"BirdieAverage",2007
74,74,"Darron Stiles",65,3.48,226,65,"BirdieAverage",2007
75,75,"Harrison Frazar",88,3.47,305,88,"BirdieAverage",2007
75,75,"Jarrod Lyle",77,3.47,267,77,"BirdieAverage",2007
75,75,"John Senden",97,3.47,337,97,"BirdieAverage",2007
78,78,"Ryan Armour",107,3.46,370,107,"BirdieAverage",2007
78,78,"Brian Gay",107,3.46,370,107,"BirdieAverage",2007
80,80,"Craig Bowden",78,3.45,269,78,"BirdieAverage",2007
80,80,"Nathan Green",103,3.45,355,103,"BirdieAverage",2007
82,82,"Billy Andrade",88,3.44,303,88,"BirdieAverage",2007
82,82,"Tim Clark",66,3.44,220,64,"BirdieAverage",2007
82,82,"Bill Haas",93,3.44,320,93,"BirdieAverage",2007
82,82,"David Toms",80,3.44,265,77,"BirdieAverage",2007
82,82,"Boo Weekley",101,3.44,347,101,"BirdieAverage",2007
87,87,"Michael Allen",74,3.43,254,74,"BirdieAverage",2007
87,87,"George McNeill",95,3.43,326,95,"BirdieAverage",2007
89,89,"Jeff Maggert",79,3.42,270,79,"BirdieAverage",2007
89,89,"Kenny Perry",83,3.42,284,83,"BirdieAverage",2007
91,91,"Johnson Wagner",97,3.41,331,97,"BirdieAverage",2007
92,92,"Rich Barcelo",80,3.4,272,80,"BirdieAverage",2007
92,92,"Andrew Buckle",77,3.4,262,77,"BirdieAverage",2007
92,92,"Marco Dawson",73,3.4,248,73,"BirdieAverage",2007
92,92,"Kevin Sutherland",85,3.4,289,85,"BirdieAverage",2007
96,96,"Scott Gutschewski",67,3.39,227,67,"BirdieAverage",2007
96,96,"Tom Johnson",74,3.39,251,74,"BirdieAverage",2007
98,98,"Craig Kanada",109,3.38,368,109,"BirdieAverage",2007
98,98,"Troy Matteson",87,3.38,294,87,"BirdieAverage",2007
98,98,"Chris Stroud",66,3.38,223,66,"BirdieAverage",2007
101,101,"Luke Donald",69,3.37,226,67,"BirdieAverage",2007
101,101,"Brandt Snedeker",105,3.37,354,105,"BirdieAverage",2007
103,103,"Cliff Kresge",107,3.36,360,107,"BirdieAverage",2007
103,103,"Bob Tway",103,3.36,346,103,"BirdieAverage",2007
103,103,"Duffy Waldorf",69,3.36,232,69,"BirdieAverage",2007
106,106,"Billy Mayfair",98,3.35,328,98,"BirdieAverage",2007
106,106,"Parker McLachlin",83,3.35,278,83,"BirdieAverage",2007
108,108,"Tim Herron",98,3.34,327,98,"BirdieAverage",2007
108,108,"John Rollins",102,3.34,337,101,"BirdieAverage",2007
110,110,"Jason Dufner",100,3.33,333,100,"BirdieAverage",2007
