"GIRPuttingAvg3035_RANKTHISWEEK_2006","GIRPuttingAvg3035_RANKLASTWEEK_2006","GIRPuttingAvg3035_PLAYERNAME_2006","GIRPuttingAvg3035_ROUNDS_2006","GIRPuttingAvg3035_PctMADE_2006","GIRPuttingAvg3035_ATTEMPTS_2006","GIRPuttingAvg3035_PUTTSMADE_2006","stat_name","year"
1,1,"Geoff Ogilvy",76,1.62,37,6,"GIRPuttingAvg3035",2006
2,2,"Freddie Jacobson",56,1.57,51,8,"GIRPuttingAvg3035",2006
3,3,"Rich Beem",85,1.54,52,8,"GIRPuttingAvg3035",2006
4,4,"Retief Goosen",68,1.46,41,6,"GIRPuttingAvg3035",2006
5,5,"David McKenzie",82,1.36,66,9,"GIRPuttingAvg3035",2006
6,6,"Craig Barlow",77,1.28,47,6,"GIRPuttingAvg3035",2006
7,7,"Bo Van Pelt",102,1.23,73,9,"GIRPuttingAvg3035",2006
8,8,"Mike Sposa",68,1.22,41,5,"GIRPuttingAvg3035",2006
9,9,"Vijay Singh",103,1.21,66,8,"GIRPuttingAvg3035",2006
10,10,"Ryan Moore",68,1.2,50,6,"GIRPuttingAvg3035",2006
11,11,"James Driscoll",80,1.19,59,7,"GIRPuttingAvg3035",2006
12,12,"Ted Purdy",103,1.17,77,9,"GIRPuttingAvg3035",2006
13,13,"Dean Wilson",115,1.14,79,9,"GIRPuttingAvg3035",2006
14,14,"Alex Aragon",63,1.11,36,4,"GIRPuttingAvg3035",2006
14,14,"Danny Ellis",68,1.11,45,5,"GIRPuttingAvg3035",2006
14,14,"Mathias Gronberg",92,1.11,72,8,"GIRPuttingAvg3035",2006
17,17,"Todd Fischer",101,1.09,55,6,"GIRPuttingAvg3035",2006
17,17,"Chris Riley",86,1.09,55,6,"GIRPuttingAvg3035",2006
19,19,"Bill Haas",99,1.06,85,9,"GIRPuttingAvg3035",2006
20,20,"Chris Smith",67,1.05,57,6,"GIRPuttingAvg3035",2006
21,21,"Frank Lickliter II",99,1.04,77,8,"GIRPuttingAvg3035",2006
21,21,"John Rollins",93,1.04,67,7,"GIRPuttingAvg3035",2006
23,23,"Ernie Els",69,1.03,29,3,"GIRPuttingAvg3035",2006
24,24,"Jim Furyk",89,1.02,59,6,"GIRPuttingAvg3035",2006
24,24,"Robert Gamez",94,1.02,59,6,"GIRPuttingAvg3035",2006
24,24,"Adam Scott",70,1.02,49,5,"GIRPuttingAvg3035",2006
24,24,"Mark Wilson",79,1.02,59,6,"GIRPuttingAvg3035",2006
28,28,"Trevor Immelman",86,1.01,69,7,"GIRPuttingAvg3035",2006
28,28,"Jerry Smith",94,1.01,69,7,"GIRPuttingAvg3035",2006
30,30,"Larry Mize",53,1,40,4,"GIRPuttingAvg3035",2006
30,30,"Jason Schultz",77,1,70,7,"GIRPuttingAvg3035",2006
32,32,"Brian Gay",107,0.99,81,8,"GIRPuttingAvg3035",2006
33,33,"Jonathan Byrd",66,0.98,41,4,"GIRPuttingAvg3035",2006
33,33,"Troy Matteson",101,0.98,61,6,"GIRPuttingAvg3035",2006
35,35,"Shigeki Maruyama",94,0.97,62,6,"GIRPuttingAvg3035",2006
35,35,"DA Points",82,0.97,31,3,"GIRPuttingAvg3035",2006
35,35,"Brett Quigley",109,0.97,72,7,"GIRPuttingAvg3035",2006
38,38,"Bob Tway",81,0.95,74,7,"GIRPuttingAvg3035",2006
39,39,"Marco Dawson",87,0.94,64,6,"GIRPuttingAvg3035",2006
39,39,"JP Hayes",55,0.94,32,3,"GIRPuttingAvg3035",2006
41,41,"Tom Lehman",70,0.93,43,4,"GIRPuttingAvg3035",2006
41,41,"Len Mattiace",59,0.93,43,4,"GIRPuttingAvg3035",2006
43,43,"Brandt Jobe",91,0.92,76,7,"GIRPuttingAvg3035",2006
44,44,"Jason Bohn",104,0.91,77,7,"GIRPuttingAvg3035",2006
44,44,"Daniel Chopra",110,0.91,66,6,"GIRPuttingAvg3035",2006
44,44,"Bob Estes",85,0.91,77,7,"GIRPuttingAvg3035",2006
44,44,"Brad Faxon",78,0.91,55,5,"GIRPuttingAvg3035",2006
48,48,"Fred Funk",106,0.9,78,7,"GIRPuttingAvg3035",2006
49,49,"Jonathan Kaye",95,0.89,90,8,"GIRPuttingAvg3035",2006
50,50,"Omar Uresti",61,0.87,46,4,"GIRPuttingAvg3035",2006
51,51,"Mathew Goggin",72,0.85,59,5,"GIRPuttingAvg3035",2006
52,52,"Jose Maria Olazabal",62,0.83,36,3,"GIRPuttingAvg3035",2006
53,53,"Billy Andrade",78,0.82,49,4,"GIRPuttingAvg3035",2006
53,53,"John Huston",74,0.82,49,4,"GIRPuttingAvg3035",2006
53,53,"Davis Love III",85,0.82,49,4,"GIRPuttingAvg3035",2006
56,56,"Robert Damron",91,0.81,62,5,"GIRPuttingAvg3035",2006
56,56,"Sean OHair",100,0.81,62,5,"GIRPuttingAvg3035",2006
58,58,"Paul Goydos",72,0.8,50,4,"GIRPuttingAvg3035",2006
58,58,"Lee Janzen",79,0.8,50,4,"GIRPuttingAvg3035",2006
58,58,"Jon Mills",68,0.8,50,4,"GIRPuttingAvg3035",2006
58,58,"Joey Sindelar",90,0.8,75,6,"GIRPuttingAvg3035",2006
62,62,"Olin Browne",108,0.79,76,6,"GIRPuttingAvg3035",2006
63,63,"Mark Brooks",90,0.78,64,5,"GIRPuttingAvg3035",2006
