"AveragePuttingDistanceAll3putts_RANKTHISWEEK_2007","AveragePuttingDistanceAll3putts_RANKLASTWEEK_2007","AveragePuttingDistanceAll3putts_PLAYERNAME_2007","AveragePuttingDistanceAll3putts_ROUNDS_2007","AveragePuttingDistanceAll3putts_AVG_2007","AveragePuttingDistanceAll3putts_DISTANCEFEET_2007","AveragePuttingDistanceAll3putts_TOTALPUTTS_2007","stat_name","year"
1,1,"Steve Stricker",81,NA,733.417,15,"AveragePuttingDistanceAll3putts",2007
2,2,"Chris Riley",59,NA,1459.667,30,"AveragePuttingDistanceAll3putts",2007
3,3,"Bryce Molder",56,NA,1137.5,24,"AveragePuttingDistanceAll3putts",2007
4,4,"George McNeill",95,NA,1767.667,38,"AveragePuttingDistanceAll3putts",2007
5,5,"Michael Boyd",61,NA,1205.167,26,"AveragePuttingDistanceAll3putts",2007
5,5,"Mathias Gronberg",95,NA,2642.917,57,"AveragePuttingDistanceAll3putts",2007
7,7,"Freddie Jacobson",70,NA,1104.25,24,"AveragePuttingDistanceAll3putts",2007
8,8,"Jeff Overton",60,NA,1372.75,30,"AveragePuttingDistanceAll3putts",2007
9,9,"Jay Williamson",50,NA,730,16,"AveragePuttingDistanceAll3putts",2007
10,10,"Craig Bowden",78,NA,1618.25,36,"AveragePuttingDistanceAll3putts",2007
11,11,"Heath Slocum",101,NA,1345.083,30,"AveragePuttingDistanceAll3putts",2007
11,11,"Bubba Watson",80,NA,1884.667,42,"AveragePuttingDistanceAll3putts",2007
13,13,"Hunter Mahan",91,NA,1601,36,"AveragePuttingDistanceAll3putts",2007
13,13,"Daisuke Maruyama",86,NA,2313.25,52,"AveragePuttingDistanceAll3putts",2007
15,15,"Bart Bryant",87,NA,1765.417,40,"AveragePuttingDistanceAll3putts",2007
16,16,"Anders Hansen",55,NA,747.5,17,"AveragePuttingDistanceAll3putts",2007
16,16,"Brett Quigley",79,NA,1232.333,28,"AveragePuttingDistanceAll3putts",2007
18,18,"Charlie Wi",90,NA,1448.417,33,"AveragePuttingDistanceAll3putts",2007
19,19,"Tom Johnson",74,NA,2102.25,48,"AveragePuttingDistanceAll3putts",2007
20,20,"Jim Furyk",84,NA,1398.167,32,"AveragePuttingDistanceAll3putts",2007
20,20,"Retief Goosen",50,NA,567.583,13,"AveragePuttingDistanceAll3putts",2007
20,20,"Ryuji Imada",104,NA,1966,45,"AveragePuttingDistanceAll3putts",2007
20,20,"Chris Tidland",59,NA,1178.667,27,"AveragePuttingDistanceAll3putts",2007
24,24,"Parker McLachlin",83,NA,1874.333,43,"AveragePuttingDistanceAll3putts",2007
24,24,"Dean Wilson",92,NA,1351.583,31,"AveragePuttingDistanceAll3putts",2007
26,26,"David Branshaw",83,NA,2122.333,49,"AveragePuttingDistanceAll3putts",2007
26,26,"KJ Choi",87,NA,1386.167,32,"AveragePuttingDistanceAll3putts",2007
26,26,"Luke Donald",69,NA,997,23,"AveragePuttingDistanceAll3putts",2007
26,26,"JB Holmes",71,NA,2513.917,58,"AveragePuttingDistanceAll3putts",2007
26,26,"Trevor Immelman",74,NA,1256,29,"AveragePuttingDistanceAll3putts",2007
31,31,"Tim Petrovic",106,NA,2333.167,54,"AveragePuttingDistanceAll3putts",2007
