"3PuttAvoidance_RANKTHISWEEK_2006","3PuttAvoidance_RANKLASTWEEK_2006","3PuttAvoidance_PLAYERNAME_2006","3PuttAvoidance_ROUNDS_2006","3PuttAvoidance_Pct_2006","3PuttAvoidance_TOTAL3PUTTS_2006","3PuttAvoidance_TOTALHOLESOVERALL_2006","stat_name","year"
1,1,"Jesper Parnevik",84,1.39,21,1512,"3PuttAvoidance",2006
2,2,"Brian Gay",107,1.4,27,1926,"3PuttAvoidance",2006
3,3,"Steve Stricker",64,1.52,17,1116,"3PuttAvoidance",2006
4,4,"Aaron Baddeley",78,1.54,21,1368,"3PuttAvoidance",2006
5,5,"Jim Furyk",89,1.83,29,1584,"3PuttAvoidance",2006
6,6,"Daniel Chopra",110,1.87,36,1926,"3PuttAvoidance",2006
7,7,"Vance Veazey",59,1.88,20,1062,"3PuttAvoidance",2006
8,8,"Richard Johnson",94,1.95,33,1692,"3PuttAvoidance",2006
9,9,"Michael Allen",84,2.05,31,1512,"3PuttAvoidance",2006
10,10,"Ernie Els",69,2.08,24,1152,"3PuttAvoidance",2006
11,11,"Marco Dawson",87,2.17,34,1566,"3PuttAvoidance",2006
12,12,"Eric Axley",91,2.18,35,1602,"3PuttAvoidance",2006
13,13,"Todd Fischer",101,2.19,39,1782,"3PuttAvoidance",2006
14,14,"Jimmy Walker",60,2.2,23,1044,"3PuttAvoidance",2006
15,15,"Brad Faxon",78,2.21,31,1404,"3PuttAvoidance",2006
16,16,"Ben Crane",85,2.22,32,1440,"3PuttAvoidance",2006
16,16,"Ryan Moore",68,2.22,26,1170,"3PuttAvoidance",2006
18,18,"Paul Azinger",87,2.23,35,1566,"3PuttAvoidance",2006
19,19,"Stephen Leaney",84,2.25,34,1512,"3PuttAvoidance",2006
20,20,"Justin Leonard",83,2.32,33,1422,"3PuttAvoidance",2006
21,21,"Shaun Micheel",96,2.33,39,1674,"3PuttAvoidance",2006
21,21,"Phil Mickelson",74,2.33,29,1242,"3PuttAvoidance",2006
23,23,"Ryuji Imada",105,2.34,43,1836,"3PuttAvoidance",2006
23,23,"Zach Johnson",98,2.34,37,1584,"3PuttAvoidance",2006
25,25,"Rod Pampling",89,2.38,36,1512,"3PuttAvoidance",2006
26,26,"Stewart Cink",93,2.4,38,1584,"3PuttAvoidance",2006
26,26,"Larry Mize",53,2.4,22,918,"3PuttAvoidance",2006
