"RightRoughProximity_RANKTHISWEEK_2006","RightRoughProximity_RANKLASTWEEK_2006","RightRoughProximity_PLAYERNAME_2006","RightRoughProximity_ROUNDS_2006","RightRoughProximity_AVG_2006","RightRoughProximity_ATTEMPTS_2006","RightRoughProximity_TOTALDISTANCEFEET_2006","RightRoughProximity_RELATIVETOPAR_2006","stat_name","year"
1,1,"Bob May",65,NA,73,2366.333,5,"RightRoughProximity",2006
2,2,"Freddie Jacobson",56,NA,96,3374.75,16,"RightRoughProximity",2006
3,3,"Jonathan Kaye",95,NA,160,5884.5,14,"RightRoughProximity",2006
3,3,"Kirk Triplett",58,NA,58,2133.75,15,"RightRoughProximity",2006
5,5,"Fred Couples",52,NA,77,2855.333,3,"RightRoughProximity",2006
6,6,"Justin Rose",98,NA,122,4569.583,14,"RightRoughProximity",2006
7,7,"Fred Funk",106,NA,82,3189.5,3,"RightRoughProximity",2006
7,7,"Matt Hansen",68,NA,103,4010,3,"RightRoughProximity",2006
9,9,"Bob Estes",85,NA,142,5544.583,-1,"RightRoughProximity",2006
10,10,"Ian Poulter",53,NA,70,2741.417,6,"RightRoughProximity",2006
11,11,"Marco Dawson",87,NA,131,5140.083,18,"RightRoughProximity",2006
12,12,"Charles Warren",93,NA,113,4447.333,3,"RightRoughProximity",2006
13,13,"Brian Bateman",69,NA,107,4218.417,16,"RightRoughProximity",2006
13,13,"JP Hayes",55,NA,84,3313.917,8,"RightRoughProximity",2006
13,13,"Omar Uresti",61,NA,64,2522.5,19,"RightRoughProximity",2006
16,16,"John Daly",51,NA,83,3276.5,23,"RightRoughProximity",2006
17,17,"Pat Perez",50,NA,98,3884.417,10,"RightRoughProximity",2006
17,17,"Brett Wetterich",82,NA,150,5944.833,21,"RightRoughProximity",2006
19,19,"Tim Clark",80,NA,68,2725.333,15,"RightRoughProximity",2006
19,19,"Sergio Garcia",59,NA,62,2485.833,6,"RightRoughProximity",2006
21,21,"Hidemichi Tanaka",74,NA,111,4470.167,21,"RightRoughProximity",2006
22,22,"Patrick Sheehan",104,NA,150,6051.083,10,"RightRoughProximity",2006
23,23,"Padraig Harrington",54,NA,56,2262.083,2,"RightRoughProximity",2006
23,23,"Davis Love III",85,NA,105,4246.5,8,"RightRoughProximity",2006
25,25,"Steve Stricker",64,NA,77,3126,8,"RightRoughProximity",2006
26,26,"Robert Garrigus",85,NA,157,6396,9,"RightRoughProximity",2006
26,26,"Greg Owen",79,NA,96,3910.917,15,"RightRoughProximity",2006
28,28,"Stewart Cink",93,NA,142,5800,15,"RightRoughProximity",2006
28,28,"Vijay Singh",103,NA,165,6744.25,-2,"RightRoughProximity",2006
30,30,"Chris DiMarco",83,NA,108,4414.917,-5,"RightRoughProximity",2006
30,30,"Ted Purdy",103,NA,140,5724.917,19,"RightRoughProximity",2006
30,30,"Wes Short Jr",96,NA,165,6755.75,42,"RightRoughProximity",2006
30,30,"Joey Sindelar",90,NA,116,4747.75,26,"RightRoughProximity",2006
34,34,"Bo Van Pelt",102,NA,176,7222.583,3,"RightRoughProximity",2006
35,35,"Briny Baird",81,NA,95,3911.25,7,"RightRoughProximity",2006
35,35,"Henrik Bjornstad",97,NA,161,6630.5,13,"RightRoughProximity",2006
35,35,"Kent Jones",103,NA,129,5306.917,18,"RightRoughProximity",2006
35,35,"Phil Mickelson",74,NA,93,3829.25,3,"RightRoughProximity",2006
35,35,"Rory Sabbatini",84,NA,131,5390.333,18,"RightRoughProximity",2006
40,40,"David Toms",76,NA,104,4300.583,14,"RightRoughProximity",2006
41,41,"Shigeki Maruyama",94,NA,161,6663.167,18,"RightRoughProximity",2006
41,41,"Kenny Perry",73,NA,76,3149.417,3,"RightRoughProximity",2006
41,41,"Paul Stankowski",70,NA,106,4392,18,"RightRoughProximity",2006
44,44,"Chris Riley",86,NA,104,4315.583,25,"RightRoughProximity",2006
45,45,"Mark Calcavecchia",94,NA,149,6198.333,13,"RightRoughProximity",2006
46,46,"Robert Damron",91,NA,149,6225,6,"RightRoughProximity",2006
47,47,"Len Mattiace",59,NA,122,5099.25,12,"RightRoughProximity",2006
47,47,"Joe Ogilvie",95,NA,146,6109.667,9,"RightRoughProximity",2006
47,47,"Bubba Watson",83,NA,178,7448.75,17,"RightRoughProximity",2006
50,50,"Bernhard Langer",77,NA,95,3981.333,10,"RightRoughProximity",2006
51,51,"Mathias Gronberg",92,NA,118,4964.583,14,"RightRoughProximity",2006
52,52,"Michael Connell",51,NA,86,3630.583,17,"RightRoughProximity",2006
52,52,"Larry Mize",53,NA,47,1986,12,"RightRoughProximity",2006
54,54,"Daniel Chopra",110,NA,186,7877.5,2,"RightRoughProximity",2006
54,54,"Peter Lonard",77,NA,87,3681.167,16,"RightRoughProximity",2006
56,56,"Robert Allenby",79,NA,90,3817.25,-5,"RightRoughProximity",2006
56,56,"JB Holmes",81,NA,131,5560.583,26,"RightRoughProximity",2006
56,56,"Trevor Immelman",86,NA,161,6827.667,7,"RightRoughProximity",2006
59,59,"Bart Bryant",87,NA,110,4682.417,20,"RightRoughProximity",2006
60,60,"Lee Janzen",79,NA,115,4909.333,21,"RightRoughProximity",2006
