"Scrambling1020ydsRTPScore_RANKTHISWEEK_2014","Scrambling1020ydsRTPScore_RANKLASTWEEK_2014","Scrambling1020ydsRTPScore_PLAYERNAME_2014","Scrambling1020ydsRTPScore_ROUNDS_2014","Scrambling1020ydsRTPScore_AVGRTP_2014","Scrambling1020ydsRTPScore_TOTALHOLES_2014","Scrambling1020ydsRTPScore_TOTALRTP_2014","stat_name","year"
1,1,"Jim Furyk",84,0.199,166,33,"Scrambling1020ydsRTPScore",2014
2,2,"Russell Knox",92,0.232,211,49,"Scrambling1020ydsRTPScore",2014
3,3,"Justin Leonard",75,0.254,177,45,"Scrambling1020ydsRTPScore",2014
4,4,"Jason Day",54,0.256,82,21,"Scrambling1020ydsRTPScore",2014
5,5,"Charlie Wi",72,0.259,205,53,"Scrambling1020ydsRTPScore",2014
6,6,"Brendon Todd",108,0.26,246,64,"Scrambling1020ydsRTPScore",2014
7,7,"Bud Cauley",56,0.263,118,31,"Scrambling1020ydsRTPScore",2014
8,8,"Andres Romero",81,0.264,220,58,"Scrambling1020ydsRTPScore",2014
9,9,"Matt Kuchar",91,0.27,196,53,"Scrambling1020ydsRTPScore",2014
10,10,"Graeme McDowell",66,0.271,129,35,"Scrambling1020ydsRTPScore",2014
11,11,"David Hearn",97,0.272,213,58,"Scrambling1020ydsRTPScore",2014
11,11,"Charl Schwartzel",64,0.272,151,41,"Scrambling1020ydsRTPScore",2014
11,11,"David Toms",64,0.272,125,34,"Scrambling1020ydsRTPScore",2014
14,14,"Mike Weir",69,0.276,152,42,"Scrambling1020ydsRTPScore",2014
15,15,"Jonas Blixt",64,0.281,121,34,"Scrambling1020ydsRTPScore",2014
16,16,"Zach Johnson",97,0.286,199,57,"Scrambling1020ydsRTPScore",2014
17,17,"DH Lee",54,0.287,136,39,"Scrambling1020ydsRTPScore",2014
18,18,"Greg Chalmers",85,0.289,228,66,"Scrambling1020ydsRTPScore",2014
18,18,"Rickie Fowler",91,0.289,149,43,"Scrambling1020ydsRTPScore",2014
20,20,"Brad Fritsch",50,0.291,103,30,"Scrambling1020ydsRTPScore",2014
20,20,"Brian Harman",111,0.291,278,81,"Scrambling1020ydsRTPScore",2014
22,22,"Richard Lee",80,0.294,201,59,"Scrambling1020ydsRTPScore",2014
22,22,"John Senden",99,0.294,194,57,"Scrambling1020ydsRTPScore",2014
24,24,"Sergio Garcia",61,0.295,105,31,"Scrambling1020ydsRTPScore",2014
25,25,"Tim Wilkinson",86,0.296,203,60,"Scrambling1020ydsRTPScore",2014
26,26,"Cameron Tringale",111,0.299,254,76,"Scrambling1020ydsRTPScore",2014
27,27,"Ernie Els",85,0.301,183,55,"Scrambling1020ydsRTPScore",2014
27,27,"Kevin Na",94,0.301,219,66,"Scrambling1020ydsRTPScore",2014
27,27,"Heath Slocum",71,0.301,153,46,"Scrambling1020ydsRTPScore",2014
30,30,"Justin Rose",70,0.303,122,37,"Scrambling1020ydsRTPScore",2014
31,31,"Luke Donald",57,0.304,112,34,"Scrambling1020ydsRTPScore",2014
32,32,"Patrick Reed",92,0.305,200,61,"Scrambling1020ydsRTPScore",2014
33,33,"Gonzalo Fdez Castano",83,0.306,206,63,"Scrambling1020ydsRTPScore",2014
34,34,"Chris Kirk",105,0.307,228,70,"Scrambling1020ydsRTPScore",2014
35,35,"Chad Collins",78,0.308,182,56,"Scrambling1020ydsRTPScore",2014
36,36,"Adam Scott",68,0.309,139,43,"Scrambling1020ydsRTPScore",2014
37,37,"Keegan Bradley",89,0.31,168,52,"Scrambling1020ydsRTPScore",2014
37,37,"Ben Curtis",77,0.31,158,49,"Scrambling1020ydsRTPScore",2014
37,37,"Jerry Kelly",80,0.31,171,53,"Scrambling1020ydsRTPScore",2014
37,37,"Chris Stroud",88,0.31,184,57,"Scrambling1020ydsRTPScore",2014
41,41,"John Huh",87,0.311,193,60,"Scrambling1020ydsRTPScore",2014
