"ProximitytoHolefrom2030yards_RANKTHISWEEK_2008","ProximitytoHolefrom2030yards_RANKLASTWEEK_2008","ProximitytoHolefrom2030yards_PLAYERNAME_2008","ProximitytoHolefrom2030yards_ROUNDS_2008","ProximitytoHolefrom2030yards_AVGDTP_2008","ProximitytoHolefrom2030yards_TOTALDISTANCEFEET_2008","ProximitytoHolefrom2030yards_OFSHOTS_2008","ProximitytoHolefrom2030yards_SCRAMBLINGRANK_2008","stat_name","year"
1,1,"Padraig Harrington",52,NA,335.167,54,21,"ProximitytoHolefrom2030yards",2008
2,2,"Retief Goosen",59,NA,460.75,67,76,"ProximitytoHolefrom2030yards",2008
2,2,"Vijay Singh",82,NA,602.667,87,51,"ProximitytoHolefrom2030yards",2008
4,4,"Briny Baird",113,NA,875.583,117,5,"ProximitytoHolefrom2030yards",2008
4,4,"Kevin Na",97,NA,970.083,130,13,"ProximitytoHolefrom2030yards",2008
4,4,"Mike Weir",88,NA,707.75,94,7,"ProximitytoHolefrom2030yards",2008
7,7,"Brian Gay",102,NA,824.583,109,1,"ProximitytoHolefrom2030yards",2008
8,8,"Steve Stricker",75,NA,608.167,78,12,"ProximitytoHolefrom2030yards",2008
9,9,"Aaron Baddeley",76,NA,857.583,107,60,"ProximitytoHolefrom2030yards",2008
9,9,"Jonathan Byrd",88,NA,897.083,112,72,"ProximitytoHolefrom2030yards",2008
9,9,"James Driscoll",85,NA,1156.75,144,155,"ProximitytoHolefrom2030yards",2008
9,9,"Matt Kuchar",88,NA,805.583,101,14,"ProximitytoHolefrom2030yards",2008
9,9,"Justin Leonard",101,NA,829.75,104,34,"ProximitytoHolefrom2030yards",2008
14,14,"Cameron Beckman",87,NA,777.75,95,69,"ProximitytoHolefrom2030yards",2008
14,14,"Angel Cabrera",55,NA,414.667,51,180,"ProximitytoHolefrom2030yards",2008
14,14,"Mark Calcavecchia",67,NA,482.75,59,161,"ProximitytoHolefrom2030yards",2008
14,14,"KJ Choi",74,NA,585.667,72,95,"ProximitytoHolefrom2030yards",2008
14,14,"Craig Kanada",65,NA,750.083,92,24,"ProximitytoHolefrom2030yards",2008
14,14,"Kevin Sutherland",98,NA,1146.417,141,25,"ProximitytoHolefrom2030yards",2008
20,20,"Ryuji Imada",80,NA,828.917,100,34,"ProximitytoHolefrom2030yards",2008
21,21,"Stuart Appleby",87,NA,760.417,91,30,"ProximitytoHolefrom2030yards",2008
21,21,"Marco Dawson",64,NA,618.5,74,144,"ProximitytoHolefrom2030yards",2008
21,21,"Trevor Immelman",70,NA,732,88,181,"ProximitytoHolefrom2030yards",2008
21,21,"Jerry Kelly",89,NA,958.833,115,83,"ProximitytoHolefrom2030yards",2008
21,21,"Parker McLachlin",88,NA,1137,136,42,"ProximitytoHolefrom2030yards",2008
26,26,"Daniel Chopra",84,NA,950.25,113,95,"ProximitytoHolefrom2030yards",2008
26,26,"Brad Elder",67,NA,746,89,37,"ProximitytoHolefrom2030yards",2008
26,26,"Steve Flesch",95,NA,1010.833,120,44,"ProximitytoHolefrom2030yards",2008
26,26,"Charles Howell III",101,NA,1115.917,133,116,"ProximitytoHolefrom2030yards",2008
26,26,"Brett Rumford",72,NA,815.167,97,151,"ProximitytoHolefrom2030yards",2008
31,31,"Sergio Garcia",72,NA,588.083,69,89,"ProximitytoHolefrom2030yards",2008
31,31,"Adam Scott",51,NA,408.417,48,173,"ProximitytoHolefrom2030yards",2008
33,33,"Tim Clark",90,NA,736.833,86,65,"ProximitytoHolefrom2030yards",2008
33,33,"Carlos Franco",73,NA,846.917,99,153,"ProximitytoHolefrom2030yards",2008
33,33,"Jim McGovern",75,NA,798.583,93,167,"ProximitytoHolefrom2030yards",2008
33,33,"Phil Mickelson",80,NA,756.083,88,26,"ProximitytoHolefrom2030yards",2008
37,37,"David Toms",70,NA,675.083,78,187,"ProximitytoHolefrom2030yards",2008
38,38,"Jason Allred",63,NA,852.75,97,127,"ProximitytoHolefrom2030yards",2008
38,38,"Tommy Armour III",77,NA,806.417,92,132,"ProximitytoHolefrom2030yards",2008
38,38,"David Duval",51,NA,569,65,195,"ProximitytoHolefrom2030yards",2008
38,38,"Stephen Leaney",53,NA,514.667,59,53,"ProximitytoHolefrom2030yards",2008
38,38,"John Mallinger",95,NA,1098.083,125,61,"ProximitytoHolefrom2030yards",2008
38,38,"Rocco Mediate",87,NA,853.583,98,109,"ProximitytoHolefrom2030yards",2008
38,38,"Bob Tway",70,NA,725.833,83,27,"ProximitytoHolefrom2030yards",2008
38,38,"Scott Verplank",82,NA,658.167,75,83,"ProximitytoHolefrom2030yards",2008
46,46,"Shane Bertsch",96,NA,1099.833,125,18,"ProximitytoHolefrom2030yards",2008
46,46,"Doug LaBelle II",65,NA,600.833,68,68,"ProximitytoHolefrom2030yards",2008
46,46,"John Merrick",98,NA,1044.583,118,160,"ProximitytoHolefrom2030yards",2008
46,46,"Bo Van Pelt",101,NA,1111.583,126,118,"ProximitytoHolefrom2030yards",2008
46,46,"Camilo Villegas",79,NA,763,86,171,"ProximitytoHolefrom2030yards",2008
51,51,"Brian Davis",108,NA,1528.917,172,17,"ProximitytoHolefrom2030yards",2008
51,51,"Jeff Gove",50,NA,481.667,54,80,"ProximitytoHolefrom2030yards",2008
51,51,"Michael Letzig",88,NA,995.583,112,108,"ProximitytoHolefrom2030yards",2008
51,51,"Shigeki Maruyama",50,NA,604.333,68,14,"ProximitytoHolefrom2030yards",2008
51,51,"Chris Riley",51,NA,640.417,72,2,"ProximitytoHolefrom2030yards",2008
51,51,"Rory Sabbatini",77,NA,826.333,93,122,"ProximitytoHolefrom2030yards",2008
51,51,"Vaughn Taylor",103,NA,1024.833,115,92,"ProximitytoHolefrom2030yards",2008
58,58,"Fred Couples",60,NA,682,76,71,"ProximitytoHolefrom2030yards",2008
58,58,"Ken Duke",116,NA,1398.833,156,82,"ProximitytoHolefrom2030yards",2008
58,58,"Robert Gamez",79,NA,848.917,94,162,"ProximitytoHolefrom2030yards",2008
58,58,"Tim Herron",97,NA,1219.167,135,10,"ProximitytoHolefrom2030yards",2008
58,58,"Scott Sterling",89,NA,750.25,83,19,"ProximitytoHolefrom2030yards",2008
58,58,"Omar Uresti",74,NA,728.917,81,8,"ProximitytoHolefrom2030yards",2008
58,58,"Tim Wilkinson",95,NA,970.5,108,28,"ProximitytoHolefrom2030yards",2008
65,65,"Mathew Goggin",91,NA,1158.167,127,77,"ProximitytoHolefrom2030yards",2008
65,65,"Sean OHair",81,NA,984.583,108,134,"ProximitytoHolefrom2030yards",2008
65,65,"Tom Pernice Jr",104,NA,1186.083,130,11,"ProximitytoHolefrom2030yards",2008
65,65,"Brandt Snedeker",85,NA,796.083,88,100,"ProximitytoHolefrom2030yards",2008
65,65,"Nick Watney",96,NA,1175.083,129,101,"ProximitytoHolefrom2030yards",2008
65,65,"Dean Wilson",109,NA,997,110,97,"ProximitytoHolefrom2030yards",2008
71,71,"Nathan Green",95,NA,1574.167,172,32,"ProximitytoHolefrom2030yards",2008
71,71,"Kent Jones",68,NA,768.083,84,105,"ProximitytoHolefrom2030yards",2008
73,73,"Rich Beem",90,NA,1067.167,115,169,"ProximitytoHolefrom2030yards",2008
73,73,"Davis Love III",78,NA,902.417,98,145,"ProximitytoHolefrom2030yards",2008
