"Total3PuttsInside5_RANKTHISWEEK_2015","Total3PuttsInside5_RANKLASTWEEK_2015","Total3PuttsInside5_PLAYERNAME_2015","Total3PuttsInside5_ROUNDS_2015","Total3PuttsInside5_TOTAL3PUTTSINSIDE5_2015","Total3PuttsInside5_TOTAL3PUTTS_2015","stat_name","year"
1,1,"Rory Sabbatini",81,3,42,"Total3PuttsInside5",2015
1,1,"Adam Scott",51,3,32,"Total3PuttsInside5",2015
1,1,"Bo Van Pelt",81,3,34,"Total3PuttsInside5",2015
4,4,"Aaron Baddeley",76,2,27,"Total3PuttsInside5",2015
4,4,"Kevin Chappell",86,2,40,"Total3PuttsInside5",2015
4,4,"Fabian Gomez",83,2,42,"Total3PuttsInside5",2015
4,4,"Adam Hadwin",95,2,40,"Total3PuttsInside5",2015
4,4,"Morgan Hoffmann",85,2,24,"Total3PuttsInside5",2015
4,4,"Tom Hoge",83,2,38,"Total3PuttsInside5",2015
4,4,"JB Holmes",89,2,36,"Total3PuttsInside5",2015
4,4,"Billy Horschel",99,2,40,"Total3PuttsInside5",2015
4,4,"Kevin Na",98,2,25,"Total3PuttsInside5",2015
4,4,"Geoff Ogilvy",50,2,24,"Total3PuttsInside5",2015
4,4,"Webb Simpson",81,2,42,"Total3PuttsInside5",2015
4,4,"Byron Smith",59,2,26,"Total3PuttsInside5",2015
4,4,"Michael Thompson",83,2,46,"Total3PuttsInside5",2015
4,4,"Camilo Villegas",83,2,54,"Total3PuttsInside5",2015
18,18,"Eric Axley",57,1,18,"Total3PuttsInside5",2015
18,18,"Charlie Beljan",76,1,50,"Total3PuttsInside5",2015
18,18,"Zac Blair",108,1,35,"Total3PuttsInside5",2015
18,18,"Jonas Blixt",78,1,21,"Total3PuttsInside5",2015
18,18,"Jamie Donaldson",50,1,11,"Total3PuttsInside5",2015
18,18,"Ken Duke",93,1,53,"Total3PuttsInside5",2015
18,18,"Harris English",105,1,30,"Total3PuttsInside5",2015
18,18,"Matt Every",73,1,30,"Total3PuttsInside5",2015
18,18,"Gonzalo Fdez Castano",81,1,39,"Total3PuttsInside5",2015
18,18,"Martin Flores",95,1,50,"Total3PuttsInside5",2015
18,18,"Rickie Fowler",76,1,18,"Total3PuttsInside5",2015
18,18,"Sergio Garcia",59,1,10,"Total3PuttsInside5",2015
18,18,"Lucas Glover",79,1,69,"Total3PuttsInside5",2015
18,18,"John Huh",102,1,44,"Total3PuttsInside5",2015
18,18,"Dustin Johnson",75,1,19,"Total3PuttsInside5",2015
18,18,"Whee Kim",71,1,23,"Total3PuttsInside5",2015
18,18,"Colt Knost",90,1,24,"Total3PuttsInside5",2015
18,18,"Brooks Koepka",84,1,28,"Total3PuttsInside5",2015
18,18,"Jason Kokrak",88,1,41,"Total3PuttsInside5",2015
18,18,"Danny Lee",120,1,42,"Total3PuttsInside5",2015
18,18,"Ben Martin",93,1,39,"Total3PuttsInside5",2015
18,18,"Troy Merritt",91,1,36,"Total3PuttsInside5",2015
18,18,"Bryce Molder",91,1,27,"Total3PuttsInside5",2015
18,18,"Ryan Palmer",80,1,22,"Total3PuttsInside5",2015
18,18,"SJ Park",79,1,41,"Total3PuttsInside5",2015
18,18,"Carl Pettersson",106,1,44,"Total3PuttsInside5",2015
18,18,"Scott Piercy",90,1,50,"Total3PuttsInside5",2015
18,18,"Scott Pinckney",88,1,40,"Total3PuttsInside5",2015
18,18,"Ian Poulter",68,1,22,"Total3PuttsInside5",2015
18,18,"Alex Prugh",84,1,35,"Total3PuttsInside5",2015
18,18,"Kyle Reifers",96,1,49,"Total3PuttsInside5",2015
18,18,"Justin Rose",69,1,23,"Total3PuttsInside5",2015
18,18,"Sam Saunders",83,1,33,"Total3PuttsInside5",2015
18,18,"John Senden",80,1,30,"Total3PuttsInside5",2015
18,18,"Heath Slocum",57,1,26,"Total3PuttsInside5",2015
18,18,"Jordan Spieth",91,1,18,"Total3PuttsInside5",2015
18,18,"Scott Stallings",60,1,35,"Total3PuttsInside5",2015
18,18,"Kevin Streelman",95,1,28,"Total3PuttsInside5",2015
18,18,"Chris Stroud",84,1,44,"Total3PuttsInside5",2015
18,18,"Johnson Wagner",68,1,28,"Total3PuttsInside5",2015
18,18,"Bubba Watson",71,1,29,"Total3PuttsInside5",2015
18,18,"Gary Woodland",81,1,22,"Total3PuttsInside5",2015
