"FirstTeeLatePar5ScoringAverage_RANKTHISWEEK_2012","FirstTeeLatePar5ScoringAverage_RANKLASTWEEK_2012","FirstTeeLatePar5ScoringAverage_PLAYERNAME_2012","FirstTeeLatePar5ScoringAverage_ROUNDS_2012","FirstTeeLatePar5ScoringAverage_AVG_2012","FirstTeeLatePar5ScoringAverage_TOTALSTROKES_2012","FirstTeeLatePar5ScoringAverage_TOTALHOLES_2012","stat_name","year"
1,1,"Ken Duke",104,4.41,397,90,"FirstTeeLatePar5ScoringAverage",2012
2,2,"Scott Stallings",78,4.42,380,86,"FirstTeeLatePar5ScoringAverage",2012
3,3,"Roberto Castro",92,4.45,258,58,"FirstTeeLatePar5ScoringAverage",2012
4,4,"Rory McIlroy",60,4.49,480,107,"FirstTeeLatePar5ScoringAverage",2012
5,5,"Ben Crane",73,4.5,333,74,"FirstTeeLatePar5ScoringAverage",2012
6,6,"Charley Hoffman",88,4.51,275,61,"FirstTeeLatePar5ScoringAverage",2012
6,6,"Billy Horschel",63,4.51,230,51,"FirstTeeLatePar5ScoringAverage",2012
6,6,"Dustin Johnson",70,4.51,442,98,"FirstTeeLatePar5ScoringAverage",2012
6,6,"Davis Love III",64,4.51,316,70,"FirstTeeLatePar5ScoringAverage",2012
6,6,"Brendon Todd",78,4.51,302,67,"FirstTeeLatePar5ScoringAverage",2012
11,11,"Zach Johnson",95,4.52,601,133,"FirstTeeLatePar5ScoringAverage",2012
12,12,"Kevin Chappell",91,4.53,385,85,"FirstTeeLatePar5ScoringAverage",2012
12,12,"Will Claxton",99,4.53,408,90,"FirstTeeLatePar5ScoringAverage",2012
12,12,"John Daly",50,4.53,195,43,"FirstTeeLatePar5ScoringAverage",2012
12,12,"Webb Simpson",77,4.53,612,135,"FirstTeeLatePar5ScoringAverage",2012
16,16,"Louis Oosthuizen",65,4.54,295,65,"FirstTeeLatePar5ScoringAverage",2012
16,16,"Cameron Tringale",88,4.54,318,70,"FirstTeeLatePar5ScoringAverage",2012
18,18,"Charles Howell III",98,4.55,469,103,"FirstTeeLatePar5ScoringAverage",2012
18,18,"Adam Scott",59,4.55,387,85,"FirstTeeLatePar5ScoringAverage",2012
18,18,"Jhonattan Vegas",77,4.55,282,62,"FirstTeeLatePar5ScoringAverage",2012
18,18,"Mark Wilson",84,4.55,214,47,"FirstTeeLatePar5ScoringAverage",2012
22,22,"Bud Cauley",99,4.56,511,112,"FirstTeeLatePar5ScoringAverage",2012
22,22,"Roland Thatcher",55,4.56,155,34,"FirstTeeLatePar5ScoringAverage",2012
