"GIRPutting510_RANKTHISWEEK_2010","GIRPutting510_RANKLASTWEEK_2010","GIRPutting510_PLAYERNAME_2010","GIRPutting510_ROUNDS_2010","GIRPutting510_Pct_2010","GIRPutting510_ATTEMPTS_2010","GIRPutting510_PUTTSMADE_2010","stat_name","year"
1,1,"Zach Johnson",93,64,150,96,"GIRPutting510",2010
2,2,"Ricky Barnes",103,63.29,158,100,"GIRPutting510",2010
3,3,"Brad Faxon",58,63.08,65,41,"GIRPutting510",2010
4,4,"Blake Adams",84,63,100,63,"GIRPutting510",2010
5,5,"Matt Jones",89,62.77,137,86,"GIRPutting510",2010
6,6,"George McNeill",79,62.3,122,76,"GIRPutting510",2010
7,7,"Paul Casey",64,61.33,75,46,"GIRPutting510",2010
8,8,"Troy Merritt",86,60.77,130,79,"GIRPutting510",2010
9,9,"Jerod Turner",54,59.38,64,38,"GIRPutting510",2010
10,10,"Angel Cabrera",64,59.05,105,62,"GIRPutting510",2010
11,11,"Chris Riley",73,58.77,114,67,"GIRPutting510",2010
12,12,"Charles Howell III",103,58.74,143,84,"GIRPutting510",2010
13,13,"Shaun Micheel",70,58.43,89,52,"GIRPutting510",2010
14,14,"Retief Goosen",75,58.42,101,59,"GIRPutting510",2010
15,15,"Michael Sim",64,58.33,96,56,"GIRPutting510",2010
16,16,"Pat Perez",90,58.23,158,92,"GIRPutting510",2010
17,17,"Mark Wilson",87,57.69,130,75,"GIRPutting510",2010
18,18,"Steve Marino",81,57.6,125,72,"GIRPutting510",2010
19,19,"Matt Kuchar",97,57.4,169,97,"GIRPutting510",2010
20,20,"Brandt Snedeker",89,57.34,143,82,"GIRPutting510",2010
21,21,"Bubba Watson",77,56.59,129,73,"GIRPutting510",2010
22,22,"Jeff Quinney",91,56.16,146,82,"GIRPutting510",2010
23,23,"Scott McCarron",90,56.03,141,79,"GIRPutting510",2010
24,24,"Kevin Johnson",62,56,75,42,"GIRPutting510",2010
25,25,"Brett Quigley",96,55.97,159,89,"GIRPutting510",2010
26,26,"Alex Prugh",88,55.92,152,85,"GIRPutting510",2010
27,27,"Ryan Moore",80,55.65,124,69,"GIRPutting510",2010
28,28,"Jeff Overton",89,55.56,144,80,"GIRPutting510",2010
29,29,"Michael Connell",89,55.33,150,83,"GIRPutting510",2010
30,30,"Brian Gay",101,55.21,163,90,"GIRPutting510",2010
31,31,"Richard Johnson",90,55.05,109,60,"GIRPutting510",2010
32,32,"Greg Chalmers",93,55,140,77,"GIRPutting510",2010
33,33,"Jimmy Walker",82,54.92,122,67,"GIRPutting510",2010
34,34,"Henrik Bjornstad",72,54.81,104,57,"GIRPutting510",2010
35,35,"Luke Donald",71,54.55,88,48,"GIRPutting510",2010
35,35,"Dustin Johnson",83,54.55,143,78,"GIRPutting510",2010
35,35,"Vijay Singh",75,54.55,121,66,"GIRPutting510",2010
38,38,"Michael Letzig",84,54.36,149,81,"GIRPutting510",2010
39,39,"Justin Leonard",89,54.35,138,75,"GIRPutting510",2010
39,39,"Jeev Milkha Singh",59,54.35,92,50,"GIRPutting510",2010
41,41,"Steve Elkington",74,54.05,111,60,"GIRPutting510",2010
42,42,"Tom Gillis",97,53.8,158,85,"GIRPutting510",2010
43,43,"Tim Clark",88,53.79,132,71,"GIRPutting510",2010
43,43,"Carl Pettersson",99,53.79,145,78,"GIRPutting510",2010
45,45,"Ernie Els",72,53.76,93,50,"GIRPutting510",2010
45,45,"Geoff Ogilvy",62,53.76,93,50,"GIRPutting510",2010
47,47,"Steve Stricker",73,53.72,121,65,"GIRPutting510",2010
48,48,"Jonathan Byrd",85,53.61,166,89,"GIRPutting510",2010
49,49,"John Mallinger",78,53.49,129,69,"GIRPutting510",2010
50,50,"Robert Garrigus",71,53.39,118,63,"GIRPutting510",2010
51,51,"Webb Simpson",98,53.37,163,87,"GIRPutting510",2010
52,52,"Mathew Goggin",85,53.28,137,73,"GIRPutting510",2010
53,53,"Charlie Wi",95,53.22,171,91,"GIRPutting510",2010
54,54,"David Duval",71,53.13,96,51,"GIRPutting510",2010
54,54,"Aron Price",70,53.13,128,68,"GIRPutting510",2010
56,56,"JB Holmes",100,53.11,177,94,"GIRPutting510",2010
57,57,"John Rollins",81,52.98,151,80,"GIRPutting510",2010
58,58,"James Nitties",92,52.87,157,83,"GIRPutting510",2010
59,59,"Mike Weir",59,52.86,70,37,"GIRPutting510",2010
60,60,"Steve Flesch",78,52.73,110,58,"GIRPutting510",2010
61,61,"Spencer Levin",110,52.69,186,98,"GIRPutting510",2010
62,62,"Stewart Cink",84,52.54,118,62,"GIRPutting510",2010
63,63,"Paul Stankowski",62,52.43,103,54,"GIRPutting510",2010
64,64,"Ben Crane",85,52.34,128,67,"GIRPutting510",2010
64,64,"Jim Furyk",76,52.34,107,56,"GIRPutting510",2010
66,66,"Chris Tidland",77,52.25,111,58,"GIRPutting510",2010
67,67,"Scott Piercy",88,52.23,157,82,"GIRPutting510",2010
68,68,"David Toms",86,52.17,138,72,"GIRPutting510",2010
69,69,"Tom Pernice Jr",74,52,125,65,"GIRPutting510",2010
70,70,"Briny Baird",87,51.97,152,79,"GIRPutting510",2010
70,70,"Jason Day",82,51.97,127,66,"GIRPutting510",2010
70,70,"Lucas Glover",75,51.97,127,66,"GIRPutting510",2010
73,73,"Brian Stuard",81,51.94,129,67,"GIRPutting510",2010
74,74,"Nick Watney",91,51.92,156,81,"GIRPutting510",2010
75,75,"Kevin Na",94,51.91,131,68,"GIRPutting510",2010
76,76,"Rich Barcelo",70,51.9,79,41,"GIRPutting510",2010
76,76,"Kevin Streelman",90,51.9,158,82,"GIRPutting510",2010
78,78,"Steve Wheatcroft",74,51.89,106,55,"GIRPutting510",2010
