"DrivingAccuracyPercentage_RANKTHISWEEK_2016","DrivingAccuracyPercentage_RANKLASTWEEK_2016","DrivingAccuracyPercentage_PLAYERNAME_2016","DrivingAccuracyPercentage_ROUNDS_2016","DrivingAccuracyPercentage_Pct_2016","DrivingAccuracyPercentage_FAIRWAYSHIT_2016","DrivingAccuracyPercentage_POSSIBLEFAIRWAYS_2016","stat_name","year"
1,1,"Thomas Aiken",42,75.3,439,583,"DrivingAccuracyPercentage",2016
2,3,"Colt Knost",56,73.11,571,781,"DrivingAccuracyPercentage",2016
3,2,"Darron Stiles",28,72.89,285,391,"DrivingAccuracyPercentage",2016
4,4,"Jerry Kelly",44,72.5,443,611,"DrivingAccuracyPercentage",2016
5,5,"Justin Leonard",28,72.16,280,388,"DrivingAccuracyPercentage",2016
6,11,"Justin Hicks",26,70.28,253,360,"DrivingAccuracyPercentage",2016
7,8,"Zac Blair",56,70.17,548,781,"DrivingAccuracyPercentage",2016
8,6,"Emiliano Grillo",47,70.16,435,620,"DrivingAccuracyPercentage",2016
9,10,"Matthew Fitzpatrick",23,70,196,280,"DrivingAccuracyPercentage",2016
10,7,"Jason Bohn",37,69.83,361,517,"DrivingAccuracyPercentage",2016
11,16,"Henrik Stenson",30,69.71,290,416,"DrivingAccuracyPercentage",2016
12,9,"Kevin Kisner",49,69.44,450,648,"DrivingAccuracyPercentage",2016
13,13,"Graeme McDowell",33,69.43,293,422,"DrivingAccuracyPercentage",2016
14,15,"Ken Duke",26,69.36,249,359,"DrivingAccuracyPercentage",2016
15,17,"Billy Hurley III",22,69.18,211,305,"DrivingAccuracyPercentage",2016
16,18,"Russell Knox",48,69.16,435,629,"DrivingAccuracyPercentage",2016
17,14,"Brian Stuard",24,68.96,231,335,"DrivingAccuracyPercentage",2016
18,21,"Chez Reavie",56,68.68,535,779,"DrivingAccuracyPercentage",2016
19,20,"David Lingmerth",54,68.51,472,689,"DrivingAccuracyPercentage",2016
20,19,"Roberto Castro",55,68.32,524,767,"DrivingAccuracyPercentage",2016
21,12,"David Toms",38,67.86,359,529,"DrivingAccuracyPercentage",2016
22,27,"Andrew Landry",24,67.76,227,335,"DrivingAccuracyPercentage",2016
23,28,"John Huh",51,67.75,481,710,"DrivingAccuracyPercentage",2016
24,22,"Jim Herman",55,67.67,519,767,"DrivingAccuracyPercentage",2016
24,25,"Davis Love III",40,67.67,381,563,"DrivingAccuracyPercentage",2016
26,23,"Danny Lee",53,67.57,473,700,"DrivingAccuracyPercentage",2016
27,32,"David Hearn",55,67.41,517,767,"DrivingAccuracyPercentage",2016
28,29,"Ryan Moore",40,67.22,326,485,"DrivingAccuracyPercentage",2016
29,31,"Mark Hubbard",73,67.06,682,1017,"DrivingAccuracyPercentage",2016
30,35,"Lucas Lee",22,66.89,204,305,"DrivingAccuracyPercentage",2016
31,36,"Brice Garnett",29,66.67,270,405,"DrivingAccuracyPercentage",2016
32,26,"Mark Wilson",42,66.61,389,584,"DrivingAccuracyPercentage",2016
33,37,"Chad Campbell",54,66.58,502,754,"DrivingAccuracyPercentage",2016
34,34,"Bill Haas",42,66.29,352,531,"DrivingAccuracyPercentage",2016
35,39,"KJ Choi",47,66.16,432,653,"DrivingAccuracyPercentage",2016
36,38,"Spencer Levin",62,66.01,571,865,"DrivingAccuracyPercentage",2016
37,41,"Andy Sullivan",25,65.91,203,308,"DrivingAccuracyPercentage",2016
