"GIRPercentage125150yards_RANKTHISWEEK_2011","GIRPercentage125150yards_RANKLASTWEEK_2011","GIRPercentage125150yards_PLAYERNAME_2011","GIRPercentage125150yards_ROUNDS_2011","GIRPercentage125150yards_Pct_2011","GIRPercentage125150yards_GREENSHIT_2011","GIRPercentage125150yards_TOTALHOLES_2011","GIRPercentage125150yards_RELATIVETOPAR_2011","stat_name","year"
1,1,"William McGirt",103,81.27,256,315,-0.23,"GIRPercentage125150yards",2011
2,2,"Rory Sabbatini",85,80.59,137,170,-0.21,"GIRPercentage125150yards",2011
3,3,"Nick OHern",89,79.15,167,211,-0.24,"GIRPercentage125150yards",2011
4,4,"Sergio Garcia",61,78.99,109,138,-0.23,"GIRPercentage125150yards",2011
5,5,"Jim Furyk",87,78.68,155,197,-0.21,"GIRPercentage125150yards",2011
6,6,"Luke Donald",73,78.43,120,153,-0.25,"GIRPercentage125150yards",2011
7,7,"Briny Baird",60,78.31,130,166,-0.25,"GIRPercentage125150yards",2011
8,8,"Retief Goosen",50,78.29,101,129,-0.27,"GIRPercentage125150yards",2011
9,9,"Hunter Haas",96,77.87,197,253,-0.23,"GIRPercentage125150yards",2011
10,10,"David Toms",78,77.78,140,180,-0.24,"GIRPercentage125150yards",2011
11,11,"Adam Scott",60,77.7,115,148,-0.25,"GIRPercentage125150yards",2011
12,12,"Alexandre Rocha",65,77.22,122,158,-0.18,"GIRPercentage125150yards",2011
13,13,"Spencer Levin",113,77.03,218,283,-0.23,"GIRPercentage125150yards",2011
14,14,"Jim Renner",65,76.88,133,173,-0.16,"GIRPercentage125150yards",2011
15,15,"Ian Poulter",52,76.52,88,115,-0.3,"GIRPercentage125150yards",2011
15,15,"John Senden",94,76.52,202,264,-0.24,"GIRPercentage125150yards",2011
17,17,"Mark Wilson",89,75.81,141,186,-0.19,"GIRPercentage125150yards",2011
18,18,"Aaron Baddeley",77,75.71,134,177,-0.24,"GIRPercentage125150yards",2011
19,19,"Gary Woodland",93,75.45,169,224,-0.25,"GIRPercentage125150yards",2011
20,20,"Ryuji Imada",83,75.44,172,228,-0.22,"GIRPercentage125150yards",2011
21,21,"Chris Kirk",87,75.39,193,256,-0.21,"GIRPercentage125150yards",2011
22,22,"Andres Gonzales",60,75.33,113,150,-0.19,"GIRPercentage125150yards",2011
23,23,"Johnson Wagner",81,75.25,152,202,-0.19,"GIRPercentage125150yards",2011
24,24,"Lucas Glover",74,75.12,154,205,-0.27,"GIRPercentage125150yards",2011
25,25,"Michael Bradley",74,74.86,137,183,-0.17,"GIRPercentage125150yards",2011
26,26,"Vijay Singh",79,74.67,168,225,-0.26,"GIRPercentage125150yards",2011
27,27,"Brian Davis",105,74.62,194,260,-0.22,"GIRPercentage125150yards",2011
28,28,"Brendon de Jonge",105,74.47,210,282,-0.31,"GIRPercentage125150yards",2011
28,28,"Joe Durant",71,74.47,140,188,-0.14,"GIRPercentage125150yards",2011
30,30,"Vaughn Taylor",89,74.46,172,231,-0.26,"GIRPercentage125150yards",2011
31,31,"Phil Mickelson",79,74.4,125,168,-0.21,"GIRPercentage125150yards",2011
32,32,"Jonathan Byrd",83,74.34,168,226,-0.23,"GIRPercentage125150yards",2011
32,32,"Tom Gillis",55,74.34,113,152,-0.13,"GIRPercentage125150yards",2011
34,34,"Robert Allenby",84,74.3,159,214,-0.25,"GIRPercentage125150yards",2011
35,35,"Trevor Immelman",84,74.29,130,175,-0.15,"GIRPercentage125150yards",2011
36,36,"Sung Kang",63,74.23,121,163,-0.17,"GIRPercentage125150yards",2011
37,37,"Ben Crane",76,74.21,141,190,-0.23,"GIRPercentage125150yards",2011
38,38,"Rocco Mediate",53,74.19,92,124,-0.21,"GIRPercentage125150yards",2011
39,39,"Camilo Villegas",69,74.13,149,201,-0.17,"GIRPercentage125150yards",2011
40,40,"Jason Bohn",74,74.09,143,193,-0.19,"GIRPercentage125150yards",2011
40,40,"Matt Kuchar",94,74.09,143,193,-0.34,"GIRPercentage125150yards",2011
42,42,"Chris Riley",76,74.06,157,212,-0.12,"GIRPercentage125150yards",2011
43,43,"Chez Reavie",92,73.85,192,260,-0.26,"GIRPercentage125150yards",2011
44,44,"Cameron Tringale",110,73.78,211,286,-0.17,"GIRPercentage125150yards",2011
45,45,"Kent Jones",76,73.71,143,194,-0.15,"GIRPercentage125150yards",2011
45,45,"DJ Trahan",91,73.71,185,251,-0.21,"GIRPercentage125150yards",2011
47,47,"John Merrick",71,73.59,170,231,-0.22,"GIRPercentage125150yards",2011
48,48,"Jerry Kelly",85,73.58,142,193,-0.22,"GIRPercentage125150yards",2011
49,49,"Bubba Watson",85,73.46,119,162,-0.09,"GIRPercentage125150yards",2011
50,50,"Davis Love III",70,73.41,127,173,-0.2,"GIRPercentage125150yards",2011
51,51,"Sean OHair",71,73.37,146,199,-0.16,"GIRPercentage125150yards",2011
52,52,"Chris Stroud",88,73.36,168,229,-0.22,"GIRPercentage125150yards",2011
53,53,"Hunter Mahan",92,73.33,165,225,-0.3,"GIRPercentage125150yards",2011
54,54,"Brandt Jobe",100,73.29,203,277,-0.22,"GIRPercentage125150yards",2011
55,55,"John Rollins",85,73.25,178,243,-0.26,"GIRPercentage125150yards",2011
56,56,"Bill Haas",93,73.21,164,224,-0.26,"GIRPercentage125150yards",2011
57,57,"Shane Bertsch",62,73.17,120,164,-0.32,"GIRPercentage125150yards",2011
58,58,"Tim Herron",85,73.08,171,234,-0.17,"GIRPercentage125150yards",2011
59,59,"Rod Pampling",72,73.06,160,219,-0.26,"GIRPercentage125150yards",2011
