"CareerEarnings_RANKTHISWEEK_2006","CareerEarnings_RANKLASTWEEK_2006","CareerEarnings_PLAYERNAME_2006","CareerEarnings__2006","CareerEarnings_MONEY_2006","stat_name","year"
1,1,"Tiger Woods",NA,65712324,"CareerEarnings",2006
2,2,"Vijay Singh",NA,49379841,"CareerEarnings",2006
3,3,"Phil Mickelson",NA,39514038,"CareerEarnings",2006
4,4,"Davis Love III",NA,34613823,"CareerEarnings",2006
5,5,"Jim Furyk",NA,31200066,"CareerEarnings",2006
6,6,"Ernie Els",NA,28420395,"CareerEarnings",2006
7,7,"David Toms",NA,25816115,"CareerEarnings",2006
8,8,"Justin Leonard",NA,21086669,"CareerEarnings",2006
9,9,"Nick Price",NA,20551208,"CareerEarnings",2006
10,10,"Kenny Perry",NA,20335031,"CareerEarnings",2006
11,11,"Fred Funk",NA,19429189,"CareerEarnings",2006
12,12,"Mark Calcavecchia",NA,19303087,"CareerEarnings",2006
13,13,"Fred Couples",NA,19129114,"CareerEarnings",2006
14,14,"Stuart Appleby",NA,18906470,"CareerEarnings",2006
15,15,"Mike Weir",NA,18853935,"CareerEarnings",2006
16,16,"Tom Lehman",NA,18821038,"CareerEarnings",2006
17,17,"Chris DiMarco",NA,18709850,"CareerEarnings",2006
18,18,"Stewart Cink",NA,18593548,"CareerEarnings",2006
19,19,"Scott Hoch",NA,18487114,"CareerEarnings",2006
20,20,"Scott Verplank",NA,17956383,"CareerEarnings",2006
21,21,"Jeff Sluman",NA,17841673,"CareerEarnings",2006
22,22,"Brad Faxon",NA,17571909,"CareerEarnings",2006
23,23,"Retief Goosen",NA,17231017,"CareerEarnings",2006
24,24,"David Duval",NA,16682256,"CareerEarnings",2006
25,25,"Sergio Garcia",NA,15819592,"CareerEarnings",2006
26,26,"Bob Estes",NA,15518055,"CareerEarnings",2006
27,27,"Hal Sutton",NA,15267685,"CareerEarnings",2006
28,28,"Loren Roberts",NA,15090850,"CareerEarnings",2006
29,29,"Bob Tway",NA,14489049,"CareerEarnings",2006
30,30,"Jeff Maggert",NA,14455224,"CareerEarnings",2006
31,31,"Jay Haas",NA,14440317,"CareerEarnings",2006
32,32,"Jerry Kelly",NA,14417685,"CareerEarnings",2006
33,33,"Paul Azinger",NA,14230551,"CareerEarnings",2006
34,34,"John Huston",NA,14094975,"CareerEarnings",2006
35,35,"Billy Mayfair",NA,14088197,"CareerEarnings",2006
36,36,"Mark OMeara",NA,14082183,"CareerEarnings",2006
37,37,"Greg Norman",NA,13963611,"CareerEarnings",2006
38,38,"Tim Herron",NA,13569182,"CareerEarnings",2006
39,39,"Robert Allenby",NA,13455147,"CareerEarnings",2006
40,40,"Jesper Parnevik",NA,13438150,"CareerEarnings",2006
41,41,"Kirk Triplett",NA,13215254,"CareerEarnings",2006
42,42,"Corey Pavin",NA,13183622,"CareerEarnings",2006
43,43,"Lee Janzen",NA,13048403,"CareerEarnings",2006
44,44,"Adam Scott",NA,12977216,"CareerEarnings",2006
45,45,"Steve Flesch",NA,12773344,"CareerEarnings",2006
46,46,"Steve Lowery",NA,12616606,"CareerEarnings",2006
47,47,"Chad Campbell",NA,12479591,"CareerEarnings",2006
48,48,"Charles Howell III",NA,12386786,"CareerEarnings",2006
49,49,"John Cook",NA,12313843,"CareerEarnings",2006
50,50,"Shigeki Maruyama",NA,12241561,"CareerEarnings",2006
51,51,"Rocco Mediate",NA,12203971,"CareerEarnings",2006
52,52,"Steve Elkington",NA,11927717,"CareerEarnings",2006
53,53,"Payne Stewart",NA,11737008,"CareerEarnings",2006
54,54,"Billy Andrade",NA,11618464,"CareerEarnings",2006
55,55,"KJ Choi",NA,11530338,"CareerEarnings",2006
56,56,"Rory Sabbatini",NA,11506946,"CareerEarnings",2006
57,57,"Duffy Waldorf",NA,11271906,"CareerEarnings",2006
58,58,"Stephen Ames",NA,11201944,"CareerEarnings",2006
59,59,"Tom Kite",NA,11041042,"CareerEarnings",2006
60,60,"Jose Maria Olazabal",NA,10963145,"CareerEarnings",2006
61,61,"Joey Sindelar",NA,10851395,"CareerEarnings",2006
62,62,"Tom Pernice Jr",NA,10602694,"CareerEarnings",2006
63,63,"Geoff Ogilvy",NA,10483323,"CareerEarnings",2006
64,64,"Joe Durant",NA,10428026,"CareerEarnings",2006
65,65,"Jonathan Kaye",NA,10166329,"CareerEarnings",2006
66,66,"Frank Lickliter II",NA,10146618,"CareerEarnings",2006
67,67,"Steve Stricker",NA,10042503,"CareerEarnings",2006
68,68,"Craig Stadler",NA,10003337,"CareerEarnings",2006
69,69,"Tom Watson",NA,9939949,"CareerEarnings",2006
70,70,"Dudley Hart",NA,9890031,"CareerEarnings",2006
71,71,"Scott McCarron",NA,9600092,"CareerEarnings",2006
72,72,"Luke Donald",NA,9178310,"CareerEarnings",2006
73,73,"David Frost",NA,9155221,"CareerEarnings",2006
74,74,"Kevin Sutherland",NA,9151954,"CareerEarnings",2006
75,75,"Mark Brooks",NA,8868883,"CareerEarnings",2006
76,76,"Bernhard Langer",NA,8811068,"CareerEarnings",2006
77,77,"John Daly",NA,8804750,"CareerEarnings",2006
78,78,"Carlos Franco",NA,8761085,"CareerEarnings",2006
79,79,"Andrew Magee",NA,8500515,"CareerEarnings",2006
80,80,"Chris Riley",NA,8494630,"CareerEarnings",2006
81,81,"Craig Parry",NA,8395145,"CareerEarnings",2006
82,82,"Dan Forsman",NA,8333355,"CareerEarnings",2006
83,83,"Woody Austin",NA,8315510,"CareerEarnings",2006
84,84,"Padraig Harrington",NA,8315040,"CareerEarnings",2006
85,85,"Olin Browne",NA,8026941,"CareerEarnings",2006
86,86,"Steve Pate",NA,8018208,"CareerEarnings",2006
87,87,"Rod Pampling",NA,7875566,"CareerEarnings",2006
88,88,"Peter Jacobsen",NA,7799810,"CareerEarnings",2006
89,89,"Curtis Strange",NA,7599951,"CareerEarnings",2006
90,90,"Robert Gamez",NA,7580573,"CareerEarnings",2006
91,91,"Larry Mize",NA,7528673,"CareerEarnings",2006
92,92,"Skip Kendall",NA,7508316,"CareerEarnings",2006
93,93,"Glen Day",NA,7504674,"CareerEarnings",2006
94,94,"Brett Quigley",NA,7454046,"CareerEarnings",2006
95,95,"JL Lewis",NA,7407520,"CareerEarnings",2006
96,96,"Ben Crane",NA,7323526,"CareerEarnings",2006
97,97,"Tim Clark",NA,7301208,"CareerEarnings",2006
98,98,"Harrison Frazar",NA,7236634,"CareerEarnings",2006
99,99,"Ben Crenshaw",NA,7123226,"CareerEarnings",2006
100,100,"Brent Geiberger",NA,7117032,"CareerEarnings",2006
101,101,"Carl Pettersson",NA,7008598,"CareerEarnings",2006
102,102,"Bill Glasson",NA,6912619,"CareerEarnings",2006
103,103,"Chris Perry",NA,6866671,"CareerEarnings",2006
104,104,"Rich Beem",NA,6863283,"CareerEarnings",2006
105,105,"John Rollins",NA,6827381,"CareerEarnings",2006
106,106,"Scott Simpson",NA,6778273,"CareerEarnings",2006
107,107,"Darren Clarke",NA,6749830,"CareerEarnings",2006
108,108,"Zach Johnson",NA,6723376,"CareerEarnings",2006
109,109,"Len Mattiace",NA,6712133,"CareerEarnings",2006
110,110,"Briny Baird",NA,6572646,"CareerEarnings",2006
111,111,"Tommy Armour III",NA,6523422,"CareerEarnings",2006
112,112,"Steve Jones",NA,6484529,"CareerEarnings",2006
113,113,"Bruce Lietzke",NA,6474794,"CareerEarnings",2006
114,114,"Bart Bryant",NA,6458032,"CareerEarnings",2006
115,115,"JJ Henry",NA,6403584,"CareerEarnings",2006
116,116,"Shaun Micheel",NA,6392826,"CareerEarnings",2006
117,117,"Lanny Wadkins",NA,6355681,"CareerEarnings",2006
118,118,"Peter Lonard",NA,6286896,"CareerEarnings",2006
119,119,"Tom Byrum",NA,6227713,"CareerEarnings",2006
120,120,"Chip Beck",NA,6205730,"CareerEarnings",2006
121,121,"Jonathan Byrd",NA,6183387,"CareerEarnings",2006
122,122,"Robert Damron",NA,6140216,"CareerEarnings",2006
123,123,"Brandt Jobe",NA,6098859,"CareerEarnings",2006
124,124,"Tim Petrovic",NA,6059165,"CareerEarnings",2006
125,125,"Nick Faldo",NA,6045627,"CareerEarnings",2006
126,126,"Hale Irwin",NA,5966031,"CareerEarnings",2006
127,127,"Jim Gallagher Jr",NA,5949495,"CareerEarnings",2006
128,128,"Neal Lancaster",NA,5884541,"CareerEarnings",2006
129,129,"JP Hayes",NA,5839044,"CareerEarnings",2006
130,130,"Fuzzy Zoeller",NA,5803343,"CareerEarnings",2006
131,131,"Paul Stankowski",NA,5780367,"CareerEarnings",2006
132,132,"Jack Nicklaus",NA,5734031,"CareerEarnings",2006
133,133,"David Peoples",NA,5691690,"CareerEarnings",2006
134,134,"Paul Goydos",NA,5684850,"CareerEarnings",2006
135,135,"Brian Gay",NA,5602756,"CareerEarnings",2006
136,136,"Heath Slocum",NA,5579799,"CareerEarnings",2006
137,137,"Jay Don Blake",NA,5555470,"CareerEarnings",2006
138,138,"Joe Ogilvie",NA,5533992,"CareerEarnings",2006
139,139,"Russ Cochran",NA,5529494,"CareerEarnings",2006
140,140,"Arron Oberholser",NA,5364866,"CareerEarnings",2006
141,141,"Raymond Floyd",NA,5323075,"CareerEarnings",2006
142,142,"Mark McCumber",NA,5309688,"CareerEarnings",2006
143,143,"Gil Morgan",NA,5259164,"CareerEarnings",2006
144,144,"Lucas Glover",NA,5218033,"CareerEarnings",2006
145,145,"Blaine McCallister",NA,5215948,"CareerEarnings",2006
146,146,"Ted Purdy",NA,5170333,"CareerEarnings",2006
147,147,"Notah Begay III",NA,5098887,"CareerEarnings",2006
148,148,"Dennis Paulson",NA,4977451,"CareerEarnings",2006
149,149,"Justin Rose",NA,4956689,"CareerEarnings",2006
150,150,"Ben Curtis",NA,4792744,"CareerEarnings",2006
151,151,"Vaughn Taylor",NA,4787952,"CareerEarnings",2006
152,152,"David Edwards",NA,4773198,"CareerEarnings",2006
153,153,"DA Weibring",NA,4770705,"CareerEarnings",2006
154,154,"Bo Van Pelt",NA,4759270,"CareerEarnings",2006
155,155,"Jim Carter",NA,4737493,"CareerEarnings",2006
156,156,"Pat Perez",NA,4731186,"CareerEarnings",2006
157,157,"Wayne Levi",NA,4730158,"CareerEarnings",2006
158,158,"Trevor Immelman",NA,4716494,"CareerEarnings",2006
159,159,"Mike Reid",NA,4686774,"CareerEarnings",2006
160,160,"Colin Montgomerie",NA,4669075,"CareerEarnings",2006
161,161,"Gene Sauers",NA,4647669,"CareerEarnings",2006
162,162,"Craig Barlow",NA,4627325,"CareerEarnings",2006
163,163,"Dean Wilson",NA,4618844,"CareerEarnings",2006
164,164,"Matt Gogel",NA,4596216,"CareerEarnings",2006
165,165,"Chris Smith",NA,4595548,"CareerEarnings",2006
166,166,"Cameron Beckman",NA,4573523,"CareerEarnings",2006
167,167,"Grant Waite",NA,4489236,"CareerEarnings",2006
168,168,"Mark Hensby",NA,4451593,"CareerEarnings",2006
169,169,"John Senden",NA,4384484,"CareerEarnings",2006
170,170,"Mark Wiebe",NA,4314460,"CareerEarnings",2006
171,171,"Joel Edwards",NA,4286415,"CareerEarnings",2006
172,172,"Tom Purtzer",NA,4192268,"CareerEarnings",2006
173,173,"Mike Hulbert",NA,4183778,"CareerEarnings",2006
174,174,"Aaron Baddeley",NA,4180377,"CareerEarnings",2006
175,175,"Jason Bohn",NA,4133390,"CareerEarnings",2006
176,176,"Greg Kraft",NA,4086856,"CareerEarnings",2006
177,177,"Brandel Chamblee",NA,4018410,"CareerEarnings",2006
178,178,"Rick Fehr",NA,4012299,"CareerEarnings",2006
179,179,"Donnie Hammond",NA,4008060,"CareerEarnings",2006
180,180,"Ryan Palmer",NA,3965199,"CareerEarnings",2006
181,181,"John Mahaffey",NA,3876852,"CareerEarnings",2006
182,182,"Sean OHair",NA,3872869,"CareerEarnings",2006
183,183,"Ted Tryba",NA,3853236,"CareerEarnings",2006
184,184,"Todd Hamilton",NA,3836019,"CareerEarnings",2006
185,185,"Larry Nelson",NA,3827401,"CareerEarnings",2006
186,186,"Brett Wetterich",NA,3809422,"CareerEarnings",2006
187,187,"Thomas Bjorn",NA,3791833,"CareerEarnings",2006
188,188,"Ken Green",NA,3745345,"CareerEarnings",2006
189,189,"Jose Coceres",NA,3738064,"CareerEarnings",2006
190,190,"Alex Cejka",NA,3731003,"CareerEarnings",2006
191,191,"Greg Chalmers",NA,3726362,"CareerEarnings",2006
192,192,"Freddie Jacobson",NA,3712073,"CareerEarnings",2006
193,193,"Jay Williamson",NA,3677453,"CareerEarnings",2006
194,194,"Nolan Henke",NA,3606563,"CareerEarnings",2006
195,195,"Esteban Toledo",NA,3594074,"CareerEarnings",2006
196,196,"Brad Bryant",NA,3558804,"CareerEarnings",2006
197,197,"Andy Bean",NA,3531780,"CareerEarnings",2006
