"AverageGoingforitShotDistanceinYards_RANKTHISWEEK_2011","AverageGoingforitShotDistanceinYards_RANKLASTWEEK_2011","AverageGoingforitShotDistanceinYards_PLAYERNAME_2011","AverageGoingforitShotDistanceinYards_EVENTS_2011","AverageGoingforitShotDistanceinYards_AVG_2011","AverageGoingforitShotDistanceinYards_DISTANCEININCHES_2011","AverageGoingforitShotDistanceinYards_ATTEMPTS_2011","stat_name","year"
1,1,"Brandt Jobe",28,246.4,1304076,147,"AverageGoingforitShotDistanceinYards",2011
2,2,"Jim Herman",22,247.9,999440,112,"AverageGoingforitShotDistanceinYards",2011
3,3,"Robert Garrigus",26,249.4,1831280,204,"AverageGoingforitShotDistanceinYards",2011
4,4,"Heath Slocum",29,250.4,901362,100,"AverageGoingforitShotDistanceinYards",2011
5,5,"Lee Janzen",19,250.6,712685,79,"AverageGoingforitShotDistanceinYards",2011
6,6,"Aaron Baddeley",22,251,1382364,153,"AverageGoingforitShotDistanceinYards",2011
7,7,"Ian Poulter",16,251.1,560531,62,"AverageGoingforitShotDistanceinYards",2011
7,7,"Alex Prugh",29,251.1,1193374,132,"AverageGoingforitShotDistanceinYards",2011
7,7,"Steve Stricker",19,251.1,849871,94,"AverageGoingforitShotDistanceinYards",2011
7,7,"Gary Woodland",25,251.1,1636445,181,"AverageGoingforitShotDistanceinYards",2011
11,11,"Vijay Singh",25,251.3,1212053,134,"AverageGoingforitShotDistanceinYards",2011
12,12,"Kent Jones",25,251.7,770061,85,"AverageGoingforitShotDistanceinYards",2011
13,13,"Carl Pettersson",27,251.8,1541263,170,"AverageGoingforitShotDistanceinYards",2011
14,14,"JB Holmes",16,252,1215837,134,"AverageGoingforitShotDistanceinYards",2011
15,15,"KJ Choi",22,252.2,817269,90,"AverageGoingforitShotDistanceinYards",2011
15,15,"Brian Gay",26,252.2,535570,59,"AverageGoingforitShotDistanceinYards",2011
17,17,"Chris Couch",21,252.3,1562202,172,"AverageGoingforitShotDistanceinYards",2011
17,17,"Jimmy Walker",24,252.3,1335064,147,"AverageGoingforitShotDistanceinYards",2011
19,19,"Matt Kuchar",24,252.5,1163424,128,"AverageGoingforitShotDistanceinYards",2011
20,20,"Jason Dufner",23,252.7,927792,102,"AverageGoingforitShotDistanceinYards",2011
20,20,"Camilo Villegas",25,252.7,918657,101,"AverageGoingforitShotDistanceinYards",2011
22,22,"Lucas Glover",23,252.8,1073733,118,"AverageGoingforitShotDistanceinYards",2011
23,23,"Jason Bohn",22,252.9,1101740,121,"AverageGoingforitShotDistanceinYards",2011
23,23,"Robert Karlsson",18,252.9,874156,96,"AverageGoingforitShotDistanceinYards",2011
25,25,"Tom Gillis",19,253.1,847376,93,"AverageGoingforitShotDistanceinYards",2011
25,25,"Steve Marino",23,253.1,1148211,126,"AverageGoingforitShotDistanceinYards",2011
25,25,"Charl Schwartzel",15,253.1,783660,86,"AverageGoingforitShotDistanceinYards",2011
28,28,"Nick Watney",22,253.3,1395232,153,"AverageGoingforitShotDistanceinYards",2011
29,29,"Scott Stallings",28,253.7,1141571,125,"AverageGoingforitShotDistanceinYards",2011
29,29,"Bubba Watson",22,253.7,1707598,187,"AverageGoingforitShotDistanceinYards",2011
31,31,"Andres Gonzales",21,253.8,676033,74,"AverageGoingforitShotDistanceinYards",2011
32,32,"George McNeill",21,254,1051408,115,"AverageGoingforitShotDistanceinYards",2011
32,32,"Mark Wilson",26,254,1024002,112,"AverageGoingforitShotDistanceinYards",2011
34,34,"Stewart Cink",22,254.2,878509,96,"AverageGoingforitShotDistanceinYards",2011
34,34,"Jim Furyk",26,254.2,915020,100,"AverageGoingforitShotDistanceinYards",2011
34,34,"Ben Martin",25,254.2,1107309,121,"AverageGoingforitShotDistanceinYards",2011
34,34,"Rocco Mediate",23,254.2,649843,71,"AverageGoingforitShotDistanceinYards",2011
38,38,"Bio Kim",25,254.3,1016053,111,"AverageGoingforitShotDistanceinYards",2011
39,39,"Marc Leishman",27,254.4,1520294,166,"AverageGoingforitShotDistanceinYards",2011
40,40,"Luke Donald",19,254.5,760374,83,"AverageGoingforitShotDistanceinYards",2011
41,41,"Jonathan Byrd",26,254.7,1457921,159,"AverageGoingforitShotDistanceinYards",2011
41,41,"Justin Leonard",26,254.7,861816,94,"AverageGoingforitShotDistanceinYards",2011
43,43,"Bobby Gates",29,254.8,1321082,144,"AverageGoingforitShotDistanceinYards",2011
43,43,"Dustin Johnson",21,254.8,1421823,155,"AverageGoingforitShotDistanceinYards",2011
43,43,"Chris Kirk",28,254.8,1283981,140,"AverageGoingforitShotDistanceinYards",2011
46,46,"David Duval",24,254.9,935882,102,"AverageGoingforitShotDistanceinYards",2011
46,46,"JP Hayes",19,254.9,734185,80,"AverageGoingforitShotDistanceinYards",2011
46,46,"Zach Johnson",23,254.9,935861,102,"AverageGoingforitShotDistanceinYards",2011
46,46,"William McGirt",32,254.9,1302848,142,"AverageGoingforitShotDistanceinYards",2011
50,50,"Jason Day",21,255,1285214,140,"AverageGoingforitShotDistanceinYards",2011
50,50,"Bill Haas",26,255,1606222,175,"AverageGoingforitShotDistanceinYards",2011
50,50,"Trevor Immelman",25,255,963809,105,"AverageGoingforitShotDistanceinYards",2011
50,50,"Richard Johnson",23,255,449800,49,"AverageGoingforitShotDistanceinYards",2011
50,50,"Jerry Kelly",26,255,816981,89,"AverageGoingforitShotDistanceinYards",2011
55,55,"Stuart Appleby",24,255.1,854236,93,"AverageGoingforitShotDistanceinYards",2011
55,55,"Justin Hicks",23,255.1,505046,55,"AverageGoingforitShotDistanceinYards",2011
55,55,"Derek Lamely",26,255.1,1138769,124,"AverageGoingforitShotDistanceinYards",2011
55,55,"Davis Love III",22,255.1,918334,100,"AverageGoingforitShotDistanceinYards",2011
59,59,"Arjun Atwal",29,255.2,1194325,130,"AverageGoingforitShotDistanceinYards",2011
59,59,"Sung Kang",21,255.2,946167,103,"AverageGoingforitShotDistanceinYards",2011
61,61,"Graeme McDowell",16,255.3,689241,75,"AverageGoingforitShotDistanceinYards",2011
62,62,"Ernie Els",21,255.4,1066669,116,"AverageGoingforitShotDistanceinYards",2011
62,62,"Jhonattan Vegas",25,255.4,1691598,184,"AverageGoingforitShotDistanceinYards",2011
64,64,"Stephen Ames",22,255.5,754327,82,"AverageGoingforitShotDistanceinYards",2011
64,64,"Chad Campbell",29,255.5,1351906,147,"AverageGoingforitShotDistanceinYards",2011
64,64,"Charlie Wi",25,255.5,1140664,124,"AverageGoingforitShotDistanceinYards",2011
67,67,"Retief Goosen",16,255.6,634816,69,"AverageGoingforitShotDistanceinYards",2011
68,68,"YE Yang",18,255.7,736298,80,"AverageGoingforitShotDistanceinYards",2011
69,69,"Harrison Frazar",19,255.8,727598,79,"AverageGoingforitShotDistanceinYards",2011
69,69,"Padraig Harrington",18,255.8,764244,83,"AverageGoingforitShotDistanceinYards",2011
69,69,"Sean OHair",24,255.8,966745,105,"AverageGoingforitShotDistanceinYards",2011
69,69,"Brandt Snedeker",26,255.8,1086574,118,"AverageGoingforitShotDistanceinYards",2011
73,73,"David Hearn",26,255.9,985626,107,"AverageGoingforitShotDistanceinYards",2011
74,74,"Phil Mickelson",21,256,1373204,149,"AverageGoingforitShotDistanceinYards",2011
74,74,"Scott Piercy",23,256,1483646,161,"AverageGoingforitShotDistanceinYards",2011
