"FirstTeeEarlyScoringAverage_RANKTHISWEEK_2014","FirstTeeEarlyScoringAverage_RANKLASTWEEK_2014","FirstTeeEarlyScoringAverage_PLAYERNAME_2014","FirstTeeEarlyScoringAverage_ROUNDS_2014","FirstTeeEarlyScoringAverage_AVG_2014","FirstTeeEarlyScoringAverage_TOTALSTROKES_2014","FirstTeeEarlyScoringAverage_TOTEARLYRDS1STTEE_2014","stat_name","year"
1,1,"Rory McIlroy",66,68.9,689,10,"FirstTeeEarlyScoringAverage",2014
2,2,"Adam Scott",68,69,552,8,"FirstTeeEarlyScoringAverage",2014
3,3,"Jimmy Walker",98,69.09,1520,22,"FirstTeeEarlyScoringAverage",2014
4,4,"Henrik Stenson",56,69.1,691,10,"FirstTeeEarlyScoringAverage",2014
5,5,"Matt Kuchar",91,69.3,693,10,"FirstTeeEarlyScoringAverage",2014
6,6,"Brad Fritsch",50,69.31,901,13,"FirstTeeEarlyScoringAverage",2014
7,7,"Dustin Johnson",58,69.36,763,11,"FirstTeeEarlyScoringAverage",2014
8,8,"Brooks Koepka",56,69.38,1457,21,"FirstTeeEarlyScoringAverage",2014
9,9,"Luke Guthrie",85,69.5,1668,24,"FirstTeeEarlyScoringAverage",2014
10,10,"Kevin Chappell",100,69.52,2155,31,"FirstTeeEarlyScoringAverage",2014
11,11,"Russell Knox",92,69.58,2296,33,"FirstTeeEarlyScoringAverage",2014
12,12,"Chris Kirk",105,69.61,2297,33,"FirstTeeEarlyScoringAverage",2014
13,13,"Justin Rose",70,69.64,975,14,"FirstTeeEarlyScoringAverage",2014
14,14,"Danny Lee",84,69.65,1602,23,"FirstTeeEarlyScoringAverage",2014
15,15,"Kevin Kisner",85,69.67,1672,24,"FirstTeeEarlyScoringAverage",2014
16,16,"Charlie Wi",72,69.71,1185,17,"FirstTeeEarlyScoringAverage",2014
17,17,"Bud Cauley",56,69.75,1116,16,"FirstTeeEarlyScoringAverage",2014
18,18,"Kevin Na",94,69.81,1885,27,"FirstTeeEarlyScoringAverage",2014
19,19,"Michael Thompson",74,69.85,1816,26,"FirstTeeEarlyScoringAverage",2014
20,20,"Sergio Garcia",61,70,980,14,"FirstTeeEarlyScoringAverage",2014
20,20,"David Toms",64,70,1050,15,"FirstTeeEarlyScoringAverage",2014
22,22,"Retief Goosen",94,70.06,2172,31,"FirstTeeEarlyScoringAverage",2014
23,23,"Andres Romero",81,70.08,1822,26,"FirstTeeEarlyScoringAverage",2014
24,24,"John Senden",99,70.1,2103,30,"FirstTeeEarlyScoringAverage",2014
25,25,"Scott Langley",95,70.11,1893,27,"FirstTeeEarlyScoringAverage",2014
25,25,"Phil Mickelson",71,70.11,1332,19,"FirstTeeEarlyScoringAverage",2014
27,27,"Keegan Bradley",89,70.16,1333,19,"FirstTeeEarlyScoringAverage",2014
28,28,"George McNeill",79,70.17,2035,29,"FirstTeeEarlyScoringAverage",2014
28,28,"Bryce Molder",77,70.17,1614,23,"FirstTeeEarlyScoringAverage",2014
30,30,"Harris English",95,70.18,1965,28,"FirstTeeEarlyScoringAverage",2014
