"TenthTeeEarlyRound5ScoringAverage_RANKTHISWEEK_2007","TenthTeeEarlyRound5ScoringAverage_RANKLASTWEEK_2007","TenthTeeEarlyRound5ScoringAverage_PLAYERNAME_2007","TenthTeeEarlyRound5ScoringAverage__2007","TenthTeeEarlyRound5ScoringAverage_AVG_2007","TenthTeeEarlyRound5ScoringAverage_TOTALSTROKES_2007","TenthTeeEarlyRound5ScoringAverage_TOTALROUNDS_2007","stat_name","year"
1,1,"Mark Calcavecchia",NA,69,69,1,"TenthTeeEarlyRound5ScoringAverage",2007
2,2,"Will Ma Kenzie",NA,70,70,1,"TenthTeeEarlyRound5ScoringAverage",2007
2,2,"Nick Watney",NA,70,70,1,"TenthTeeEarlyRound5ScoringAverage",2007
4,4,"Peter Lonard",NA,72,72,1,"TenthTeeEarlyRound5ScoringAverage",2007
4,4,"George McNeill",NA,72,72,1,"TenthTeeEarlyRound5ScoringAverage",2007
6,6,"Lee Janzen",NA,73,73,1,"TenthTeeEarlyRound5ScoringAverage",2007
6,6,"Richard Johnson",NA,73,73,1,"TenthTeeEarlyRound5ScoringAverage",2007
8,8,"Shaun Micheel",NA,74,74,1,"TenthTeeEarlyRound5ScoringAverage",2007
9,9,"Paul Gow",NA,75,75,1,"TenthTeeEarlyRound5ScoringAverage",2007
10,10,"Jason Dufner",NA,76,76,1,"TenthTeeEarlyRound5ScoringAverage",2007
10,10,"Corey Pavin",NA,76,76,1,"TenthTeeEarlyRound5ScoringAverage",2007
10,10,"Mike Weir",NA,76,76,1,"TenthTeeEarlyRound5ScoringAverage",2007
13,13,"Ken Duke",NA,77,77,1,"TenthTeeEarlyRound5ScoringAverage",2007
13,13,"Kevin Sutherland",NA,77,77,1,"TenthTeeEarlyRound5ScoringAverage",2007
15,15,"Jason Gore",NA,78,78,1,"TenthTeeEarlyRound5ScoringAverage",2007
15,15,"Bob Heintz",NA,78,78,1,"TenthTeeEarlyRound5ScoringAverage",2007
15,15,"Steve Marino",NA,78,78,1,"TenthTeeEarlyRound5ScoringAverage",2007
15,15,"Kenny Perry",NA,78,78,1,"TenthTeeEarlyRound5ScoringAverage",2007
19,19,"Tripp Isenhour",NA,79,79,1,"TenthTeeEarlyRound5ScoringAverage",2007
20,20,"Kevin Na",NA,80,80,1,"TenthTeeEarlyRound5ScoringAverage",2007
