"ConsecutiveHolesBelowPar_RANKTHISWEEK_2005","ConsecutiveHolesBelowPar_RANKLASTWEEK_2005","ConsecutiveHolesBelowPar_PLAYERNAME_2005","ConsecutiveHolesBelowPar_EVENTS_2005","ConsecutiveHolesBelowPar_NUMBEROFHOLES_2005","stat_name","year"
1,1,"Joe Durant",25,7,"ConsecutiveHolesBelowPar",2005
1,1,"Tiger Woods",21,7,"ConsecutiveHolesBelowPar",2005
3,3,"Aaron Baddeley",27,6,"ConsecutiveHolesBelowPar",2005
3,3,"Tim Clark",26,6,"ConsecutiveHolesBelowPar",2005
3,3,"Todd Fischer",35,6,"ConsecutiveHolesBelowPar",2005
3,3,"Harrison Frazar",31,6,"ConsecutiveHolesBelowPar",2005
3,3,"Jim Furyk",26,6,"ConsecutiveHolesBelowPar",2005
3,3,"Padraig Harrington",15,6,"ConsecutiveHolesBelowPar",2005
3,3,"JP Hayes",22,6,"ConsecutiveHolesBelowPar",2005
3,3,"Tim Herron",28,6,"ConsecutiveHolesBelowPar",2005
3,3,"Zach Johnson",30,6,"ConsecutiveHolesBelowPar",2005
3,3,"Tom Lehman",20,6,"ConsecutiveHolesBelowPar",2005
3,3,"Phil Mickelson",21,6,"ConsecutiveHolesBelowPar",2005
14,14,"Michael Allen",30,5,"ConsecutiveHolesBelowPar",2005
14,14,"Jason Allred",29,5,"ConsecutiveHolesBelowPar",2005
14,14,"Arjun Atwal",17,5,"ConsecutiveHolesBelowPar",2005
14,14,"Woody Austin",30,5,"ConsecutiveHolesBelowPar",2005
14,14,"Briny Baird",33,5,"ConsecutiveHolesBelowPar",2005
14,14,"Rich Barcelo",3,5,"ConsecutiveHolesBelowPar",2005
14,14,"Rich Beem",26,5,"ConsecutiveHolesBelowPar",2005
14,14,"Olin Browne",29,5,"ConsecutiveHolesBelowPar",2005
14,14,"Tom Byrum",27,5,"ConsecutiveHolesBelowPar",2005
14,14,"KJ Choi",24,5,"ConsecutiveHolesBelowPar",2005
14,14,"John Cook",26,5,"ConsecutiveHolesBelowPar",2005
14,14,"Fred Couples",22,5,"ConsecutiveHolesBelowPar",2005
14,14,"Chris DiMarco",24,5,"ConsecutiveHolesBelowPar",2005
14,14,"James Driscoll",26,5,"ConsecutiveHolesBelowPar",2005
14,14,"David Edwards",9,5,"ConsecutiveHolesBelowPar",2005
14,14,"Steve Elkington",20,5,"ConsecutiveHolesBelowPar",2005
14,14,"Ernie Els",11,5,"ConsecutiveHolesBelowPar",2005
14,14,"Steve Flesch",30,5,"ConsecutiveHolesBelowPar",2005
14,14,"Robert Gamez",28,5,"ConsecutiveHolesBelowPar",2005
14,14,"Bill Glasson",21,5,"ConsecutiveHolesBelowPar",2005
14,14,"Matt Gogel",28,5,"ConsecutiveHolesBelowPar",2005
14,14,"Bill Haas",6,5,"ConsecutiveHolesBelowPar",2005
14,14,"Dudley Hart",29,5,"ConsecutiveHolesBelowPar",2005
14,14,"David Hearn",24,5,"ConsecutiveHolesBelowPar",2005
14,14,"Scott Hend",28,5,"ConsecutiveHolesBelowPar",2005
14,14,"Lee Janzen",26,5,"ConsecutiveHolesBelowPar",2005
14,14,"Franklin Langham",31,5,"ConsecutiveHolesBelowPar",2005
14,14,"JL Lewis",30,5,"ConsecutiveHolesBelowPar",2005
14,14,"Peter Lonard",27,5,"ConsecutiveHolesBelowPar",2005
14,14,"Andrew Magee",29,5,"ConsecutiveHolesBelowPar",2005
14,14,"Shigeki Maruyama",29,5,"ConsecutiveHolesBelowPar",2005
14,14,"Rocco Mediate",24,5,"ConsecutiveHolesBelowPar",2005
14,14,"Joe Ogilvie",30,5,"ConsecutiveHolesBelowPar",2005
14,14,"Jose Maria Olazabal",16,5,"ConsecutiveHolesBelowPar",2005
14,14,"Ryan Palmer",32,5,"ConsecutiveHolesBelowPar",2005
14,14,"Tim Petrovic",32,5,"ConsecutiveHolesBelowPar",2005
14,14,"Carl Pettersson",34,5,"ConsecutiveHolesBelowPar",2005
14,14,"Ted Purdy",34,5,"ConsecutiveHolesBelowPar",2005
14,14,"Brett Quigley",31,5,"ConsecutiveHolesBelowPar",2005
14,14,"John Senden",29,5,"ConsecutiveHolesBelowPar",2005
