"TotalMoneyOfficialandUnofficial_RANKTHISWEEK_2011","TotalMoneyOfficialandUnofficial_RANKLASTWEEK_2011","TotalMoneyOfficialandUnofficial_PLAYERNAME_2011","TotalMoneyOfficialandUnofficial_EVENTS_2011","TotalMoneyOfficialandUnofficial_MONEY_2011","stat_name","year"
1,1,"Luke Donald",19,6683214,"TotalMoneyOfficialandUnofficial",2011
2,2,"Webb Simpson",29,6579853,"TotalMoneyOfficialandUnofficial",2011
3,3,"Matt Kuchar",28,5846420,"TotalMoneyOfficialandUnofficial",2011
4,4,"Nick Watney",25,5482673,"TotalMoneyOfficialandUnofficial",2011
5,5,"Gary Woodland",29,4967757,"TotalMoneyOfficialandUnofficial",2011
6,6,"Keegan Bradley",32,4957933,"TotalMoneyOfficialandUnofficial",2011
7,7,"KJ Choi",25,4684024,"TotalMoneyOfficialandUnofficial",2011
8,8,"Bill Haas",30,4347137,"TotalMoneyOfficialandUnofficial",2011
9,9,"Dustin Johnson",22,4309961,"TotalMoneyOfficialandUnofficial",2011
10,10,"Steve Stricker",22,4245285,"TotalMoneyOfficialandUnofficial",2011
11,11,"Justin Rose",26,4148920,"TotalMoneyOfficialandUnofficial",2011
12,12,"Jason Day",23,4117647,"TotalMoneyOfficialandUnofficial",2011
13,13,"Bo Van Pelt",31,4013921,"TotalMoneyOfficialandUnofficial",2011
14,14,"Adam Scott",21,3984797,"TotalMoneyOfficialandUnofficial",2011
15,15,"David Toms",26,3972090,"TotalMoneyOfficialandUnofficial",2011
16,16,"Hunter Mahan",28,3921040,"TotalMoneyOfficialandUnofficial",2011
17,17,"Phil Mickelson",22,3763488,"TotalMoneyOfficialandUnofficial",2011
18,18,"Brandt Snedeker",28,3732206,"TotalMoneyOfficialandUnofficial",2011
19,19,"Bubba Watson",24,3674061,"TotalMoneyOfficialandUnofficial",2011
20,20,"Freddie Jacobson",27,3583325,"TotalMoneyOfficialandUnofficial",2011
21,21,"Mark Wilson",28,3458977,"TotalMoneyOfficialandUnofficial",2011
22,22,"Jason Dufner",25,3239526,"TotalMoneyOfficialandUnofficial",2011
23,23,"Charl Schwartzel",19,3210892,"TotalMoneyOfficialandUnofficial",2011
24,24,"Aaron Baddeley",24,3157193,"TotalMoneyOfficialandUnofficial",2011
