"Last5EventsPutting_RANKTHISWEEK_2012","Last5EventsPutting_RANKLASTWEEK_2012","Last5EventsPutting_PLAYERNAME_2012","Last5EventsPutting_EVENTS_2012","Last5EventsPutting_RATING_2012","stat_name","year"
1,1,"Joey Snyder III",1,9.4,"Last5EventsPutting",2012
2,2,"Ian Poulter",1,9.3,"Last5EventsPutting",2012
3,3,"Tommy Biershenk",1,9.2,"Last5EventsPutting",2012
3,3,"Billy Hurley III",1,9.2,"Last5EventsPutting",2012
3,3,"Shigeki Maruyama",1,9.2,"Last5EventsPutting",2012
6,6,"YE Yang",3,9.1,"Last5EventsPutting",2012
7,7,"Rafa Cabrera Bello",1,9,"Last5EventsPutting",2012
7,7,"Brian Davis",1,9,"Last5EventsPutting",2012
7,7,"Yoshinori Fujimoto",1,9,"Last5EventsPutting",2012
7,7,"Paul Goydos",2,9,"Last5EventsPutting",2012
7,7,"Brett Wetterich",1,9,"Last5EventsPutting",2012
12,12,"Jonas Blixt",4,8.9,"Last5EventsPutting",2012
12,12,"Jason Gore",1,8.9,"Last5EventsPutting",2012
12,12,"Anthony Kim",1,8.9,"Last5EventsPutting",2012
12,12,"Richard Lee",2,8.9,"Last5EventsPutting",2012
16,16,"Eric Axley",1,8.8,"Last5EventsPutting",2012
16,16,"Greg Chalmers",3,8.8,"Last5EventsPutting",2012
16,16,"Corey Pavin",2,8.8,"Last5EventsPutting",2012
16,16,"Tadahiro Takayama",1,8.8,"Last5EventsPutting",2012
16,16,"Willie Wood",1,8.8,"Last5EventsPutting",2012
21,21,"Jason Day",3,8.7,"Last5EventsPutting",2012
21,21,"Brian Gay",4,8.7,"Last5EventsPutting",2012
21,21,"Jerry Kelly",2,8.7,"Last5EventsPutting",2012
21,21,"Greg Owen",2,8.7,"Last5EventsPutting",2012
25,25,"Gavin Coles",2,8.6,"Last5EventsPutting",2012
25,25,"Derek Ernst",1,8.6,"Last5EventsPutting",2012
25,25,"Bo Van Pelt",3,8.6,"Last5EventsPutting",2012
28,28,"Erik Compton",2,8.5,"Last5EventsPutting",2012
28,28,"Fred Funk",1,8.5,"Last5EventsPutting",2012
28,28,"Martin Kaymer",1,8.5,"Last5EventsPutting",2012
28,28,"Edward Loar",2,8.5,"Last5EventsPutting",2012
28,28,"Rocco Mediate",3,8.5,"Last5EventsPutting",2012
28,28,"Tim Petrovic",1,8.5,"Last5EventsPutting",2012
28,28,"Alvaro Quiros",1,8.5,"Last5EventsPutting",2012
28,28,"Brandt Snedeker",2,8.5,"Last5EventsPutting",2012
36,36,"Tadd Fujikawa",1,8.4,"Last5EventsPutting",2012
36,36,"Matt Jones",3,8.4,"Last5EventsPutting",2012
36,36,"Skip Kendall",3,8.4,"Last5EventsPutting",2012
36,36,"Len Mattiace",1,8.4,"Last5EventsPutting",2012
36,36,"Phil Mickelson",4,8.4,"Last5EventsPutting",2012
36,36,"Ryan Moore",5,8.4,"Last5EventsPutting",2012
36,36,"Kevin Na",3,8.4,"Last5EventsPutting",2012
36,36,"Tom Pernice Jr",1,8.4,"Last5EventsPutting",2012
36,36,"Vijay Singh",4,8.4,"Last5EventsPutting",2012
36,36,"Peter Tomasulo",1,8.4,"Last5EventsPutting",2012
36,36,"David Toms",2,8.4,"Last5EventsPutting",2012
36,36,"Tiger Woods",3,8.4,"Last5EventsPutting",2012
48,48,"Aaron Baddeley",2,8.3,"Last5EventsPutting",2012
48,48,"Rich Beem",1,8.3,"Last5EventsPutting",2012
48,48,"Michael Bradley",1,8.3,"Last5EventsPutting",2012
48,48,"Jamie Donaldson",2,8.3,"Last5EventsPutting",2012
48,48,"Jonathan Fly",1,8.3,"Last5EventsPutting",2012
48,48,"Luke Guthrie",3,8.3,"Last5EventsPutting",2012
48,48,"Hunter Hamrick",2,8.3,"Last5EventsPutting",2012
48,48,"Kent Jones",1,8.3,"Last5EventsPutting",2012
48,48,"Jamie Lovemark",2,8.3,"Last5EventsPutting",2012
48,48,"John Mallinger",2,8.3,"Last5EventsPutting",2012
48,48,"Koumei Oda",1,8.3,"Last5EventsPutting",2012
48,48,"Marcel Siem",1,8.3,"Last5EventsPutting",2012
60,60,"Woody Austin",2,8.2,"Last5EventsPutting",2012
60,60,"Thomas Bjorn",1,8.2,"Last5EventsPutting",2012
60,60,"Joseph Bramlett",1,8.2,"Last5EventsPutting",2012
60,60,"Stephen Gangluff",1,8.2,"Last5EventsPutting",2012
60,60,"Andres Gonzales",1,8.2,"Last5EventsPutting",2012
60,60,"Ryuji Imada",3,8.2,"Last5EventsPutting",2012
60,60,"Miguel Angel Jimenez",1,8.2,"Last5EventsPutting",2012
60,60,"Rory McIlroy",4,8.2,"Last5EventsPutting",2012
60,60,"Garth Mulroy",2,8.2,"Last5EventsPutting",2012
60,60,"Josh Teater",4,8.2,"Last5EventsPutting",2012
70,70,"Mark Anderson",3,8.1,"Last5EventsPutting",2012
70,70,"Matt Bettencourt",2,8.1,"Last5EventsPutting",2012
70,70,"Tim Clark",3,8.1,"Last5EventsPutting",2012
70,70,"Fred Couples",2,8.1,"Last5EventsPutting",2012
70,70,"Glen Day",1,8.1,"Last5EventsPutting",2012
70,70,"Tom Gillis",4,8.1,"Last5EventsPutting",2012
70,70,"Lee Janzen",2,8.1,"Last5EventsPutting",2012
70,70,"Bill Lunde",3,8.1,"Last5EventsPutting",2012
70,70,"Nick OHern",2,8.1,"Last5EventsPutting",2012
70,70,"Jeff Overton",4,8.1,"Last5EventsPutting",2012
70,70,"Ryan Palmer",3,8.1,"Last5EventsPutting",2012
70,70,"Kenny Perry",3,8.1,"Last5EventsPutting",2012
70,70,"DA Points",2,8.1,"Last5EventsPutting",2012
70,70,"Jhonattan Vegas",3,8.1,"Last5EventsPutting",2012
70,70,"Garrett Willis",2,8.1,"Last5EventsPutting",2012
85,85,"Sangmoon Bae",2,8,"Last5EventsPutting",2012
85,85,"Nicolas Colsaerts",2,8,"Last5EventsPutting",2012
85,85,"Ben Crane",2,8,"Last5EventsPutting",2012
85,85,"John Daly",1,8,"Last5EventsPutting",2012
85,85,"Brendon de Jonge",4,8,"Last5EventsPutting",2012
85,85,"Ken Duke",3,8,"Last5EventsPutting",2012
85,85,"Bob Estes",4,8,"Last5EventsPutting",2012
85,85,"Martin Flores",4,8,"Last5EventsPutting",2012
85,85,"Sergio Garcia",4,8,"Last5EventsPutting",2012
85,85,"Yuta Ikeda",1,8,"Last5EventsPutting",2012
85,85,"Zach Johnson",3,8,"Last5EventsPutting",2012
85,85,"JJ Killeen",3,8,"Last5EventsPutting",2012
85,85,"Matt Kuchar",4,8,"Last5EventsPutting",2012
85,85,"WC Liang",1,8,"Last5EventsPutting",2012
85,85,"Billy Mayfair",2,8,"Last5EventsPutting",2012
85,85,"Bryce Molder",4,8,"Last5EventsPutting",2012
85,85,"Scott Piercy",3,8,"Last5EventsPutting",2012
85,85,"Fran Quinn",1,8,"Last5EventsPutting",2012
85,85,"Kyle Reifers",2,8,"Last5EventsPutting",2012
