"FinalRoundPerformance_RANKTHISWEEK_2013","FinalRoundPerformance_RANKLASTWEEK_2013","FinalRoundPerformance_PLAYERNAME_2013","FinalRoundPerformance_EVENTS_2013","FinalRoundPerformance_Pct_2013","stat_name","year"
1,1,"Aaron Watkins",19,100,"FinalRoundPerformance",2013
2,2,"Henrik Stenson",18,86.67,"FinalRoundPerformance",2013
3,3,"Derek Ernst",21,85.71,"FinalRoundPerformance",2013
3,3,"Patrick Reed",26,85.71,"FinalRoundPerformance",2013
5,5,"Ernie Els",19,84.62,"FinalRoundPerformance",2013
5,5,"Doug LaBelle II",23,84.62,"FinalRoundPerformance",2013
7,7,"Michael Thompson",22,81.82,"FinalRoundPerformance",2013
8,8,"Jason Day",21,80,"FinalRoundPerformance",2013
8,8,"Dustin Johnson",22,80,"FinalRoundPerformance",2013
10,10,"Geoff Ogilvy",19,77.78,"FinalRoundPerformance",2013
11,11,"Martin Kaymer",17,76.92,"FinalRoundPerformance",2013
11,11,"Scott Stallings",27,76.92,"FinalRoundPerformance",2013
13,13,"Keegan Bradley",25,75,"FinalRoundPerformance",2013
13,13,"Bobby Gates",20,75,"FinalRoundPerformance",2013
15,15,"Boo Weekley",27,73.91,"FinalRoundPerformance",2013
16,16,"Scott Brown",21,72.73,"FinalRoundPerformance",2013
16,16,"Ted Potter Jr",22,72.73,"FinalRoundPerformance",2013
18,18,"Kevin Streelman",25,72.22,"FinalRoundPerformance",2013
19,19,"John Rollins",24,71.43,"FinalRoundPerformance",2013
19,19,"DJ Trahan",16,71.43,"FinalRoundPerformance",2013
19,19,"Mike Weir",22,71.43,"FinalRoundPerformance",2013
22,22,"Ryan Palmer",22,70.59,"FinalRoundPerformance",2013
22,22,"Brandt Snedeker",23,70.59,"FinalRoundPerformance",2013
24,24,"Stewart Cink",22,69.23,"FinalRoundPerformance",2013
24,24,"Brian Stuard",25,69.23,"FinalRoundPerformance",2013
26,26,"Marc Leishman",23,68.75,"FinalRoundPerformance",2013
26,26,"Camilo Villegas",23,68.75,"FinalRoundPerformance",2013
28,28,"Jason Bohn",23,66.67,"FinalRoundPerformance",2013
28,28,"Graeme McDowell",16,66.67,"FinalRoundPerformance",2013
28,28,"Phil Mickelson",21,66.67,"FinalRoundPerformance",2013
28,28,"Jordan Spieth",23,66.67,"FinalRoundPerformance",2013
28,28,"Robert Streb",25,66.67,"FinalRoundPerformance",2013
28,28,"Daniel Summerhays",26,66.67,"FinalRoundPerformance",2013
28,28,"Mark Wilson",19,66.67,"FinalRoundPerformance",2013
28,28,"Tiger Woods",16,66.67,"FinalRoundPerformance",2013
36,36,"Bryce Molder",24,64.71,"FinalRoundPerformance",2013
37,37,"Jonas Blixt",24,64.29,"FinalRoundPerformance",2013
38,38,"Matt Kuchar",23,63.64,"FinalRoundPerformance",2013
38,38,"Dicky Pride",23,63.64,"FinalRoundPerformance",2013
40,40,"KJ Choi",24,63.16,"FinalRoundPerformance",2013
