"Approaches150175yardsRghRTP_RANKTHISWEEK_2006","Approaches150175yardsRghRTP_RANKLASTWEEK_2006","Approaches150175yardsRghRTP_PLAYERNAME_2006","Approaches150175yardsRghRTP_ROUNDS_2006","Approaches150175yardsRghRTP_AVGRTP_2006","stat_name","year"
1,1,"Luke Donald",66,-0.2,"Approaches150175yardsRghRTP",2006
2,2,"Briny Baird",81,-0.103,"Approaches150175yardsRghRTP",2006
3,3,"Ian Poulter",53,-0.033,"Approaches150175yardsRghRTP",2006
4,4,"Tiger Woods",55,-0.03,"Approaches150175yardsRghRTP",2006
5,5,"Retief Goosen",68,0,"Approaches150175yardsRghRTP",2006
5,5,"Jeff Gove",91,0,"Approaches150175yardsRghRTP",2006
7,7,"Shigeki Maruyama",94,0.013,"Approaches150175yardsRghRTP",2006
8,8,"Jim Furyk",89,0.02,"Approaches150175yardsRghRTP",2006
9,9,"Danny Ellis",68,0.021,"Approaches150175yardsRghRTP",2006
10,10,"Billy Mayfair",94,0.025,"Approaches150175yardsRghRTP",2006
11,11,"Fred Couples",52,0.034,"Approaches150175yardsRghRTP",2006
12,12,"Paul Stankowski",70,0.042,"Approaches150175yardsRghRTP",2006
13,13,"Kirk Triplett",58,0.05,"Approaches150175yardsRghRTP",2006
14,14,"Jeff Brehaut",100,0.058,"Approaches150175yardsRghRTP",2006
14,14,"Stephen Leaney",84,0.058,"Approaches150175yardsRghRTP",2006
14,14,"Jeff Sluman",101,0.058,"Approaches150175yardsRghRTP",2006
17,17,"Dudley Hart",83,0.059,"Approaches150175yardsRghRTP",2006
18,18,"Davis Love III",85,0.061,"Approaches150175yardsRghRTP",2006
19,19,"Jason Gore",86,0.065,"Approaches150175yardsRghRTP",2006
20,20,"Arron Oberholser",82,0.067,"Approaches150175yardsRghRTP",2006
21,21,"Len Mattiace",59,0.068,"Approaches150175yardsRghRTP",2006
22,22,"Henrik Bjornstad",97,0.081,"Approaches150175yardsRghRTP",2006
23,23,"Omar Uresti",61,0.088,"Approaches150175yardsRghRTP",2006
24,24,"Peter Lonard",77,0.091,"Approaches150175yardsRghRTP",2006
25,25,"Mark OMeara",52,0.094,"Approaches150175yardsRghRTP",2006
26,26,"Fred Funk",106,0.097,"Approaches150175yardsRghRTP",2006
26,26,"David Toms",76,0.097,"Approaches150175yardsRghRTP",2006
28,28,"Bob Estes",85,0.098,"Approaches150175yardsRghRTP",2006
28,28,"Rod Pampling",89,0.098,"Approaches150175yardsRghRTP",2006
30,30,"Stewart Cink",93,0.1,"Approaches150175yardsRghRTP",2006
30,30,"JP Hayes",55,0.1,"Approaches150175yardsRghRTP",2006
32,32,"JJ Henry",96,0.111,"Approaches150175yardsRghRTP",2006
32,32,"Duffy Waldorf",96,0.111,"Approaches150175yardsRghRTP",2006
34,34,"Stuart Appleby",83,0.113,"Approaches150175yardsRghRTP",2006
35,35,"Joe Ogilvie",95,0.117,"Approaches150175yardsRghRTP",2006
36,36,"Dean Wilson",115,0.119,"Approaches150175yardsRghRTP",2006
37,37,"Robert Garrigus",85,0.121,"Approaches150175yardsRghRTP",2006
38,38,"Michael Allen",84,0.122,"Approaches150175yardsRghRTP",2006
38,38,"Hidemichi Tanaka",74,0.122,"Approaches150175yardsRghRTP",2006
40,40,"Trevor Immelman",86,0.123,"Approaches150175yardsRghRTP",2006
40,40,"Tim Petrovic",95,0.123,"Approaches150175yardsRghRTP",2006
42,42,"Bart Bryant",87,0.125,"Approaches150175yardsRghRTP",2006
43,43,"Ryan Palmer",101,0.129,"Approaches150175yardsRghRTP",2006
44,44,"Tom Pernice Jr",108,0.13,"Approaches150175yardsRghRTP",2006
45,45,"Paul Goydos",72,0.132,"Approaches150175yardsRghRTP",2006
45,45,"Nathan Green",108,0.132,"Approaches150175yardsRghRTP",2006
45,45,"Bernhard Langer",77,0.132,"Approaches150175yardsRghRTP",2006
45,45,"Charles Warren",93,0.132,"Approaches150175yardsRghRTP",2006
49,49,"Ted Purdy",103,0.135,"Approaches150175yardsRghRTP",2006
50,50,"John Huston",74,0.138,"Approaches150175yardsRghRTP",2006
51,51,"Patrick Sheehan",104,0.141,"Approaches150175yardsRghRTP",2006
52,52,"Rich Beem",85,0.143,"Approaches150175yardsRghRTP",2006
52,52,"Jerry Kelly",100,0.143,"Approaches150175yardsRghRTP",2006
52,52,"Pat Perez",50,0.143,"Approaches150175yardsRghRTP",2006
55,55,"Bo Van Pelt",102,0.145,"Approaches150175yardsRghRTP",2006
56,56,"David McKenzie",82,0.146,"Approaches150175yardsRghRTP",2006
56,56,"Mike Sposa",68,0.146,"Approaches150175yardsRghRTP",2006
58,58,"Robert Damron",91,0.148,"Approaches150175yardsRghRTP",2006
58,58,"Steve Elkington",52,0.148,"Approaches150175yardsRghRTP",2006
58,58,"Jimmy Walker",60,0.148,"Approaches150175yardsRghRTP",2006
61,61,"Chris DiMarco",83,0.149,"Approaches150175yardsRghRTP",2006
61,61,"Tim Herron",82,0.149,"Approaches150175yardsRghRTP",2006
63,63,"Jonathan Byrd",66,0.15,"Approaches150175yardsRghRTP",2006
64,64,"Ernie Els",69,0.152,"Approaches150175yardsRghRTP",2006
65,65,"Kent Jones",103,0.154,"Approaches150175yardsRghRTP",2006
65,65,"Mark Wilson",79,0.154,"Approaches150175yardsRghRTP",2006
67,67,"Robert Allenby",79,0.156,"Approaches150175yardsRghRTP",2006
67,67,"Jose Maria Olazabal",62,0.156,"Approaches150175yardsRghRTP",2006
69,69,"John Senden",96,0.157,"Approaches150175yardsRghRTP",2006
70,70,"Nicholas Thompson",96,0.158,"Approaches150175yardsRghRTP",2006
71,71,"Freddie Jacobson",56,0.159,"Approaches150175yardsRghRTP",2006
72,72,"Jesper Parnevik",84,0.16,"Approaches150175yardsRghRTP",2006
73,73,"Vance Veazey",59,0.163,"Approaches150175yardsRghRTP",2006
74,74,"KJ Choi",93,0.167,"Approaches150175yardsRghRTP",2006
74,74,"JL Lewis",57,0.167,"Approaches150175yardsRghRTP",2006
76,76,"Brian Gay",107,0.169,"Approaches150175yardsRghRTP",2006
76,76,"Bill Haas",99,0.169,"Approaches150175yardsRghRTP",2006
76,76,"Shaun Micheel",96,0.169,"Approaches150175yardsRghRTP",2006
79,79,"Brett Quigley",109,0.171,"Approaches150175yardsRghRTP",2006
80,80,"Kris Cox",83,0.173,"Approaches150175yardsRghRTP",2006
81,81,"Daniel Chopra",110,0.174,"Approaches150175yardsRghRTP",2006
82,82,"Heath Slocum",96,0.175,"Approaches150175yardsRghRTP",2006
83,83,"Tommy Armour III",65,0.179,"Approaches150175yardsRghRTP",2006
84,84,"David Howell",52,0.182,"Approaches150175yardsRghRTP",2006
84,84,"Greg Owen",79,0.182,"Approaches150175yardsRghRTP",2006
86,86,"Ben Crane",85,0.184,"Approaches150175yardsRghRTP",2006
86,86,"Ryuji Imada",105,0.184,"Approaches150175yardsRghRTP",2006
88,88,"Brent Geiberger",99,0.186,"Approaches150175yardsRghRTP",2006
89,89,"Vaughn Taylor",88,0.188,"Approaches150175yardsRghRTP",2006
90,90,"Daisuke Maruyama",83,0.19,"Approaches150175yardsRghRTP",2006
91,91,"Arjun Atwal",97,0.191,"Approaches150175yardsRghRTP",2006
92,92,"Chad Campbell",91,0.193,"Approaches150175yardsRghRTP",2006
93,93,"Joe Durant",101,0.194,"Approaches150175yardsRghRTP",2006
93,93,"Chris Riley",86,0.194,"Approaches150175yardsRghRTP",2006
95,95,"Billy Andrade",78,0.2,"Approaches150175yardsRghRTP",2006
95,95,"Padraig Harrington",54,0.2,"Approaches150175yardsRghRTP",2006
97,97,"Steve Jones",83,0.204,"Approaches150175yardsRghRTP",2006
97,97,"Rory Sabbatini",84,0.204,"Approaches150175yardsRghRTP",2006
99,99,"Camilo Villegas",95,0.206,"Approaches150175yardsRghRTP",2006
100,100,"Ben Curtis",86,0.211,"Approaches150175yardsRghRTP",2006
100,100,"Charles Howell III",96,0.211,"Approaches150175yardsRghRTP",2006
100,100,"Chris Smith",67,0.211,"Approaches150175yardsRghRTP",2006
103,103,"Tjaart van der Walt",60,0.214,"Approaches150175yardsRghRTP",2006
104,104,"Todd Fischer",101,0.218,"Approaches150175yardsRghRTP",2006
104,104,"Roger Tambellini",64,0.218,"Approaches150175yardsRghRTP",2006
106,106,"James Driscoll",80,0.22,"Approaches150175yardsRghRTP",2006
106,106,"Bob May",65,0.22,"Approaches150175yardsRghRTP",2006
106,106,"DJ Trahan",92,0.22,"Approaches150175yardsRghRTP",2006
109,109,"Brian Davis",92,0.222,"Approaches150175yardsRghRTP",2006
109,109,"Corey Pavin",74,0.222,"Approaches150175yardsRghRTP",2006
111,111,"Marco Dawson",87,0.224,"Approaches150175yardsRghRTP",2006
112,112,"Stephen Ames",63,0.225,"Approaches150175yardsRghRTP",2006
113,113,"Brad Faxon",78,0.226,"Approaches150175yardsRghRTP",2006
114,114,"Aaron Baddeley",78,0.228,"Approaches150175yardsRghRTP",2006
115,115,"Thomas Levet",53,0.233,"Approaches150175yardsRghRTP",2006
116,116,"Woody Austin",107,0.234,"Approaches150175yardsRghRTP",2006
117,117,"Tom Lehman",70,0.237,"Approaches150175yardsRghRTP",2006
117,117,"Kevin Sutherland",100,0.237,"Approaches150175yardsRghRTP",2006
119,119,"Greg Kraft",79,0.238,"Approaches150175yardsRghRTP",2006
119,119,"Sean OHair",100,0.238,"Approaches150175yardsRghRTP",2006
119,119,"Carl Pettersson",95,0.238,"Approaches150175yardsRghRTP",2006
122,122,"Mark Brooks",90,0.239,"Approaches150175yardsRghRTP",2006
122,122,"Jeff Overton",95,0.239,"Approaches150175yardsRghRTP",2006
122,122,"Brett Wetterich",82,0.239,"Approaches150175yardsRghRTP",2006
125,125,"Jason Bohn",104,0.241,"Approaches150175yardsRghRTP",2006
126,126,"Mike Weir",88,0.244,"Approaches150175yardsRghRTP",2006
127,127,"Carlos Franco",86,0.246,"Approaches150175yardsRghRTP",2006
128,128,"Eric Axley",91,0.25,"Approaches150175yardsRghRTP",2006
128,128,"Doug Barron",74,0.25,"Approaches150175yardsRghRTP",2006
128,128,"Alex Cejka",93,0.25,"Approaches150175yardsRghRTP",2006
128,128,"Skip Kendall",72,0.25,"Approaches150175yardsRghRTP",2006
132,132,"Jonathan Kaye",95,0.254,"Approaches150175yardsRghRTP",2006
133,133,"Will Ma Kenzie",91,0.255,"Approaches150175yardsRghRTP",2006
134,134,"Alex Aragon",63,0.256,"Approaches150175yardsRghRTP",2006
134,134,"Troy Matteson",101,0.256,"Approaches150175yardsRghRTP",2006
136,136,"Shane Bertsch",104,0.257,"Approaches150175yardsRghRTP",2006
137,137,"David Branshaw",98,0.26,"Approaches150175yardsRghRTP",2006
138,138,"Steve Flesch",119,0.261,"Approaches150175yardsRghRTP",2006
138,138,"Bob Tway",81,0.261,"Approaches150175yardsRghRTP",2006
140,140,"Paul Azinger",87,0.263,"Approaches150175yardsRghRTP",2006
140,140,"Steve Stricker",64,0.263,"Approaches150175yardsRghRTP",2006
142,142,"John Rollins",93,0.267,"Approaches150175yardsRghRTP",2006
142,142,"Scott Verplank",88,0.267,"Approaches150175yardsRghRTP",2006
144,144,"Jerry Smith",94,0.268,"Approaches150175yardsRghRTP",2006
145,145,"Ron Whittaker",81,0.269,"Approaches150175yardsRghRTP",2006
146,146,"Adam Scott",70,0.27,"Approaches150175yardsRghRTP",2006
147,147,"Zach Johnson",98,0.273,"Approaches150175yardsRghRTP",2006
148,148,"Frank Lickliter II",99,0.277,"Approaches150175yardsRghRTP",2006
149,149,"Matt Hansen",68,0.278,"Approaches150175yardsRghRTP",2006
150,150,"Michael Connell",51,0.286,"Approaches150175yardsRghRTP",2006
151,151,"Sergio Garcia",59,0.29,"Approaches150175yardsRghRTP",2006
152,152,"Bubba Dickerson",98,0.293,"Approaches150175yardsRghRTP",2006
152,152,"Jeff Maggert",81,0.293,"Approaches150175yardsRghRTP",2006
154,154,"John Cook",67,0.294,"Approaches150175yardsRghRTP",2006
154,154,"Vijay Singh",103,0.294,"Approaches150175yardsRghRTP",2006
156,156,"Greg Chalmers",71,0.297,"Approaches150175yardsRghRTP",2006
157,157,"Phil Mickelson",74,0.3,"Approaches150175yardsRghRTP",2006
157,157,"Joey Sindelar",90,0.3,"Approaches150175yardsRghRTP",2006
159,159,"Lee Janzen",79,0.304,"Approaches150175yardsRghRTP",2006
160,160,"Steve Lowery",99,0.305,"Approaches150175yardsRghRTP",2006
161,161,"Charley Hoffman",100,0.306,"Approaches150175yardsRghRTP",2006
161,161,"Justin Leonard",83,0.306,"Approaches150175yardsRghRTP",2006
