"TenthTeeLateRound1ScoringAverage_RANKTHISWEEK_2016","TenthTeeLateRound1ScoringAverage_RANKLASTWEEK_2016","TenthTeeLateRound1ScoringAverage_PLAYERNAME_2016","TenthTeeLateRound1ScoringAverage__2016","TenthTeeLateRound1ScoringAverage_AVG_2016","TenthTeeLateRound1ScoringAverage_TOTALSTROKES_2016","TenthTeeLateRound1ScoringAverage_TOTALROUNDS_2016","stat_name","year"
1,1,"Branden Grace",NA,63,63,1,"TenthTeeLateRound1ScoringAverage",2016
2,2,"Dustin Johnson",NA,65,65,1,"TenthTeeLateRound1ScoringAverage",2016
2,2,"Patrick Reed",NA,65,65,1,"TenthTeeLateRound1ScoringAverage",2016
4,4,"Kevin Kisner",NA,66.5,133,2,"TenthTeeLateRound1ScoringAverage",2016
4,4,"Patton Kizzire",NA,66.5,133,2,"TenthTeeLateRound1ScoringAverage",2016
6,6,"Jason Dufner",NA,67,201,3,"TenthTeeLateRound1ScoringAverage",2016
6,6,"Kyle Reifers",NA,67,67,1,"TenthTeeLateRound1ScoringAverage",2016
8,8,"Charley Hoffman",NA,67.67,203,3,"TenthTeeLateRound1ScoringAverage",2016
9,9,"Camilo Villegas",NA,67.75,271,4,"TenthTeeLateRound1ScoringAverage",2016
10,10,"Tony Finau",NA,68,272,4,"TenthTeeLateRound1ScoringAverage",2016
10,10,"Rickie Fowler",NA,68,68,1,"TenthTeeLateRound1ScoringAverage",2016
10,10,"Sergio Garcia",NA,68,68,1,"TenthTeeLateRound1ScoringAverage",2016
10,10,"Lucas Glover",NA,68,340,5,"TenthTeeLateRound1ScoringAverage",2016
10,10,"Brooks Koepka",NA,68,68,1,"TenthTeeLateRound1ScoringAverage",2016
10,10,"Scott Langley",NA,68,136,2,"TenthTeeLateRound1ScoringAverage",2016
10,10,"Hideki Matsuyama",NA,68,136,2,"TenthTeeLateRound1ScoringAverage",2016
10,10,"Rory McIlroy",NA,68,68,1,"TenthTeeLateRound1ScoringAverage",2016
18,19,"Tyler Aldridge",NA,68.33,205,3,"TenthTeeLateRound1ScoringAverage",2016
18,19,"Daniel Berger",NA,68.33,205,3,"TenthTeeLateRound1ScoringAverage",2016
20,21,"William McGirt",NA,68.5,137,2,"TenthTeeLateRound1ScoringAverage",2016
20,21,"Webb Simpson",NA,68.5,137,2,"TenthTeeLateRound1ScoringAverage",2016
20,21,"Darron Stiles",NA,68.5,274,4,"TenthTeeLateRound1ScoringAverage",2016
23,24,"Alex Cejka",NA,68.67,206,3,"TenthTeeLateRound1ScoringAverage",2016
23,24,"Jamie Lovemark",NA,68.67,206,3,"TenthTeeLateRound1ScoringAverage",2016
