"3PuttAvoidance_RANKTHISWEEK_2015","3PuttAvoidance_RANKLASTWEEK_2015","3PuttAvoidance_PLAYERNAME_2015","3PuttAvoidance_ROUNDS_2015","3PuttAvoidance_Pct_2015","3PuttAvoidance_TOTAL3PUTTS_2015","3PuttAvoidance_TOTALHOLESOVERALL_2015","stat_name","year"
1,1,"Daniel Summerhays",101,1.65,30,1818,"3PuttAvoidance",2015
2,2,"Jason Bohn",95,1.7,29,1710,"3PuttAvoidance",2015
3,3,"Billy Hurley III",83,1.76,25,1422,"3PuttAvoidance",2015
4,4,"Brian Stuard",97,1.79,30,1674,"3PuttAvoidance",2015
5,5,"Kevin Kisner",104,1.87,35,1872,"3PuttAvoidance",2015
5,5,"Colt Knost",90,1.87,29,1548,"3PuttAvoidance",2015
7,7,"Ricky Barnes",82,1.92,27,1404,"3PuttAvoidance",2015
8,8,"Zach Johnson",90,1.98,31,1566,"3PuttAvoidance",2015
9,9,"Charles Howell III",105,2.01,38,1890,"3PuttAvoidance",2015
10,10,"Bryce Molder",91,2.04,32,1566,"3PuttAvoidance",2015
11,11,"David Hearn",97,2.06,36,1746,"3PuttAvoidance",2015
12,12,"Dustin Johnson",75,2.08,27,1296,"3PuttAvoidance",2015
13,13,"Jonas Blixt",78,2.1,28,1332,"3PuttAvoidance",2015
14,14,"Chad Collins",79,2.11,30,1422,"3PuttAvoidance",2015
15,15,"Eric Axley",57,2.12,21,990,"3PuttAvoidance",2015
16,16,"Morgan Hoffmann",85,2.16,33,1530,"3PuttAvoidance",2015
17,17,"Patrick Reed",103,2.17,39,1800,"3PuttAvoidance",2015
18,18,"Kevin Streelman",95,2.2,36,1638,"3PuttAvoidance",2015
18,18,"David Toms",62,2.2,23,1044,"3PuttAvoidance",2015
20,20,"Harris English",105,2.23,41,1836,"3PuttAvoidance",2015
20,20,"Jeff Overton",94,2.23,37,1656,"3PuttAvoidance",2015
22,22,"Aaron Baddeley",76,2.25,30,1332,"3PuttAvoidance",2015
23,23,"Sean OHair",86,2.26,35,1548,"3PuttAvoidance",2015
23,23,"Tyrone Van Aswegen",58,2.26,22,972,"3PuttAvoidance",2015
25,25,"Tim Wilkinson",73,2.27,29,1278,"3PuttAvoidance",2015
26,26,"Sergio Garcia",59,2.28,23,1008,"3PuttAvoidance",2015
26,26,"Justin Leonard",61,2.28,25,1098,"3PuttAvoidance",2015
28,28,"Scott Langley",94,2.29,38,1656,"3PuttAvoidance",2015
29,29,"Patrick Rodgers",57,2.31,22,954,"3PuttAvoidance",2015
30,30,"Whee Kim",71,2.33,29,1242,"3PuttAvoidance",2015
31,31,"Zac Blair",108,2.35,44,1872,"3PuttAvoidance",2015
31,31,"Luke Donald",71,2.35,30,1278,"3PuttAvoidance",2015
33,33,"Brendon de Jonge",106,2.36,45,1908,"3PuttAvoidance",2015
34,34,"Derek Fathauer",81,2.38,33,1386,"3PuttAvoidance",2015
34,34,"Troy Merritt",91,2.38,39,1638,"3PuttAvoidance",2015
36,36,"Jason Day",75,2.39,31,1296,"3PuttAvoidance",2015
37,37,"Jordan Spieth",91,2.4,38,1584,"3PuttAvoidance",2015
38,38,"Steven Alker",62,2.41,26,1080,"3PuttAvoidance",2015
38,38,"Francesco Molinari",56,2.41,23,954,"3PuttAvoidance",2015
40,40,"Ryan Moore",81,2.42,34,1404,"3PuttAvoidance",2015
41,41,"Andres Gonzales",90,2.45,38,1548,"3PuttAvoidance",2015
41,41,"John Peterson",84,2.45,37,1512,"3PuttAvoidance",2015
43,43,"Chad Campbell",97,2.46,43,1746,"3PuttAvoidance",2015
43,43,"Hudson Swafford",97,2.46,42,1710,"3PuttAvoidance",2015
45,45,"Rickie Fowler",76,2.47,32,1296,"3PuttAvoidance",2015
45,45,"Robert Streb",110,2.47,49,1980,"3PuttAvoidance",2015
47,47,"Shawn Stefani",94,2.48,42,1692,"3PuttAvoidance",2015
48,48,"Matt Jones",89,2.52,39,1548,"3PuttAvoidance",2015
48,48,"Spencer Levin",99,2.52,44,1746,"3PuttAvoidance",2015
50,50,"Brian Harman",90,2.53,41,1620,"3PuttAvoidance",2015
50,50,"JJ Henry",94,2.53,41,1620,"3PuttAvoidance",2015
52,52,"Marc Leishman",74,2.54,32,1260,"3PuttAvoidance",2015
53,53,"Pat Perez",96,2.55,44,1728,"3PuttAvoidance",2015
54,54,"Graham DeLaet",65,2.56,30,1170,"3PuttAvoidance",2015
