"PuttsperRoundRound2_RANKTHISWEEK_2005","PuttsperRoundRound2_RANKLASTWEEK_2005","PuttsperRoundRound2_PLAYERNAME_2005","PuttsperRoundRound2__2005","PuttsperRoundRound2_AVG_2005","PuttsperRoundRound2_TOTALPUTTS_2005","PuttsperRoundRound2_TOTALROUNDS_2005","stat_name","year"
1,1,"Ben Crane",NA,27.11,515,19,"PuttsperRoundRound2",2005
2,2,"Steve Stricker",NA,27.38,575,21,"PuttsperRoundRound2",2005
3,3,"Glen Day",NA,27.4,685,25,"PuttsperRoundRound2",2005
4,4,"Phil Mickelson",NA,27.74,527,19,"PuttsperRoundRound2",2005
5,5,"Arjun Atwal",NA,27.76,472,17,"PuttsperRoundRound2",2005
6,6,"Jose Maria Olazabal",NA,27.8,417,15,"PuttsperRoundRound2",2005
7,7,"Ryuji Imada",NA,28,700,25,"PuttsperRoundRound2",2005
8,8,"Loren Roberts",NA,28.06,477,17,"PuttsperRoundRound2",2005
9,9,"Shigeki Maruyama",NA,28.07,786,28,"PuttsperRoundRound2",2005
10,10,"Patrick Sheehan",NA,28.09,955,34,"PuttsperRoundRound2",2005
11,11,"Brian Gay",NA,28.1,871,31,"PuttsperRoundRound2",2005
11,11,"Rocco Mediate",NA,28.1,590,21,"PuttsperRoundRound2",2005
13,13,"Justin Leonard",NA,28.14,619,22,"PuttsperRoundRound2",2005
14,14,"Paul Gow",NA,28.17,676,24,"PuttsperRoundRound2",2005
15,15,"Tim Herron",NA,28.22,762,27,"PuttsperRoundRound2",2005
16,16,"Len Mattiace",NA,28.24,932,33,"PuttsperRoundRound2",2005
17,17,"Scott Verplank",NA,28.26,650,23,"PuttsperRoundRound2",2005
18,18,"Chris DiMarco",NA,28.27,622,22,"PuttsperRoundRound2",2005
18,18,"Jay Haas",NA,28.27,424,15,"PuttsperRoundRound2",2005
18,18,"Brett Quigley",NA,28.27,848,30,"PuttsperRoundRound2",2005
21,21,"Brad Faxon",NA,28.32,623,22,"PuttsperRoundRound2",2005
22,22,"Corey Pavin",NA,28.36,624,22,"PuttsperRoundRound2",2005
23,23,"Tim Clark",NA,28.38,681,24,"PuttsperRoundRound2",2005
23,23,"Neal Lancaster",NA,28.38,823,29,"PuttsperRoundRound2",2005
25,25,"Phillip Price",NA,28.39,653,23,"PuttsperRoundRound2",2005
26,26,"Tiger Woods",NA,28.4,568,20,"PuttsperRoundRound2",2005
27,27,"Stephen Leaney",NA,28.44,768,27,"PuttsperRoundRound2",2005
27,27,"Kevin Sutherland",NA,28.44,711,25,"PuttsperRoundRound2",2005
29,29,"Aaron Baddeley",NA,28.46,740,26,"PuttsperRoundRound2",2005
30,30,"JP Hayes",NA,28.48,598,21,"PuttsperRoundRound2",2005
31,31,"Dudley Hart",NA,28.5,627,22,"PuttsperRoundRound2",2005
31,31,"Scott McCarron",NA,28.5,627,22,"PuttsperRoundRound2",2005
33,33,"Matt Kuchar",NA,28.52,599,21,"PuttsperRoundRound2",2005
34,34,"Kirk Triplett",NA,28.53,485,17,"PuttsperRoundRound2",2005
35,35,"Mark Brooks",NA,28.54,685,24,"PuttsperRoundRound2",2005
36,36,"Stephen Ames",NA,28.55,628,22,"PuttsperRoundRound2",2005
37,37,"Bill Glasson",NA,28.56,514,18,"PuttsperRoundRound2",2005
38,38,"Mike Weir",NA,28.57,600,21,"PuttsperRoundRound2",2005
39,39,"Hunter Haas",NA,28.59,772,27,"PuttsperRoundRound2",2005
39,39,"Freddie Jacobson",NA,28.59,629,22,"PuttsperRoundRound2",2005
41,41,"Kevin Na",NA,28.61,801,28,"PuttsperRoundRound2",2005
42,42,"Jose Coceres",NA,28.62,601,21,"PuttsperRoundRound2",2005
42,42,"Joe Ogilvie",NA,28.62,830,29,"PuttsperRoundRound2",2005
44,44,"Retief Goosen",NA,28.63,458,16,"PuttsperRoundRound2",2005
44,44,"Bob Heintz",NA,28.63,687,24,"PuttsperRoundRound2",2005
44,44,"Bernhard Langer",NA,28.63,544,19,"PuttsperRoundRound2",2005
47,47,"Rob Rashell",NA,28.64,716,25,"PuttsperRoundRound2",2005
47,47,"John Senden",NA,28.64,802,28,"PuttsperRoundRound2",2005
49,49,"Brendan Jones",NA,28.65,745,26,"PuttsperRoundRound2",2005
49,49,"Pat Perez",NA,28.65,745,26,"PuttsperRoundRound2",2005
51,51,"Jerry Kelly",NA,28.66,831,29,"PuttsperRoundRound2",2005
52,52,"Matt Gogel",NA,28.67,774,27,"PuttsperRoundRound2",2005
52,52,"Charlie Wi",NA,28.67,602,21,"PuttsperRoundRound2",2005
52,52,"Mark Wilson",NA,28.67,688,24,"PuttsperRoundRound2",2005
55,55,"Tag Ridings",NA,28.7,861,30,"PuttsperRoundRound2",2005
56,56,"Jason Bohn",NA,28.71,804,28,"PuttsperRoundRound2",2005
56,56,"Robert Gamez",NA,28.71,804,28,"PuttsperRoundRound2",2005
56,56,"Mario Tiziani",NA,28.71,603,21,"PuttsperRoundRound2",2005
59,59,"Richard Johnson",NA,28.75,460,16,"PuttsperRoundRound2",2005
60,60,"James Driscoll",NA,28.76,719,25,"PuttsperRoundRound2",2005
60,60,"Bob Estes",NA,28.76,719,25,"PuttsperRoundRound2",2005
62,62,"Justin Bolli",NA,28.78,662,23,"PuttsperRoundRound2",2005
63,63,"Vaughn Taylor",NA,28.79,835,29,"PuttsperRoundRound2",2005
64,64,"Bob Tway",NA,28.8,720,25,"PuttsperRoundRound2",2005
65,65,"Paul Azinger",NA,28.82,634,22,"PuttsperRoundRound2",2005
66,66,"Chris Anderson",NA,28.83,663,23,"PuttsperRoundRound2",2005
66,66,"Zach Johnson",NA,28.83,836,29,"PuttsperRoundRound2",2005
68,68,"Jim Furyk",NA,28.84,721,25,"PuttsperRoundRound2",2005
68,68,"Kevin Stadler",NA,28.84,923,32,"PuttsperRoundRound2",2005
70,70,"Brandt Jobe",NA,28.85,750,26,"PuttsperRoundRound2",2005
71,71,"Mark Calcavecchia",NA,28.88,722,25,"PuttsperRoundRound2",2005
72,72,"Olin Browne",NA,28.89,809,28,"PuttsperRoundRound2",2005
73,73,"Harrison Frazar",NA,28.9,867,30,"PuttsperRoundRound2",2005
74,74,"Todd Fischer",NA,28.91,925,32,"PuttsperRoundRound2",2005
75,75,"Billy Andrade",NA,28.92,752,26,"PuttsperRoundRound2",2005
75,75,"Scott Gutschewski",NA,28.92,752,26,"PuttsperRoundRound2",2005
77,77,"Jeff Hart",NA,28.95,608,21,"PuttsperRoundRound2",2005
78,78,"Lee Janzen",NA,28.96,724,25,"PuttsperRoundRound2",2005
79,79,"Nick Watney",NA,28.97,869,30,"PuttsperRoundRound2",2005
80,80,"Danny Briggs",NA,29,725,25,"PuttsperRoundRound2",2005
80,80,"Jonathan Byrd",NA,29,841,29,"PuttsperRoundRound2",2005
80,80,"Gavin Coles",NA,29,638,22,"PuttsperRoundRound2",2005
80,80,"Mathias Gronberg",NA,29,522,18,"PuttsperRoundRound2",2005
80,80,"Mark OMeara",NA,29,609,21,"PuttsperRoundRound2",2005
80,80,"Geoff Ogilvy",NA,29,725,25,"PuttsperRoundRound2",2005
80,80,"Rod Pampling",NA,29,696,24,"PuttsperRoundRound2",2005
80,80,"Jesper Parnevik",NA,29,667,23,"PuttsperRoundRound2",2005
80,80,"Tom Pernice Jr",NA,29,899,31,"PuttsperRoundRound2",2005
80,80,"Darron Stiles",NA,29,725,25,"PuttsperRoundRound2",2005
80,80,"Hideto Tanihara",NA,29,551,19,"PuttsperRoundRound2",2005
80,80,"Jay Williamson",NA,29,464,16,"PuttsperRoundRound2",2005
92,92,"Daniel Chopra",NA,29.03,958,33,"PuttsperRoundRound2",2005
92,92,"Steve Lowery",NA,29.03,900,31,"PuttsperRoundRound2",2005
94,94,"Jason Allred",NA,29.04,813,28,"PuttsperRoundRound2",2005
94,94,"Stewart Cink",NA,29.04,697,24,"PuttsperRoundRound2",2005
94,94,"John Huston",NA,29.04,784,27,"PuttsperRoundRound2",2005
97,97,"Kent Jones",NA,29.06,901,31,"PuttsperRoundRound2",2005
97,97,"Ian Poulter",NA,29.06,523,18,"PuttsperRoundRound2",2005
99,99,"Padraig Harrington",NA,29.07,407,14,"PuttsperRoundRound2",2005
99,99,"Hank Kuehne",NA,29.07,785,27,"PuttsperRoundRound2",2005
99,99,"Billy Mayfair",NA,29.07,872,30,"PuttsperRoundRound2",2005
102,102,"Frank Lickliter II",NA,29.1,844,29,"PuttsperRoundRound2",2005
103,103,"Justin Rose",NA,29.11,786,27,"PuttsperRoundRound2",2005
104,104,"Hunter Mahan",NA,29.12,961,33,"PuttsperRoundRound2",2005
105,105,"Will Ma Kenzie",NA,29.13,699,24,"PuttsperRoundRound2",2005
106,106,"Fred Funk",NA,29.14,845,29,"PuttsperRoundRound2",2005
107,107,"Andrew Magee",NA,29.15,787,27,"PuttsperRoundRound2",2005
107,107,"Sean OHair",NA,29.15,787,27,"PuttsperRoundRound2",2005
107,107,"Duffy Waldorf",NA,29.15,758,26,"PuttsperRoundRound2",2005
110,110,"Mark Hensby",NA,29.16,554,19,"PuttsperRoundRound2",2005
111,111,"Woody Austin",NA,29.17,846,29,"PuttsperRoundRound2",2005
111,111,"Doug Barron",NA,29.17,671,23,"PuttsperRoundRound2",2005
111,111,"John Daly",NA,29.17,671,23,"PuttsperRoundRound2",2005
111,111,"Franklin Langham",NA,29.17,846,29,"PuttsperRoundRound2",2005
115,115,"Robert Damron",NA,29.18,817,28,"PuttsperRoundRound2",2005
116,116,"Steve Flesch",NA,29.19,788,27,"PuttsperRoundRound2",2005
116,116,"Peter Lonard",NA,29.19,759,26,"PuttsperRoundRound2",2005
118,118,"John Cook",NA,29.2,730,25,"PuttsperRoundRound2",2005
118,118,"JL Lewis",NA,29.2,876,30,"PuttsperRoundRound2",2005
118,118,"Brenden Pappas",NA,29.2,438,15,"PuttsperRoundRound2",2005
121,121,"Tom Lehman",NA,29.21,555,19,"PuttsperRoundRound2",2005
122,122,"Greg Owen",NA,29.22,672,23,"PuttsperRoundRound2",2005
123,123,"Todd Hamilton",NA,29.24,848,29,"PuttsperRoundRound2",2005
124,124,"Stuart Appleby",NA,29.26,673,23,"PuttsperRoundRound2",2005
125,125,"Chad Campbell",NA,29.27,761,26,"PuttsperRoundRound2",2005
126,126,"Tom Byrum",NA,29.3,791,27,"PuttsperRoundRound2",2005
126,126,"Jonathan Kaye",NA,29.3,586,20,"PuttsperRoundRound2",2005
126,126,"Bo Van Pelt",NA,29.3,967,33,"PuttsperRoundRound2",2005
129,129,"Steve Allan",NA,29.32,909,31,"PuttsperRoundRound2",2005
129,129,"Brian Davis",NA,29.32,645,22,"PuttsperRoundRound2",2005
129,129,"Michael Long",NA,29.32,733,25,"PuttsperRoundRound2",2005
132,132,"KJ Choi",NA,29.33,616,21,"PuttsperRoundRound2",2005
132,132,"David Toms",NA,29.33,616,21,"PuttsperRoundRound2",2005
134,134,"Jim Carter",NA,29.35,675,23,"PuttsperRoundRound2",2005
135,135,"DJ Trahan",NA,29.36,734,25,"PuttsperRoundRound2",2005
136,136,"Cameron Beckman",NA,29.37,881,30,"PuttsperRoundRound2",2005
136,136,"Shaun Micheel",NA,29.37,793,27,"PuttsperRoundRound2",2005
138,138,"Dean Wilson",NA,29.38,764,26,"PuttsperRoundRound2",2005
139,139,"Jeff Maggert",NA,29.41,647,22,"PuttsperRoundRound2",2005
140,140,"Bradley Hughes",NA,29.42,559,19,"PuttsperRoundRound2",2005
141,141,"Hidemichi Tanaka",NA,29.44,942,32,"PuttsperRoundRound2",2005
142,142,"Fred Couples",NA,29.45,589,20,"PuttsperRoundRound2",2005
142,142,"Matt Davidson",NA,29.45,589,20,"PuttsperRoundRound2",2005
