"Last5EventsPower_RANKTHISWEEK_2012","Last5EventsPower_RANKLASTWEEK_2012","Last5EventsPower_PLAYERNAME_2012","Last5EventsPower_EVENTS_2012","Last5EventsPower_RATING_2012","stat_name","year"
1,1,"John Daly",1,10,"Last5EventsPower",2012
2,2,"Charlie Beljan",3,9.9,"Last5EventsPower",2012
2,2,"Gary Woodland",2,9.9,"Last5EventsPower",2012
4,4,"Bubba Watson",2,9.8,"Last5EventsPower",2012
5,5,"Nicolas Colsaerts",2,9.7,"Last5EventsPower",2012
5,5,"Jason Day",3,9.7,"Last5EventsPower",2012
5,5,"Harrison Frazar",1,9.7,"Last5EventsPower",2012
8,8,"Jamie Lovemark",2,9.6,"Last5EventsPower",2012
8,8,"Rory McIlroy",4,9.6,"Last5EventsPower",2012
10,10,"Alvaro Quiros",1,9.5,"Last5EventsPower",2012
11,11,"Scott Stallings",4,9.4,"Last5EventsPower",2012
12,12,"Steven Bowditch",1,9.3,"Last5EventsPower",2012
12,12,"Dustin Johnson",1,9.3,"Last5EventsPower",2012
12,12,"Ryan Palmer",3,9.3,"Last5EventsPower",2012
15,15,"Charles Howell III",3,9.2,"Last5EventsPower",2012
15,15,"Adam Scott",4,9.2,"Last5EventsPower",2012
15,15,"Kyle Stanley",2,9.2,"Last5EventsPower",2012
18,18,"Derek Ernst",1,9.1,"Last5EventsPower",2012
18,18,"Robert Garrigus",3,9.1,"Last5EventsPower",2012
18,18,"Jason Gore",1,9.1,"Last5EventsPower",2012
18,18,"JB Holmes",4,9.1,"Last5EventsPower",2012
18,18,"Sean OHair",3,9.1,"Last5EventsPower",2012
18,18,"Nick Watney",1,9.1,"Last5EventsPower",2012
24,24,"Kevin Chappell",2,9,"Last5EventsPower",2012
24,24,"Jason Kokrak",4,9,"Last5EventsPower",2012
26,26,"Dustin Morris",1,8.9,"Last5EventsPower",2012
27,27,"Mathias Gronberg",1,8.8,"Last5EventsPower",2012
27,27,"Louis Oosthuizen",4,8.8,"Last5EventsPower",2012
27,27,"Scott Piercy",3,8.8,"Last5EventsPower",2012
30,30,"Graham DeLaet",4,8.7,"Last5EventsPower",2012
30,30,"Martin Flores",4,8.7,"Last5EventsPower",2012
32,32,"Harris English",5,8.6,"Last5EventsPower",2012
32,32,"Koumei Oda",1,8.6,"Last5EventsPower",2012
34,34,"Patrick Reed",2,8.5,"Last5EventsPower",2012
34,34,"Josh Teater",4,8.5,"Last5EventsPower",2012
34,34,"Jhonattan Vegas",3,8.5,"Last5EventsPower",2012
37,37,"Mark Anderson",3,8.4,"Last5EventsPower",2012
37,37,"Danny Lee",2,8.4,"Last5EventsPower",2012
37,37,"Garth Mulroy",2,8.4,"Last5EventsPower",2012
40,40,"Angel Cabrera",3,8.3,"Last5EventsPower",2012
40,40,"Rafa Cabrera Bello",1,8.3,"Last5EventsPower",2012
40,40,"Matt Jones",3,8.3,"Last5EventsPower",2012
40,40,"Steve Marino",2,8.3,"Last5EventsPower",2012
40,40,"Seung Yul Noh",3,8.3,"Last5EventsPower",2012
40,40,"Ted Purdy",2,8.3,"Last5EventsPower",2012
40,40,"Danny Willett",1,8.3,"Last5EventsPower",2012
47,47,"Bobby Gates",1,8.2,"Last5EventsPower",2012
47,47,"Jimmy Walker",4,8.2,"Last5EventsPower",2012
47,47,"Tiger Woods",3,8.2,"Last5EventsPower",2012
50,50,"Edward Loar",2,8,"Last5EventsPower",2012
51,51,"Daniel Chopra",3,7.9,"Last5EventsPower",2012
51,51,"Erik Compton",2,7.9,"Last5EventsPower",2012
51,51,"Gonzalo Fdez Castano",1,7.9,"Last5EventsPower",2012
51,51,"Peter Hanson",1,7.9,"Last5EventsPower",2012
51,51,"Robert Karlsson",3,7.9,"Last5EventsPower",2012
51,51,"Martin Laird",2,7.9,"Last5EventsPower",2012
51,51,"Rory Sabbatini",1,7.9,"Last5EventsPower",2012
58,58,"Shawn Stefani",1,7.8,"Last5EventsPower",2012
58,58,"Justin Thomas",1,7.8,"Last5EventsPower",2012
60,60,"Troy Matteson",1,7.7,"Last5EventsPower",2012
60,60,"Phil Mickelson",4,7.7,"Last5EventsPower",2012
60,60,"Charl Schwartzel",4,7.7,"Last5EventsPower",2012
60,60,"Henrik Stenson",4,7.7,"Last5EventsPower",2012
64,64,"Aaron Baddeley",2,7.5,"Last5EventsPower",2012
64,64,"Patrick Cantlay",3,7.5,"Last5EventsPower",2012
64,64,"Chris Couch",3,7.5,"Last5EventsPower",2012
64,64,"Stephen Gangluff",1,7.5,"Last5EventsPower",2012
64,64,"Joost Luiten",1,7.5,"Last5EventsPower",2012
69,69,"Scott Brown",3,7.4,"Last5EventsPower",2012
69,69,"Stewart Cink",3,7.4,"Last5EventsPower",2012
69,69,"Charley Hoffman",2,7.4,"Last5EventsPower",2012
69,69,"Jbe Kruger",1,7.4,"Last5EventsPower",2012
69,69,"Davis Love III",3,7.4,"Last5EventsPower",2012
69,69,"Lee Westwood",3,7.4,"Last5EventsPower",2012
69,69,"Chase Wright",1,7.4,"Last5EventsPower",2012
76,76,"Branden Grace",1,7.3,"Last5EventsPower",2012
76,76,"Randall Hutchison",1,7.3,"Last5EventsPower",2012
76,76,"Troy Kelly",3,7.3,"Last5EventsPower",2012
76,76,"Pablo Larrazabal",1,7.3,"Last5EventsPower",2012
76,76,"Alexander Noren",1,7.3,"Last5EventsPower",2012
76,76,"John Rollins",3,7.3,"Last5EventsPower",2012
82,82,"Tommy Gainey",4,7.2,"Last5EventsPower",2012
82,82,"Adam Hadwin",1,7.2,"Last5EventsPower",2012
82,82,"Billy Horschel",4,7.2,"Last5EventsPower",2012
82,82,"Brandt Jobe",5,7.2,"Last5EventsPower",2012
82,82,"Cameron Tringale",1,7.2,"Last5EventsPower",2012
87,87,"Bud Cauley",4,7.1,"Last5EventsPower",2012
87,87,"Bill Haas",2,7.1,"Last5EventsPower",2012
87,87,"Ryo Ishikawa",2,7.1,"Last5EventsPower",2012
87,87,"Vijay Singh",4,7.1,"Last5EventsPower",2012
91,91,"Thomas Aiken",1,7,"Last5EventsPower",2012
91,91,"JJ Killeen",3,7,"Last5EventsPower",2012
91,91,"Boo Weekley",2,7,"Last5EventsPower",2012
94,94,"Simon Dyson",1,6.9,"Last5EventsPower",2012
94,94,"Tadd Fujikawa",1,6.9,"Last5EventsPower",2012
94,94,"Derek Lamely",1,6.9,"Last5EventsPower",2012
94,94,"Greg Owen",2,6.9,"Last5EventsPower",2012
94,94,"Jesper Parnevik",1,6.9,"Last5EventsPower",2012
99,99,"Jamie Donaldson",2,6.8,"Last5EventsPower",2012
99,99,"Jim Herman",1,6.8,"Last5EventsPower",2012
99,99,"Tim Herron",5,6.8,"Last5EventsPower",2012
102,102,"Ernie Els",4,6.7,"Last5EventsPower",2012
102,102,"Paul Lawrie",1,6.7,"Last5EventsPower",2012
102,102,"Kyle Reifers",2,6.7,"Last5EventsPower",2012
102,102,"DJ Trahan",3,6.7,"Last5EventsPower",2012
106,106,"JJ Henry",2,6.6,"Last5EventsPower",2012
106,106,"Frank Lickliter II",1,6.6,"Last5EventsPower",2012
106,106,"Carl Pettersson",2,6.6,"Last5EventsPower",2012
106,106,"Kevin Streelman",5,6.6,"Last5EventsPower",2012
110,110,"Woody Austin",2,6.5,"Last5EventsPower",2012
110,110,"Joseph Bramlett",1,6.5,"Last5EventsPower",2012
110,110,"Brendon de Jonge",4,6.5,"Last5EventsPower",2012
110,110,"Matt Every",4,6.5,"Last5EventsPower",2012
110,110,"Jonathan Fly",1,6.5,"Last5EventsPower",2012
110,110,"Sergio Garcia",4,6.5,"Last5EventsPower",2012
110,110,"Chris Kirk",4,6.5,"Last5EventsPower",2012
110,110,"Justin Rose",2,6.5,"Last5EventsPower",2012
110,110,"Jordan Spieth",2,6.5,"Last5EventsPower",2012
110,110,"Steve Stricker",3,6.5,"Last5EventsPower",2012
120,120,"Luke Guthrie",3,6.4,"Last5EventsPower",2012
120,120,"Marcel Siem",1,6.4,"Last5EventsPower",2012
120,120,"Joey Snyder III",1,6.4,"Last5EventsPower",2012
120,120,"Kevin Stadler",4,6.4,"Last5EventsPower",2012
124,124,"Ricky Barnes",1,6.3,"Last5EventsPower",2012
124,124,"Roberto Castro",4,6.3,"Last5EventsPower",2012
124,124,"Retief Goosen",2,6.3,"Last5EventsPower",2012
124,124,"Tom Lewis",1,6.3,"Last5EventsPower",2012
124,124,"Bill Lunde",3,6.3,"Last5EventsPower",2012
124,124,"Will Ma Kenzie",1,6.3,"Last5EventsPower",2012
124,124,"John Merrick",4,6.3,"Last5EventsPower",2012
124,124,"Geoff Ogilvy",3,6.3,"Last5EventsPower",2012
124,124,"Peter Tomasulo",1,6.3,"Last5EventsPower",2012
124,124,"Marc Turnesa",1,6.3,"Last5EventsPower",2012
124,124,"Camilo Villegas",4,6.3,"Last5EventsPower",2012
135,135,"Rod Pampling",3,6.2,"Last5EventsPower",2012
135,135,"Kenny Perry",3,6.2,"Last5EventsPower",2012
135,135,"Bernd Wiesberger",1,6.2,"Last5EventsPower",2012
138,138,"Miguel Angel Carballo",2,6.1,"Last5EventsPower",2012
138,138,"Russell Knox",4,6.1,"Last5EventsPower",2012
138,138,"Jeff Overton",4,6.1,"Last5EventsPower",2012
138,138,"Daniel Summerhays",3,6.1,"Last5EventsPower",2012
138,138,"Roland Thatcher",1,6.1,"Last5EventsPower",2012
138,138,"Brett Wetterich",1,6.1,"Last5EventsPower",2012
144,144,"Stuart Appleby",3,6,"Last5EventsPower",2012
144,144,"Mathew Goggin",4,6,"Last5EventsPower",2012
144,144,"Bo Van Pelt",3,6,"Last5EventsPower",2012
147,147,"Kris Blanks",1,5.9,"Last5EventsPower",2012
147,147,"Jason Dufner",1,5.9,"Last5EventsPower",2012
