"EaglesHolesper_RANKTHISWEEK_2015","EaglesHolesper_RANKLASTWEEK_2015","EaglesHolesper_PLAYERNAME_2015","EaglesHolesper_ROUNDS_2015","EaglesHolesper_FREQUENCY_2015","EaglesHolesper_OFHOLES_2015","EaglesHolesper_OFEAGLES_2015","stat_name","year"
1,1,"Brooks Koepka",84,72.9,1458,20,"EaglesHolesper",2015
2,2,"Bubba Watson",71,81.6,1224,15,"EaglesHolesper",2015
3,3,"Dustin Johnson",75,86.4,1296,15,"EaglesHolesper",2015
4,4,"JB Holmes",89,102,1530,15,"EaglesHolesper",2015
5,5,"Jason Day",75,108,1296,12,"EaglesHolesper",2015
6,6,"Hideki Matsuyama",95,117,1638,14,"EaglesHolesper",2015
7,7,"Justin Thomas",106,119.3,1908,16,"EaglesHolesper",2015
8,8,"Matt Kuchar",97,120.9,1692,14,"EaglesHolesper",2015
9,9,"Aaron Baddeley",76,121.1,1332,11,"EaglesHolesper",2015
10,10,"Will Wilcox",58,121.5,972,8,"EaglesHolesper",2015
11,11,"Adam Scott",51,123.4,864,7,"EaglesHolesper",2015
12,12,"Eric Axley",57,123.8,990,8,"EaglesHolesper",2015
13,13,"Derek Fathauer",81,126,1386,11,"EaglesHolesper",2015
14,14,"Jhonattan Vegas",90,129,1548,12,"EaglesHolesper",2015
15,15,"Rickie Fowler",76,129.6,1296,10,"EaglesHolesper",2015
16,16,"Jason Dufner",76,131.4,1314,10,"EaglesHolesper",2015
17,17,"Ryo Ishikawa",90,132,1584,12,"EaglesHolesper",2015
18,18,"Lee Westwood",56,133.7,936,7,"EaglesHolesper",2015
19,19,"Sean OHair",86,140.7,1548,11,"EaglesHolesper",2015
20,20,"Louis Oosthuizen",68,141.8,1134,8,"EaglesHolesper",2015
21,21,"Steven Bowditch",103,142.6,1854,13,"EaglesHolesper",2015
22,22,"Carlos Ortiz",100,144,1728,12,"EaglesHolesper",2015
22,22,"Jordan Spieth",91,144,1584,11,"EaglesHolesper",2015
24,24,"Seung Yul Noh",65,146.3,1170,8,"EaglesHolesper",2015
25,25,"Paul Casey",87,147.6,1476,10,"EaglesHolesper",2015
26,26,"Robert Garrigus",70,148.5,1188,8,"EaglesHolesper",2015
26,26,"Andres Romero",69,148.5,1188,8,"EaglesHolesper",2015
28,28,"Steve Wheatcroft",87,149.4,1494,10,"EaglesHolesper",2015
29,29,"John Huh",102,151.5,1818,12,"EaglesHolesper",2015
30,30,"Morgan Hoffmann",85,153,1530,10,"EaglesHolesper",2015
31,31,"Martin Laird",77,154,1386,9,"EaglesHolesper",2015
31,31,"Ryan Palmer",80,154,1386,9,"EaglesHolesper",2015
33,33,"Henrik Stenson",63,154.3,1080,7,"EaglesHolesper",2015
34,34,"Erik Compton",86,154.8,1548,10,"EaglesHolesper",2015
35,35,"Hudson Swafford",97,155.5,1710,11,"EaglesHolesper",2015
36,36,"Webb Simpson",81,156,1404,9,"EaglesHolesper",2015
36,36,"Andrew Svoboda",80,156,1404,9,"EaglesHolesper",2015
38,38,"Cameron Percy",72,157.5,1260,8,"EaglesHolesper",2015
39,39,"Scott Pinckney",88,158.4,1584,10,"EaglesHolesper",2015
40,40,"Angel Cabrera",53,159,954,6,"EaglesHolesper",2015
40,40,"Tony Finau",106,159,1908,12,"EaglesHolesper",2015
42,42,"Charlie Beljan",76,162,1296,8,"EaglesHolesper",2015
