"ProximitytoHolefromOtherLocations_RANKTHISWEEK_2007","ProximitytoHolefromOtherLocations_RANKLASTWEEK_2007","ProximitytoHolefromOtherLocations_PLAYERNAME_2007","ProximitytoHolefromOtherLocations_ROUNDS_2007","ProximitytoHolefromOtherLocations_AVGDTP_2007","ProximitytoHolefromOtherLocations_TOTALDISTANCEFEET_2007","ProximitytoHolefromOtherLocations_OFSHOTS_2007","ProximitytoHolefromOtherLocations_SCRAMBLINGRANK_2007","stat_name","year"
1,1,"Sergio Garcia",68,NA,5.492,87,84,"ProximitytoHolefromOtherLocations",2007
1,1,"Steve Stricker",81,NA,5.755,91,21,"ProximitytoHolefromOtherLocations",2007
3,3,"Padraig Harrington",64,NA,4.62,72,15,"ProximitytoHolefromOtherLocations",2007
4,4,"Paul Stankowski",52,NA,6.311,94,161,"ProximitytoHolefromOtherLocations",2007
5,5,"Jim Furyk",84,NA,5.583,82,29,"ProximitytoHolefromOtherLocations",2007
5,5,"Brian Gay",107,NA,10.851,159,19,"ProximitytoHolefromOtherLocations",2007
5,5,"Phil Mickelson",73,NA,6.075,89,53,"ProximitytoHolefromOtherLocations",2007
8,8,"Ernie Els",59,NA,3.632,51,37,"ProximitytoHolefromOtherLocations",2007
8,8,"Paul Goydos",60,NA,3.528,50,98,"ProximitytoHolefromOtherLocations",2007
8,8,"Camilo Villegas",82,NA,6.699,95,98,"ProximitytoHolefromOtherLocations",2007
11,11,"Luke Donald",69,NA,5.237,73,97,"ProximitytoHolefromOtherLocations",2007
11,11,"Retief Goosen",50,NA,3.595,50,154,"ProximitytoHolefromOtherLocations",2007
13,13,"Harrison Frazar",88,NA,9.525,130,165,"ProximitytoHolefromOtherLocations",2007
13,13,"Tom Pernice Jr",104,NA,10.504,143,40,"ProximitytoHolefromOtherLocations",2007
15,15,"Kevin Na",84,NA,10.588,144,3,"ProximitytoHolefromOtherLocations",2007
15,15,"Nick OHern",72,NA,6.477,87,120,"ProximitytoHolefromOtherLocations",2007
15,15,"Ian Poulter",63,NA,3.997,54,51,"ProximitytoHolefromOtherLocations",2007
15,15,"Charlie Wi",90,NA,10.028,136,54,"ProximitytoHolefromOtherLocations",2007
19,19,"Ken Duke",112,NA,9.642,129,23,"ProximitytoHolefromOtherLocations",2007
19,19,"Ryuji Imada",104,NA,13.563,181,48,"ProximitytoHolefromOtherLocations",2007
19,19,"Geoff Ogilvy",84,NA,7.012,93,111,"ProximitytoHolefromOtherLocations",2007
19,19,"Jeff Quinney",95,NA,9.856,131,146,"ProximitytoHolefromOtherLocations",2007
19,19,"Chris Riley",59,NA,7.178,96,1,"ProximitytoHolefromOtherLocations",2007
19,19,"Rory Sabbatini",81,NA,7.976,107,2,"ProximitytoHolefromOtherLocations",2007
19,19,"Brett Wetterich",88,NA,7.48,100,196,"ProximitytoHolefromOtherLocations",2007
26,26,"Zach Johnson",76,NA,6.5,85,30,"ProximitytoHolefromOtherLocations",2007
26,26,"Billy Mayfair",98,NA,9.104,120,74,"ProximitytoHolefromOtherLocations",2007
26,26,"David Toms",80,NA,9.819,130,66,"ProximitytoHolefromOtherLocations",2007
29,29,"Briny Baird",115,NA,14.071,183,45,"ProximitytoHolefromOtherLocations",2007
29,29,"Mark Brooks",53,NA,6.053,79,33,"ProximitytoHolefromOtherLocations",2007
29,29,"Ben Curtis",80,NA,9.627,125,176,"ProximitytoHolefromOtherLocations",2007
29,29,"Craig Kanada",109,NA,12.738,166,48,"ProximitytoHolefromOtherLocations",2007
29,29,"Sean OHair",98,NA,8.353,109,36,"ProximitytoHolefromOtherLocations",2007
29,29,"Arron Oberholser",69,NA,6.224,81,46,"ProximitytoHolefromOtherLocations",2007
29,29,"Jose Maria Olazabal",52,NA,5.534,72,140,"ProximitytoHolefromOtherLocations",2007
29,29,"Adam Scott",69,NA,5.683,74,179,"ProximitytoHolefromOtherLocations",2007
29,29,"Johnson Wagner",97,NA,11.146,145,169,"ProximitytoHolefromOtherLocations",2007
38,38,"Michael Allen",74,NA,8.454,109,153,"ProximitytoHolefromOtherLocations",2007
38,38,"Jose Coceres",50,NA,6.117,78,6,"ProximitytoHolefromOtherLocations",2007
38,38,"Fred Funk",65,NA,7.009,90,115,"ProximitytoHolefromOtherLocations",2007
38,38,"Mathew Goggin",97,NA,12.213,156,90,"ProximitytoHolefromOtherLocations",2007
38,38,"Nathan Green",103,NA,11.861,153,22,"ProximitytoHolefromOtherLocations",2007
38,38,"Charles Howell III",89,NA,7.377,95,133,"ProximitytoHolefromOtherLocations",2007
38,38,"Anthony Kim",93,NA,11.042,141,79,"ProximitytoHolefromOtherLocations",2007
38,38,"Carl Pettersson",111,NA,12.404,159,93,"ProximitytoHolefromOtherLocations",2007
46,46,"Stuart Appleby",74,NA,6.119,77,71,"ProximitytoHolefromOtherLocations",2007
46,46,"Alex Cejka",80,NA,10.203,129,11,"ProximitytoHolefromOtherLocations",2007
46,46,"Tim Herron",98,NA,10.636,135,115,"ProximitytoHolefromOtherLocations",2007
46,46,"Matt Kuchar",85,NA,10.346,131,5,"ProximitytoHolefromOtherLocations",2007
46,46,"Jeff Overton",60,NA,7.585,96,7,"ProximitytoHolefromOtherLocations",2007
46,46,"Tim Petrovic",106,NA,15.117,192,26,"ProximitytoHolefromOtherLocations",2007
52,52,"Steve Flesch",100,NA,12.215,153,82,"ProximitytoHolefromOtherLocations",2007
52,52,"Trevor Immelman",74,NA,7.11,89,123,"ProximitytoHolefromOtherLocations",2007
52,52,"Jerry Kelly",101,NA,8.272,103,78,"ProximitytoHolefromOtherLocations",2007
52,52,"Frank Lickliter II",95,NA,10.906,137,143,"ProximitytoHolefromOtherLocations",2007
52,52,"Kenny Perry",83,NA,10.968,137,58,"ProximitytoHolefromOtherLocations",2007
52,52,"Darron Stiles",65,NA,7.294,91,180,"ProximitytoHolefromOtherLocations",2007
52,52,"Chris Stroud",66,NA,7.75,97,124,"ProximitytoHolefromOtherLocations",2007
52,52,"Bob Tway",103,NA,12.059,151,106,"ProximitytoHolefromOtherLocations",2007
52,52,"Mark Wilson",87,NA,8.259,103,28,"ProximitytoHolefromOtherLocations",2007
61,61,"Aaron Baddeley",83,NA,8.722,108,25,"ProximitytoHolefromOtherLocations",2007
61,61,"Jason Bohn",57,NA,8.32,103,143,"ProximitytoHolefromOtherLocations",2007
61,61,"Jonathan Byrd",73,NA,9.797,121,69,"ProximitytoHolefromOtherLocations",2007
61,61,"KJ Choi",87,NA,8.863,110,9,"ProximitytoHolefromOtherLocations",2007
61,61,"Steve Elkington",87,NA,12.006,149,32,"ProximitytoHolefromOtherLocations",2007
61,61,"JP Hayes",89,NA,12.474,154,60,"ProximitytoHolefromOtherLocations",2007
61,61,"Justin Leonard",95,NA,10.343,127,39,"ProximitytoHolefromOtherLocations",2007
61,61,"Jarrod Lyle",77,NA,10.159,126,81,"ProximitytoHolefromOtherLocations",2007
61,61,"Heath Slocum",101,NA,11.229,139,16,"ProximitytoHolefromOtherLocations",2007
61,61,"Brandt Snedeker",105,NA,10.991,136,17,"ProximitytoHolefromOtherLocations",2007
61,61,"Boo Weekley",101,NA,9.097,112,108,"ProximitytoHolefromOtherLocations",2007
72,72,"John Daly",59,NA,6.182,75,195,"ProximitytoHolefromOtherLocations",2007
72,72,"Bob Heintz",85,NA,10.364,127,79,"ProximitytoHolefromOtherLocations",2007
72,72,"Charley Hoffman",97,NA,11,134,175,"ProximitytoHolefromOtherLocations",2007
72,72,"Stephen Leaney",82,NA,8.833,108,50,"ProximitytoHolefromOtherLocations",2007
72,72,"Parker McLachlin",83,NA,12.361,150,56,"ProximitytoHolefromOtherLocations",2007
77,77,"Eric Axley",107,NA,16.11,195,139,"ProximitytoHolefromOtherLocations",2007
77,77,"Bart Bryant",87,NA,10.497,126,59,"ProximitytoHolefromOtherLocations",2007
77,77,"Bubba Dickerson",51,NA,6.539,79,178,"ProximitytoHolefromOtherLocations",2007
77,77,"Rod Pampling",92,NA,8.931,107,76,"ProximitytoHolefromOtherLocations",2007
77,77,"Vijay Singh",102,NA,10.085,121,61,"ProximitytoHolefromOtherLocations",2007
77,77,"Nick Watney",87,NA,8.427,102,91,"ProximitytoHolefromOtherLocations",2007
83,83,"Craig Barlow",52,NA,5.187,62,110,"ProximitytoHolefromOtherLocations",2007
83,83,"Marco Dawson",73,NA,10.183,121,44,"ProximitytoHolefromOtherLocations",2007
83,83,"Joe Durant",88,NA,8.362,99,172,"ProximitytoHolefromOtherLocations",2007
83,83,"Lucas Glover",98,NA,12.155,144,66,"ProximitytoHolefromOtherLocations",2007
