"BirdieorBetterPercentage200yards_RANKTHISWEEK_2006","BirdieorBetterPercentage200yards_RANKLASTWEEK_2006","BirdieorBetterPercentage200yards_PLAYERNAME_2006","BirdieorBetterPercentage200yards_ROUNDS_2006","BirdieorBetterPercentage200yards_Pct_2006","BirdieorBetterPercentage200yards_TOTALBIRDIES_2006","BirdieorBetterPercentage200yards_TOTALHOLES_2006","stat_name","year"
1,1,"Phil Mickelson",74,40.65,87,214,"BirdieorBetterPercentage200yards",2006
2,2,"Craig Barlow",77,39.62,103,260,"BirdieorBetterPercentage200yards",2006
3,3,"Tiger Woods",55,38.51,67,174,"BirdieorBetterPercentage200yards",2006
4,4,"Charley Hoffman",100,38.36,145,378,"BirdieorBetterPercentage200yards",2006
5,5,"Padraig Harrington",54,38.16,58,152,"BirdieorBetterPercentage200yards",2006
6,6,"Vijay Singh",103,37.01,141,381,"BirdieorBetterPercentage200yards",2006
7,7,"Ernie Els",69,36.95,75,203,"BirdieorBetterPercentage200yards",2006
8,8,"John Rollins",93,36.54,110,301,"BirdieorBetterPercentage200yards",2006
9,9,"Harrison Frazar",95,36.3,106,292,"BirdieorBetterPercentage200yards",2006
10,10,"Brett Wetterich",82,36.05,106,294,"BirdieorBetterPercentage200yards",2006
11,11,"Jesper Parnevik",84,35.78,117,327,"BirdieorBetterPercentage200yards",2006
12,12,"Scott Gutschewski",53,35.68,66,185,"BirdieorBetterPercentage200yards",2006
13,13,"Trevor Immelman",86,35.47,105,296,"BirdieorBetterPercentage200yards",2006
14,14,"Jason Schultz",77,35.38,92,260,"BirdieorBetterPercentage200yards",2006
15,15,"Davis Love III",85,35.32,83,235,"BirdieorBetterPercentage200yards",2006
16,16,"Jonathan Byrd",66,35.27,85,241,"BirdieorBetterPercentage200yards",2006
17,17,"Bo Van Pelt",102,35.07,121,345,"BirdieorBetterPercentage200yards",2006
18,18,"Sean OHair",100,35.03,117,334,"BirdieorBetterPercentage200yards",2006
19,19,"Lucas Glover",105,34.84,131,376,"BirdieorBetterPercentage200yards",2006
20,20,"Robert Garrigus",85,34.82,109,313,"BirdieorBetterPercentage200yards",2006
21,21,"Ryan Palmer",101,34.81,118,339,"BirdieorBetterPercentage200yards",2006
22,22,"Geoff Ogilvy",76,34.56,75,217,"BirdieorBetterPercentage200yards",2006
23,23,"Michael Allen",84,34.23,89,260,"BirdieorBetterPercentage200yards",2006
24,24,"Will Ma Kenzie",91,34.21,104,304,"BirdieorBetterPercentage200yards",2006
25,25,"Tag Ridings",103,34.16,124,363,"BirdieorBetterPercentage200yards",2006
26,26,"Sergio Garcia",59,34.08,61,179,"BirdieorBetterPercentage200yards",2006
27,27,"Duffy Waldorf",96,33.97,107,315,"BirdieorBetterPercentage200yards",2006
28,28,"JB Holmes",81,33.96,91,268,"BirdieorBetterPercentage200yards",2006
29,29,"Charles Warren",93,33.95,110,324,"BirdieorBetterPercentage200yards",2006
30,30,"Daniel Chopra",110,33.89,122,360,"BirdieorBetterPercentage200yards",2006
31,31,"Rich Beem",85,33.82,92,272,"BirdieorBetterPercentage200yards",2006
32,32,"Ben Crane",85,33.79,74,219,"BirdieorBetterPercentage200yards",2006
