"GIRPercentagefromOtherthanFairway_RANKTHISWEEK_2010","GIRPercentagefromOtherthanFairway_RANKLASTWEEK_2010","GIRPercentagefromOtherthanFairway_PLAYERNAME_2010","GIRPercentagefromOtherthanFairway_ROUNDS_2010","GIRPercentagefromOtherthanFairway_Pct_2010","GIRPercentagefromOtherthanFairway_GREENSHIT_2010","GIRPercentagefromOtherthanFairway_OFHOLES_2010","stat_name","year"
67,67,"Ryan Palmer",84,54.2,271,500,"GIRPercentagefromOtherthanFairway",2010
67,67,"Josh Teater",101,54.2,271,500,"GIRPercentagefromOtherthanFairway",2010
69,69,"Steve Marino",81,54.15,235,434,"GIRPercentagefromOtherthanFairway",2010
70,70,"Ernie Els",72,54.08,212,392,"GIRPercentagefromOtherthanFairway",2010
70,70,"Ryan Moore",80,54.08,192,355,"GIRPercentagefromOtherthanFairway",2010
72,72,"Johnson Wagner",85,54.03,228,422,"GIRPercentagefromOtherthanFairway",2010
73,73,"Jeff Overton",89,53.95,287,532,"GIRPercentagefromOtherthanFairway",2010
73,73,"Justin Rose",78,53.95,205,380,"GIRPercentagefromOtherthanFairway",2010
75,75,"Jason Day",82,53.91,262,486,"GIRPercentagefromOtherthanFairway",2010
76,76,"Bob Estes",79,53.9,228,423,"GIRPercentagefromOtherthanFairway",2010
77,77,"Stewart Cink",84,53.81,219,407,"GIRPercentagefromOtherthanFairway",2010
78,78,"Steve Lowery",67,53.75,179,333,"GIRPercentagefromOtherthanFairway",2010
78,78,"Tom Pernice Jr",74,53.75,165,307,"GIRPercentagefromOtherthanFairway",2010
80,80,"Spencer Levin",110,53.74,266,495,"GIRPercentagefromOtherthanFairway",2010
81,81,"Jay Williamson",76,53.68,153,285,"GIRPercentagefromOtherthanFairway",2010
82,82,"Brenden Pappas",66,53.61,208,388,"GIRPercentagefromOtherthanFairway",2010
83,83,"DA Points",90,53.59,239,446,"GIRPercentagefromOtherthanFairway",2010
84,84,"Marc Leishman",87,53.33,272,510,"GIRPercentagefromOtherthanFairway",2010
85,85,"Steve Flesch",78,53.3,186,349,"GIRPercentagefromOtherthanFairway",2010
86,86,"Andres Romero",73,53.28,244,458,"GIRPercentagefromOtherthanFairway",2010
87,87,"Paul Stankowski",62,53.26,139,261,"GIRPercentagefromOtherthanFairway",2010
87,87,"Charles Warren",64,53.26,147,276,"GIRPercentagefromOtherthanFairway",2010
89,89,"Blake Adams",84,53.17,201,378,"GIRPercentagefromOtherthanFairway",2010
90,90,"Michael Letzig",84,53.16,227,427,"GIRPercentagefromOtherthanFairway",2010
91,91,"Bo Van Pelt",104,53.15,270,508,"GIRPercentagefromOtherthanFairway",2010
92,92,"Martin Flores",75,53.14,262,493,"GIRPercentagefromOtherthanFairway",2010
93,93,"Woody Austin",93,53.01,220,415,"GIRPercentagefromOtherthanFairway",2010
94,94,"Roland Thatcher",72,53,212,400,"GIRPercentagefromOtherthanFairway",2010
95,95,"Mathew Goggin",85,52.78,218,413,"GIRPercentagefromOtherthanFairway",2010
96,96,"Chris Riley",73,52.74,154,292,"GIRPercentagefromOtherthanFairway",2010
97,97,"Garrett Willis",82,52.65,169,321,"GIRPercentagefromOtherthanFairway",2010
98,98,"Cameron Beckman",68,52.47,170,324,"GIRPercentagefromOtherthanFairway",2010
98,98,"Jeff Gove",57,52.47,138,263,"GIRPercentagefromOtherthanFairway",2010
98,98,"Martin Laird",91,52.47,266,507,"GIRPercentagefromOtherthanFairway",2010
101,101,"James Driscoll",78,52.46,245,467,"GIRPercentagefromOtherthanFairway",2010
102,102,"Matt Kuchar",97,52.45,225,429,"GIRPercentagefromOtherthanFairway",2010
103,103,"Webb Simpson",98,52.42,282,538,"GIRPercentagefromOtherthanFairway",2010
104,104,"Jason Dufner",87,52.41,196,374,"GIRPercentagefromOtherthanFairway",2010
105,105,"Aaron Baddeley",94,52.38,297,567,"GIRPercentagefromOtherthanFairway",2010
106,106,"Rocco Mediate",71,52.3,159,304,"GIRPercentagefromOtherthanFairway",2010
107,107,"Kenny Perry",69,52.29,160,306,"GIRPercentagefromOtherthanFairway",2010
108,108,"Vaughn Taylor",87,52.21,201,385,"GIRPercentagefromOtherthanFairway",2010
109,109,"Henrik Bjornstad",72,52.16,169,324,"GIRPercentagefromOtherthanFairway",2010
110,110,"Sergio Garcia",58,52.08,138,265,"GIRPercentagefromOtherthanFairway",2010
111,111,"Camilo Villegas",78,52.06,202,388,"GIRPercentagefromOtherthanFairway",2010
112,112,"Derek Lamely",81,52.02,245,471,"GIRPercentagefromOtherthanFairway",2010
113,113,"Troy Merritt",86,52,247,475,"GIRPercentagefromOtherthanFairway",2010
114,114,"Tim Clark",88,51.92,162,312,"GIRPercentagefromOtherthanFairway",2010
115,115,"Jarrod Lyle",54,51.91,122,235,"GIRPercentagefromOtherthanFairway",2010
115,115,"John Merrick",109,51.91,244,470,"GIRPercentagefromOtherthanFairway",2010
117,117,"Paul Casey",64,51.89,165,318,"GIRPercentagefromOtherthanFairway",2010
118,118,"Mathias Gronberg",61,51.82,142,274,"GIRPercentagefromOtherthanFairway",2010
119,119,"Jeev Milkha Singh",59,51.77,146,282,"GIRPercentagefromOtherthanFairway",2010
120,120,"David Lutterus",69,51.71,197,381,"GIRPercentagefromOtherthanFairway",2010
121,121,"Vijay Singh",75,51.7,198,383,"GIRPercentagefromOtherthanFairway",2010
122,122,"Jason Bohn",84,51.42,199,387,"GIRPercentagefromOtherthanFairway",2010
123,123,"Chris Wilson",65,51.37,169,329,"GIRPercentagefromOtherthanFairway",2010
124,124,"Cliff Kresge",50,51.24,103,201,"GIRPercentagefromOtherthanFairway",2010
125,125,"KJ Choi",82,51.21,190,371,"GIRPercentagefromOtherthanFairway",2010
126,126,"Charley Hoffman",85,51.13,227,444,"GIRPercentagefromOtherthanFairway",2010
127,127,"Lucas Glover",75,51.03,198,388,"GIRPercentagefromOtherthanFairway",2010
128,128,"Rory McIlroy",54,50.91,140,275,"GIRPercentagefromOtherthanFairway",2010
129,129,"Brent Delahoussaye",57,50.86,118,232,"GIRPercentagefromOtherthanFairway",2010
130,130,"Matt Jones",89,50.85,270,531,"GIRPercentagefromOtherthanFairway",2010
131,131,"Charlie Wi",95,50.74,240,473,"GIRPercentagefromOtherthanFairway",2010
132,132,"Alex Cejka",81,50.61,165,326,"GIRPercentagefromOtherthanFairway",2010
133,133,"Chris DiMarco",88,50.57,176,348,"GIRPercentagefromOtherthanFairway",2010
134,134,"JP Hayes",79,50.55,185,366,"GIRPercentagefromOtherthanFairway",2010
135,135,"Tim Petrovic",105,50.31,241,479,"GIRPercentagefromOtherthanFairway",2010
136,136,"Luke Donald",71,50.28,180,358,"GIRPercentagefromOtherthanFairway",2010
137,137,"Scott McCarron",90,50.25,205,408,"GIRPercentagefromOtherthanFairway",2010
138,138,"Briny Baird",87,50.13,200,399,"GIRPercentagefromOtherthanFairway",2010
139,139,"Stuart Appleby",101,50.09,278,555,"GIRPercentagefromOtherthanFairway",2010
140,140,"Dean Wilson",54,50,109,218,"GIRPercentagefromOtherthanFairway",2010
141,141,"Tom Gillis",97,49.88,212,425,"GIRPercentagefromOtherthanFairway",2010
142,142,"Jeff Maggert",76,49.84,153,307,"GIRPercentagefromOtherthanFairway",2010
143,143,"Carl Pettersson",99,49.79,234,470,"GIRPercentagefromOtherthanFairway",2010
144,144,"Michael Connell",89,49.76,206,414,"GIRPercentagefromOtherthanFairway",2010
144,144,"James Nitties",92,49.76,204,410,"GIRPercentagefromOtherthanFairway",2010
146,146,"Steve Wheatcroft",74,49.54,163,329,"GIRPercentagefromOtherthanFairway",2010
147,147,"David Duval",71,49.51,204,412,"GIRPercentagefromOtherthanFairway",2010
148,148,"Rod Pampling",77,49.46,183,370,"GIRPercentagefromOtherthanFairway",2010
149,149,"Retief Goosen",75,49.29,173,351,"GIRPercentagefromOtherthanFairway",2010
150,150,"David Toms",86,49.25,164,333,"GIRPercentagefromOtherthanFairway",2010
151,151,"Scott Verplank",74,49.24,161,327,"GIRPercentagefromOtherthanFairway",2010
152,152,"Paul Goydos",78,49.22,158,321,"GIRPercentagefromOtherthanFairway",2010
153,153,"Bill Lunde",79,49.14,201,409,"GIRPercentagefromOtherthanFairway",2010
154,154,"Jim Furyk",76,49,147,300,"GIRPercentagefromOtherthanFairway",2010
154,154,"Ted Purdy",86,49,220,449,"GIRPercentagefromOtherthanFairway",2010
156,156,"Kevin Na",94,48.85,213,436,"GIRPercentagefromOtherthanFairway",2010
157,157,"Ryuji Imada",90,48.81,226,463,"GIRPercentagefromOtherthanFairway",2010
157,157,"Aron Price",70,48.81,143,293,"GIRPercentagefromOtherthanFairway",2010
159,159,"Ben Curtis",78,48.78,160,328,"GIRPercentagefromOtherthanFairway",2010
