"BestSubParRoundsStreak_RANKTHISWEEK_2013","BestSubParRoundsStreak_RANKLASTWEEK_2013","BestSubParRoundsStreak_PLAYERNAME_2013","BestSubParRoundsStreak__2013","BestSubParRoundsStreak_CAREERBESTSTREAK_2013","BestSubParRoundsStreak_BESTYTDSTREAK_2013","BestSubParRoundsStreak_CURRENTSTREAK_2013","stat_name","year"
1,1,"Tim Petrovic",NA,26,8,NA,"BestSubParRoundsStreak",2013
2,2,"Jeff Sluman",NA,23,NA,NA,"BestSubParRoundsStreak",2013
3,3,"Tim Clark",NA,22,11,NA,"BestSubParRoundsStreak",2013
3,3,"Fred Couples",NA,22,2,NA,"BestSubParRoundsStreak",2013
3,3,"Scott McCarron",NA,22,1,NA,"BestSubParRoundsStreak",2013
6,6,"Stuart Appleby",NA,21,6,NA,"BestSubParRoundsStreak",2013
6,6,"Bob Estes",NA,21,6,NA,"BestSubParRoundsStreak",2013
6,6,"Scott Verplank",NA,21,2,NA,"BestSubParRoundsStreak",2013
9,9,"Jay Don Blake",NA,20,NA,NA,"BestSubParRoundsStreak",2013
9,9,"Joey Sindelar",NA,20,NA,NA,"BestSubParRoundsStreak",2013
11,11,"Ben Crane",NA,19,5,NA,"BestSubParRoundsStreak",2013
11,11,"Joe Durant",NA,19,4,NA,"BestSubParRoundsStreak",2013
11,11,"Jesper Parnevik",NA,19,2,NA,"BestSubParRoundsStreak",2013
11,11,"Dan Pohl",NA,19,NA,NA,"BestSubParRoundsStreak",2013
15,15,"Glen Day",NA,18,4,NA,"BestSubParRoundsStreak",2013
15,15,"Chris DiMarco",NA,18,3,NA,"BestSubParRoundsStreak",2013
15,15,"Retief Goosen",NA,18,5,NA,"BestSubParRoundsStreak",2013
15,15,"Charles Howell III",NA,18,9,NA,"BestSubParRoundsStreak",2013
15,15,"Ryan Moore",NA,18,7,NA,"BestSubParRoundsStreak",2013
15,15,"Craig Parry",NA,18,NA,NA,"BestSubParRoundsStreak",2013
21,21,"Ronnie Black",NA,17,NA,NA,"BestSubParRoundsStreak",2013
21,21,"Jonathan Byrd",NA,17,4,NA,"BestSubParRoundsStreak",2013
21,21,"Brendon de Jonge",NA,17,8,NA,"BestSubParRoundsStreak",2013
21,21,"Luke Donald",NA,17,7,NA,"BestSubParRoundsStreak",2013
21,21,"Ed Fiori",NA,17,NA,NA,"BestSubParRoundsStreak",2013
21,21,"Donnie Hammond",NA,17,NA,NA,"BestSubParRoundsStreak",2013
21,21,"Jerry Kelly",NA,17,6,NA,"BestSubParRoundsStreak",2013
21,21,"Chris Kirk",NA,17,15,NA,"BestSubParRoundsStreak",2013
21,21,"Roger Maltbie",NA,17,NA,NA,"BestSubParRoundsStreak",2013
21,21,"Shigeki Maruyama",NA,17,NA,NA,"BestSubParRoundsStreak",2013
21,21,"Mark OMeara",NA,17,1,NA,"BestSubParRoundsStreak",2013
21,21,"Vijay Singh",NA,17,5,NA,"BestSubParRoundsStreak",2013
21,21,"Kirk Triplett",NA,17,NA,NA,"BestSubParRoundsStreak",2013
21,21,"Tiger Woods",NA,17,9,NA,"BestSubParRoundsStreak",2013
35,35,"Ken Green",NA,16,NA,NA,"BestSubParRoundsStreak",2013
35,35,"Bill Haas",NA,16,8,NA,"BestSubParRoundsStreak",2013
35,35,"Lee Janzen",NA,16,2,NA,"BestSubParRoundsStreak",2013
35,35,"Matt Kuchar",NA,16,9,NA,"BestSubParRoundsStreak",2013
35,35,"Troy Matteson",NA,16,4,NA,"BestSubParRoundsStreak",2013
35,35,"Blaine McCallister",NA,16,NA,NA,"BestSubParRoundsStreak",2013
35,35,"Steve Pate",NA,16,NA,NA,"BestSubParRoundsStreak",2013
35,35,"Corey Pavin",NA,16,1,NA,"BestSubParRoundsStreak",2013
35,35,"Kenny Perry",NA,16,2,NA,"BestSubParRoundsStreak",2013
35,35,"DA Points",NA,16,7,NA,"BestSubParRoundsStreak",2013
35,35,"Chez Reavie",NA,16,5,NA,"BestSubParRoundsStreak",2013
35,35,"Chris Riley",NA,16,2,NA,"BestSubParRoundsStreak",2013
35,35,"Mike Weir",NA,16,4,NA,"BestSubParRoundsStreak",2013
48,48,"Stephen Ames",NA,15,6,NA,"BestSubParRoundsStreak",2013
48,48,"Brian Davis",NA,15,5,NA,"BestSubParRoundsStreak",2013
48,48,"Carlos Franco",NA,15,NA,NA,"BestSubParRoundsStreak",2013
48,48,"Scott Hoch",NA,15,NA,NA,"BestSubParRoundsStreak",2013
48,48,"Tom Kite",NA,15,NA,NA,"BestSubParRoundsStreak",2013
48,48,"Davis Love III",NA,15,3,NA,"BestSubParRoundsStreak",2013
48,48,"Andrew Magee",NA,15,NA,NA,"BestSubParRoundsStreak",2013
48,48,"Scott Simpson",NA,15,NA,NA,"BestSubParRoundsStreak",2013
48,48,"Chris Smith",NA,15,NA,NA,"BestSubParRoundsStreak",2013
48,48,"Craig Stadler",NA,15,NA,NA,"BestSubParRoundsStreak",2013
48,48,"Bob Tway",NA,15,NA,NA,"BestSubParRoundsStreak",2013
48,48,"Johnson Wagner",NA,15,5,NA,"BestSubParRoundsStreak",2013
60,60,"Robert Allenby",NA,14,3,NA,"BestSubParRoundsStreak",2013
60,60,"Woody Austin",NA,14,4,NA,"BestSubParRoundsStreak",2013
60,60,"Brian Bateman",NA,14,NA,NA,"BestSubParRoundsStreak",2013
60,60,"Russ Cochran",NA,14,3,NA,"BestSubParRoundsStreak",2013
60,60,"Marco Dawson",NA,14,3,NA,"BestSubParRoundsStreak",2013
60,60,"Steve Flesch",NA,14,4,NA,"BestSubParRoundsStreak",2013
60,60,"Rickie Fowler",NA,14,4,NA,"BestSubParRoundsStreak",2013
60,60,"Brent Geiberger",NA,14,NA,NA,"BestSubParRoundsStreak",2013
60,60,"Mathew Goggin",NA,14,1,NA,"BestSubParRoundsStreak",2013
60,60,"John Huston",NA,14,NA,NA,"BestSubParRoundsStreak",2013
60,60,"Freddie Jacobson",NA,14,4,NA,"BestSubParRoundsStreak",2013
60,60,"Kent Jones",NA,14,2,NA,"BestSubParRoundsStreak",2013
60,60,"Justin Leonard",NA,14,9,NA,"BestSubParRoundsStreak",2013
60,60,"Frank Lickliter II",NA,14,1,NA,"BestSubParRoundsStreak",2013
60,60,"Peter Lonard",NA,14,2,NA,"BestSubParRoundsStreak",2013
60,60,"Jeff Maggert",NA,14,5,NA,"BestSubParRoundsStreak",2013
60,60,"Rocco Mediate",NA,14,NA,NA,"BestSubParRoundsStreak",2013
60,60,"Joe Ogilvie",NA,14,5,NA,"BestSubParRoundsStreak",2013
60,60,"Loren Roberts",NA,14,NA,NA,"BestSubParRoundsStreak",2013
60,60,"Bo Van Pelt",NA,14,5,NA,"BestSubParRoundsStreak",2013
60,60,"Grant Waite",NA,14,NA,NA,"BestSubParRoundsStreak",2013
60,60,"Mark Wilson",NA,14,6,NA,"BestSubParRoundsStreak",2013
82,82,"Billy Andrade",NA,13,3,NA,"BestSubParRoundsStreak",2013
82,82,"Paul Azinger",NA,13,NA,NA,"BestSubParRoundsStreak",2013
82,82,"Briny Baird",NA,13,NA,NA,"BestSubParRoundsStreak",2013
82,82,"Cameron Beckman",NA,13,6,NA,"BestSubParRoundsStreak",2013
82,82,"Jason Bohn",NA,13,7,NA,"BestSubParRoundsStreak",2013
82,82,"Bart Bryant",NA,13,2,NA,"BestSubParRoundsStreak",2013
82,82,"Brad Bryant",NA,13,NA,NA,"BestSubParRoundsStreak",2013
82,82,"Rex Caldwell",NA,13,NA,NA,"BestSubParRoundsStreak",2013
82,82,"John Cook",NA,13,NA,NA,"BestSubParRoundsStreak",2013
