"ProximitytoHole_RANKTHISWEEK_2010","ProximitytoHole_RANKLASTWEEK_2010","ProximitytoHole_PLAYERNAME_2010","ProximitytoHole_ROUNDS_2010","ProximitytoHole_AVG_2010","ProximitytoHole_TOTALDISTANCEFEET_2010","ProximitytoHole_OFATTEMPTS_2010","ProximitytoHole_GIRRANK_2010","stat_name","year"
1,1,"Tim Clark",88,NA,36737,1216,102,"ProximitytoHole",2010
2,2,"Jay Williamson",76,NA,33630.917,1093,42,"ProximitytoHole",2010
3,3,"Joe Durant",67,NA,32320.25,1024,3,"ProximitytoHole",2010
4,4,"Cliff Kresge",50,NA,25843.25,807,104,"ProximitytoHole",2010
5,5,"Omar Uresti",74,NA,35195.083,1094,63,"ProximitytoHole",2010
6,6,"KJ Choi",82,NA,35427.75,1095,56,"ProximitytoHole",2010
7,7,"Brendon de Jonge",114,NA,53124.083,1634,17,"ProximitytoHole",2010
7,7,"Steve Stricker",73,NA,32611.167,1004,60,"ProximitytoHole",2010
9,9,"Chad Campbell",95,NA,47453.667,1452,44,"ProximitytoHole",2010
9,9,"David Toms",86,NA,41068.5,1257,87,"ProximitytoHole",2010
11,11,"Rickie Fowler",98,NA,48583,1485,22,"ProximitytoHole",2010
11,11,"Heath Slocum",97,NA,42915.917,1309,32,"ProximitytoHole",2010
13,13,"Brian Gay",101,NA,48345.167,1471,171,"ProximitytoHole",2010
14,14,"Dean Wilson",54,NA,27732.417,843,41,"ProximitytoHole",2010
15,15,"Rocco Mediate",71,NA,35968.917,1091,35,"ProximitytoHole",2010
15,15,"Kenny Perry",69,NA,33125.75,1005,39,"ProximitytoHole",2010
17,17,"Spencer Levin",110,NA,58160.583,1757,23,"ProximitytoHole",2010
17,17,"Tom Pernice Jr",74,NA,34334.833,1039,25,"ProximitytoHole",2010
19,19,"Jeff Quinney",91,NA,47387,1429,148,"ProximitytoHole",2010
20,20,"Alex Cejka",81,NA,40236.5,1209,109,"ProximitytoHole",2010
20,20,"Ben Crane",85,NA,39219.833,1180,63,"ProximitytoHole",2010
20,20,"Boo Weekley",88,NA,43970.583,1323,17,"ProximitytoHole",2010
23,23,"Paul Goydos",78,NA,39303.25,1178,134,"ProximitytoHole",2010
23,23,"Davis Love III",79,NA,39487.167,1184,13,"ProximitytoHole",2010
25,25,"Luke Donald",71,NA,31870.667,951,152,"ProximitytoHole",2010
25,25,"John Mallinger",78,NA,38944.417,1162,94,"ProximitytoHole",2010
27,27,"Briny Baird",87,NA,47655.25,1418,33,"ProximitytoHole",2010
28,28,"Robert Garrigus",71,NA,36668.5,1089,86,"ProximitytoHole",2010
28,28,"Geoff Ogilvy",62,NA,30198.25,896,83,"ProximitytoHole",2010
28,28,"Pat Perez",90,NA,49989.583,1486,42,"ProximitytoHole",2010
31,31,"Jason Bohn",84,NA,44786.5,1326,79,"ProximitytoHole",2010
31,31,"Brent Delahoussaye",57,NA,28472.5,843,98,"ProximitytoHole",2010
31,31,"Jim Furyk",76,NA,36370.083,1077,93,"ProximitytoHole",2010
31,31,"Justin Rose",78,NA,42277.75,1254,119,"ProximitytoHole",2010
35,35,"Bob Estes",79,NA,42959.333,1271,79,"ProximitytoHole",2010
35,35,"Phil Mickelson",76,NA,34355.083,1015,155,"ProximitytoHole",2010
35,35,"Brandt Snedeker",89,NA,45353.25,1342,182,"ProximitytoHole",2010
35,35,"Charles Warren",64,NA,33219.417,981,4,"ProximitytoHole",2010
39,39,"Woody Austin",93,NA,50410.5,1486,72,"ProximitytoHole",2010
40,40,"Cameron Beckman",68,NA,36009.833,1059,122,"ProximitytoHole",2010
40,40,"Michael Connell",89,NA,46962,1382,95,"ProximitytoHole",2010
40,40,"Billy Mayfair",78,NA,39533.333,1162,29,"ProximitytoHole",2010
40,40,"Vijay Singh",75,NA,34754.75,1022,51,"ProximitytoHole",2010
44,44,"Richard Johnson",90,NA,44640.667,1309,58,"ProximitytoHole",2010
44,44,"Troy Matteson",84,NA,47600.833,1398,5,"ProximitytoHole",2010
44,44,"Kevin Na",94,NA,46456.917,1362,137,"ProximitytoHole",2010
44,44,"Chris Riley",73,NA,38337.75,1124,92,"ProximitytoHole",2010
44,44,"Adam Scott",70,NA,31852.417,935,31,"ProximitytoHole",2010
44,44,"John Senden",103,NA,53106.417,1557,1,"ProximitytoHole",2010
50,50,"Kris Blanks",91,NA,45383.167,1328,8,"ProximitytoHole",2010
50,50,"Michael Bradley",77,NA,41687.5,1220,49,"ProximitytoHole",2010
50,50,"Justin Leonard",89,NA,44194.333,1293,156,"ProximitytoHole",2010
