"LongestPutts_RANKTHISWEEK_2006","LongestPutts_RANKLASTWEEK_2006","LongestPutts_PLAYERNAME_2006","LongestPutts_ROUNDS_2006","LongestPutts_DISTANCE_2006","LongestPutts_YEARTOURN_2006","LongestPutts_ROUND_2006","LongestPutts_HOLE_2006","stat_name","year"
1,1,"Simon Dyson",8,NA,NA,3,8,"LongestPutts",2006
2,2,"Nick Watney",97,NA,NA,4,11,"LongestPutts",2006
3,3,"Charl Schwartzel",28,NA,NA,3,18,"LongestPutts",2006
4,4,"Lee Westwood",42,NA,NA,4,17,"LongestPutts",2006
5,5,"Bill Haas",99,NA,NA,2,5,"LongestPutts",2006
6,6,"Bernhard Langer",77,NA,NA,4,8,"LongestPutts",2006
7,7,"Steve Flesch",119,NA,NA,3,8,"LongestPutts",2006
8,8,"Woody Austin",107,NA,NA,1,5,"LongestPutts",2006
9,9,"Jerry Kelly",100,NA,NA,4,2,"LongestPutts",2006
10,10,"Brent Geiberger",99,NA,NA,1,12,"LongestPutts",2006
11,11,"Jay Haas",25,NA,NA,4,12,"LongestPutts",2006
11,12,"Pat Perez",50,NA,NA,3,8,"LongestPutts",2006
13,13,"Brandt Jobe",91,NA,NA,4,8,"LongestPutts",2006
14,14,"Chris Smith",67,NA,NA,4,18,"LongestPutts",2006
15,15,"Eric Axley",91,NA,NA,2,13,"LongestPutts",2006
16,16,"David Branshaw",98,NA,NA,2,1,"LongestPutts",2006
17,17,"Rod Pampling",89,NA,NA,2,15,"LongestPutts",2006
18,18,"Charles Howell III",96,NA,NA,2,13,"LongestPutts",2006
19,19,"Fred Funk",106,NA,NA,2,3,"LongestPutts",2006
20,20,"Shigeki Maruyama",94,NA,NA,1,15,"LongestPutts",2006
21,21,"Jerry Smith",94,NA,NA,2,1,"LongestPutts",2006
22,22,"Charley Hoffman",100,NA,NA,4,5,"LongestPutts",2006
22,23,"John Senden",96,NA,NA,4,3,"LongestPutts",2006
22,24,"JB Holmes",81,NA,NA,1,7,"LongestPutts",2006
25,26,"Kent Jones",103,NA,NA,1,14,"LongestPutts",2006
25,25,"Aaron Baddeley",78,NA,NA,2,3,"LongestPutts",2006
27,27,"Mathew Goggin",72,NA,NA,2,6,"LongestPutts",2006
28,28,"Troy Matteson",101,NA,NA,1,4,"LongestPutts",2006
29,29,"Jeff Brehaut",100,NA,NA,1,4,"LongestPutts",2006
30,30,"Sergio Garcia",59,NA,NA,2,7,"LongestPutts",2006
32,32,"David Duval",71,NA,NA,2,15,"LongestPutts",2006
33,33,"Joey Sindelar",90,NA,NA,4,12,"LongestPutts",2006
34,35,"Larry Mize",53,NA,NA,2,9,"LongestPutts",2006
34,34,"Justin Rose",98,NA,NA,4,18,"LongestPutts",2006
34,36,"Michael Connell",51,NA,NA,1,12,"LongestPutts",2006
37,37,"Daniel Chopra",110,NA,NA,3,18,"LongestPutts",2006
38,38,"Jonathan Byrd",66,NA,NA,2,17,"LongestPutts",2006
39,39,"Richard Johnson",94,NA,NA,3,17,"LongestPutts",2006
42,42,"Scott Verplank",88,NA,NA,3,17,"LongestPutts",2006
43,43,"Brett Quigley",109,NA,NA,3,13,"LongestPutts",2006
44,44,"Wes Short Jr",96,NA,NA,2,17,"LongestPutts",2006
45,45,"Tom Pernice Jr",108,NA,NA,1,8,"LongestPutts",2006
46,46,"Corey Pavin",74,NA,NA,2,8,"LongestPutts",2006
47,48,"JP Hayes",55,NA,NA,2,14,"LongestPutts",2006
47,47,"KJ Choi",93,NA,NA,4,4,"LongestPutts",2006
49,49,"Stephen Leaney",84,NA,NA,4,12,"LongestPutts",2006
50,50,"Tjaart van der Walt",60,NA,NA,2,3,"LongestPutts",2006
53,53,"Heath Slocum",96,NA,NA,1,4,"LongestPutts",2006
54,55,"Gavin Coles",17,NA,NA,3,11,"LongestPutts",2006
56,56,"Ryan Moore",68,NA,NA,2,6,"LongestPutts",2006
57,57,"Andrew Magee",49,NA,NA,2,8,"LongestPutts",2006
58,60,"Scott McCarron",47,NA,NA,1,12,"LongestPutts",2006
58,58,"Hidemichi Tanaka",74,NA,NA,1,9,"LongestPutts",2006
62,62,"Todd Hamilton",72,NA,NA,3,6,"LongestPutts",2006
62,63,"Carlos Franco",86,NA,NA,2,7,"LongestPutts",2006
64,64,"Camilo Villegas",95,NA,NA,2,15,"LongestPutts",2006
65,65,"Tiger Woods",55,NA,NA,2,13,"LongestPutts",2006
65,66,"Darron Stiles",44,NA,NA,4,14,"LongestPutts",2006
67,67,"Paul Azinger",87,NA,NA,1,15,"LongestPutts",2006
69,69,"DA Points",82,NA,NA,1,17,"LongestPutts",2006
70,70,"Chris Riley",86,NA,NA,2,17,"LongestPutts",2006
71,72,"Alex Cejka",93,NA,NA,2,16,"LongestPutts",2006
71,71,"Ryan Palmer",101,NA,NA,1,10,"LongestPutts",2006
73,73,"Roger Tambellini",64,NA,NA,1,6,"LongestPutts",2006
76,76,"Duffy Waldorf",96,NA,NA,2,3,"LongestPutts",2006
76,78,"Vaughn Taylor",88,NA,NA,4,1,"LongestPutts",2006
76,77,"Tag Ridings",103,NA,NA,4,12,"LongestPutts",2006
