"LowestRound_RANKTHISWEEK_2014","LowestRound_RANKLASTWEEK_2014","LowestRound_PLAYERNAME_2014","LowestRound_ROUNDS_2014","LowestRound_VALUE_2014","LowestRound_TOURNCOURSE_2014","LowestRound_ROUND_2014","stat_name","year"
1,1,"JJ Henry",91,60,NA,1,"LowestRound",2014
2,2,"Scott Brown",100,61,NA,3,"LowestRound",2014
2,2,"Sergio Garcia",61,61,NA,2,"LowestRound",2014
2,2,"Troy Matteson",62,61,NA,2,"LowestRound",2014
2,2,"George McNeill",79,61,NA,4,"LowestRound",2014
2,2,"Andres Romero",81,61,NA,1,"LowestRound",2014
7,7,"Chad Campbell",57,62,NA,3,"LowestRound",2014
7,7,"Tim Clark",75,62,NA,4,"LowestRound",2014
7,7,"Brendon de Jonge",109,62,NA,2,"LowestRound",2014
7,7,"Harris English",95,62,NA,2,"LowestRound",2014
7,7,"Andres Gonzales",6,62,NA,2,"LowestRound",2014
7,7,"Morgan Hoffmann",103,62,NA,3,"LowestRound",2014
7,7,"Ryo Ishikawa",75,62,NA,2,"LowestRound",2014
7,7,"Zach Johnson",97,62,NA,4,"LowestRound",2014
7,7,"Martin Kaymer",65,62,NA,3,"LowestRound",2014
7,7,"Russell Knox",92,62,NA,4,"LowestRound",2014
7,7,"Ben Martin",80,62,NA,1,"LowestRound",2014
7,7,"Phil Mickelson",71,62,NA,4,"LowestRound",2014
7,7,"Adam Scott",68,62,NA,1,"LowestRound",2014
7,7,"Brendan Steele",89,62,NA,1,"LowestRound",2014
7,7,"Jimmy Walker",98,62,NA,3,"LowestRound",2014
22,22,"Sangmoon Bae",76,63,NA,1,"LowestRound",2014
22,22,"Briny Baird",50,63,NA,1,"LowestRound",2014
22,22,"Jonathan Byrd",76,63,NA,1,"LowestRound",2014
22,22,"Miguel Angel Carballo",40,63,NA,4,"LowestRound",2014
22,22,"Paul Casey",56,63,NA,2,"LowestRound",2014
22,22,"Bud Cauley",56,63,NA,1,"LowestRound",2014
22,22,"Kevin Chappell",100,63,NA,3,"LowestRound",2014
22,22,"Stewart Cink",91,63,NA,2,"LowestRound",2014
22,22,"Ben Crane",81,63,NA,1,"LowestRound",2014
22,22,"Graham DeLaet",80,63,NA,2,"LowestRound",2014
22,22,"James Driscoll",71,63,NA,2,"LowestRound",2014
22,22,"Brad Fritsch",50,63,NA,2,"LowestRound",2014
22,22,"Jim Furyk",84,63,NA,2,"LowestRound",2014
22,22,"Robert Garrigus",80,63,NA,2,"LowestRound",2014
22,22,"Brian Gay",81,63,NA,1,"LowestRound",2014
22,22,"Brian Harman",111,63,NA,1,"LowestRound",2014
22,22,"Billy Horschel",92,63,NA,3,"LowestRound",2014
22,22,"Billy Hurley III",86,63,NA,2,"LowestRound",2014
22,22,"Dustin Johnson",58,63,NA,2,"LowestRound",2014
22,22,"Robert Karlsson",24,63,NA,1,"LowestRound",2014
22,22,"David Lingmerth",80,63,NA,2,"LowestRound",2014
22,22,"Andrew Loupe",65,63,NA,1,"LowestRound",2014
22,22,"Jamie Lovemark",64,63,NA,2,"LowestRound",2014
22,22,"Rory McIlroy",66,63,NA,1,"LowestRound",2014
22,22,"Bryce Molder",77,63,NA,3,"LowestRound",2014
22,22,"Ryan Moore",86,63,NA,1,"LowestRound",2014
22,22,"Sean OHair",77,63,NA,3,"LowestRound",2014
22,22,"Jeff Overton",80,63,NA,1,"LowestRound",2014
22,22,"Ryan Palmer",85,63,NA,1,"LowestRound",2014
22,22,"Ian Poulter",57,63,NA,3,"LowestRound",2014
22,22,"Dicky Pride",32,63,NA,4,"LowestRound",2014
22,22,"Michael Putnam",106,63,NA,2,"LowestRound",2014
22,22,"Patrick Reed",92,63,NA,3,"LowestRound",2014
22,22,"Rory Sabbatini",82,63,NA,1,"LowestRound",2014
22,22,"John Senden",99,63,NA,2,"LowestRound",2014
22,22,"Webb Simpson",87,63,NA,4,"LowestRound",2014
22,22,"Jordan Spieth",102,63,NA,2,"LowestRound",2014
22,22,"Kevin Stadler",90,63,NA,2,"LowestRound",2014
22,22,"Richard Sterne",24,63,NA,4,"LowestRound",2014
22,22,"Brendon Todd",108,63,NA,2,"LowestRound",2014
22,22,"Bo Van Pelt",83,63,NA,2,"LowestRound",2014
22,22,"Jhonattan Vegas",77,63,NA,3,"LowestRound",2014
22,22,"Camilo Villegas",95,63,NA,4,"LowestRound",2014
22,22,"Lee Westwood",57,63,NA,4,"LowestRound",2014
22,22,"Tim Wilkinson",86,63,NA,2,"LowestRound",2014
22,22,"Gary Woodland",93,63,NA,3,"LowestRound",2014
68,68,"Jason Allred",28,64,NA,2,"LowestRound",2014
68,68,"Stuart Appleby",92,64,NA,4,"LowestRound",2014
68,68,"Eric Axley",32,64,NA,1,"LowestRound",2014
68,68,"Ricky Barnes",92,64,NA,3,"LowestRound",2014
68,68,"Charlie Beljan",76,64,NA,2,"LowestRound",2014
68,68,"Jonas Blixt",64,64,NA,1,"LowestRound",2014
68,68,"Jason Bohn",81,64,NA,2,"LowestRound",2014
68,68,"Steven Bowditch",93,64,NA,1,"LowestRound",2014
68,68,"Angel Cabrera",69,64,NA,4,"LowestRound",2014
68,68,"Roberto Castro",76,64,NA,4,"LowestRound",2014
68,68,"Greg Chalmers",85,64,NA,4,"LowestRound",2014
68,68,"John Daly",41,64,NA,3,"LowestRound",2014
68,68,"Brian Davis",93,64,NA,3,"LowestRound",2014
68,68,"Jason Day",54,64,NA,2,"LowestRound",2014
68,68,"Joe Durant",47,64,NA,1,"LowestRound",2014
68,68,"Retief Goosen",94,64,NA,3,"LowestRound",2014
68,68,"Paul Goydos",47,64,NA,2,"LowestRound",2014
68,68,"Luke Guthrie",85,64,NA,4,"LowestRound",2014
68,68,"Bill Haas",107,64,NA,4,"LowestRound",2014
68,68,"Todd Hamilton",10,64,NA,1,"LowestRound",2014
68,68,"Russell Henley",92,64,NA,1,"LowestRound",2014
68,68,"Justin Hicks",103,64,NA,4,"LowestRound",2014
68,68,"Charley Hoffman",93,64,NA,1,"LowestRound",2014
68,68,"Freddie Jacobson",91,64,NA,2,"LowestRound",2014
68,68,"Chris Kirk",105,64,NA,3,"LowestRound",2014
68,68,"Kevin Kisner",85,64,NA,2,"LowestRound",2014
68,68,"Brooks Koepka",56,64,NA,4,"LowestRound",2014
68,68,"Matt Kuchar",91,64,NA,4,"LowestRound",2014
68,68,"Scott Langley",95,64,NA,1,"LowestRound",2014
68,68,"Marc Leishman",81,64,NA,1,"LowestRound",2014
68,68,"Edward Loar",46,64,NA,2,"LowestRound",2014
68,68,"Will Ma Kenzie",82,64,NA,3,"LowestRound",2014
68,68,"Jeff Maggert",54,64,NA,1,"LowestRound",2014
68,68,"Hideki Matsuyama",82,64,NA,3,"LowestRound",2014
68,68,"Graeme McDowell",66,64,NA,3,"LowestRound",2014
68,68,"William McGirt",96,64,NA,4,"LowestRound",2014
68,68,"Kevin Na",94,64,NA,4,"LowestRound",2014
68,68,"Louis Oosthuizen",50,64,NA,3,"LowestRound",2014
68,68,"Jesper Parnevik",9,64,NA,2,"LowestRound",2014
68,68,"Pat Perez",84,64,NA,4,"LowestRound",2014
68,68,"Tim Petrovic",28,64,NA,1,"LowestRound",2014
68,68,"Scott Piercy",35,64,NA,2,"LowestRound",2014
68,68,"Charl Schwartzel",64,64,NA,4,"LowestRound",2014
68,68,"Brandt Snedeker",89,64,NA,4,"LowestRound",2014
68,68,"Scott Stallings",77,64,NA,4,"LowestRound",2014
68,68,"Shawn Stefani",60,64,NA,3,"LowestRound",2014
68,68,"Henrik Stenson",56,64,NA,2,"LowestRound",2014
68,68,"Kevin Streelman",79,64,NA,4,"LowestRound",2014
68,68,"Steve Stricker",41,64,NA,3,"LowestRound",2014
68,68,"Chris Stroud",88,64,NA,2,"LowestRound",2014
68,68,"Daniel Summerhays",98,64,NA,4,"LowestRound",2014
