"ProximitytoHoleARG_RANKTHISWEEK_2012","ProximitytoHoleARG_RANKLASTWEEK_2012","ProximitytoHoleARG_PLAYERNAME_2012","ProximitytoHoleARG_ROUNDS_2012","ProximitytoHoleARG_AVGDTP_2012","ProximitytoHoleARG_TOTALDISTANCEFEET_2012","ProximitytoHoleARG_OFSHOTS_2012","ProximitytoHoleARG_SCRAMBLINGRANK_2012","stat_name","year"
1,1,"Jason Dufner",83,NA,2560.833,403,8,"ProximitytoHoleARG",2012
2,2,"Brandt Snedeker",81,NA,2927.917,455,10,"ProximitytoHoleARG",2012
3,3,"Jim Furyk",85,NA,2628.75,407,3,"ProximitytoHoleARG",2012
3,3,"Padraig Harrington",67,NA,2191.417,337,39,"ProximitytoHoleARG",2012
3,3,"Justin Rose",69,NA,2189.167,336,12,"ProximitytoHoleARG",2012
6,6,"Charl Schwartzel",56,NA,1766.667,270,50,"ProximitytoHoleARG",2012
7,7,"Jonas Blixt",72,NA,3154.083,475,16,"ProximitytoHoleARG",2012
7,7,"Bud Cauley",99,NA,4235.833,634,8,"ProximitytoHoleARG",2012
7,7,"Freddie Jacobson",61,NA,2045.167,306,92,"ProximitytoHoleARG",2012
7,7,"JJ Killeen",101,NA,4498.667,677,28,"ProximitytoHoleARG",2012
7,7,"Russell Knox",72,NA,2237.667,335,76,"ProximitytoHoleARG",2012
7,7,"Nick OHern",78,NA,3032.833,454,62,"ProximitytoHoleARG",2012
7,7,"Webb Simpson",77,NA,2979.833,449,56,"ProximitytoHoleARG",2012
7,7,"Chris Stroud",86,NA,3594.25,538,18,"ProximitytoHoleARG",2012
15,15,"Greg Chalmers",88,NA,3927.833,582,11,"ProximitytoHoleARG",2012
15,15,"Matt Kuchar",86,NA,3181.25,469,7,"ProximitytoHoleARG",2012
15,15,"Pat Perez",81,NA,3327.75,490,14,"ProximitytoHoleARG",2012
18,18,"Brian Gay",91,NA,3691.833,537,1,"ProximitytoHoleARG",2012
18,18,"Justin Leonard",79,NA,3307.833,486,44,"ProximitytoHoleARG",2012
18,18,"Rory McIlroy",60,NA,1832.333,269,33,"ProximitytoHoleARG",2012
18,18,"David Toms",60,NA,1886.5,276,13,"ProximitytoHoleARG",2012
18,18,"Charlie Wi",86,NA,3769.083,549,45,"ProximitytoHoleARG",2012
23,23,"Stephen Ames",54,NA,1820.667,264,112,"ProximitytoHoleARG",2012
23,23,"Brian Davis",91,NA,3837,558,51,"ProximitytoHoleARG",2012
23,23,"Luke Donald",63,NA,2170.167,312,5,"ProximitytoHoleARG",2012
23,23,"Bob Estes",78,NA,3304.667,476,25,"ProximitytoHoleARG",2012
23,23,"Hunter Haas",69,NA,2788.083,402,142,"ProximitytoHoleARG",2012
23,23,"Brian Harman",101,NA,4234.417,612,49,"ProximitytoHoleARG",2012
23,23,"Jerry Kelly",84,NA,3532.083,512,41,"ProximitytoHoleARG",2012
23,23,"Davis Love III",64,NA,2467.333,356,147,"ProximitytoHoleARG",2012
23,23,"Bill Lunde",83,NA,3085.917,445,54,"ProximitytoHoleARG",2012
23,23,"Phil Mickelson",79,NA,3019,438,16,"ProximitytoHoleARG",2012
23,23,"Rory Sabbatini",84,NA,3901.083,565,55,"ProximitytoHoleARG",2012
23,23,"Steve Stricker",73,NA,2156.667,312,34,"ProximitytoHoleARG",2012
35,35,"Aaron Baddeley",73,NA,3159.833,454,37,"ProximitytoHoleARG",2012
35,35,"Roberto Castro",92,NA,3409.833,488,62,"ProximitytoHoleARG",2012
35,35,"Jason Day",57,NA,2429.583,348,19,"ProximitytoHoleARG",2012
35,35,"Tim Herron",88,NA,3364,483,99,"ProximitytoHoleARG",2012
35,35,"Charles Howell III",98,NA,3590.167,510,118,"ProximitytoHoleARG",2012
35,35,"Trevor Immelman",76,NA,2814,404,109,"ProximitytoHoleARG",2012
35,35,"Dustin Johnson",70,NA,2596,370,32,"ProximitytoHoleARG",2012
35,35,"Kevin Na",80,NA,3429.25,490,21,"ProximitytoHoleARG",2012
43,43,"Stuart Appleby",75,NA,3218.167,455,29,"ProximitytoHoleARG",2012
43,43,"Jonathan Byrd",69,NA,2781.583,394,56,"ProximitytoHoleARG",2012
43,43,"Matt Every",80,NA,3061.083,434,67,"ProximitytoHoleARG",2012
43,43,"Danny Lee",74,NA,2999.417,424,108,"ProximitytoHoleARG",2012
43,43,"Marc Leishman",84,NA,3944.667,556,74,"ProximitytoHoleARG",2012
43,43,"Tom Pernice Jr",62,NA,2707,382,117,"ProximitytoHoleARG",2012
49,49,"Arjun Atwal",79,NA,3491.5,485,137,"ProximitytoHoleARG",2012
49,49,"Chris DiMarco",83,NA,3918.417,547,103,"ProximitytoHoleARG",2012
49,49,"Rickie Fowler",84,NA,3398.417,473,106,"ProximitytoHoleARG",2012
49,49,"Sergio Garcia",57,NA,2241.333,311,69,"ProximitytoHoleARG",2012
49,49,"Tom Gillis",75,NA,3712.333,516,68,"ProximitytoHoleARG",2012
49,49,"Billy Hurley III",70,NA,3116.167,435,90,"ProximitytoHoleARG",2012
49,49,"Zach Johnson",95,NA,3781.833,529,30,"ProximitytoHoleARG",2012
49,49,"John Mallinger",74,NA,3035.583,422,53,"ProximitytoHoleARG",2012
49,49,"Carl Pettersson",92,NA,4008.25,557,30,"ProximitytoHoleARG",2012
49,49,"Vaughn Taylor",81,NA,2944.083,409,116,"ProximitytoHoleARG",2012
49,49,"Josh Teater",97,NA,4188.833,587,119,"ProximitytoHoleARG",2012
60,60,"Ricky Barnes",92,NA,3962.5,545,148,"ProximitytoHoleARG",2012
60,60,"Kevin Chappell",91,NA,3908.167,538,83,"ProximitytoHoleARG",2012
60,60,"KJ Choi",71,NA,2877.583,399,150,"ProximitytoHoleARG",2012
60,60,"Gavin Coles",72,NA,2689.333,373,38,"ProximitytoHoleARG",2012
60,60,"Ernie Els",80,NA,3288.25,454,24,"ProximitytoHoleARG",2012
60,60,"Ryuji Imada",78,NA,3693.25,510,74,"ProximitytoHoleARG",2012
60,60,"Robert Karlsson",54,NA,2289.25,315,172,"ProximitytoHoleARG",2012
60,60,"Kevin Kisner",69,NA,2875.5,398,40,"ProximitytoHoleARG",2012
60,60,"Rocco Mediate",70,NA,2941.417,404,22,"ProximitytoHoleARG",2012
60,60,"Seung Yul Noh",105,NA,4272.5,588,80,"ProximitytoHoleARG",2012
60,60,"Geoff Ogilvy",73,NA,2931,404,6,"ProximitytoHoleARG",2012
60,60,"Scott Piercy",95,NA,4331.833,600,35,"ProximitytoHoleARG",2012
60,60,"Adam Scott",59,NA,2031.417,279,128,"ProximitytoHoleARG",2012
73,73,"Marco Dawson",60,NA,2403.667,327,176,"ProximitytoHoleARG",2012
73,73,"Bill Haas",79,NA,3220,441,27,"ProximitytoHoleARG",2012
73,73,"David Hearn",95,NA,4302,589,23,"ProximitytoHoleARG",2012
73,73,"JB Holmes",90,NA,4156.25,570,125,"ProximitytoHoleARG",2012
73,73,"Billy Horschel",63,NA,2316.083,315,36,"ProximitytoHoleARG",2012
73,73,"David Mathis",83,NA,3741.583,513,85,"ProximitytoHoleARG",2012
73,73,"Graeme McDowell",55,NA,1761.25,240,177,"ProximitytoHoleARG",2012
73,73,"Jeff Overton",101,NA,4911.25,666,42,"ProximitytoHoleARG",2012
73,73,"Kyle Stanley",86,NA,3613.667,492,173,"ProximitytoHoleARG",2012
73,73,"Cameron Tringale",88,NA,3876,531,52,"ProximitytoHoleARG",2012
73,73,"Bo Van Pelt",84,NA,3343.333,454,130,"ProximitytoHoleARG",2012
73,73,"Camilo Villegas",79,NA,3426.667,465,151,"ProximitytoHoleARG",2012
73,73,"Mark Wilson",84,NA,3462.5,471,84,"ProximitytoHoleARG",2012
73,73,"Tiger Woods",69,NA,2218.5,301,4,"ProximitytoHoleARG",2012
87,87,"Tommy Biershenk",74,NA,3234.583,438,184,"ProximitytoHoleARG",2012
87,87,"Kris Blanks",65,NA,3170.833,426,149,"ProximitytoHoleARG",2012
87,87,"Tim Clark",60,NA,2470,332,79,"ProximitytoHoleARG",2012
87,87,"Chris Couch",61,NA,3061.583,412,72,"ProximitytoHoleARG",2012
87,87,"Ben Crane",73,NA,3275,444,97,"ProximitytoHoleARG",2012
87,87,"John Huh",99,NA,4475.25,602,134,"ProximitytoHoleARG",2012
87,87,"Sung Kang",75,NA,3635.25,492,144,"ProximitytoHoleARG",2012
87,87,"Chris Kirk",93,NA,4347.25,585,71,"ProximitytoHoleARG",2012
87,87,"Bryce Molder",83,NA,3378.083,457,20,"ProximitytoHoleARG",2012
87,87,"Ted Potter Jr",77,NA,3238,435,132,"ProximitytoHoleARG",2012
87,87,"Kevin Streelman",89,NA,3933.917,532,77,"ProximitytoHoleARG",2012
98,98,"Matt Bettencourt",80,NA,3576.917,478,179,"ProximitytoHoleARG",2012
98,98,"Jason Bohn",81,NA,3412,456,119,"ProximitytoHoleARG",2012
98,98,"Gary Christian",91,NA,3682.25,491,139,"ProximitytoHoleARG",2012
98,98,"Ken Duke",104,NA,4873.417,649,26,"ProximitytoHoleARG",2012
98,98,"Martin Flores",95,NA,4400.667,589,47,"ProximitytoHoleARG",2012
98,98,"Harrison Frazar",56,NA,2675.583,357,155,"ProximitytoHoleARG",2012
98,98,"Colt Knost",79,NA,3388.917,450,140,"ProximitytoHoleARG",2012
98,98,"Spencer Levin",81,NA,3930.833,522,82,"ProximitytoHoleARG",2012
98,98,"Chez Reavie",83,NA,3300.833,438,111,"ProximitytoHoleARG",2012
98,98,"John Rollins",81,NA,3745.333,502,80,"ProximitytoHoleARG",2012
98,98,"Vijay Singh",99,NA,4250.833,568,43,"ProximitytoHoleARG",2012
98,98,"Jimmy Walker",101,NA,4924.417,657,78,"ProximitytoHoleARG",2012
110,110,"Angel Cabrera",54,NA,2010.583,266,188,"ProximitytoHoleARG",2012
110,110,"Ben Curtis",62,NA,2214.5,291,66,"ProximitytoHoleARG",2012
110,110,"Brendon de Jonge",115,NA,4977.25,657,59,"ProximitytoHoleARG",2012
110,110,"JJ Henry",93,NA,3281.917,432,89,"ProximitytoHoleARG",2012
110,110,"Brandt Jobe",57,NA,2316,305,157,"ProximitytoHoleARG",2012
110,110,"Troy Matteson",100,NA,4547.667,602,114,"ProximitytoHoleARG",2012
110,110,"George McNeill",85,NA,4086.583,539,96,"ProximitytoHoleARG",2012
110,110,"Scott Stallings",78,NA,3627.417,478,175,"ProximitytoHoleARG",2012
110,110,"Boo Weekley",74,NA,2748.917,363,168,"ProximitytoHoleARG",2012
119,119,"Mark Anderson",75,NA,3410.417,444,163,"ProximitytoHoleARG",2012
119,119,"Cameron Beckman",81,NA,3532.583,461,170,"ProximitytoHoleARG",2012
119,119,"Keegan Bradley",90,NA,3765.25,489,91,"ProximitytoHoleARG",2012
119,119,"Graham DeLaet",79,NA,3663.25,480,86,"ProximitytoHoleARG",2012
119,119,"Mathew Goggin",65,NA,2969.75,387,105,"ProximitytoHoleARG",2012
119,119,"Troy Kelly",68,NA,2809.333,367,46,"ProximitytoHoleARG",2012
119,119,"William McGirt",96,NA,4039.25,526,59,"ProximitytoHoleARG",2012
119,119,"Rod Pampling",88,NA,3598.667,468,98,"ProximitytoHoleARG",2012
119,119,"Ian Poulter",57,NA,2120.167,278,2,"ProximitytoHoleARG",2012
119,119,"Andres Romero",68,NA,3224.25,422,124,"ProximitytoHoleARG",2012
119,119,"Daniel Summerhays",81,NA,3536.167,460,122,"ProximitytoHoleARG",2012
119,119,"Michael Thompson",80,NA,3403.167,445,136,"ProximitytoHoleARG",2012
119,119,"DJ Trahan",73,NA,3335.25,436,164,"ProximitytoHoleARG",2012
119,119,"Bubba Watson",68,NA,2724.667,355,110,"ProximitytoHoleARG",2012
133,133,"Miguel Angel Carballo",73,NA,3139.167,403,178,"ProximitytoHoleARG",2012
133,133,"Stephen Gangluff",57,NA,2570.833,333,166,"ProximitytoHoleARG",2012
133,133,"Ryo Ishikawa",54,NA,2086.25,270,152,"ProximitytoHoleARG",2012
133,133,"Matt Jones",53,NA,2485.083,319,61,"ProximitytoHoleARG",2012
133,133,"Billy Mayfair",90,NA,4462.833,573,15,"ProximitytoHoleARG",2012
133,133,"Greg Owen",90,NA,3811.583,493,154,"ProximitytoHoleARG",2012
133,133,"Ryan Palmer",81,NA,4058,521,73,"ProximitytoHoleARG",2012
133,133,"DA Points",88,NA,4220.583,544,112,"ProximitytoHoleARG",2012
133,133,"Nick Watney",97,NA,3786.417,489,141,"ProximitytoHoleARG",2012
142,142,"Scott Brown",65,NA,2736.917,350,185,"ProximitytoHoleARG",2012
142,142,"Chad Campbell",84,NA,3829.583,490,145,"ProximitytoHoleARG",2012
142,142,"Erik Compton",81,NA,3844.5,491,161,"ProximitytoHoleARG",2012
142,142,"John Daly",50,NA,2249.833,286,174,"ProximitytoHoleARG",2012
142,142,"Jason Kokrak",79,NA,3815.5,487,115,"ProximitytoHoleARG",2012
