"AverageApproachShotDistance_RANKTHISWEEK_2013","AverageApproachShotDistance_RANKLASTWEEK_2013","AverageApproachShotDistance_PLAYERNAME_2013","AverageApproachShotDistance_ROUNDS_2013","AverageApproachShotDistance_AVG_2013","AverageApproachShotDistance_TOTALDISTOFAPPRSHOT_2013","AverageApproachShotDistance_TOTALHOLES_2013","stat_name","year"
1,1,"David Toms",49,159,3273355,572,"AverageApproachShotDistance",2013
2,2,"Darron Stiles",51,159.9,4334645,753,"AverageApproachShotDistance",2013
3,3,"Brian Gay",79,160.2,7334039,1272,"AverageApproachShotDistance",2013
4,4,"Will Claxton",67,160.3,5801414,1005,"AverageApproachShotDistance",2013
5,5,"Lee Williams",62,160.4,5288367,916,"AverageApproachShotDistance",2013
6,6,"Scott Langley",79,160.5,6628828,1147,"AverageApproachShotDistance",2013
6,6,"Steve LeBrun",66,160.5,5482149,949,"AverageApproachShotDistance",2013
6,6,"Alistair Presnell",59,160.5,4765683,825,"AverageApproachShotDistance",2013
9,9,"Justin Bolli",59,160.6,4762643,824,"AverageApproachShotDistance",2013
9,9,"Morgan Hoffmann",64,160.6,5487422,949,"AverageApproachShotDistance",2013
11,11,"Carl Pettersson",82,160.7,6600692,1141,"AverageApproachShotDistance",2013
12,12,"Tom Gillis",69,161.1,6250875,1078,"AverageApproachShotDistance",2013
13,13,"Stuart Appleby",88,161.3,8209887,1414,"AverageApproachShotDistance",2013
14,14,"Jason Dufner",78,161.4,6356250,1094,"AverageApproachShotDistance",2013
15,15,"Scott Stallings",79,161.5,6837600,1176,"AverageApproachShotDistance",2013
15,15,"Aaron Watkins",46,161.5,3644862,627,"AverageApproachShotDistance",2013
17,17,"Jason Bohn",70,161.6,6870989,1181,"AverageApproachShotDistance",2013
17,17,"Michael Bradley",56,161.6,4491569,772,"AverageApproachShotDistance",2013
17,17,"Tim Herron",45,161.6,4572784,786,"AverageApproachShotDistance",2013
17,17,"Jeff Maggert",63,161.6,5934699,1020,"AverageApproachShotDistance",2013
21,21,"Nicolas Colsaerts",50,161.7,3760893,646,"AverageApproachShotDistance",2013
21,21,"Tommy Gainey",84,161.7,7835160,1346,"AverageApproachShotDistance",2013
23,23,"Brian Harman",89,161.8,7908455,1358,"AverageApproachShotDistance",2013
24,24,"Ian Poulter",59,161.9,4068747,698,"AverageApproachShotDistance",2013
24,24,"Patrick Reed",83,161.9,7733212,1327,"AverageApproachShotDistance",2013
26,26,"Ted Potter Jr",65,162,5750358,986,"AverageApproachShotDistance",2013
26,26,"Mark Wilson",56,162,5238433,898,"AverageApproachShotDistance",2013
28,28,"Ben Curtis",59,162.1,4820193,826,"AverageApproachShotDistance",2013
28,28,"David Lingmerth",68,162.1,5947269,1019,"AverageApproachShotDistance",2013
28,28,"Tag Ridings",69,162.1,6059065,1038,"AverageApproachShotDistance",2013
31,31,"Scott Gardiner",61,162.2,5442747,932,"AverageApproachShotDistance",2013
32,32,"Brian Davis",91,162.3,8699502,1489,"AverageApproachShotDistance",2013
33,33,"Vaughn Taylor",50,162.4,4181236,715,"AverageApproachShotDistance",2013
33,33,"DJ Trahan",48,162.4,3970815,679,"AverageApproachShotDistance",2013
35,35,"Bobby Gates",49,162.5,3982679,681,"AverageApproachShotDistance",2013
35,35,"David Lynn",70,162.5,5886675,1006,"AverageApproachShotDistance",2013
35,35,"Troy Matteson",68,162.5,6176284,1056,"AverageApproachShotDistance",2013
35,35,"Rory Sabbatini",86,162.5,7534660,1288,"AverageApproachShotDistance",2013
39,39,"David Hearn",88,162.6,7661292,1309,"AverageApproachShotDistance",2013
40,40,"Ben Crane",62,162.7,5793017,989,"AverageApproachShotDistance",2013
41,41,"Ryo Ishikawa",72,162.8,5771664,985,"AverageApproachShotDistance",2013
42,42,"Freddie Jacobson",63,162.9,4838619,825,"AverageApproachShotDistance",2013
42,42,"Justin Leonard",86,162.9,7900293,1347,"AverageApproachShotDistance",2013
42,42,"Shawn Stefani",63,162.9,5243411,894,"AverageApproachShotDistance",2013
45,45,"William McGirt",75,163.1,7432773,1266,"AverageApproachShotDistance",2013
46,46,"Sangmoon Bae",83,163.2,7557130,1286,"AverageApproachShotDistance",2013
46,46,"Ben Kohles",75,163.2,6514074,1109,"AverageApproachShotDistance",2013
46,46,"Greg Owen",73,163.2,6960966,1185,"AverageApproachShotDistance",2013
46,46,"Chez Reavie",72,163.2,7037207,1198,"AverageApproachShotDistance",2013
46,46,"Brandt Snedeker",79,163.2,6051800,1030,"AverageApproachShotDistance",2013
46,46,"Robert Streb",75,163.2,6525716,1111,"AverageApproachShotDistance",2013
52,52,"James Driscoll",76,163.3,6630002,1128,"AverageApproachShotDistance",2013
52,52,"Peter Hanson",45,163.3,3468380,590,"AverageApproachShotDistance",2013
52,52,"Luke List",65,163.3,5468880,930,"AverageApproachShotDistance",2013
52,52,"Brian Stuard",78,163.3,6656313,1132,"AverageApproachShotDistance",2013
56,56,"Tim Clark",64,163.4,4534065,771,"AverageApproachShotDistance",2013
56,56,"Vijay Singh",61,163.4,5066033,861,"AverageApproachShotDistance",2013
56,56,"Nicholas Thompson",99,163.4,9075572,1543,"AverageApproachShotDistance",2013
59,59,"Ken Duke",87,163.5,7906838,1343,"AverageApproachShotDistance",2013
59,59,"Chris Kirk",89,163.5,8538775,1451,"AverageApproachShotDistance",2013
