"Approachesfrominside100yards_RANKTHISWEEK_2010","Approachesfrominside100yards_RANKLASTWEEK_2010","Approachesfrominside100yards_PLAYERNAME_2010","Approachesfrominside100yards_ROUNDS_2010","Approachesfrominside100yards_AVG_2010","Approachesfrominside100yards_TOTALDISTANCEFEET_2010","Approachesfrominside100yards_OFATTEMPTS_2010","Approachesfrominside100yards_RELATIVETOPAR_2010","stat_name","year"
1,1,"Mike Weir",59,NA,586.167,50,-0.14,"Approachesfrominside100yards",2010
2,2,"Ernie Els",72,NA,856.5,67,-0.19,"Approachesfrominside100yards",2010
2,2,"Padraig Harrington",57,NA,649.667,51,-0.22,"Approachesfrominside100yards",2010
4,4,"Jeff Overton",89,NA,1257.167,95,-0.19,"Approachesfrominside100yards",2010
5,5,"Jim Furyk",76,NA,1021.417,76,-0.26,"Approachesfrominside100yards",2010
6,6,"Stewart Cink",84,NA,1109.5,82,-0.23,"Approachesfrominside100yards",2010
7,7,"Vaughn Taylor",87,NA,1584.75,117,-0.16,"Approachesfrominside100yards",2010
8,8,"Boo Weekley",88,NA,1473.417,108,-0.19,"Approachesfrominside100yards",2010
9,9,"Geoff Ogilvy",62,NA,976.25,70,-0.34,"Approachesfrominside100yards",2010
10,10,"James Driscoll",78,NA,1113,79,-0.15,"Approachesfrominside100yards",2010
11,11,"Rickie Fowler",98,NA,1518.667,107,-0.31,"Approachesfrominside100yards",2010
12,12,"Michael Bradley",77,NA,1367.417,96,-0.22,"Approachesfrominside100yards",2010
12,12,"Paul Goydos",78,NA,1752,123,-0.24,"Approachesfrominside100yards",2010
14,14,"Bryce Molder",84,NA,1403.583,98,-0.18,"Approachesfrominside100yards",2010
15,15,"Tim Clark",88,NA,1732.5,120,-0.21,"Approachesfrominside100yards",2010
16,16,"Brian Gay",101,NA,2322.167,159,-0.21,"Approachesfrominside100yards",2010
16,16,"Matt Kuchar",97,NA,1477,101,-0.29,"Approachesfrominside100yards",2010
18,18,"Bob Estes",79,NA,1158.25,79,-0.22,"Approachesfrominside100yards",2010
18,18,"Phil Mickelson",76,NA,921.75,63,-0.29,"Approachesfrominside100yards",2010
18,18,"Kevin Na",94,NA,1507.833,103,-0.22,"Approachesfrominside100yards",2010
18,18,"Omar Uresti",74,NA,1422.333,97,-0.23,"Approachesfrominside100yards",2010
22,22,"Steve Stricker",73,NA,1340,91,-0.22,"Approachesfrominside100yards",2010
23,23,"Justin Bolli",55,NA,1084.917,73,-0.12,"Approachesfrominside100yards",2010
23,23,"Lee Janzen",77,NA,1262.417,85,-0.24,"Approachesfrominside100yards",2010
23,23,"Justin Rose",78,NA,1264.167,85,-0.08,"Approachesfrominside100yards",2010
23,23,"Paul Stankowski",62,NA,890.5,60,-0.15,"Approachesfrominside100yards",2010
27,27,"Ben Crane",85,NA,1269.417,85,-0.16,"Approachesfrominside100yards",2010
27,27,"Steve Flesch",78,NA,1136.583,76,-0.16,"Approachesfrominside100yards",2010
27,27,"Webb Simpson",98,NA,1804.5,121,-0.26,"Approachesfrominside100yards",2010
30,30,"Zach Johnson",93,NA,1413.083,94,-0.2,"Approachesfrominside100yards",2010
30,30,"Justin Leonard",89,NA,1831.333,122,0.02,"Approachesfrominside100yards",2010
30,30,"Brandt Snedeker",89,NA,1436.417,96,-0.15,"Approachesfrominside100yards",2010
33,33,"Chris DiMarco",88,NA,1699.833,113,-0.24,"Approachesfrominside100yards",2010
34,34,"Jason Bohn",84,NA,1380.917,91,-0.18,"Approachesfrominside100yards",2010
35,35,"John Merrick",109,NA,1795.333,118,-0.11,"Approachesfrominside100yards",2010
35,35,"John Rollins",81,NA,1785.75,117,-0.22,"Approachesfrominside100yards",2010
35,35,"Charlie Wi",95,NA,1630.167,107,-0.17,"Approachesfrominside100yards",2010
38,38,"Jonathan Byrd",85,NA,1536.75,100,-0.1,"Approachesfrominside100yards",2010
38,38,"Sergio Garcia",58,NA,842.083,55,-0.27,"Approachesfrominside100yards",2010
40,40,"Chad Collins",87,NA,1286,83,-0.04,"Approachesfrominside100yards",2010
40,40,"JP Hayes",79,NA,1484,96,-0.06,"Approachesfrominside100yards",2010
40,40,"Billy Mayfair",78,NA,1082.167,70,-0.09,"Approachesfrominside100yards",2010
40,40,"Heath Slocum",97,NA,1751.333,113,-0.14,"Approachesfrominside100yards",2010
40,40,"Jimmy Walker",82,NA,1317.333,85,-0.15,"Approachesfrominside100yards",2010
45,45,"Aaron Baddeley",94,NA,1826.417,117,-0.09,"Approachesfrominside100yards",2010
45,45,"Bill Haas",87,NA,1435.333,92,-0.27,"Approachesfrominside100yards",2010
45,45,"Ian Poulter",55,NA,655.417,42,-0.19,"Approachesfrominside100yards",2010
