"ApexHeight_RANKTHISWEEK_2015","ApexHeight_RANKLASTWEEK_2015","ApexHeight_PLAYERNAME_2015","ApexHeight_ROUNDS_2015","ApexHeight_AVG_2015","ApexHeight_TOTALAPEXHEIGHT_2015","ApexHeight_TOTALATTEMPTS_2015","ApexHeight_HIGHESTAPEXPOINT_2015","ApexHeight_LOWESTAPEXPOINT_2015","stat_name","year"
1,1,"Justin Thomas",106,NA,NA,102,NA,NA,"ApexHeight",2015
2,2,"Patrick Rodgers",57,NA,NA,46,NA,NA,"ApexHeight",2015
3,3,"Keegan Bradley",87,NA,NA,82,NA,NA,"ApexHeight",2015
4,4,"JB Holmes",89,NA,NA,69,NA,NA,"ApexHeight",2015
5,5,"Phil Mickelson",70,NA,NA,51,NA,NA,"ApexHeight",2015
6,6,"Charley Hoffman",97,NA,NA,83,NA,NA,"ApexHeight",2015
7,7,"Padraig Harrington",60,NA,NA,57,NA,NA,"ApexHeight",2015
8,8,"Alex Prugh",84,NA,NA,80,NA,NA,"ApexHeight",2015
9,9,"James Hahn",94,NA,NA,76,NA,NA,"ApexHeight",2015
10,10,"Rickie Fowler",76,NA,NA,65,NA,NA,"ApexHeight",2015
11,11,"Dustin Johnson",75,NA,NA,49,NA,NA,"ApexHeight",2015
12,12,"Brooks Koepka",84,NA,NA,84,NA,NA,"ApexHeight",2015
13,13,"Jason Day",75,NA,NA,61,NA,NA,"ApexHeight",2015
14,14,"Michael Thompson",83,NA,NA,83,NA,NA,"ApexHeight",2015
15,15,"Graham DeLaet",65,NA,NA,52,NA,NA,"ApexHeight",2015
16,16,"Hudson Swafford",97,NA,NA,86,NA,NA,"ApexHeight",2015
17,17,"Morgan Hoffmann",85,NA,NA,78,NA,NA,"ApexHeight",2015
18,18,"Tony Finau",106,NA,NA,93,NA,NA,"ApexHeight",2015
19,19,"Scott Piercy",90,NA,NA,86,NA,NA,"ApexHeight",2015
20,20,"Ryan Palmer",80,NA,NA,66,NA,NA,"ApexHeight",2015
21,21,"Jordan Spieth",91,NA,NA,68,NA,NA,"ApexHeight",2015
22,22,"Russell Henley",87,NA,NA,84,NA,NA,"ApexHeight",2015
23,23,"Seung Yul Noh",65,NA,NA,58,NA,NA,"ApexHeight",2015
23,23,"Roger Sloan",56,NA,NA,42,NA,NA,"ApexHeight",2015
23,23,"Nicholas Thompson",90,NA,NA,82,NA,NA,"ApexHeight",2015
26,26,"Kevin Chappell",86,NA,NA,62,NA,NA,"ApexHeight",2015
27,27,"Sam Saunders",83,NA,NA,71,NA,NA,"ApexHeight",2015
28,28,"Carlos Ortiz",100,NA,NA,97,NA,NA,"ApexHeight",2015
29,29,"Nick Taylor",91,NA,NA,89,NA,NA,"ApexHeight",2015
30,30,"Danny Lee",120,NA,NA,110,NA,NA,"ApexHeight",2015
31,31,"Davis Love III",51,NA,NA,43,NA,NA,"ApexHeight",2015
31,31,"Sean OHair",86,NA,NA,72,NA,NA,"ApexHeight",2015
