"ProximitytoHolefromSand_RANKTHISWEEK_2014","ProximitytoHolefromSand_RANKLASTWEEK_2014","ProximitytoHolefromSand_PLAYERNAME_2014","ProximitytoHolefromSand_ROUNDS_2014","ProximitytoHolefromSand_AVGDTP_2014","ProximitytoHolefromSand_TOTALDISTANCEFEET_2014","ProximitytoHolefromSand_OFSHOTS_2014","ProximitytoHolefromSand_SCRAMBLINGRANK_2014","stat_name","year"
1,1,"Mike Weir",69,NA,644.833,95,56,"ProximitytoHolefromSand",2014
2,2,"Vijay Singh",83,NA,811.083,118,73,"ProximitytoHolefromSand",2014
3,3,"Charlie Wi",72,NA,716.083,103,15,"ProximitytoHolefromSand",2014
4,4,"Justin Rose",70,NA,495.833,70,31,"ProximitytoHolefromSand",2014
5,5,"Bud Cauley",56,NA,385.583,53,57,"ProximitytoHolefromSand",2014
5,5,"Jason Day",54,NA,397.833,55,5,"ProximitytoHolefromSand",2014
7,7,"Bill Haas",107,NA,926.25,126,43,"ProximitytoHolefromSand",2014
7,7,"Matt Kuchar",91,NA,810.583,111,12,"ProximitytoHolefromSand",2014
9,9,"Kevin Na",94,NA,1026.417,133,4,"ProximitytoHolefromSand",2014
10,10,"KJ Choi",80,NA,941.5,119,119,"ProximitytoHolefromSand",2014
10,10,"Tim Clark",75,NA,743.583,94,70,"ProximitytoHolefromSand",2014
10,10,"Retief Goosen",94,NA,805.75,102,33,"ProximitytoHolefromSand",2014
10,10,"Webb Simpson",87,NA,842.667,107,77,"ProximitytoHolefromSand",2014
14,14,"Brian Davis",93,NA,1226.917,153,25,"ProximitytoHolefromSand",2014
14,14,"Martin Flores",85,NA,686.75,86,111,"ProximitytoHolefromSand",2014
14,14,"Seung Yul Noh",92,NA,908.333,114,45,"ProximitytoHolefromSand",2014
14,14,"Shawn Stefani",60,NA,704.833,88,67,"ProximitytoHolefromSand",2014
14,14,"Mark Wilson",69,NA,638.417,80,138,"ProximitytoHolefromSand",2014
19,19,"Jason Dufner",57,NA,575,71,166,"ProximitytoHolefromSand",2014
19,19,"Brandt Snedeker",89,NA,833.167,103,66,"ProximitytoHolefromSand",2014
21,21,"Aaron Baddeley",74,NA,868.417,106,47,"ProximitytoHolefromSand",2014
21,21,"Luke Donald",57,NA,603.833,74,38,"ProximitytoHolefromSand",2014
21,21,"Justin Leonard",75,NA,787.417,96,6,"ProximitytoHolefromSand",2014
21,21,"Troy Matteson",62,NA,578,71,168,"ProximitytoHolefromSand",2014
25,25,"Steven Bowditch",93,NA,1149,139,120,"ProximitytoHolefromSand",2014
25,25,"Jim Furyk",84,NA,629.917,76,1,"ProximitytoHolefromSand",2014
25,25,"Sergio Garcia",61,NA,563.333,68,2,"ProximitytoHolefromSand",2014
25,25,"JB Holmes",86,NA,1151.417,140,89,"ProximitytoHolefromSand",2014
25,25,"Ian Poulter",57,NA,650.333,79,98,"ProximitytoHolefromSand",2014
25,25,"Michael Putnam",106,NA,1138,138,122,"ProximitytoHolefromSand",2014
25,25,"Chris Stroud",88,NA,902.583,109,18,"ProximitytoHolefromSand",2014
32,32,"Briny Baird",50,NA,592.833,71,118,"ProximitytoHolefromSand",2014
32,32,"Roberto Castro",76,NA,884.75,106,136,"ProximitytoHolefromSand",2014
32,32,"Gonzalo Fdez Castano",83,NA,932.417,112,100,"ProximitytoHolefromSand",2014
32,32,"Brian Gay",81,NA,958.583,115,3,"ProximitytoHolefromSand",2014
32,32,"Patrick Reed",92,NA,945,113,69,"ProximitytoHolefromSand",2014
32,32,"Camilo Villegas",95,NA,992.75,119,125,"ProximitytoHolefromSand",2014
32,32,"Tim Wilkinson",86,NA,1002,120,10,"ProximitytoHolefromSand",2014
39,39,"Jonas Blixt",64,NA,611.583,73,84,"ProximitytoHolefromSand",2014
39,39,"Richard Lee",80,NA,875.583,104,32,"ProximitytoHolefromSand",2014
39,39,"Charl Schwartzel",64,NA,759.833,90,21,"ProximitytoHolefromSand",2014
42,42,"Scott Brown",100,NA,1011.667,119,86,"ProximitytoHolefromSand",2014
42,42,"George McNeill",79,NA,935.417,110,97,"ProximitytoHolefromSand",2014
42,42,"Bryce Molder",77,NA,857.25,101,44,"ProximitytoHolefromSand",2014
45,45,"Sangmoon Bae",76,NA,864.167,101,112,"ProximitytoHolefromSand",2014
45,45,"Bronson La Cassie",51,NA,572.667,67,48,"ProximitytoHolefromSand",2014
45,45,"Scott Langley",95,NA,985.083,115,21,"ProximitytoHolefromSand",2014
45,45,"Rory McIlroy",66,NA,735.917,86,88,"ProximitytoHolefromSand",2014
45,45,"Brendon Todd",108,NA,1181.333,137,7,"ProximitytoHolefromSand",2014
50,50,"Jonathan Byrd",76,NA,982.167,113,99,"ProximitytoHolefromSand",2014
50,50,"Luke Guthrie",85,NA,966.75,112,29,"ProximitytoHolefromSand",2014
50,50,"Ryo Ishikawa",75,NA,735.167,85,152,"ProximitytoHolefromSand",2014
50,50,"Phil Mickelson",71,NA,919.083,106,20,"ProximitytoHolefromSand",2014
50,50,"Rory Sabbatini",82,NA,972,112,142,"ProximitytoHolefromSand",2014
55,55,"Paul Casey",56,NA,576.333,66,128,"ProximitytoHolefromSand",2014
55,55,"John Huh",87,NA,885.833,101,107,"ProximitytoHolefromSand",2014
57,57,"Charley Hoffman",93,NA,851.083,96,64,"ProximitytoHolefromSand",2014
57,57,"Marc Leishman",81,NA,1046.25,118,115,"ProximitytoHolefromSand",2014
57,57,"Ben Martin",80,NA,830.5,94,75,"ProximitytoHolefromSand",2014
