"GIRPctFairwayBunker_RANKTHISWEEK_2015","GIRPctFairwayBunker_RANKLASTWEEK_2015","GIRPctFairwayBunker_PLAYERNAME_2015","GIRPctFairwayBunker_ROUNDS_2015","GIRPctFairwayBunker_Pct_2015","GIRPctFairwayBunker_GREENSHIT_2015","GIRPctFairwayBunker_HOLES_2015","GIRPctFairwayBunker_RELATIVEPAR_2015","stat_name","year"
1,1,"Adam Scott",51,70.7,29,41,-9,"GIRPctFairwayBunker",2015
2,2,"Will Wilcox",58,68.8,11,16,0,"GIRPctFairwayBunker",2015
3,3,"Ryo Ishikawa",90,64.4,47,73,-12,"GIRPctFairwayBunker",2015
4,4,"Stewart Cink",77,64.2,34,53,-3,"GIRPctFairwayBunker",2015
5,5,"Bill Lunde",50,63.6,21,33,-2,"GIRPctFairwayBunker",2015
6,6,"John Peterson",84,62.9,44,70,-8,"GIRPctFairwayBunker",2015
7,7,"Cameron Percy",72,62.2,28,45,-4,"GIRPctFairwayBunker",2015
7,7,"Tim Wilkinson",73,62.2,28,45,-3,"GIRPctFairwayBunker",2015
9,9,"Jason Day",75,61.2,30,49,-8,"GIRPctFairwayBunker",2015
10,10,"Jonathan Byrd",69,61.1,22,36,-4,"GIRPctFairwayBunker",2015
11,11,"Steven Alker",62,60.7,17,28,-3,"GIRPctFairwayBunker",2015
12,12,"Max Homa",78,60,30,50,-5,"GIRPctFairwayBunker",2015
12,12,"Whee Kim",71,60,27,45,-2,"GIRPctFairwayBunker",2015
14,14,"Russell Knox",96,59.4,41,69,-7,"GIRPctFairwayBunker",2015
14,14,"Scott Langley",94,59.4,41,69,-10,"GIRPctFairwayBunker",2015
16,16,"Jimmy Walker",89,59.1,39,66,-11,"GIRPctFairwayBunker",2015
17,17,"Bill Haas",89,59,46,78,-2,"GIRPctFairwayBunker",2015
18,18,"Charley Hoffman",97,58.7,44,75,-4,"GIRPctFairwayBunker",2015
19,19,"Justin Rose",69,58.6,41,70,3,"GIRPctFairwayBunker",2015
20,20,"Kyle Reifers",96,58.5,38,65,-5,"GIRPctFairwayBunker",2015
21,21,"Justin Thomas",106,58,47,81,-13,"GIRPctFairwayBunker",2015
22,22,"Rory Sabbatini",81,57.9,33,57,-9,"GIRPctFairwayBunker",2015
23,23,"Nick Watney",91,57.8,37,64,-4,"GIRPctFairwayBunker",2015
24,24,"Tony Finau",106,57.5,42,73,-15,"GIRPctFairwayBunker",2015
25,25,"Bryce Molder",91,57.4,31,54,-3,"GIRPctFairwayBunker",2015
26,26,"Louis Oosthuizen",68,57.1,20,35,-7,"GIRPctFairwayBunker",2015
26,26,"Hudson Swafford",97,57.1,32,56,-7,"GIRPctFairwayBunker",2015
28,28,"Brendan Steele",88,56.9,33,58,-4,"GIRPctFairwayBunker",2015
29,29,"Seung Yul Noh",65,56.8,25,44,-4,"GIRPctFairwayBunker",2015
30,30,"Brice Garnett",81,56.5,26,46,0,"GIRPctFairwayBunker",2015
30,30,"Jim Renner",68,56.5,26,46,-5,"GIRPctFairwayBunker",2015
32,32,"Cameron Tringale",96,56.4,44,78,-9,"GIRPctFairwayBunker",2015
33,33,"Tom Hoge",83,56.3,40,71,-7,"GIRPctFairwayBunker",2015
33,33,"Justin Leonard",61,56.3,18,32,-4,"GIRPctFairwayBunker",2015
35,35,"Daniel Summerhays",101,56.1,37,66,-11,"GIRPctFairwayBunker",2015
36,36,"Billy Hurley III",83,55.8,24,43,-4,"GIRPctFairwayBunker",2015
37,37,"Charlie Beljan",76,55.6,20,36,-3,"GIRPctFairwayBunker",2015
38,38,"David Hearn",97,55.4,31,56,-7,"GIRPctFairwayBunker",2015
38,38,"William McGirt",103,55.4,41,74,-6,"GIRPctFairwayBunker",2015
38,38,"Shawn Stefani",94,55.4,41,74,-4,"GIRPctFairwayBunker",2015
38,38,"Chris Stroud",84,55.4,36,65,-7,"GIRPctFairwayBunker",2015
42,42,"Kevin Kisner",104,54.9,39,71,-6,"GIRPctFairwayBunker",2015
43,43,"David Lingmerth",90,54.8,34,62,-6,"GIRPctFairwayBunker",2015
44,44,"Jim Herman",88,54.7,29,53,-6,"GIRPctFairwayBunker",2015
45,45,"Carl Pettersson",106,54.6,53,97,-11,"GIRPctFairwayBunker",2015
46,46,"Ricky Barnes",82,54.3,25,46,-7,"GIRPctFairwayBunker",2015
47,47,"DA Points",72,54.1,33,61,-4,"GIRPctFairwayBunker",2015
48,48,"Padraig Harrington",60,53.5,23,43,-1,"GIRPctFairwayBunker",2015
49,49,"Francesco Molinari",56,53.3,16,30,-3,"GIRPctFairwayBunker",2015
50,50,"Luke Donald",71,53.2,25,47,-10,"GIRPctFairwayBunker",2015
51,51,"Ernie Els",57,53.1,26,49,-4,"GIRPctFairwayBunker",2015
52,52,"JJ Henry",94,53,35,66,-3,"GIRPctFairwayBunker",2015
52,52,"Spencer Levin",99,53,35,66,-3,"GIRPctFairwayBunker",2015
54,54,"Paul Casey",87,52.9,27,51,-1,"GIRPctFairwayBunker",2015
54,54,"Adam Hadwin",95,52.9,27,51,-4,"GIRPctFairwayBunker",2015
54,54,"Greg Owen",58,52.9,18,34,-6,"GIRPctFairwayBunker",2015
