"YTDParorBetterStreak_RANKTHISWEEK_2011","YTDParorBetterStreak_RANKLASTWEEK_2011","YTDParorBetterStreak_PLAYERNAME_2011","YTDParorBetterStreak__2011","YTDParorBetterStreak_NUMBEROFROUNDS_2011","stat_name","year"
1,1,"Luke Donald",NA,23,"YTDParorBetterStreak",2011
2,2,"Brian Gay",NA,22,"YTDParorBetterStreak",2011
3,3,"Bill Haas",NA,20,"YTDParorBetterStreak",2011
4,4,"Jonathan Byrd",NA,19,"YTDParorBetterStreak",2011
4,4,"Rod Pampling",NA,19,"YTDParorBetterStreak",2011
4,4,"Bo Van Pelt",NA,19,"YTDParorBetterStreak",2011
7,7,"Blake Adams",NA,18,"YTDParorBetterStreak",2011
7,7,"Jerry Kelly",NA,18,"YTDParorBetterStreak",2011
7,7,"Matt Kuchar",NA,18,"YTDParorBetterStreak",2011
7,7,"Chez Reavie",NA,18,"YTDParorBetterStreak",2011
7,7,"Vijay Singh",NA,18,"YTDParorBetterStreak",2011
7,7,"Kevin Sutherland",NA,18,"YTDParorBetterStreak",2011
13,13,"Jason Bohn",NA,17,"YTDParorBetterStreak",2011
13,13,"Steve Marino",NA,17,"YTDParorBetterStreak",2011
15,15,"Ryan Palmer",NA,16,"YTDParorBetterStreak",2011
15,15,"Carl Pettersson",NA,16,"YTDParorBetterStreak",2011
15,15,"Charl Schwartzel",NA,16,"YTDParorBetterStreak",2011
15,15,"Roland Thatcher",NA,16,"YTDParorBetterStreak",2011
15,15,"Bubba Watson",NA,16,"YTDParorBetterStreak",2011
20,20,"Chris Kirk",NA,15,"YTDParorBetterStreak",2011
20,20,"Spencer Levin",NA,15,"YTDParorBetterStreak",2011
20,20,"Bryce Molder",NA,15,"YTDParorBetterStreak",2011
20,20,"Pat Perez",NA,15,"YTDParorBetterStreak",2011
20,20,"Justin Rose",NA,15,"YTDParorBetterStreak",2011
20,20,"Heath Slocum",NA,15,"YTDParorBetterStreak",2011
26,26,"Michael Bradley",NA,14,"YTDParorBetterStreak",2011
26,26,"Tim Clark",NA,14,"YTDParorBetterStreak",2011
26,26,"Chris Couch",NA,14,"YTDParorBetterStreak",2011
26,26,"Rickie Fowler",NA,14,"YTDParorBetterStreak",2011
26,26,"Jim Furyk",NA,14,"YTDParorBetterStreak",2011
26,26,"Scott Piercy",NA,14,"YTDParorBetterStreak",2011
26,26,"Chris Tidland",NA,14,"YTDParorBetterStreak",2011
26,26,"Jhonattan Vegas",NA,14,"YTDParorBetterStreak",2011
26,26,"Charles Warren",NA,14,"YTDParorBetterStreak",2011
26,26,"Mark Wilson",NA,14,"YTDParorBetterStreak",2011
36,36,"Cameron Beckman",NA,13,"YTDParorBetterStreak",2011
36,36,"Greg Chalmers",NA,13,"YTDParorBetterStreak",2011
36,36,"KJ Choi",NA,13,"YTDParorBetterStreak",2011
36,36,"Matt Jones",NA,13,"YTDParorBetterStreak",2011
36,36,"Billy Mayfair",NA,13,"YTDParorBetterStreak",2011
36,36,"Kevin Na",NA,13,"YTDParorBetterStreak",2011
36,36,"Webb Simpson",NA,13,"YTDParorBetterStreak",2011
36,36,"Brandt Snedeker",NA,13,"YTDParorBetterStreak",2011
36,36,"Josh Teater",NA,13,"YTDParorBetterStreak",2011
45,45,"Briny Baird",NA,12,"YTDParorBetterStreak",2011
45,45,"Bud Cauley",NA,12,"YTDParorBetterStreak",2011
45,45,"Stewart Cink",NA,12,"YTDParorBetterStreak",2011
45,45,"Michael Connell",NA,12,"YTDParorBetterStreak",2011
45,45,"Davis Love III",NA,12,"YTDParorBetterStreak",2011
45,45,"Aron Price",NA,12,"YTDParorBetterStreak",2011
45,45,"Kevin Stadler",NA,12,"YTDParorBetterStreak",2011
52,52,"Woody Austin",NA,11,"YTDParorBetterStreak",2011
52,52,"Charles Howell III",NA,11,"YTDParorBetterStreak",2011
52,52,"Freddie Jacobson",NA,11,"YTDParorBetterStreak",2011
52,52,"Brandt Jobe",NA,11,"YTDParorBetterStreak",2011
52,52,"Justin Leonard",NA,11,"YTDParorBetterStreak",2011
52,52,"Bill Lunde",NA,11,"YTDParorBetterStreak",2011
52,52,"John Merrick",NA,11,"YTDParorBetterStreak",2011
52,52,"DA Points",NA,11,"YTDParorBetterStreak",2011
52,52,"Rory Sabbatini",NA,11,"YTDParorBetterStreak",2011
52,52,"Steve Stricker",NA,11,"YTDParorBetterStreak",2011
52,52,"Chris Stroud",NA,11,"YTDParorBetterStreak",2011
52,52,"David Toms",NA,11,"YTDParorBetterStreak",2011
64,64,"Aaron Baddeley",NA,10,"YTDParorBetterStreak",2011
64,64,"Kris Blanks",NA,10,"YTDParorBetterStreak",2011
64,64,"Chad Campbell",NA,10,"YTDParorBetterStreak",2011
64,64,"Chad Collins",NA,10,"YTDParorBetterStreak",2011
64,64,"Brendon de Jonge",NA,10,"YTDParorBetterStreak",2011
64,64,"Chris DiMarco",NA,10,"YTDParorBetterStreak",2011
64,64,"Jason Gore",NA,10,"YTDParorBetterStreak",2011
64,64,"Jim Herman",NA,10,"YTDParorBetterStreak",2011
