"Par5GoingfortheGreen_RANKTHISWEEK_2005","Par5GoingfortheGreen_RANKLASTWEEK_2005","Par5GoingfortheGreen_PLAYERNAME_2005","Par5GoingfortheGreen_ROUNDS_2005","Par5GoingfortheGreen_Pct_2005","Par5GoingfortheGreen_ATTEMPTS_2005","Par5GoingfortheGreen_NONATTEMPTS_2005","stat_name","year"
1,1,"Tiger Woods",76,72.68,133,50,"Par5GoingfortheGreen",2005
2,2,"Mathias Gronberg",60,72.47,129,49,"Par5GoingfortheGreen",2005
3,3,"Scott Hend",75,72.02,157,61,"Par5GoingfortheGreen",2005
4,4,"Brett Wetterich",76,70.72,157,65,"Par5GoingfortheGreen",2005
5,5,"Lucas Glover",88,70.68,188,78,"Par5GoingfortheGreen",2005
6,6,"Vijay Singh",111,70.63,202,84,"Par5GoingfortheGreen",2005
7,7,"Phil Mickelson",81,68.29,112,52,"Par5GoingfortheGreen",2005
8,8,"Scott Gutschewski",86,66.67,160,80,"Par5GoingfortheGreen",2005
9,9,"Mark Hensby",70,65.38,102,54,"Par5GoingfortheGreen",2005
10,10,"Kevin Stadler",96,64.83,188,102,"Par5GoingfortheGreen",2005
11,11,"Harrison Frazar",105,64.01,201,113,"Par5GoingfortheGreen",2005
12,12,"Lee Westwood",50,63.27,62,36,"Par5GoingfortheGreen",2005
13,13,"DJ Trahan",81,63.25,148,86,"Par5GoingfortheGreen",2005
14,14,"John Daly",78,62.83,120,71,"Par5GoingfortheGreen",2005
15,15,"Hank Kuehne",84,62.55,157,94,"Par5GoingfortheGreen",2005
16,16,"James Driscoll",73,62.27,137,83,"Par5GoingfortheGreen",2005
17,17,"Jonathan Byrd",103,62.09,190,116,"Par5GoingfortheGreen",2005
18,18,"Daniel Chopra",108,61.81,191,118,"Par5GoingfortheGreen",2005
19,19,"Tag Ridings",93,61.25,177,112,"Par5GoingfortheGreen",2005
20,20,"Nick Watney",91,61.19,164,104,"Par5GoingfortheGreen",2005
21,21,"Steve Lowery",100,61.13,184,117,"Par5GoingfortheGreen",2005
22,22,"Kenny Perry",82,61.02,108,69,"Par5GoingfortheGreen",2005
23,23,"Sergio Garcia",73,60.84,101,65,"Par5GoingfortheGreen",2005
24,24,"Brandt Jobe",96,60.69,159,103,"Par5GoingfortheGreen",2005
25,25,"John Rollins",97,60.66,165,107,"Par5GoingfortheGreen",2005
26,26,"Retief Goosen",71,60.56,86,56,"Par5GoingfortheGreen",2005
27,27,"Michael Long",72,60.1,125,83,"Par5GoingfortheGreen",2005
28,28,"Robert Allenby",95,60,147,98,"Par5GoingfortheGreen",2005
29,29,"Billy Mayfair",114,59.88,200,134,"Par5GoingfortheGreen",2005
30,30,"John Elliott",58,59.63,96,65,"Par5GoingfortheGreen",2005
31,31,"Rod Pampling",89,59.55,131,89,"Par5GoingfortheGreen",2005
32,32,"Jesper Parnevik",84,59.38,133,91,"Par5GoingfortheGreen",2005
33,33,"Greg Owen",84,59.27,147,101,"Par5GoingfortheGreen",2005
34,34,"Ryan Palmer",101,59.18,158,109,"Par5GoingfortheGreen",2005
35,35,"Brenden Pappas",51,59.15,97,67,"Par5GoingfortheGreen",2005
36,36,"Davis Love III",80,58.89,106,74,"Par5GoingfortheGreen",2005
37,37,"Bradley Hughes",52,58.75,94,66,"Par5GoingfortheGreen",2005
38,38,"Hunter Mahan",103,58.55,178,126,"Par5GoingfortheGreen",2005
39,39,"Charles Warren",89,58.46,159,113,"Par5GoingfortheGreen",2005
40,40,"Chris Smith",93,58.39,174,124,"Par5GoingfortheGreen",2005
41,41,"Hunter Haas",83,58.2,142,102,"Par5GoingfortheGreen",2005
42,42,"Woody Austin",100,57.82,170,124,"Par5GoingfortheGreen",2005
43,43,"Arjun Atwal",65,57.5,115,85,"Par5GoingfortheGreen",2005
